,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5,slf_6,slf_7,slf_8,slf_9,slf_10,slf_11,slf_12,slf_13,slf_14,slf_15
0,X,False,8.3512,8.2119,8.3359,8.1024,8.0681,8.2002,8.0741,7.9812,7.8867,7.9414,7.8674,8.0602,7.9248,7.8807,7.9772
1,X,False,10.507,10.328,10.417,10.417,10.418,10.33,10.481,10.627,10.557,10.559,10.622,10.685,10.692,10.576,10.509
2,X,False,16.635,16.25,16.296,16.426,16.243,16.108,16.207,16.333,16.523,16.569,16.857,16.622,16.557,16.77,16.603
3,X,False,6.1238,5.6126,5.7595,5.728,5.9154,5.5557,5.6875,5.1481,5.0755,5.1296,4.7228,4.6521,4.8259,4.8548,4.5731
4,X,True,3.8323,4.0007,3.7176,3.7828,3.8962,3.8883,3.7107,3.5106,3.5298,3.5992,3.6725,3.3858,3.537,3.309,3.5348
5,X,False,16.769,14.482,14.761,15.593,14.265,12.218,14.84,11.778,12.762,12.496,11.003,14.073,12.07,12.918,14.571
6,X,True,6.1526,5.9407,6.0077,5.9413,6.3093,6.3883,6.2191,6.1103,6.2698,6.014,6.2111,6.0112,5.9894,6.1394,6.2735
7,X,False,6.7598,6.5545,5.4491,7.0448,7.109,7.1218,6.8063,6.8011,6.7412,6.6831,6.683,6.8061,6.913,7.0739,7.1297
8,X,False,7.1218,6.8063,6.8011,6.7412,6.6831,6.683,6.8061,6.913,7.0739,7.1297,7.0675,7.1801,7.2437,7.1832,7.3005
9,X,False,14.609,14.545,14.638,14.805,14.827,14.809,15.027,14.871,14.9,14.816,14.825,14.951,14.984,14.905,14.838
10,X,False,51.302,46.622,48.453,52.042,40.9,44.841,41.887,41.471,40.018,41.227,44.014,37.392,38.392,47.72,38.531
11,X,True,4.445,5.5973,2.8484,5.1099,7.4807,10.603,11.253,11.012,12.517,16.928,17.918,21.008,23.044,32.251,27.505
12,X,True,12.389,12.592,12.603,12.539,12.469,12.492,12.26,12.482,12.189,12.355,12.266,12.341,12.368,12.149,12.2
13,X,False,4.7405,4.4006,4.8004,4.8317,4.6458,4.7609,4.5688,5.0512,4.7227,5.0772,4.7235,4.7368,4.6978,4.6165,4.9033
14,X,False,11.084,11.09,11.113,11.054,10.869,10.896,11.005,10.859,10.655,10.656,10.762,10.769,10.779,10.719,10.789
15,X,False,11.565,11.621,11.623,11.763,11.684,11.701,11.761,11.761,11.913,11.983,12.012,12.046,12.036,12.002,11.787
16,X,False,14.31,14.574,14.452,14.44,14.306,14.39,14.359,14.225,14.123,14.335,13.993,14.009,14.241,14.269,14.217
17,X,False,12.916,13.222,13.023,13.027,13.089,13.081,12.91,15.771,15.736,15.679,15.322,15.582,15.539,15.754,16.076
18,X,False,9.0822,9.1165,9.0347,9.1052,8.9693,8.9536,8.9245,8.9361,8.9435,8.9229,8.9621,9.065,9.0861,8.9419,8.9855
19,X,False,5.3424,6.9044,7.2251,10.054,8.1797,8.1443,6.3168,3.2416,3.0508,2.7812,2.6132,2.0108,0.93775,1.1002,1.9621
20,X,False,65.202,34.685,31.288,29.959,31.371,31.878,29.498,26.992,26.443,26.524,23.199,21.127,39.638,37.369,35.016
21,X,False,10.216,9.9285,9.9773,11.591,10.71,10.42,13.207,10.89,13.335,14.249,15.0,15.123,15.538,16.517,19.23
22,X,False,5.9906,6.1028,7.4041,7.0416,6.9674,6.738,6.5066,5.9242,6.0035,7.8692,8.3499,6.9022,7.1596,7.4035,7.0199
23,X,True,4.554,4.5484,4.5601,4.5263,4.5182,4.5014,4.4075,4.4059,4.4491,4.4245,4.4024,4.4266,4.4377,4.4549,4.4848
24,X,True,5.5954,5.6135,5.5466,5.5563,5.5173,5.5965,5.5841,5.5549,5.5876,5.58,5.6304,5.6365,5.6476,5.6372,5.6059
25,X,True,5.6907,5.6809,5.7182,5.7204,5.7319,5.7619,5.7682,5.8048,5.8835,5.8206,5.8097,5.8389,5.8606,5.7737,5.8381
26,X,False,12.86,12.739,12.952,12.713,12.64,12.616,12.616,12.553,12.55,12.314,12.654,12.418,11.574,12.373,12.279
27,X,False,20.113,20.227,19.949,20.01,20.101,20.158,20.352,20.379,20.441,20.308,20.491,20.517,20.499,20.771,20.709
28,X,True,6.0971,5.9439,6.0267,6.024,5.9887,5.9592,6.0399,6.0183,5.9645,5.9225,5.9383,5.8698,5.8933,5.7682,5.6541
29,X,False,2.6744,2.8009,3.4646,2.9676,2.9536,3.1535,4.0043,2.6849,2.4126,2.4412,2.2053,2.1043,2.1512,1.357,1.419
30,X,True,4.3183,4.3321,4.3425,4.2676,4.2655,4.3258,4.4004,4.3518,4.388,4.0073,3.9619,3.9767,4.0368,3.9976,3.9757
31,X,True,3.9757,4.2932,4.275,3.877,3.8842,3.8463,3.9011,3.8851,3.8969,3.9439,3.9554,4.0038,3.9646,4.0151,4.0124
32,X,False,3.4197,3.3798,3.3567,3.3181,3.2933,3.3191,3.3304,3.3613,3.3563,3.3867,3.3554,3.3672,3.3806,3.3769,3.3749
33,X,False,26.514,27.197,25.721,24.841,22.853,26.305,31.73,22.226,21.36,21.586,22.794,23.345,21.375,27.091,26.972
34,M,False,14.308,12.97,14.187,13.961,13.5,13.42,14.217,14.528,14.774,15.196,15.191,15.467,15.563,15.557,15.89
35,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,M,False,19.656,19.279,19.234,19.203,19.248,19.143,19.098,0.0,18.716,18.707,18.562,18.65,18.648,18.799,18.96
37,M,True,2.4091,2.744,9.8021,13.366,11.001,9.1348,6.1023,9.742,5.2808,4.8021,3.5711,5.5022,12.721,5.9793,2.5453
38,M,False,2.8339,307.1,249.42,305.36,272.32,2.9742,250.84,304.4,3.3238,302.81,278.42,3.0839,252.55,270.9,2.5461
39,M,False,38.3,38.636,38.373,39.737,38.941,38.993,39.091,39.06,39.572,41.292,41.09,41.655,41.108,39.843,41.426
40,M,False,43.323,44.174,45.072,44.895,45.798,43.684,42.3,47.491,42.759,42.532,44.848,45.326,46.587,49.646,50.925
41,M,True,25.025,23.917,23.092,24.262,24.327,23.242,22.239,22.444,22.404,21.095,21.539,21.312,20.32,19.35,18.806
42,M,True,8.4887,8.5338,8.6114,8.7296,8.6781,8.5818,8.6001,8.6365,8.6315,8.551,8.4775,8.5156,8.6269,8.5606,8.6939
43,M,False,23.262,23.215,22.857,22.976,20.009,19.924,20.231,19.91,19.741,20.434,22.023,19.855,18.937,18.256,17.058
44,M,False,8.3769,8.4692,8.3067,8.2312,8.324,8.3376,8.3482,8.15,8.3001,8.0938,8.1134,8.0864,8.1813,8.1677,8.3038
45,M,True,10.331,10.549,10.551,10.567,10.518,10.451,10.25,10.277,10.379,10.412,10.488,10.302,10.351,10.359,10.356
46,M,True,14.748,14.785,15.025,15.322,15.214,15.378,15.378,15.258,15.249,15.142,15.323,15.239,15.216,15.189,15.459
47,M,False,10.189,10.077,10.226,10.199,10.172,10.248,10.175,9.9303,9.9542,10.142,10.016,9.8738,9.9424,10.089,9.8974
48,M,False,15.56,15.644,15.728,15.916,15.71,15.557,15.693,15.515,15.675,15.602,15.768,15.794,15.957,15.867,16.188
49,M,False,17.768,17.738,17.676,17.739,17.829,18.138,18.164,18.207,18.164,18.166,18.283,18.632,18.672,18.762,18.816
50,M,False,23.029,14.077,13.935,23.187,23.192,22.777,23.329,23.524,13.832,23.112,22.85,22.916,22.987,23.246,23.465
51,M,True,8.2684,8.4063,8.3583,8.4011,8.4103,8.3415,8.2085,8.2796,8.2646,8.1546,8.1835,8.2433,8.2244,8.1498,8.1006
52,M,True,21.918,22.119,21.622,21.691,22.084,21.319,22.744,22.849,22.34,20.52,19.14,19.095,18.596,18.284,17.342
53,M,False,8.3308,8.1822,8.1958,8.3372,8.317,8.2762,8.1602,8.2877,8.2307,8.1824,8.3787,8.307,8.37,8.2566,8.2904
54,M,False,8.1602,8.2877,8.2307,8.1824,8.3787,8.307,8.37,8.2566,8.2904,8.4485,8.4197,8.2914,8.2885,8.2617,8.1492
55,M,False,15.774,15.583,15.49,15.463,15.458,15.562,15.6,15.44,15.479,15.533,15.396,15.417,15.52,15.334,15.364
56,M,False,9.0885,9.1335,9.1552,9.2033,9.2464,9.4219,9.2685,9.336,9.2988,9.4213,9.4284,9.7072,9.6404,9.7025,9.6756
57,M,True,21.508,21.955,22.822,22.828,23.511,24.231,25.112,24.813,26.215,26.093,26.187,25.079,25.443,23.134,23.114
58,M,False,21.493,22.768,22.53,23.363,22.845,22.719,22.618,24.382,23.328,24.133,23.445,22.437,22.519,21.249,20.596
59,M,False,15.609,16.028,15.588,14.415,14.196,14.224,14.799,15.287,14.198,13.797,13.717,13.257,13.661,13.816,13.961
60,M,False,12.512,28.3,23.496,16.777,10.755,17.396,49.22,44.389,45.255,45.536,41.852,43.244,46.214,43.607,45.474
61,M,False,45.255,45.536,41.852,43.244,46.214,43.607,45.474,43.064,45.051,43.986,43.892,45.473,49.154,47.305,38.756
62,M,True,9.3085,9.2829,9.1859,9.2611,9.2625,9.5231,9.3808,9.6898,9.5344,9.5134,9.8022,9.7775,9.6493,9.8042,9.659
63,M,False,9.8042,9.659,9.7592,9.6,9.4294,9.4415,9.4771,9.4563,9.4998,9.3607,9.4636,9.6099,9.6174,9.6758,9.5851
64,M,True,5.4263,3.8066,3.7794,3.6798,3.8557,3.8831,3.8285,3.8231,3.8762,3.8579,3.88,3.6191,4.0556,3.9993,4.0258
65,M,False,4.2047,3.8864,4.09,3.9383,4.0587,4.0232,3.9135,3.935,3.9661,4.0036,4.1615,4.2094,3.8355,3.8855,3.8435
66,M,False,25.551,25.387,26.482,28.155,22.837,24.019,21.897,19.823,16.267,29.433,29.68,23.418,29.23,29.836,30.149
67,M,False,15.591,23.745,25.14,19.601,16.546,20.27,20.283,18.333,19.357,16.577,15.144,16.853,15.102,13.37,13.754
68,M,False,15.81,15.783,15.812,16.217,16.08,16.548,16.526,16.31,16.303,16.299,16.414,16.331,16.092,15.946,15.915
69,M,False,15.772,15.746,15.376,15.61,15.613,15.416,15.511,15.155,15.385,15.068,15.007,15.171,15.196,15.351,15.339
70,M,True,22.666,21.857,20.756,15.791,16.865,17.494,16.426,23.787,26.456,27.333,27.493,28.357,25.574,25.212,23.97
71,M,False,30.215,30.585,31.6,31.763,33.235,34.245,33.468,35.48,35.375,33.606,34.14,33.495,32.281,32.75,31.573
72,M,True,51.368,47.611,53.676,49.8,52.443,51.068,53.983,52.081,54.737,48.73,45.623,53.019,55.477,57.876,61.114
73,M,False,41.26,42.979,38.156,38.181,37.18,34.177,40.952,41.209,41.566,38.173,40.683,38.075,33.719,34.269,33.65
74,M,False,54.804,54.33,54.769,55.193,55.463,58.042,56.924,57.514,56.003,56.928,57.012,57.921,57.435,59.114,60.101
75,M,False,12.149,11.76,12.292,11.167,13.369,12.089,12.338,10.848,10.221,9.9144,8.5301,8.7015,8.939,8.7742,8.9079
76,M,False,19.51,18.666,18.931,19.429,18.67,18.261,18.394,17.835,18.016,18.262,18.179,17.858,17.723,17.567,17.419
77,M,False,10.012,10.087,10.09,10.144,10.291,10.325,10.275,10.482,10.403,10.37,10.507,10.437,10.469,10.566,10.57
78,M,True,5.7594,5.7868,5.7414,5.7667,5.8638,5.9869,6.0734,5.9143,5.9567,5.8201,5.7375,5.6642,5.6911,5.6597,5.641
79,M,True,7.786,7.7585,7.7883,7.835,7.9131,7.9536,7.8063,7.9366,7.9547,7.8969,7.9341,7.9335,8.0839,7.9645,8.0291
80,M,False,7.5436,7.5547,7.3891,7.418,7.4909,7.4441,7.4321,7.3996,7.4212,7.4845,7.5181,7.4313,7.4647,7.3981,7.4447
81,M,True,9.1894,9.2375,9.4031,9.3245,9.2291,9.1114,9.1605,9.1785,9.2493,9.3081,9.303,9.1806,9.2464,9.31,9.4072
82,M,False,10.381,10.444,10.398,10.322,10.356,10.37,10.435,10.338,10.411,10.436,10.43,10.287,10.373,10.381,10.431
83,M,True,13.159,13.266,13.477,13.568,13.467,13.633,13.742,13.756,13.773,13.663,13.602,13.578,13.74,13.85,13.904
84,M,False,15.685,15.696,15.736,15.771,15.739,15.931,15.845,15.741,15.82,15.983,15.858,15.937,16.046,16.155,16.395
85,M,True,28.267,28.095,28.298,28.505,29.082,28.659,28.228,29.371,30.185,29.596,29.675,30.348,30.041,29.355,30.115
86,M,False,29.059,28.996,29.229,29.246,28.934,28.891,29.069,29.433,29.213,29.626,29.519,30.032,29.899,29.663,30.086
87,M,False,30.744,30.574,30.351,30.462,30.705,30.963,30.762,30.791,30.877,31.214,30.951,31.067,31.453,31.0,31.441
88,M,True,9.7386,9.8354,9.724,9.5174,9.7205,9.9127,9.8721,9.9216,10.387,10.613,10.485,10.453,10.446,10.123,10.986
89,M,True,3.8018,3.801,3.7647,4.192,4.3946,3.8529,4.2407,3.8498,3.8393,4.4287,3.8341,3.9008,4.3618,3.9019,3.8604
90,M,False,5.6424,5.4722,6.1612,6.5162,6.0014,5.8006,5.4272,5.7873,6.3193,6.1763,5.7283,5.8138,5.1543,5.3112,5.0876
91,M,True,6.3688,6.2362,6.8847,7.4715,7.5741,7.9131,7.368,6.5342,6.8649,6.7937,6.2487,6.2193,6.3127,6.545,6.6356
92,M,False,7.1292,7.3991,7.3827,7.5906,7.4904,7.3719,7.3532,7.5667,7.7327,7.5703,7.7405,7.5592,7.2189,7.2416,7.1757
93,M,False,28.386,28.736,28.284,28.496,28.346,27.793,28.498,28.144,28.936,28.604,29.256,28.567,29.712,29.167,28.612
94,M,True,10.411,10.316,10.259,10.251,10.499,10.058,10.045,10.112,9.9044,10.145,10.124,9.8956,9.9212,10.12,10.417
95,M,True,14.039,13.777,14.111,14.172,14.115,14.297,14.365,14.461,14.524,14.8,14.987,14.77,14.892,14.668,14.378
96,M,True,12.541,12.744,13.599,12.662,13.701,13.247,13.205,12.98,12.316,13.262,12.814,13.141,15.881,15.07,14.785
97,M,False,13.183,13.234,13.045,13.15,13.275,13.239,13.099,12.942,12.838,12.625,12.285,12.175,12.083,11.936,12.092
98,M,False,12.175,12.549,12.555,12.744,13.233,13.007,13.196,12.976,13.667,13.863,14.177,13.92,14.167,14.357,14.248
99,M,True,11.422,11.236,11.241,11.192,11.043,10.991,10.934,11.064,10.951,10.878,10.764,10.758,10.571,10.597,10.503
100,M,False,11.192,11.043,10.991,10.934,11.064,10.951,10.878,10.764,10.758,10.571,10.597,10.503,10.491,10.613,10.571
101,M,False,10.878,10.764,10.758,10.571,10.597,10.503,10.491,10.613,10.571,10.55,10.362,10.38,10.306,10.319,10.534
102,M,False,10.491,10.613,10.571,10.55,10.362,10.38,10.306,10.319,10.534,10.48,10.438,10.428,10.511,10.473,10.354
103,M,False,10.195,10.118,10.079,10.206,10.25,10.252,10.335,10.203,10.156,10.144,10.114,10.193,10.236,10.116,10.042
104,M,True,9.9501,9.8424,9.7812,9.6957,9.5757,9.5201,9.4551,9.3582,9.3731,9.2963,9.2986,9.2358,9.185,9.1604,9.0805
105,M,False,0.0,0.0,0.0,0.0,36.499,0.0,0.0,0.0,0.0,0.0,0.0,13.938,13.11,28.037,22.716
106,M,False,9.1731,9.1087,9.1185,9.1545,9.0935,9.0093,9.1338,9.046,9.0003,8.954,9.0098,8.9798,8.9397,8.9142,8.9347
107,M,False,10.523,10.481,10.332,10.458,10.493,10.476,10.48,10.51,10.387,10.383,10.333,10.388,10.532,10.357,10.353
108,M,True,8.9996,10.453,10.577,10.676,9.6628,9.6559,10.905,11.137,11.232,11.335,9.1937,8.758,11.143,11.2,11.224
109,M,True,3.92,4.926,6.3952,5.173,5.8129,5.0275,5.5183,4.9976,5.6907,3.632,5.376,5.1543,4.7204,4.7739,4.6919
110,M,False,5.7101,5.4487,5.5984,5.3577,5.4731,5.2934,4.9779,5.0977,5.1964,5.2918,5.2944,5.3214,5.3074,5.2614,5.6356
111,M,False,8.8405,8.8088,8.7186,8.7024,8.8822,8.876,8.7939,8.8775,9.0092,8.9864,8.8687,9.0237,9.0075,8.9374,8.9229
112,M,False,27.339,27.735,27.667,28.819,28.355,28.66,29.065,28.304,28.093,27.179,27.336,28.047,28.758,29.357,29.365
113,M,False,29.435,29.331,29.947,28.818,28.767,30.015,30.129,30.981,31.209,29.964,28.9,30.771,29.655,30.852,31.215
114,M,True,6.4057,6.6046,6.6724,6.6256,6.9192,7.1129,7.0253,7.6468,7.8222,7.6269,7.1778,7.4916,8.2106,9.3157,9.4374
115,M,True,21.21,19.351,22.232,19.079,19.113,17.773,20.756,21.197,21.792,20.419,20.284,19.907,23.529,18.621,18.784
116,M,True,14.443,13.588,12.909,12.28,14.66,12.233,11.365,11.783,11.985,13.517,13.101,13.377,11.721,14.507,12.289
117,M,True,9.8973,9.7358,9.6706,9.4788,9.8182,9.3341,9.4463,9.5444,9.6216,9.3816,9.3568,9.1006,9.1646,9.5296,9.3294
118,M,True,9.2635,8.8993,8.9489,9.3101,9.3473,9.0364,9.4006,9.1997,9.234,9.3534,9.549,9.7018,9.678,9.9692,10.069
119,M,True,10.195,10.052,10.342,10.261,10.46,10.391,10.271,10.405,10.355,10.236,10.15,10.158,10.055,9.9597,10.083
120,M,False,9.9774,9.9579,9.973,9.8875,10.117,10.138,9.8277,10.082,9.7576,10.174,10.115,10.104,9.7863,9.7561,9.9563
121,M,False,9.8801,9.8923,9.6889,9.681,9.7206,9.9349,9.8652,10.002,9.8612,9.6845,9.6689,9.6741,9.7683,9.4873,9.5428
122,M,False,9.4997,9.5705,9.4752,9.5736,9.584,9.6112,9.7526,9.5762,9.5087,9.7742,9.562,9.414,9.3591,9.3522,9.6122
123,M,False,21.601,21.624,21.729,21.349,21.427,21.481,21.587,21.798,22.043,22.151,21.997,21.874,22.058,22.068,22.056
124,M,True,70.449,70.705,70.769,71.484,70.783,70.041,69.254,68.758,68.851,68.442,67.844,65.402,64.642,64.805,64.269
125,M,False,13.235,12.482,15.428,15.611,15.12,14.451,15.31,11.16,12.597,13.437,12.462,10.927,9.8449,10.818,10.737
126,M,False,23.404,22.099,21.75,21.451,21.28,21.256,21.226,23.951,24.263,23.757,23.49,21.673,22.748,19.144,16.888
127,M,True,14.631,14.316,14.401,14.783,13.907,14.258,14.536,14.696,14.59,14.637,15.953,17.11,15.34,15.536,15.145
128,M,False,7.3509,7.292,7.0013,6.8245,7.5669,7.3807,7.4915,7.8023,7.8411,7.7612,7.7696,8.0219,8.0382,7.835,8.1536
129,M,True,44.402,42.593,44.829,46.027,42.702,44.085,42.68,43.503,42.852,43.139,42.361,40.969,38.079,39.658,39.197
130,M,False,42.698,44.214,44.308,34.648,33.928,44.579,32.449,33.759,33.751,34.982,35.188,34.761,35.041,32.297,32.798
131,M,False,31.937,33.89,31.388,40.299,40.719,41.556,33.058,42.007,40.689,36.864,39.293,37.774,38.363,38.26,39.445
132,M,True,29.798,29.63,29.657,29.408,29.568,29.298,29.257,29.146,29.014,28.771,29.012,28.616,28.893,28.754,28.678
133,M,False,28.92,28.74,28.663,28.61,28.657,28.563,28.72,28.519,28.283,28.353,28.305,28.338,28.506,28.547,28.493
134,M,False,12.24,16.508,16.263,16.043,16.482,15.976,15.844,15.835,15.737,15.88,15.837,14.863,15.062,11.214,14.755
135,M,False,11.77,11.687,11.473,11.557,11.651,11.604,11.531,11.449,11.674,11.846,11.789,11.901,11.914,11.968,11.813
136,M,False,22.494,22.502,22.892,22.884,22.592,22.864,22.83,22.881,23.082,23.046,23.196,23.083,22.854,22.88,23.032
137,M,False,29.779,29.622,29.826,29.779,30.08,30.04,30.296,30.427,30.47,30.094,30.64,30.479,30.868,30.372,30.331
138,M,True,7.8696,8.9065,8.7271,8.9379,9.0298,10.273,9.3849,9.8333,10.027,9.4404,9.5281,9.3301,9.7095,9.511,9.7694
139,M,True,13.82,13.667,13.282,13.539,13.281,12.999,13.591,12.958,12.877,11.636,12.693,12.392,12.091,12.91,12.821
140,M,False,13.667,13.282,13.539,13.281,12.999,13.591,12.958,12.877,11.636,12.693,12.392,12.091,12.91,12.821,12.872
141,M,False,12.943,12.494,12.565,12.089,12.439,13.931,14.363,12.472,11.953,12.059,11.678,11.851,11.643,14.652,11.831
142,M,True,11.678,11.851,11.643,14.652,11.831,11.481,11.064,10.854,10.374,10.282,10.294,10.064,10.505,10.305,10.147
