,FLARE_TYPE,COINCIDENCE,MEANGAM_1,MEANGAM_2,MEANGAM_3,MEANGAM_4,MEANGAM_5,MEANGAM_6,MEANGAM_7,MEANGAM_8,MEANGAM_9,MEANGAM_10,MEANGAM_11,MEANGAM_12,MEANGAM_13,MEANGAM_14,MEANGAM_15
0,X,False,59.703,59.541,59.598,59.828,59.809,59.849,59.948,59.983,60.104,60.195,60.311,60.497,60.522,60.685,60.597
1,X,False,58.046,58.109,57.919,57.67,57.611,57.61,57.571,57.417,57.358,57.464,57.545,57.4,57.301,57.258,57.291
2,X,False,44.545,44.628,44.86,44.816,44.704,44.465,44.52,44.492,44.475,44.515,44.527,44.599,44.661,44.57,44.814
3,X,False,54.46,54.615,54.686,54.626,55.074,55.023,54.843,54.796,54.992,55.318,55.076,54.947,55.007,55.184,55.023
4,X,True,49.86,49.305,49.1,49.004,48.641,48.787,48.444,48.42,48.437,48.631,48.547,48.35,48.66,48.338,48.588
5,X,False,46.821,46.47,46.395,46.265,46.05,46.16,46.006,45.749,45.698,45.753,45.73,45.577,45.732,45.605,45.873
6,X,True,49.695,50.19,50.4,49.849,50.084,50.055,49.934,49.769,49.339,49.118,49.197,49.763,49.362,48.604,48.526
7,X,False,51.12,51.085,51.177,51.43,51.252,51.237,51.243,51.013,51.202,51.129,51.182,51.151,51.26,51.149,51.051
8,X,False,51.237,51.243,51.013,51.202,51.129,51.182,51.151,51.26,51.149,51.051,51.086,51.448,51.392,51.16,51.314
9,X,False,52.792,53.062,52.998,53.146,53.166,53.263,53.253,53.224,53.128,53.224,53.243,53.357,53.212,53.073,52.9
10,X,False,45.346,44.391,44.611,44.45,44.264,44.239,44.1,43.61,43.268,43.326,43.449,43.464,43.028,42.215,42.106
11,X,True,53.922,52.433,51.169,52.966,52.654,52.599,53.075,51.024,51.031,51.261,50.738,50.659,51.338,50.7,50.451
12,X,True,43.291,43.003,43.1,43.349,43.461,43.526,43.214,43.36,43.347,43.205,43.243,43.086,42.82,42.657,42.48
13,X,False,42.289,42.369,42.153,42.335,42.515,42.589,43.007,43.055,42.878,43.038,43.196,43.392,43.419,43.056,43.621
14,X,False,43.912,44.001,43.915,43.899,43.817,43.677,43.751,43.731,43.522,43.633,43.565,43.632,43.562,43.615,43.75
15,X,False,51.549,51.619,51.623,51.616,51.797,51.89,52.017,52.11,52.162,52.164,52.33,52.39,52.369,52.357,52.468
16,X,False,53.168,53.227,53.247,53.475,53.408,53.75,53.964,54.011,54.063,54.341,54.218,54.136,54.219,54.364,54.285
17,X,False,38.64,38.59,38.486,39.387,38.915,38.617,38.943,38.909,39.232,39.104,39.011,39.167,39.181,38.955,38.882
18,X,False,55.159,55.197,55.187,55.09,55.206,55.077,55.165,55.109,55.101,54.975,54.739,54.655,54.601,54.68,54.908
19,X,False,18.296,18.394,18.375,18.403,18.75,19.213,19.015,18.764,19.357,20.364,21.041,21.992,22.316,22.201,23.761
20,X,False,33.175,32.857,33.109,32.89,32.79,32.512,32.453,32.8,33.116,32.912,33.142,32.861,32.705,32.985,32.507
21,X,False,50.411,50.534,49.523,49.536,48.845,48.471,48.165,48.245,47.691,47.001,47.283,46.752,46.447,46.216,45.783
22,X,False,44.472,44.318,44.351,44.328,44.101,43.988,44.186,43.985,44.345,44.06,43.617,43.337,43.21,42.94,42.967
23,X,True,51.552,51.49,51.38,51.368,51.35,51.335,51.272,51.242,51.16,51.15,51.158,51.141,51.168,51.182,51.139
24,X,True,49.983,49.909,49.839,49.72,49.636,49.566,49.565,49.503,49.476,49.414,49.349,49.367,49.383,49.245,49.245
25,X,True,44.4,44.465,44.492,44.46,44.427,44.427,44.431,44.356,44.338,44.299,44.154,44.167,44.133,44.049,43.903
26,X,False,38.634,38.421,38.679,38.426,38.669,38.614,38.595,38.414,38.364,38.525,38.479,38.427,38.294,38.195,38.318
27,X,False,42.777,42.605,42.598,42.655,42.503,42.597,42.443,42.446,42.463,42.437,42.312,42.386,42.316,42.271,42.227
28,X,True,45.869,46.022,46.047,46.133,46.319,46.081,46.094,46.194,46.464,46.415,46.389,46.337,46.366,46.495,46.157
29,X,False,48.097,47.294,48.095,51.416,55.766,52.51,53.774,53.785,53.779,54.022,52.889,51.907,50.677,51.056,49.79
30,X,True,56.951,56.723,56.637,56.445,56.431,56.605,56.556,56.46,56.562,56.532,56.408,56.479,56.488,56.239,56.076
31,X,True,56.076,56.122,55.901,56.02,56.014,55.895,55.854,56.153,56.122,56.081,56.068,56.007,56.124,56.048,55.937
32,X,False,49.883,49.661,49.75,49.842,49.83,49.525,49.381,49.545,49.853,49.59,49.573,49.375,49.243,49.314,49.021
33,X,False,43.448,43.76,44.034,43.021,42.637,42.219,42.13,42.616,42.209,42.596,41.987,42.825,43.204,42.529,42.746
34,M,False,42.369,43.847,42.395,42.381,41.93,42.306,41.574,40.541,40.701,40.495,40.716,40.047,39.406,39.493,39.31
35,M,False,33.674,33.349,31.421,32.828,32.827,34.778,34.507,33.51,32.115,31.753,32.207,33.806,32.049,34.401,34.589
36,M,False,37.383,37.251,37.157,36.977,36.986,37.012,36.879,37.008,36.877,36.824,37.16,37.301,37.052,37.105,37.228
37,M,True,43.799,42.844,41.779,42.907,42.411,41.739,41.884,41.99,41.81,42.733,41.734,41.638,42.345,41.979,41.258
38,M,False,27.084,27.317,27.79,27.825,27.895,28.404,28.503,28.082,28.371,28.274,28.43,28.984,28.871,28.71,28.699
39,M,False,40.286,40.577,40.539,41.007,40.88,41.358,41.974,41.934,42.581,42.433,42.613,43.008,42.484,42.283,42.126
40,M,False,33.293,32.987,33.238,33.934,34.209,33.54,33.83,33.837,34.175,34.411,34.346,34.141,34.415,35.58,35.442
41,M,True,53.933,53.747,54.303,54.794,54.908,54.669,55.438,55.02,55.843,55.611,54.576,54.056,54.676,55.48,56.165
42,M,True,60.309,60.268,59.885,59.714,59.757,59.917,59.829,59.765,59.688,59.497,59.474,59.473,59.599,59.766,59.928
43,M,False,37.464,36.63,36.257,36.637,36.888,36.942,37.745,38.222,38.565,38.36,38.048,38.007,37.792,38.554,39.599
44,M,False,58.373,58.245,58.199,58.322,58.267,58.299,58.314,58.088,58.08,58.212,58.143,58.129,57.958,57.866,57.633
45,M,True,48.681,48.513,48.811,48.917,48.908,48.792,48.663,48.464,48.328,48.587,48.309,48.184,48.1,48.105,48.116
46,M,True,49.773,49.745,49.937,50.09,49.96,49.831,49.951,49.885,49.747,49.968,49.964,49.952,50.165,50.095,50.11
47,M,False,47.826,47.382,47.578,47.534,47.714,47.378,47.612,47.51,47.345,47.393,47.497,47.492,47.042,46.997,47.074
48,M,False,49.881,49.839,49.923,50.292,50.117,49.925,50.019,49.997,49.841,49.606,50.012,49.886,50.1,50.192,50.185
49,M,False,51.099,51.352,51.328,51.48,51.867,51.523,51.845,52.291,51.99,52.046,52.17,51.084,51.339,51.682,51.632
50,M,False,33.122,33.477,33.123,32.884,33.072,33.072,33.178,32.924,32.684,32.921,32.786,33.05,33.282,33.168,33.176
51,M,True,45.936,45.657,45.57,45.5,45.436,45.053,44.775,44.488,44.447,44.472,44.549,44.15,44.225,44.195,44.229
52,M,True,38.926,39.073,39.178,38.213,38.453,38.793,38.578,38.219,38.263,38.103,37.757,37.375,37.803,38.324,38.367
53,M,False,44.17,44.227,44.696,45.012,45.175,45.218,45.245,44.993,45.042,45.15,44.547,44.484,44.299,44.458,44.534
54,M,False,45.245,44.993,45.042,45.15,44.547,44.484,44.299,44.458,44.534,44.27,44.148,43.677,43.413,43.126,42.958
55,M,False,50.546,51.21,51.382,50.902,50.68,50.716,50.829,50.961,50.756,50.928,51.256,51.358,51.494,51.196,51.072
56,M,False,41.114,41.421,41.15,41.265,40.926,41.176,41.233,41.281,41.442,41.191,41.393,41.825,42.017,41.342,41.377
57,M,True,40.311,40.336,40.144,40.107,40.56,40.652,39.985,40.389,40.278,40.364,39.864,40.381,40.726,40.792,40.804
58,M,False,40.08,39.965,40.206,40.339,39.892,40.036,39.993,40.075,39.975,40.631,40.276,39.787,40.012,39.912,40.017
59,M,False,39.664,40.123,40.187,40.546,40.661,40.394,40.271,40.617,40.482,40.955,41.114,41.078,41.328,41.477,41.472
60,M,False,42.305,42.459,42.074,42.005,41.767,41.976,41.968,41.491,41.645,41.682,41.698,41.965,42.15,42.231,42.475
61,M,False,41.645,41.682,41.698,41.965,42.15,42.231,42.475,42.212,41.727,41.943,41.642,41.854,41.822,45.03,41.787
62,M,True,59.577,59.57,59.598,59.543,59.529,59.589,59.59,59.591,59.468,59.507,59.527,59.506,59.402,59.309,59.361
63,M,False,59.309,59.361,59.34,59.424,59.343,59.456,59.594,59.495,59.482,59.358,59.355,59.551,59.551,59.607,59.583
64,M,True,42.88,42.555,43.035,42.134,42.585,42.663,42.767,42.381,42.267,42.361,41.689,41.78,41.357,41.491,41.46
65,M,False,39.471,40.358,40.72,40.184,39.986,39.827,39.882,40.46,40.148,40.08,40.368,40.251,40.271,40.69,40.9
66,M,False,54.36,54.635,54.978,54.861,54.552,54.839,54.779,54.513,54.464,54.174,53.911,53.796,53.803,53.973,53.664
67,M,False,42.129,42.256,41.721,42.471,42.311,42.249,42.17,41.64,41.869,41.837,41.695,41.438,41.584,41.293,41.743
68,M,False,39.352,39.25,39.285,39.316,39.535,39.523,39.473,39.199,39.524,39.363,39.285,39.196,39.11,39.033,39.154
69,M,False,49.193,49.075,49.098,49.031,49.129,49.411,49.522,49.428,49.325,49.251,49.199,49.2,49.164,49.253,49.411
70,M,True,33.589,33.399,33.588,33.128,33.594,33.265,33.415,33.792,33.343,33.459,33.476,33.694,33.631,33.992,33.608
71,M,False,34.824,34.689,34.498,34.909,34.663,34.9,34.406,34.684,34.271,34.489,34.413,34.365,34.958,34.658,34.223
72,M,True,49.661,47.919,48.805,49.695,48.788,49.312,48.606,48.437,48.386,48.778,48.64,48.814,48.256,48.237,47.338
73,M,False,45.326,44.924,44.871,44.245,45.065,44.194,44.113,44.242,44.789,44.819,44.626,44.787,45.071,44.808,44.547
74,M,False,34.192,34.427,34.321,34.57,34.349,34.417,33.925,33.971,34.189,34.118,33.962,33.915,33.802,33.808,33.766
75,M,False,49.287,49.602,49.523,49.624,48.931,48.732,48.944,47.994,48.449,47.487,47.272,47.0,46.266,47.075,46.66
76,M,False,35.805,36.651,37.072,37.025,37.509,37.798,37.606,37.777,38.201,38.226,38.61,38.472,38.353,38.51,38.484
77,M,False,43.83,43.806,43.694,44.065,44.065,44.085,44.38,44.112,44.344,44.318,44.684,44.981,44.608,44.866,44.641
78,M,True,56.186,56.121,55.634,55.534,55.305,55.351,55.431,55.577,55.877,56.309,56.52,56.311,56.248,56.449,56.308
79,M,True,55.807,55.585,55.568,55.304,55.234,55.161,55.123,55.08,54.794,54.561,54.443,54.454,54.285,53.993,53.923
80,M,False,60.484,60.727,60.807,60.711,60.611,60.455,60.42,60.698,60.707,60.917,61.144,61.308,61.361,61.471,61.593
81,M,True,53.338,53.361,53.284,53.27,53.22,53.326,53.171,53.212,53.29,53.283,53.252,53.439,53.743,54.141,53.843
82,M,False,52.036,51.903,51.866,51.731,51.624,51.639,51.61,51.216,51.299,51.406,51.12,51.143,50.976,50.928,50.619
83,M,True,48.468,48.422,48.145,47.881,48.004,47.78,47.677,47.498,47.321,47.468,47.535,47.17,47.544,47.449,47.38
84,M,False,45.531,45.418,45.377,45.401,45.359,45.227,45.387,45.525,45.265,44.96,45.033,44.92,44.769,44.785,44.557
85,M,True,36.01,36.149,36.467,36.338,36.675,36.349,36.094,36.517,36.284,36.129,35.935,35.505,35.281,35.237,35.235
86,M,False,32.979,32.828,32.682,32.516,32.371,32.387,32.267,32.033,32.178,32.025,31.722,31.877,31.844,31.816,31.99
87,M,False,31.837,32.042,31.945,31.975,32.057,31.824,31.755,31.734,31.844,31.769,31.983,31.913,31.878,31.912,31.639
88,M,True,51.963,51.928,51.528,51.599,51.545,51.572,51.553,51.56,51.358,51.641,51.495,51.54,51.549,51.537,51.427
89,M,True,45.942,46.092,46.089,46.421,46.576,46.883,46.733,46.467,46.405,46.547,46.573,46.611,46.364,45.909,45.78
90,M,False,42.316,42.584,42.255,42.152,42.407,42.26,42.823,42.643,42.894,42.783,42.835,43.125,43.284,43.461,43.577
91,M,True,43.404,43.323,43.064,43.302,43.297,43.247,43.098,43.154,43.17,43.072,43.127,42.739,42.474,42.333,42.087
92,M,False,37.786,37.664,38.11,37.735,38.083,37.565,37.72,37.916,37.518,37.615,37.382,37.346,37.791,37.893,37.999
93,M,False,32.005,32.137,32.019,31.814,31.637,31.592,31.466,31.466,31.663,31.552,31.632,31.459,31.257,31.415,31.477
94,M,True,38.528,38.796,38.946,38.895,38.665,38.744,38.905,39.028,38.82,38.741,38.826,38.438,38.387,38.537,37.976
95,M,True,35.368,35.158,35.379,35.236,35.181,35.072,35.191,35.215,35.391,35.251,35.183,35.31,35.341,35.299,35.087
96,M,True,47.028,46.732,46.851,47.086,47.098,47.233,47.04,46.966,46.701,46.746,46.991,46.928,46.979,46.998,47.019
97,M,False,45.934,46.099,45.54,46.268,45.926,46.362,46.601,46.287,46.708,45.782,46.146,46.318,46.084,46.217,46.352
98,M,False,36.031,36.027,35.995,36.181,35.821,35.907,36.024,35.868,35.891,35.927,36.11,35.99,36.35,36.281,36.227
99,M,True,46.368,46.281,46.438,46.882,46.803,46.707,46.968,47.419,46.675,47.797,47.427,47.45,47.169,47.877,46.922
100,M,False,46.882,46.803,46.707,46.968,47.419,46.675,47.797,47.427,47.45,47.169,47.877,46.922,47.115,47.018,47.739
101,M,False,47.797,47.427,47.45,47.169,47.877,46.922,47.115,47.018,47.739,48.149,47.64,47.688,47.388,47.411,47.811
102,M,False,47.115,47.018,47.739,48.149,47.64,47.688,47.388,47.411,47.811,47.922,47.473,47.651,47.444,47.91,47.489
103,M,False,48.136,48.162,48.535,48.471,48.559,48.658,48.837,48.855,48.575,48.759,48.811,48.749,48.519,48.903,48.901
104,M,True,50.893,51.209,51.397,50.78,50.883,51.053,51.443,51.065,50.458,50.81,51.075,51.033,50.906,50.897,50.675
105,M,False,43.36,42.913,42.745,42.767,42.142,41.987,42.949,43.491,43.848,44.891,45.732,45.388,46.284,46.324,45.821
106,M,False,53.643,53.875,53.91,54.091,54.186,54.143,54.255,54.097,54.13,53.834,53.994,53.862,53.795,53.831,53.969
107,M,False,60.933,60.929,60.984,60.86,60.993,60.837,60.786,60.729,60.764,60.561,60.413,60.401,60.235,60.146,60.084
108,M,True,57.483,57.782,57.671,57.68,57.315,57.248,56.726,56.454,56.624,56.692,57.365,56.896,57.048,56.674,56.419
109,M,True,59.46,58.952,59.368,60.357,59.745,59.849,60.711,60.709,60.831,61.072,61.237,61.162,61.205,60.75,60.905
110,M,False,62.474,61.987,61.532,61.656,61.663,61.788,61.766,61.746,62.048,62.298,62.096,62.081,61.974,61.846,61.456
111,M,False,48.278,48.188,48.562,48.455,48.403,47.921,47.745,47.804,47.598,47.897,47.579,47.891,47.865,47.794,47.918
112,M,False,35.618,35.683,35.601,35.462,35.668,35.494,35.303,35.489,35.474,35.528,35.387,35.434,35.454,35.517,35.438
113,M,False,36.614,36.515,36.409,36.577,36.611,36.665,36.735,36.729,36.797,36.993,36.814,37.152,37.01,37.252,37.269
114,M,True,53.589,53.32,52.993,52.756,52.455,52.397,52.102,51.728,51.646,51.407,51.368,51.362,51.208,51.202,50.924
115,M,True,49.381,49.047,49.279,49.267,48.357,48.246,48.498,48.533,48.274,48.508,48.27,48.317,48.317,48.44,48.412
116,M,True,45.55,45.584,45.863,45.376,45.488,45.396,45.349,45.495,45.6,45.55,45.825,45.432,45.497,45.469,45.377
117,M,True,45.834,45.775,45.975,45.534,45.407,45.518,45.407,45.863,45.368,45.701,45.737,45.691,45.53,45.329,45.292
118,M,True,45.251,45.3,45.512,45.598,45.743,45.763,45.773,45.837,45.828,45.861,45.813,45.852,45.984,45.978,45.917
119,M,True,45.561,45.544,45.612,45.569,45.479,45.4,45.523,45.391,45.419,45.492,45.413,45.289,45.23,45.346,45.199
120,M,False,45.751,45.819,45.807,45.888,45.892,45.924,45.814,46.03,46.085,46.045,46.037,46.013,46.07,46.047,46.032
121,M,False,46.177,46.266,46.325,46.59,46.599,46.602,46.607,46.617,46.553,46.54,46.596,46.683,46.701,46.612,46.734
122,M,False,47.295,47.39,47.554,47.627,47.627,47.543,47.718,47.674,47.705,47.56,47.516,47.605,47.561,47.473,47.607
123,M,False,39.153,38.903,38.793,38.892,38.842,38.729,38.728,38.888,38.725,38.916,38.852,38.824,38.67,38.674,38.628
124,M,True,37.444,37.326,37.053,37.155,37.331,37.495,37.367,37.399,37.436,37.337,37.453,36.884,36.531,36.679,36.36
125,M,False,32.263,32.026,32.208,32.156,32.172,32.096,31.993,32.485,32.251,32.343,32.656,32.714,32.495,32.563,32.576
126,M,False,35.159,34.922,34.847,34.65,34.711,34.587,34.813,34.104,34.544,34.89,34.921,35.422,35.643,36.359,36.507
127,M,True,46.647,45.797,45.613,46.207,46.309,46.173,45.962,47.1,47.289,47.117,46.112,46.636,47.823,48.143,47.063
128,M,False,50.728,51.252,51.244,50.549,50.843,50.819,50.353,51.062,50.674,50.908,51.356,50.987,51.586,51.193,51.038
129,M,True,34.888,35.13,34.7,35.176,35.209,35.124,34.7,34.718,34.834,34.882,34.765,34.618,34.852,34.532,34.726
130,M,False,34.077,34.067,34.039,33.879,34.131,34.282,33.962,33.643,33.952,34.148,34.311,33.917,33.944,33.993,34.208
131,M,False,34.085,34.518,34.313,34.111,34.027,34.191,34.388,34.174,34.142,34.322,34.435,34.562,34.663,34.662,34.67
132,M,True,37.342,37.439,37.552,37.533,37.562,37.605,37.528,37.72,37.693,37.622,37.899,37.75,37.902,37.755,37.926
133,M,False,38.16,38.058,38.046,38.119,37.925,38.092,37.687,37.727,37.957,37.798,37.964,38.267,37.898,37.952,37.865
134,M,False,41.561,41.453,41.635,41.501,41.544,41.652,41.716,41.641,41.929,41.954,41.898,41.983,41.893,41.913,41.929
135,M,False,42.736,44.622,44.269,42.778,42.501,42.811,42.834,42.94,42.732,42.847,42.769,42.886,42.746,42.701,42.755
136,M,False,45.159,45.054,44.904,44.813,44.839,44.828,44.736,44.635,44.671,44.715,44.572,44.398,44.246,44.244,44.17
137,M,False,34.555,34.745,34.745,35.067,35.429,35.079,35.435,35.869,35.757,35.99,36.415,36.607,36.505,37.125,36.591
138,M,True,50.642,51.378,50.347,50.716,50.883,50.312,50.383,50.689,50.343,50.161,49.569,50.021,49.347,49.749,49.501
139,M,True,47.384,47.801,47.572,47.288,47.356,47.145,47.44,47.192,47.986,47.91,48.093,48.051,48.482,48.159,48.311
140,M,False,47.801,47.572,47.288,47.356,47.145,47.44,47.192,47.986,47.91,48.093,48.051,48.482,48.159,48.311,48.037
141,M,False,48.097,47.98,47.923,48.432,48.401,48.528,48.849,48.77,48.81,48.865,48.274,48.157,48.213,47.945,48.086
142,M,True,48.274,48.157,48.213,47.945,48.086,48.512,48.236,48.312,48.62,48.768,48.916,48.853,48.798,49.159,48.858
143,M,False,48.236,48.312,48.62,48.768,48.916,48.853,48.798,49.159,48.858,48.927,48.916,48.959,48.857,49.148,49.204
144,M,False,48.857,49.148,49.204,48.864,48.779,49.232,49.04,48.601,48.819,49.215,48.875,48.838,49.443,49.323,48.928
145,M,False,49.187,49.604,49.225,49.833,49.844,49.821,50.068,49.342,49.039,48.95,48.923,49.15,49.373,49.3,48.949
146,M,False,49.304,49.36,49.362,49.132,49.068,49.402,49.227,49.076,49.363,49.797,49.499,49.722,49.443,49.16,49.186
147,M,False,50.295,50.47,50.425,50.997,51.005,51.238,51.12,51.085,51.177,51.43,51.252,51.237,51.243,51.013,51.202
148,M,False,53.907,54.076,54.025,54.171,54.326,54.249,54.343,54.27,54.215,54.177,54.176,54.143,54.143,54.192,54.248
149,M,False,51.613,51.184,51.168,51.09,50.695,50.891,50.737,50.77,50.964,51.124,51.096,50.896,50.827,50.633,50.672
150,M,False,39.927,39.857,39.74,39.758,39.729,39.598,39.799,39.657,39.766,39.699,39.677,39.705,39.67,39.602,39.544
151,M,True,41.636,41.745,42.19,42.139,43.019,42.036,41.676,41.638,42.11,42.076,41.986,41.795,42.083,41.683,40.728
152,M,False,42.442,42.58,43.343,43.885,43.538,43.696,43.226,42.407,41.867,42.176,43.397,41.95,41.956,41.89,41.659
153,M,False,52.975,52.722,52.764,52.787,52.767,52.83,52.582,52.42,52.816,53.378,53.223,52.845,52.942,52.859,52.649
154,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,M,False,44.463,44.458,44.441,44.329,44.276,44.163,43.905,43.741,43.814,43.332,43.257,43.569,43.536,43.582,43.294
156,M,True,45.479,45.203,45.395,45.564,45.111,44.682,45.437,45.423,45.514,45.778,45.939,45.888,46.013,45.709,45.853
157,M,True,48.195,48.303,48.397,48.223,48.082,48.123,47.968,48.058,47.978,48.221,47.73,47.99,48.104,48.082,48.246
158,M,False,47.978,48.221,47.73,47.99,48.104,48.082,48.246,48.159,48.014,48.29,48.155,48.042,48.176,48.117,47.995
159,M,False,49.155,49.07,49.05,49.115,49.28,49.438,49.526,49.564,49.634,49.675,49.698,49.539,49.857,49.917,50.02
160,M,False,51.514,51.454,51.486,51.522,51.529,51.465,51.538,51.517,51.426,51.47,51.469,51.563,51.747,51.747,51.855
161,M,False,35.325,35.567,35.465,35.28,35.431,35.251,34.949,35.254,35.031,35.246,34.783,34.77,34.697,34.545,34.377
162,M,False,32.372,32.349,32.341,32.143,31.925,32.118,32.126,32.194,32.013,31.907,32.061,31.897,31.967,31.733,31.969
163,M,True,0.0,0.0,0.0,0.0,0.0,16.085,22.555,15.382,27.826,17.709,20.03,19.193,23.308,23.597,23.619
164,M,False,44.587,45.916,44.744,42.091,41.817,42.291,41.322,40.104,41.354,42.039,40.082,40.853,38.342,37.779,37.412
165,M,False,40.14,39.706,39.149,40.537,39.839,39.973,40.589,40.959,41.749,41.234,41.632,41.376,41.769,41.296,40.847
166,M,False,50.856,51.044,51.285,51.582,51.487,51.168,51.543,52.027,51.158,51.61,51.647,51.731,52.084,52.322,51.92
167,M,True,39.219,39.147,39.406,39.211,39.03,39.779,39.353,39.439,40.238,40.112,39.894,39.515,39.252,39.324,39.445
168,M,False,39.507,39.905,39.653,39.592,39.345,38.895,38.849,38.534,38.615,38.474,37.994,38.167,38.244,38.594,38.751
169,M,True,35.629,35.655,35.635,35.804,35.847,36.09,36.146,35.997,36.339,36.534,36.362,36.358,36.491,36.93,36.804
170,M,False,37.003,36.809,36.89,36.771,36.687,36.706,37.007,37.309,37.307,37.018,36.976,37.328,36.956,37.006,37.086
171,M,True,41.013,41.006,41.227,41.343,41.652,41.741,42.189,41.924,42.202,43.061,43.003,43.497,44.02,44.039,44.244
172,M,False,43.98,44.073,44.028,44.452,44.589,44.491,44.245,44.165,44.678,44.453,44.814,45.253,45.063,45.052,45.636
173,M,True,53.24,53.693,53.787,53.792,53.677,53.813,53.736,53.702,53.638,53.827,53.684,53.498,53.746,53.711,53.612
174,M,False,54.122,53.938,53.915,54.088,53.949,54.087,54.102,54.324,54.267,54.198,54.312,54.415,54.254,54.172,54.201
175,M,False,54.346,54.431,54.564,54.599,54.703,54.579,54.474,54.512,54.566,54.575,54.531,54.594,54.772,54.607,54.609
176,M,True,57.069,57.127,57.142,57.2,57.213,57.166,57.06,56.974,56.959,56.876,56.716,56.618,56.294,56.435,56.289
177,M,True,57.243,57.182,57.239,57.203,57.245,57.173,57.216,57.211,57.165,57.161,57.294,57.363,57.358,57.068,57.085
178,M,True,57.358,57.068,57.085,57.332,57.115,57.163,57.192,57.222,57.162,57.144,57.02,57.072,56.933,57.047,57.042
179,M,True,56.933,57.047,57.042,56.993,56.921,56.837,57.001,56.913,56.822,56.87,56.912,56.886,56.802,56.752,56.688
180,M,True,56.672,56.555,56.622,56.651,56.609,56.458,56.523,56.296,56.39,56.519,56.335,56.271,56.183,56.433,56.562
181,M,False,56.519,56.335,56.271,56.183,56.433,56.562,56.441,56.351,56.435,56.342,56.125,56.013,56.076,55.99,56.097
182,M,False,56.441,56.351,56.435,56.342,56.125,56.013,56.076,55.99,56.097,56.058,56.081,56.001,55.998,56.028,55.876
183,M,True,56.097,56.058,56.081,56.001,55.998,56.028,55.876,55.75,55.689,55.717,55.59,55.62,55.439,55.347,55.235
184,M,True,55.998,56.028,55.876,55.75,55.689,55.717,55.59,55.62,55.439,55.347,55.235,55.319,55.427,55.339,55.362
185,M,False,55.314,55.102,55.059,54.942,54.781,54.717,54.794,54.976,54.906,54.976,54.914,54.953,55.207,55.196,55.166
186,M,False,30.633,31.599,34.03,35.25,36.432,36.816,36.93,38.309,38.951,38.705,40.032,40.611,40.359,43.461,42.898
187,M,True,54.996,55.163,54.978,55.149,55.308,55.11,55.134,54.909,54.747,54.79,54.709,54.524,54.513,54.553,54.441
188,M,False,55.308,55.11,55.134,54.909,54.747,54.79,54.709,54.524,54.513,54.553,54.441,54.488,54.26,54.504,54.334
189,M,False,54.524,54.513,54.553,54.441,54.488,54.26,54.504,54.334,54.409,54.383,54.187,54.217,54.04,54.02,53.766
190,M,True,52.913,52.86,52.864,52.755,52.688,52.647,52.665,52.443,52.511,52.683,52.738,52.604,52.546,52.441,52.319
191,M,False,52.443,52.511,52.683,52.738,52.604,52.546,52.441,52.319,52.463,52.294,52.408,52.369,52.178,52.043,52.048
192,M,True,51.92,51.787,51.563,51.571,51.454,51.513,51.479,51.337,51.558,51.409,51.317,51.539,51.585,51.425,51.292
193,M,False,51.479,51.337,51.558,51.409,51.317,51.539,51.585,51.425,51.292,51.13,51.314,51.327,50.923,50.751,50.697
194,M,True,50.135,50.216,50.177,50.104,50.151,49.916,49.741,49.892,49.975,50.143,50.14,50.141,50.269,50.456,50.346
195,M,False,50.141,50.269,50.456,50.346,50.274,50.021,49.963,49.882,49.717,49.502,49.371,49.393,49.387,49.099,48.999
196,M,True,48.934,48.807,48.781,48.916,48.726,48.565,48.26,48.494,48.437,48.391,48.702,48.573,48.303,48.423,48.543
197,M,False,47.515,47.362,47.192,47.054,46.746,46.717,46.494,46.353,46.435,46.535,46.864,46.447,46.424,46.587,46.713
198,M,False,46.497,47.022,46.862,46.63,46.459,46.655,47.093,46.921,46.887,46.407,46.479,46.084,46.272,46.219,46.476
199,M,False,39.613,39.442,40.0,40.629,39.987,40.757,40.627,40.599,40.667,40.281,40.296,40.173,40.265,40.042,40.381
200,M,True,45.251,45.158,45.108,45.14,45.362,45.063,45.24,45.143,45.18,44.979,44.913,45.107,45.032,45.141,44.962
201,M,True,42.969,42.502,42.407,42.285,42.474,42.356,42.101,42.555,42.7,42.188,42.587,43.136,43.702,42.363,42.566
202,M,False,41.769,41.597,41.368,41.606,41.816,41.27,41.818,42.039,41.616,41.36,41.626,41.512,41.89,41.712,41.715
203,M,False,41.89,41.712,41.715,41.672,41.679,41.889,41.984,41.865,41.757,41.496,41.689,41.692,41.613,41.395,41.141
204,M,True,44.785,44.88,45.231,44.964,45.24,44.958,45.265,45.168,45.018,45.035,45.065,45.092,45.183,45.357,45.439
205,M,False,46.715,46.794,46.914,46.941,46.884,46.924,46.943,47.119,47.245,47.332,47.243,47.34,47.369,47.204,47.336
206,M,False,46.924,46.943,47.119,47.245,47.332,47.243,47.34,47.369,47.204,47.336,47.401,47.479,47.373,47.555,47.584
207,M,False,50.885,50.717,50.678,50.619,50.541,50.509,50.447,50.553,50.148,50.195,50.11,50.046,49.812,49.85,49.838
208,M,False,39.227,39.404,39.536,39.511,39.446,39.418,39.217,39.335,39.284,39.158,38.946,39.0,39.172,39.042,39.002
