,FLARE_TYPE,COINCIDENCE,MEANGAM_1,MEANGAM_2,MEANGAM_3,MEANGAM_4,MEANGAM_5,MEANGAM_6,MEANGAM_7,MEANGAM_8,MEANGAM_9,MEANGAM_10,MEANGAM_11,MEANGAM_12,MEANGAM_13,MEANGAM_14,MEANGAM_15
1387,B,False,26.272,26.477,27.104,26.841,26.854,27.098,27.543,27.748,28.002,27.513,27.742,27.781,27.846,28.004,27.172
1388,B,False,23.498,23.615,23.682,23.509,23.624,23.63,23.568,23.663,23.52,23.855,23.92,23.721,23.876,23.891,23.655
1389,B,False,28.468,29.1,28.739,28.938,28.659,29.283,28.924,29.677,28.858,28.843,28.971,28.994,28.948,28.794,28.911
1390,B,False,45.163,45.28,45.12,45.352,45.08,45.209,45.594,45.914,45.879,45.577,45.455,45.628,45.676,45.821,45.482
1391,B,False,29.385,28.952,29.103,29.191,28.77,28.673,28.61,28.875,28.929,29.432,29.618,29.689,29.991,30.172,30.024
1392,B,False,55.761,55.919,56.009,56.138,56.175,56.395,56.505,56.482,56.527,56.47,56.548,56.365,56.174,56.053,56.125
1393,B,False,40.228,40.285,40.085,39.57,39.577,39.322,39.348,38.976,38.877,38.469,38.27,37.521,36.96,36.399,36.34
1394,B,False,42.166,43.548,41.661,44.63,45.184,46.156,47.567,50.73,49.768,50.219,51.508,50.517,51.529,50.831,51.325
1395,B,False,35.404,35.92,36.852,37.156,37.619,37.479,36.952,37.639,37.487,37.123,37.356,39.106,38.612,38.574,39.428
1396,B,False,59.702,59.874,59.563,59.767,60.219,60.058,60.132,59.674,59.828,60.012,60.459,60.32,60.061,60.238,60.184
1397,B,False,37.156,37.619,37.479,36.952,37.639,37.487,37.123,37.356,39.106,38.612,38.574,39.428,39.191,40.15,40.649
1398,B,False,30.67,30.706,30.853,30.791,30.984,30.482,30.353,30.254,30.656,30.156,29.824,30.046,29.738,29.384,29.544
1399,B,False,34.544,34.142,34.244,34.259,34.833,34.359,34.958,34.703,34.767,34.609,34.441,34.764,34.368,34.965,34.822
1400,B,False,54.149,54.695,54.202,53.897,54.751,54.142,55.388,53.88,54.579,54.314,54.234,54.783,54.448,54.628,53.768
1401,B,False,38.788,38.234,37.006,36.992,37.366,36.441,37.815,38.155,37.479,36.039,37.291,37.807,38.323,38.13,38.829
1402,B,False,44.744,45.575,45.182,45.212,45.694,46.127,46.585,46.764,46.11,46.408,46.062,47.217,48.033,47.67,45.915
1403,B,False,47.291,47.589,48.274,48.216,48.109,48.42,48.057,47.87,47.873,48.116,47.984,48.406,48.533,48.537,48.431
1404,B,False,25.68,25.567,26.946,26.638,26.292,26.026,26.697,26.302,26.212,26.747,25.78,26.658,25.474,25.583,25.159
1405,B,False,29.927,29.637,29.274,29.034,29.133,28.949,28.995,29.388,28.697,29.059,28.843,29.119,28.574,29.01,29.173
1406,B,False,57.617,54.782,55.611,51.097,48.206,48.722,49.381,48.32,49.506,47.215,47.075,48.361,48.185,48.968,48.449
1407,B,False,43.61,43.709,42.651,42.072,42.569,41.664,40.895,40.495,40.62,39.358,39.593,39.602,38.923,38.567,38.739
1408,B,False,34.025,34.101,34.476,34.315,34.394,34.114,34.509,34.345,34.357,33.897,34.16,34.292,34.255,34.151,33.626
1409,B,False,44.674,44.891,45.253,44.793,44.656,44.86,45.079,44.947,44.965,44.304,44.456,44.233,44.072,44.482,44.229
1410,B,False,31.846,31.51,31.88,32.15,32.342,32.251,31.932,31.738,31.573,31.613,31.723,31.353,31.126,30.721,30.5
1411,B,False,31.592,31.084,31.423,31.413,32.269,32.282,32.295,33.318,32.99,32.754,32.44,33.077,33.052,32.441,33.301
1412,B,True,51.243,51.151,50.86,50.209,50.495,50.135,50.174,50.079,50.531,50.904,50.766,50.806,50.706,51.052,50.885
1413,B,False,52.127,52.631,52.625,52.626,52.583,52.791,52.6,52.411,52.962,52.98,52.986,53.369,52.834,53.321,53.485
1414,B,False,29.052,26.51,28.75,26.47,25.58,26.502,25.183,25.27,24.652,24.169,24.575,25.067,24.508,25.684,24.833
1415,B,True,26.796,27.456,26.982,27.09,27.676,27.042,28.149,27.878,27.947,27.213,27.189,26.315,26.537,26.961,26.729
1416,B,False,37.748,37.884,37.318,37.679,38.779,38.507,37.942,38.128,38.454,38.54,38.526,38.683,39.508,39.124,38.571
1417,B,False,32.055,32.246,32.164,32.14,32.219,32.06,31.909,32.024,32.415,31.879,31.578,31.17,31.023,30.75,30.571
1418,B,False,46.405,48.491,46.613,45.244,44.772,43.785,46.486,44.18,43.183,43.21,43.205,43.151,43.972,44.026,44.423
1419,B,True,31.349,32.011,32.198,32.371,32.201,32.752,32.818,33.321,33.203,33.57,33.212,32.79,32.816,33.294,32.758
1420,B,False,29.122,28.037,28.184,28.119,28.277,27.941,28.23,28.3,28.717,29.49,29.569,29.46,29.702,30.0,30.15
1421,B,False,55.21,55.457,54.895,54.815,54.994,54.703,54.518,54.477,54.508,54.698,54.661,55.366,55.331,55.722,55.84
1422,B,False,43.442,43.234,41.492,41.794,42.34,42.84,42.811,43.172,43.097,43.686,44.196,44.503,45.274,44.381,47.549
1423,B,False,41.035,41.209,41.125,40.512,40.393,40.518,40.508,39.942,40.368,39.901,40.308,39.923,40.317,40.086,39.756
1424,B,False,54.884,54.505,54.33,54.162,54.17,53.79,53.635,53.719,53.648,53.448,53.441,53.29,53.368,53.605,53.482
1425,B,False,28.447,27.951,27.692,27.987,27.924,28.008,27.859,27.791,28.096,27.837,28.214,27.804,27.542,27.473,27.397
1426,B,True,34.09,34.257,33.984,34.534,34.663,35.497,36.244,36.829,36.655,36.031,36.165,36.677,35.684,35.309,35.324
1427,B,False,50.636,52.155,53.035,53.608,53.27,54.223,53.307,52.663,53.322,53.107,52.449,53.305,53.582,53.368,53.861
1428,B,False,56.967,56.747,56.782,56.927,56.488,56.519,56.176,56.014,56.041,55.808,55.915,55.675,55.627,55.429,55.275
1429,B,False,33.42,34.191,34.054,33.404,33.313,32.295,31.95,32.411,32.108,31.609,31.304,31.782,31.855,31.469,31.27
1430,B,False,49.788,49.76,50.179,50.1,50.025,50.0,49.859,49.721,49.97,49.863,49.975,50.213,50.369,50.455,50.91
1431,B,False,29.92,30.229,30.582,30.854,30.399,31.073,31.39,31.308,31.999,31.909,32.5,31.991,32.792,32.697,31.833
1432,B,False,29.511,30.241,30.2,30.607,31.596,31.17,31.423,30.97,31.034,30.048,30.927,30.243,30.618,30.537,30.703
1433,B,True,30.109,30.314,30.622,30.411,30.438,30.898,30.812,30.659,30.223,30.493,30.203,29.748,29.848,30.316,30.399
1434,B,False,53.819,53.975,55.097,55.033,54.758,54.073,53.476,54.401,54.668,53.723,54.178,54.114,53.982,54.662,54.628
1435,B,False,27.83,27.38,27.551,27.265,27.043,26.716,26.297,26.621,26.562,26.319,25.843,25.95,25.798,25.925,25.933
1436,B,False,52.921,52.819,52.394,52.615,52.837,53.563,52.702,52.412,52.343,52.202,51.66,51.883,52.447,52.373,52.558
1437,B,False,55.102,54.41,54.218,54.946,53.124,53.942,51.771,52.646,52.76,51.052,50.877,50.548,50.817,49.246,58.32
1438,B,False,32.216,32.221,31.984,32.12,31.861,31.844,31.518,32.279,32.138,31.797,32.248,31.185,30.293,30.8,30.086
1439,B,False,46.542,47.228,48.362,49.104,48.502,48.828,49.876,48.885,49.726,50.388,49.454,50.216,49.957,49.525,48.541
