,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5,g_s_6,g_s_7,g_s_8,g_s_9,g_s_10,g_s_11,g_s_12,g_s_13,g_s_14,g_s_15
1948,N,False,70.519,67.777,78.594,57.101,55.602,52.993,60.939,54.767,44.297,52.425,58.086,57.752,45.583,0.0,0.0
1949,N,False,0.0,0.0,11.788,14.194,0.0,13.804,23.049,0.0,0.0,17.935,16.341,0.0,0.0,0.0,0.0
1950,N,False,91.606,86.493,90.48,118.55,189.73,190.9,173.75,181.32,175.11,160.85,158.06,156.32,149.16,151.43,152.21
1951,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1953,N,False,174.99,179.07,171.93,200.84,189.25,187.54,183.35,183.49,121.19,108.08,122.46,116.31,202.06,202.56,121.06
1954,N,False,56.466,0.0,0.0,0.0,0.0,0.0,0.0,51.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1961,N,False,58.738,53.374,53.601,65.276,68.697,69.538,69.719,66.671,69.499,71.442,68.457,68.457,68.819,67.412,61.445
1962,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,N,False,12600.0,13544.0,11197.0,12014.0,13115.0,12076.0,15389.0,15113.0,15631.0,15297.0,17609.0,15518.0,17149.0,16416.0,17007.0
1966,N,False,3983.4,3964.6,4456.6,4281.5,3304.8,3256.4,2681.7,3262.8,2615.6,2767.5,2772.4,2779.7,2760.7,2681.7,2695.7
1967,N,False,15985.0,17099.0,17287.0,18311.0,15164.0,15194.0,13880.0,15303.0,15313.0,16081.0,17301.0,18006.0,15472.0,16680.0,15670.0
1968,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,N,False,181.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.22,155.51,153.9,146.46
1974,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,N,False,361.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,N,False,0.0,106.03,101.23,0.0,0.0,0.0,0.0,122.94,124.09,0.0,0.0,0.0,0.0,0.0,0.0
1978,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,N,False,69.828,63.451,61.876,57.697,61.366,62.439,61.308,59.77,65.549,65.033,67.038,69.576,62.545,0.0,67.275
1980,N,False,569.21,511.29,535.22,562.49,536.2,507.38,528.19,494.85,514.23,562.33,557.12,474.02,544.28,489.43,496.26
1981,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,N,False,1069.2,1056.5,1029.5,1081.8,1035.3,1036.7,980.81,990.55,924.06,233.54,928.82,966.2,903.27,235.2,219.33
1985,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,N,False,220.18,217.54,287.97,305.71,338.96,357.15,242.08,270.84,239.21,139.6,134.85,172.44,157.06,126.64,128.18
1987,N,False,625.39,633.61,623.26,786.84,1054.6,1054.8,790.13,809.46,809.02,783.33,819.18,1108.0,1129.1,1085.9,1115.1
