,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10,MEANGBH_11,MEANGBH_12,MEANGBH_13,MEANGBH_14,MEANGBH_15
1887,N,False,61.346,61.149,61.533,60.423,60.532,60.811,60.919,61.401,61.39,62.099,63.423,65.427,66.802,67.532,66.942
1888,N,False,57.869,57.802,58.441,58.408,58.564,59.063,59.314,59.956,59.759,59.75,60.183,60.644,60.21,60.681,60.652
1889,N,False,57.803,57.835,58.019,58.344,57.952,58.371,58.361,58.25,58.319,58.498,57.949,58.016,58.194,57.903,57.5
1890,N,False,48.678,48.666,48.032,47.972,47.868,47.686,47.716,47.905,47.893,48.231,48.273,48.873,49.77,50.513,51.15
1891,N,False,72.863,73.536,72.958,72.78,75.182,77.055,76.467,77.91,77.088,76.67,79.393,78.44,77.512,80.889,79.192
1892,N,False,51.156,50.965,50.584,51.076,51.075,50.819,50.769,51.077,51.268,51.156,50.99,50.957,51.709,51.695,52.091
1893,N,False,51.156,50.965,50.584,51.076,51.075,50.819,50.769,51.077,51.268,51.156,50.99,50.957,51.709,51.695,52.091
1894,N,False,58.824,59.173,58.631,60.302,58.823,59.48,59.907,61.688,62.867,61.956,62.021,62.287,61.52,60.256,61.739
1895,N,False,58.824,59.173,58.631,60.302,58.823,59.48,59.907,61.688,62.867,61.956,62.021,62.287,61.52,60.256,61.739
1896,N,False,51.223,49.795,49.282,50.728,50.748,51.187,51.803,51.426,50.632,50.328,51.608,51.724,52.708,51.96,52.761
1897,N,False,53.794,53.656,53.632,53.708,53.734,53.966,53.791,54.362,54.486,53.988,53.709,53.727,53.703,53.501,53.437
1898,N,False,66.191,66.716,67.347,67.348,65.981,67.068,68.649,70.782,70.083,72.77,73.627,72.946,72.807,72.525,71.58
1899,N,False,55.065,55.275,55.285,55.532,55.606,56.088,56.282,56.844,57.157,57.697,58.02,57.785,58.139,57.892,57.621
1900,N,False,55.287,54.963,55.101,55.376,55.113,55.124,55.716,55.882,55.985,55.641,56.131,56.259,56.904,56.86,56.942
1901,N,False,80.908,79.575,77.431,76.226,79.905,78.71,79.375,79.492,76.487,74.469,76.477,74.591,70.364,69.656,68.055
1902,N,False,53.673,56.446,52.487,48.375,50.467,59.966,65.426,59.906,64.761,64.198,62.691,62.65,66.098,67.033,62.177
1903,N,False,78.713,80.272,84.11,86.953,86.185,86.342,83.945,94.306,92.328,95.879,97.636,95.948,97.19,96.442,99.407
1904,N,False,81.203,78.023,75.482,80.03,75.959,79.379,82.665,82.072,87.518,89.7,86.341,86.407,87.589,91.395,90.36
1905,N,False,58.012,58.218,59.006,59.079,59.48,59.4,59.419,59.528,59.573,59.273,59.017,58.867,58.584,58.354,57.922
1906,N,False,54.462,55.397,54.75,54.395,53.827,53.47,53.556,54.964,54.166,54.235,54.746,53.942,54.329,55.545,55.465
1907,N,False,56.336,56.155,55.98,55.929,55.276,54.885,54.351,53.771,53.223,52.961,52.402,51.848,51.517,51.16,50.878
1908,N,False,72.149,73.515,74.718,75.496,74.447,74.416,75.711,75.156,75.18,75.578,74.476,74.363,71.949,72.797,73.377
1909,N,False,34.379,34.748,34.802,34.88,34.95,35.951,36.087,35.925,35.954,35.786,35.734,35.682,35.37,34.173,33.942
1910,N,False,54.98,75.666,79.369,77.466,88.997,86.941,93.253,87.208,88.198,86.637,91.164,99.455,100.96,96.184,99.636
1911,N,False,59.648,57.175,57.715,56.478,57.078,55.561,53.863,54.224,53.721,53.086,53.866,53.404,52.604,53.028,51.988
1912,N,False,72.373,72.779,73.259,72.142,74.081,76.057,75.979,73.515,76.3,74.313,75.819,75.984,75.344,75.289,76.606
1913,N,False,50.066,49.791,48.208,47.912,48.063,49.476,49.586,48.644,47.935,49.315,49.789,48.126,49.455,50.523,51.466
1914,N,False,49.784,47.145,49.962,48.87,50.851,51.998,55.516,56.976,60.825,57.562,54.662,59.111,63.7,57.555,56.754
1915,N,False,43.038,42.597,41.214,43.011,41.703,42.838,42.714,42.692,39.53,41.42,41.364,41.223,41.179,40.531,39.419
1916,N,False,37.857,38.421,39.53,39.024,40.269,39.928,40.891,40.289,41.452,40.821,39.517,40.832,41.803,42.924,44.769
1917,N,False,66.566,68.023,69.054,68.735,69.735,69.24,68.902,68.688,68.145,67.94,67.347,67.026,65.8,65.009,63.771
1918,N,False,54.402,54.339,55.521,55.914,56.306,55.119,56.106,56.09,55.946,56.463,56.682,58.188,59.93,60.239,60.185
1919,N,False,81.716,82.459,84.008,81.51,83.124,80.487,79.628,79.228,78.122,80.676,80.392,76.282,77.684,75.865,76.846
1920,N,False,62.059,62.295,61.034,62.176,62.466,63.377,63.115,64.179,64.061,64.897,67.658,65.009,67.135,66.439,66.772
1921,N,False,53.671,53.802,52.856,53.021,53.389,52.945,51.505,52.312,51.949,51.738,50.843,51.021,49.071,49.997,50.912
1922,N,False,89.676,93.22,92.124,96.191,101.09,95.377,101.22,102.35,97.341,96.562,99.495,101.27,92.606,96.077,97.579
1923,N,False,58.111,55.199,55.641,53.571,52.595,52.631,52.557,55.558,55.175,54.896,56.305,57.068,54.537,52.843,53.258
1924,N,False,44.008,43.934,42.995,43.026,43.314,42.567,43.538,42.783,43.718,42.24,42.259,42.037,42.383,40.308,41.488
1925,N,False,75.038,75.156,74.548,74.932,74.635,73.872,72.531,72.283,72.536,72.452,71.187,70.094,69.669,68.818,68.644
1926,N,False,50.144,49.98,49.714,49.39,49.438,49.279,49.352,49.07,48.904,48.24,48.058,48.38,48.494,48.728,49.0
1927,N,False,50.144,49.98,49.714,49.39,49.438,49.279,49.352,49.07,48.904,48.24,48.058,48.38,48.494,48.728,49.0
1928,N,False,92.141,90.185,93.969,96.655,96.053,97.246,97.636,99.594,99.921,98.075,95.17,92.947,92.785,95.602,92.562
1929,N,False,53.927,55.205,54.694,54.037,56.434,58.698,58.362,58.82,57.039,57.57,59.35,61.157,61.196,62.438,61.666
1930,N,False,52.725,52.235,52.509,51.837,52.103,51.929,51.322,51.411,50.87,51.117,51.148,51.404,51.052,50.898,51.233
1931,N,False,80.295,80.043,79.441,77.626,77.958,78.334,77.12,75.773,75.9,74.998,75.155,74.074,74.65,73.813,73.389
1932,N,False,72.542,72.791,73.664,74.214,73.484,73.713,73.536,74.632,74.332,75.352,75.101,75.87,74.772,75.878,76.36
1933,N,False,70.727,71.121,71.736,72.131,73.505,73.411,75.116,75.138,75.279,77.414,76.492,76.918,76.116,75.773,76.87
1934,N,False,63.166,63.03,63.177,64.074,63.919,64.171,64.35,64.637,65.384,66.052,66.46,66.643,66.384,67.235,67.397
