,FLARE_TYPE,COINCIDENCE,d_l_f_1,d_l_f_2,d_l_f_3,d_l_f_4,d_l_f_5,d_l_f_6,d_l_f_7,d_l_f_8,d_l_f_9,d_l_f_10,d_l_f_11,d_l_f_12,d_l_f_13,d_l_f_14,d_l_f_15
45,M,True,204.58,206.6,205.69,206.23,205.49,205.34,204.75,205.11,206.06,207.13,208.36,207.6,207.62,208.46,207.37
46,M,True,197.27,197.82,199.16,200.5,200.06,200.71,200.58,199.2,199.03,199.43,200.91,200.58,200.72,200.37,200.7
47,M,False,206.27,205.78,207.38,207.55,207.25,208.17,207.07,204.86,204.33,205.01,204.61,204.07,204.81,205.61,206.17
48,M,False,204.07,205.18,207.01,207.39,208.76,206.2,206.55,205.51,206.45,206.08,206.8,206.47,210.77,211.78,209.68
49,M,False,225.76,226.22,224.04,224.92,226.53,229.82,231.18,230.69,228.47,229.13,231.57,234.02,235.52,236.82,238.24
50,M,False,210.22,130.55,127.88,210.25,210.15,210.96,210.53,210.24,127.53,210.56,210.81,211.83,211.94,211.93,212.48
51,M,True,185.32,186.77,187.48,187.18,188.06,187.43,185.94,185.92,185.58,183.88,183.98,184.35,183.74,182.99,183.32
52,M,True,197.25,201.65,201.05,202.98,205.6,203.77,208.31,204.07,204.61,199.22,190.26,184.5,176.0,173.26,167.76
53,M,False,185.55,184.62,184.52,186.05,185.39,185.97,185.11,185.94,185.41,185.17,187.54,187.62,187.37,186.28,187.0
54,M,False,185.11,185.94,185.41,185.17,187.54,187.62,187.37,186.28,187.0,188.49,188.21,186.66,186.33,186.21,184.94
55,M,False,264.46,262.7,261.85,261.75,261.15,261.64,263.25,261.57,262.23,261.4,261.12,261.53,263.08,262.12,261.94
56,M,False,192.84,193.34,192.98,192.43,193.55,193.63,192.35,193.43,193.38,193.9,193.1,195.13,194.53,194.31,194.28
57,M,True,203.3,207.4,212.06,213.07,216.62,220.01,224.44,219.74,226.82,231.41,235.67,231.22,232.26,208.48,215.61
58,M,False,211.96,219.33,216.65,226.55,219.41,224.32,226.23,237.13,230.72,236.5,229.89,221.9,220.81,217.91,214.88
59,M,False,179.79,176.54,173.97,161.67,157.93,161.35,168.81,175.42,160.15,154.94,151.64,147.09,148.11,150.07,153.5
60,M,False,129.73,289.92,243.12,186.48,113.52,180.46,526.23,522.36,519.75,513.85,450.06,514.18,521.04,515.01,513.82
61,M,False,519.75,513.85,450.06,514.18,521.04,515.01,513.82,511.43,510.15,503.47,500.05,499.26,500.06,493.28,473.35
62,M,True,212.23,211.56,211.6,212.06,212.45,215.14,214.77,219.09,217.54,218.2,221.08,220.55,219.7,221.34,221.07
63,M,False,221.34,221.07,221.17,219.56,217.99,216.51,215.91,215.83,216.99,215.52,217.43,219.5,219.84,219.59,219.59
64,M,True,80.205,56.25,55.677,53.763,56.304,56.615,55.702,55.696,56.365,56.202,56.346,52.07,57.971,57.244,58.139
65,M,False,58.525,53.642,56.634,53.718,54.727,54.398,52.737,52.618,53.659,53.735,55.959,56.708,52.27,52.872,51.985
66,M,False,326.43,322.56,337.86,318.27,244.75,243.83,230.31,208.18,166.2,337.04,347.58,257.71,321.95,361.82,361.71
67,M,False,231.27,367.58,389.98,298.88,247.18,308.71,308.61,278.54,295.66,250.33,226.62,256.43,227.17,200.82,204.69
68,M,False,284.43,283.64,287.67,294.49,289.52,300.61,297.61,297.27,297.9,297.14,299.63,294.65,289.5,288.39,291.54
69,M,False,240.56,240.55,237.03,237.11,235.08,233.31,234.02,232.09,232.8,228.1,228.6,229.22,230.93,231.37,232.54
70,M,True,231.34,221.65,211.95,159.7,172.13,173.12,166.3,240.03,268.13,272.63,275.3,281.41,253.65,253.16,243.86
71,M,False,343.48,358.18,371.87,380.63,403.79,415.75,406.63,428.13,427.53,412.74,416.82,414.71,398.23,410.62,392.19
72,M,True,328.46,326.46,320.99,314.95,333.96,338.77,343.77,371.21,377.97,369.12,377.64,385.69,377.67,404.76,395.01
73,M,False,525.68,539.06,538.83,536.01,540.8,540.74,544.19,547.78,550.6,546.69,563.16,562.63,564.42,567.32,568.18
74,M,False,492.88,492.3,496.28,499.11,498.46,507.41,504.84,502.07,494.21,497.32,498.78,502.65,498.44,506.13,508.68
75,M,False,224.42,226.28,232.35,224.19,241.17,237.21,247.3,239.16,248.24,256.54,232.41,243.05,263.29,259.4,264.15
76,M,False,176.06,171.87,174.54,176.18,174.71,172.4,173.11,171.29,171.67,171.32,169.9,171.31,168.25,167.9,166.18
77,M,False,132.58,133.96,134.51,133.68,134.23,134.63,134.76,135.55,134.57,134.95,134.97,135.41,133.29,134.76,135.08
78,M,True,105.1,106.25,107.81,107.75,109.81,111.67,114.14,111.39,112.01,109.15,108.62,107.81,108.73,107.84,107.73
79,M,True,143.59,143.76,144.53,144.66,145.84,146.35,144.56,146.71,146.58,145.35,146.47,147.08,148.18,147.39,146.93
80,M,False,175.64,175.61,175.84,176.44,176.92,176.62,177.26,177.38,177.8,177.97,178.47,179.1,179.06,179.57,179.57
81,M,True,162.8,163.47,163.96,163.42,163.12,162.61,162.43,163.15,163.59,164.52,164.48,163.45,164.01,165.51,166.36
82,M,False,183.19,182.64,183.72,183.57,183.29,183.13,183.39,182.95,182.26,182.71,182.76,182.08,181.76,181.77,182.91
83,M,True,262.69,262.23,264.17,265.85,265.5,266.66,266.75,266.18,265.67,264.93,264.68,263.87,264.77,266.53,267.09
84,M,False,277.28,277.91,278.18,278.39,277.87,279.41,279.95,279.95,280.86,282.34,282.33,281.67,281.07,281.28,285.45
85,M,True,269.51,266.73,265.14,267.76,272.84,268.36,263.14,270.08,278.85,276.07,273.41,274.25,270.54,269.4,270.66
86,M,False,231.37,231.88,232.72,232.65,233.38,233.63,233.27,234.75,235.03,234.84,235.44,237.0,237.0,237.0,237.0
87,M,False,237.8,237.8,237.8,237.8,238.6,238.6,238.6,238.6,238.6,239.4,239.4,239.4,239.4,240.0,240.0
88,M,True,130.27,132.38,130.88,129.39,129.98,131.81,131.23,132.26,136.36,137.7,135.99,136.74,136.33,133.97,140.21
89,M,True,46.9,46.736,46.882,51.675,53.934,47.251,52.333,47.231,47.656,54.853,47.917,48.437,54.629,48.817,48.074
90,M,False,72.55,71.468,78.47,82.991,77.555,75.011,70.275,74.789,80.759,78.365,72.655,74.628,65.556,67.76,63.311
91,M,True,80.528,79.261,87.353,94.337,95.701,99.459,92.019,82.446,85.274,84.054,75.777,76.414,76.987,79.669,80.071
92,M,False,89.89,93.848,93.672,96.342,93.947,91.274,90.711,94.601,95.985,94.477,97.118,94.977,90.734,91.436,91.108
93,M,False,231.89,228.39,227.36,228.67,230.4,231.36,229.28,229.53,228.76,228.34,231.29,229.83,228.96,228.73,229.8
94,M,True,163.33,162.85,161.52,160.41,161.96,157.43,155.17,159.14,156.74,159.62,162.76,158.99,159.95,161.5,164.11
95,M,True,186.26,187.58,188.98,186.71,184.83,185.31,186.74,187.56,188.69,191.32,189.96,186.23,186.78,184.95,181.35
96,M,True,289.81,292.43,310.48,299.86,310.4,295.66,313.4,302.7,288.96,304.6,293.25,302.23,312.08,294.11,287.5
97,M,False,265.07,265.14,263.42,263.71,264.26,266.38,265.08,266.14,267.02,265.75,264.19,263.96,262.98,262.9,264.39
98,M,False,161.48,162.92,163.0,166.49,171.75,170.37,171.32,170.9,176.38,174.49,178.0,175.2,178.5,177.76,178.25
99,M,True,266.29,266.35,265.36,265.62,265.2,265.92,267.16,268.27,268.48,268.07,266.98,266.3,266.53,266.25,266.97
100,M,False,265.62,265.2,265.92,267.16,268.27,268.48,268.07,266.98,266.3,266.53,266.25,266.97,267.61,268.62,268.49
101,M,False,268.07,266.98,266.3,266.53,266.25,266.97,267.61,268.62,268.49,268.65,267.7,267.31,267.16,267.74,268.69
102,M,False,267.61,268.62,268.49,268.65,267.7,267.31,267.16,267.74,268.69,268.26,269.16,270.68,270.64,270.95,271.51
103,M,False,271.23,270.52,270.71,271.34,272.32,272.56,272.77,272.94,272.64,271.47,271.55,271.76,271.41,271.24,270.36
104,M,True,264.74,264.68,263.7,262.67,261.66,262.05,262.3,260.8,261.17,260.74,260.82,261.4,260.77,259.84,259.42
105,M,False,0.0,0.0,0.0,0.0,42.202,0.0,0.0,0.0,0.0,0.0,0.0,27.523,29.026,85.257,82.712
106,M,False,261.62,260.31,261.07,262.28,262.81,262.95,264.89,264.26,263.2,263.81,264.07,262.67,263.23,262.63,263.48
107,M,False,294.62,294.99,292.28,292.98,294.77,294.7,294.86,295.77,293.42,292.38,291.0,292.49,292.72,291.37,290.9
108,M,True,106.41,123.7,125.42,127.39,114.58,114.4,128.84,130.16,130.95,131.55,107.8,103.72,132.55,133.12,133.41
109,M,True,46.315,58.479,76.578,62.015,70.198,60.434,66.308,60.559,67.903,43.151,64.249,61.55,56.193,57.075,55.545
110,M,False,72.45,69.157,71.449,68.143,69.969,68.178,64.157,65.192,66.906,68.272,68.625,69.429,69.247,68.625,72.974
111,M,False,194.93,192.82,192.18,192.72,193.87,194.79,193.97,193.94,195.83,194.18,193.93,197.44,196.35,194.8,194.66
112,M,False,499.9,499.13,503.19,515.5,509.32,509.79,519.99,506.2,496.7,488.62,489.48,502.92,518.42,528.5,527.91
113,M,False,468.31,468.59,478.23,460.39,457.47,479.63,480.4,497.55,500.66,466.01,457.97,487.95,469.2,486.62,487.24
114,M,True,227.17,234.65,242.69,245.89,254.78,260.86,256.79,274.86,280.24,277.56,259.63,264.41,279.63,297.15,287.51
115,M,True,312.78,280.35,333.42,297.67,274.54,269.7,313.14,314.66,323.5,321.05,316.62,309.17,355.93,287.11,299.57
116,M,True,333.82,312.09,288.05,284.66,349.1,291.65,267.97,278.98,283.29,323.5,311.85,318.46,271.9,341.77,282.53
117,M,True,262.31,260.66,259.84,256.89,260.18,252.67,255.76,257.45,258.08,254.78,255.16,250.91,251.97,258.31,255.59
118,M,True,254.29,248.08,249.14,256.59,258.01,253.23,258.21,253.88,252.94,255.64,258.93,259.97,260.27,265.76,267.81
119,M,True,268.1,265.47,270.52,269.68,271.81,270.45,269.93,270.64,270.32,268.61,267.58,269.81,267.94,267.31,267.7
120,M,False,283.19,281.91,283.38,284.26,286.76,287.27,282.5,287.6,282.97,287.48,285.66,286.16,282.81,282.76,285.33
121,M,False,286.62,286.14,284.27,282.77,285.21,288.38,288.15,290.44,288.99,286.01,286.01,286.33,287.01,283.27,283.64
122,M,False,285.64,285.88,284.81,286.61,287.16,287.18,291.01,290.0,285.54,293.35,286.69,285.21,283.16,283.33,286.21
123,M,False,340.93,340.6,342.11,341.07,343.44,343.41,343.15,346.65,349.31,347.73,347.88,346.01,347.52,345.65,346.01
124,M,True,728.57,714.26,707.85,685.32,690.42,663.3,688.44,694.97,682.89,655.36,658.26,654.9,682.98,672.99,633.46
125,M,False,112.8,107.19,132.8,135.18,131.12,125.13,132.96,98.056,111.16,119.68,111.76,101.08,91.243,102.07,101.49
126,M,False,587.33,570.8,577.55,566.09,557.65,550.26,549.61,543.96,536.51,515.66,517.28,496.24,509.51,465.41,425.49
127,M,True,70.091,69.245,68.486,70.129,64.655,65.251,65.276,65.442,65.156,65.183,70.439,71.101,65.969,67.412,67.441
128,M,False,79.467,79.355,76.727,72.963,81.607,79.409,80.173,83.213,83.176,81.674,82.662,84.204,83.733,82.822,83.217
129,M,True,609.27,604.67,598.71,604.83,613.88,594.62,579.01,611.93,612.36,592.11,621.8,590.39,523.74,540.94,559.06
130,M,False,684.68,691.56,689.56,531.23,521.17,708.93,482.79,523.7,534.47,531.11,535.15,528.4,541.94,496.93,517.89
131,M,False,477.32,519.73,475.16,600.64,622.82,632.45,499.82,629.07,594.47,514.0,561.35,526.08,543.71,544.05,565.37
132,M,True,556.89,558.93,557.42,559.51,560.8,562.87,563.18,562.3,562.44,564.47,562.4,560.2,556.67,559.3,559.7
133,M,False,559.62,561.48,560.48,560.18,559.86,560.06,558.46,558.88,558.73,557.87,558.77,559.66,560.0,559.84,560.22
134,M,False,226.29,299.67,297.62,294.96,303.57,294.84,293.12,292.18,291.89,293.29,295.55,282.82,284.7,214.66,279.08
135,M,False,294.64,294.34,294.06,294.08,296.01,296.38,292.27,291.82,295.83,299.3,299.02,301.97,304.39,304.05,300.21
136,M,False,525.98,525.9,526.72,526.27,526.08,526.91,526.94,526.35,527.85,528.47,529.16,529.49,528.05,528.38,528.26
137,M,False,318.53,318.85,317.8,318.37,319.39,319.6,319.94,320.35,320.97,321.12,322.44,322.99,325.0,316.54,318.86
138,M,True,98.248,104.47,103.44,104.97,103.84,108.71,104.69,105.8,105.41,103.26,104.27,102.72,106.8,107.42,109.61
139,M,True,281.01,280.53,276.42,280.65,278.75,277.21,284.14,274.03,270.37,246.49,270.94,269.52,264.41,278.74,277.14
140,M,False,280.53,276.42,280.65,278.75,277.21,284.14,274.03,270.37,246.49,270.94,269.52,264.41,278.74,277.14,277.14
141,M,False,283.62,279.94,280.06,268.16,273.43,308.15,314.51,272.35,267.29,269.83,267.94,266.3,262.95,329.35,263.61
142,M,True,267.94,266.3,262.95,329.35,263.61,258.85,250.65,247.73,239.83,237.72,238.56,232.74,240.94,239.89,238.1
143,M,False,250.65,247.73,239.83,237.72,238.56,232.74,240.94,239.89,238.1,238.14,238.39,236.0,233.84,239.19,241.59
144,M,False,233.84,239.19,241.59,236.13,234.52,231.11,224.24,228.4,238.24,227.14,235.94,228.49,231.9,232.75,233.17
145,M,False,248.05,245.79,240.65,245.79,245.84,244.27,247.25,240.83,242.29,243.29,238.43,248.64,242.54,235.4,237.49
146,M,False,222.65,212.07,207.21,204.63,206.37,210.38,204.43,212.16,214.23,209.19,207.59,211.1,213.37,209.8,204.85
147,M,False,198.25,199.99,195.21,193.8,194.32,199.65,203.94,201.7,167.05,214.25,216.8,214.24,207.49,206.45,205.09
148,M,False,317.27,317.41,314.6,312.42,312.16,314.31,311.95,310.58,306.36,308.04,300.84,294.56,296.57,295.75,296.06
149,M,False,314.48,312.35,311.03,309.76,309.32,310.48,312.31,311.36,311.94,310.09,308.37,305.78,306.84,307.83,310.19
150,M,False,291.51,292.97,294.02,293.05,292.04,289.14,289.08,289.54,290.16,289.02,287.29,289.34,289.08,291.94,292.78
151,M,True,182.74,185.42,188.37,190.68,190.23,190.38,195.1,196.95,196.94,202.21,203.05,211.04,205.63,201.7,207.92
152,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,M,False,398.09,401.76,400.8,402.11,407.76,408.4,408.01,410.39,409.71,407.86,404.26,407.28,408.14,411.83,411.79
154,M,True,65.3,69.146,41.75,21.835,23.672,13.539,17.187,40.251,34.225,46.848,47.544,58.744,58.482,63.551,54.285
155,M,False,85.801,197.5,186.55,193.45,192.35,192.21,89.407,89.574,87.491,86.4,192.91,192.25,192.16,190.7,190.98
156,M,True,355.68,353.97,356.29,354.87,350.92,338.74,355.3,342.69,357.73,360.21,359.94,359.89,358.15,352.43,362.8
157,M,True,344.23,338.13,339.08,342.83,331.77,330.74,330.58,313.83,337.71,337.59,335.89,343.77,347.9,340.87,341.27
158,M,False,337.71,337.59,335.89,343.77,347.9,340.87,341.27,340.16,340.68,340.29,335.92,338.27,335.99,314.46,316.2
159,M,False,316.33,312.26,316.64,314.57,314.25,312.12,315.19,313.37,314.28,312.88,311.98,311.86,310.86,309.6,301.53
160,M,False,310.65,307.86,310.29,312.38,305.94,305.82,303.97,305.44,304.82,301.93,302.72,303.82,303.11,305.28,304.54
161,M,False,120.93,111.06,107.87,76.663,79.473,80.75,92.772,80.865,81.491,76.698,83.367,79.555,323.33,288.11,71.355
162,M,False,555.78,565.36,570.24,567.31,558.19,569.79,564.5,553.97,555.68,566.89,577.59,570.21,572.24,577.46,577.18
163,M,True,13.737,32.798,15.024,16.271,10.071,6.7019,8.8433,10.648,28.015,8.586,176.73,0.0,28.127,36.539,45.266
164,M,False,0.0,0.0,0.0,0.0,0.0,135.92,0.0,12.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,M,False,209.85,210.46,211.38,211.02,212.44,213.17,212.69,213.71,213.39,212.91,214.62,215.85,215.3,216.73,217.94
167,M,True,905.32,528.75,75.538,645.18,76.531,75.425,313.13,66.328,62.801,66.462,69.346,72.682,138.22,72.479,67.227
168,M,False,102.61,99.284,99.708,96.13,97.898,97.0,99.922,100.77,101.72,100.86,96.482,102.98,98.715,100.46,102.08
169,M,True,308.86,314.88,310.13,322.4,327.33,315.66,315.44,323.52,316.42,317.12,321.25,328.44,336.95,337.84,348.61
170,M,False,440.34,439.3,438.66,436.12,436.94,437.01,441.14,443.01,445.46,443.96,443.46,442.92,441.52,442.05,445.52
171,M,True,365.53,367.48,378.01,380.15,379.31,378.26,388.37,392.63,396.55,401.82,395.05,402.24,415.64,414.26,414.97
172,M,False,503.42,506.38,509.55,510.72,510.59,508.01,516.01,517.12,523.23,535.29,542.39,551.62,557.19,570.6,585.44
173,M,True,223.61,222.38,219.23,219.62,221.26,221.65,221.31,221.97,220.29,219.18,220.55,220.08,214.95,215.17,211.92
174,M,False,211.34,212.11,211.91,211.63,210.74,210.66,210.81,208.73,208.33,209.93,210.62,212.25,211.3,209.67,208.18
175,M,False,207.76,210.1,210.1,207.89,207.26,209.03,209.61,209.16,209.09,207.82,207.51,208.91,209.26,209.19,209.42
176,M,True,265.19,265.92,264.66,263.55,264.54,265.37,265.08,265.73,266.76,266.15,267.65,267.64,267.86,267.88,269.12
177,M,True,268.28,263.26,262.69,263.8,264.08,262.87,261.71,259.74,258.33,257.73,259.26,260.25,260.79,261.5,262.43
178,M,True,260.79,261.5,262.43,261.98,263.44,262.58,262.0,263.56,263.64,262.7,262.22,263.58,263.17,263.46,263.95
179,M,True,263.17,263.46,263.95,264.82,264.99,265.62,263.27,264.71,265.67,267.4,267.96,268.83,270.8,270.13,270.66
180,M,True,260.87,261.61,262.81,263.46,262.28,265.02,265.02,264.3,263.44,263.17,263.7,263.0,264.12,263.55,265.4
181,M,False,263.17,263.7,263.0,264.12,263.55,265.4,265.82,264.16,265.19,264.8,264.4,265.77,263.71,264.49,264.96
182,M,False,265.82,264.16,265.19,264.8,264.4,265.77,263.71,264.49,264.96,264.41,265.29,253.5,264.59,264.7,254.8
183,M,True,264.96,264.41,265.29,253.5,264.59,264.7,254.8,267.36,266.04,264.79,252.26,251.7,253.91,249.28,247.78
184,M,True,264.59,264.7,254.8,267.36,266.04,264.79,252.26,251.7,253.91,249.28,247.78,247.67,247.27,250.95,249.44
185,M,False,249.57,249.07,249.87,252.08,250.68,251.34,250.26,250.68,253.73,253.81,252.54,250.94,250.82,249.76,249.57
186,M,False,159.77,180.03,31.016,173.91,169.7,189.72,215.98,220.06,214.41,0.0,0.0,59.0,54.566,20.025,229.66
187,M,True,247.38,250.23,251.66,251.37,250.46,248.79,250.13,251.15,249.62,250.18,251.41,251.91,250.63,250.33,250.95
188,M,False,250.46,248.79,250.13,251.15,249.62,250.18,251.41,251.91,250.63,250.33,250.95,250.9,251.25,249.77,251.68
189,M,False,251.91,250.63,250.33,250.95,250.9,251.25,249.77,251.68,251.5,253.7,255.0,254.85,252.24,252.24,250.57
190,M,True,245.6,244.85,243.53,241.28,240.71,240.57,239.9,242.76,244.4,245.72,247.24,245.65,246.19,247.17,247.98
191,M,False,242.76,244.4,245.72,247.24,245.65,246.19,247.17,247.98,247.27,248.52,248.1,250.47,249.72,250.57,249.9
192,M,True,257.74,257.01,256.69,259.28,260.77,258.8,260.47,261.94,260.87,261.27,261.92,259.4,260.44,259.46,259.58
193,M,False,260.47,261.94,260.87,261.27,261.92,259.4,260.44,259.46,259.58,261.26,264.33,264.85,265.64,269.49,270.05
194,M,True,272.26,273.0,273.54,273.36,272.79,272.19,272.88,273.09,272.56,272.31,273.33,274.03,273.6,276.05,276.07
195,M,False,274.03,273.6,276.05,276.07,274.43,276.46,276.35,277.51,276.19,275.21,273.9,274.26,273.83,274.46,274.48
196,M,True,275.92,277.67,275.16,276.57,279.96,278.23,279.53,277.76,280.66,278.92,278.87,277.72,277.0,277.26,276.27
197,M,False,278.52,279.4,279.85,281.97,283.54,284.89,286.74,287.79,290.42,290.89,292.95,294.98,295.3,296.66,295.76
198,M,False,304.5,304.6,303.69,302.46,302.84,303.14,303.43,304.29,308.95,306.09,305.8,305.99,303.29,303.18,304.36
199,M,False,234.5,231.79,230.7,218.14,209.58,228.49,234.56,229.09,432.27,588.81,566.85,563.35,550.6,568.3,564.27
200,M,True,306.49,305.54,306.24,305.35,303.41,303.48,302.7,303.46,304.41,304.03,303.99,302.78,303.26,300.7,300.09
201,M,True,322.54,324.4,323.89,324.63,326.58,327.12,327.14,328.33,327.13,328.35,329.48,330.65,330.52,328.23,327.95
202,M,False,329.84,330.06,331.72,328.94,332.05,333.19,336.52,336.45,336.58,336.22,335.66,336.24,337.71,336.2,338.02
203,M,False,337.71,336.2,338.02,336.47,340.48,339.86,336.11,336.3,338.43,338.99,337.69,336.95,337.04,337.32,336.85
204,M,True,347.76,352.12,351.87,349.39,345.31,345.24,345.2,349.32,349.14,351.16,348.89,350.45,349.65,349.54,348.22
205,M,False,344.41,344.52,340.85,340.99,342.76,345.05,348.21,346.46,343.75,342.07,341.34,337.97,337.28,339.61,340.8
206,M,False,345.05,348.21,346.46,343.75,342.07,341.34,337.97,337.28,339.61,340.8,342.69,344.38,343.53,336.76,339.62
