,FLARE_TYPE,COINCIDENCE,MEANJZD_1,MEANJZD_2,MEANJZD_3,MEANJZD_4,MEANJZD_5,MEANJZD_6,MEANJZD_7,MEANJZD_8,MEANJZD_9,MEANJZD_10,MEANJZD_11,MEANJZD_12,MEANJZD_13,MEANJZD_14,MEANJZD_15
28,X,True,0.12352,0.15816,0.26462,0.16581,0.20941,0.20576,0.20364,0.24125,0.18536,0.1455,0.16988,0.17292,0.16011,0.18455,0.13135
29,X,False,0.24106,0.1152,-0.24006,-0.51174,-0.51778,-0.41688,0.041553,0.14283,0.1469,0.11129,0.12044,0.12179,0.22265,0.20329,0.52706
30,X,True,0.10294,0.023538,-0.00097538,-0.04241,0.061468,0.0066911,0.089318,0.088612,0.089011,0.063438,0.054014,0.060363,0.029878,0.071824,0.12661
31,X,True,0.12661,0.11535,0.038478,0.073222,-0.0043441,0.029507,0.022344,0.017627,0.014844,0.019501,-0.0014334,0.018429,0.017155,0.04614,-0.044282
32,X,False,-0.33315,-0.19588,-0.32639,-0.24664,-0.19869,-0.26336,-0.22508,-0.23069,-0.18493,-0.21537,-0.2975,-0.28713,-0.46453,-0.32756,-0.38918
33,X,False,-0.2529,-0.29507,-0.406,-0.42005,-0.35676,-0.18942,-0.21776,-0.33786,-0.077164,-0.19525,-0.18083,-0.25889,-0.2239,-0.23645,-0.13441
34,M,False,-0.13928,-0.12102,-0.20535,-0.09096,-0.16092,-0.15269,-0.107,-0.12717,-0.085642,-0.21272,-0.11218,-0.15,-0.13291,-0.40174,-0.22082
35,M,False,-0.36592,-0.74456,-0.83645,-0.61915,-0.503,-0.64891,-0.59689,-0.51658,-0.37667,-0.44262,-0.16737,-0.46,-0.20058,-0.52103,-0.29548
36,M,False,-0.21485,-0.11105,-0.14628,-0.1472,-0.12457,-0.14593,-0.082339,-0.085854,-0.080621,-0.10075,-0.15362,-0.20234,-0.13446,-0.1388,-0.17088
37,M,True,0.35191,0.73354,0.0077968,0.68104,0.81349,0.69114,0.66685,0.73087,0.74849,0.68383,0.85334,0.6943,0.84815,0.8185,0.72497
38,M,False,0.21497,0.11834,0.04523,0.13078,0.078544,0.13891,0.18277,0.13696,0.11729,0.082682,0.090673,0.14005,0.14251,0.16017,0.1498
39,M,False,-0.30999,-0.3372,-0.30464,-0.31557,-0.22995,-0.31251,-0.28622,-0.27635,-0.30454,-0.14937,-0.19584,-0.31045,-0.27307,-0.2624,-0.31414
40,M,False,-0.35787,-0.19513,-0.32859,-0.26615,-0.19823,-0.096122,-0.19112,-0.20662,-0.2099,-0.2015,-0.23632,-0.14937,-0.24081,-0.26462,-0.21379
41,M,True,0.22749,0.25255,0.29752,0.11,0.079731,0.12627,-0.01505,0.16439,-0.024663,-0.058774,0.0028471,0.021394,0.20586,0.089317,0.089277
42,M,True,0.013596,0.078197,0.022146,-0.0017799,0.053234,0.013152,0.021643,0.025872,0.061696,0.051499,0.058758,0.013052,0.028688,-0.010335,0.089889
43,M,False,-0.27733,-0.23795,-0.22426,-0.20306,-0.24586,-0.25837,-0.21355,-0.26596,-0.31586,-0.21149,-0.24545,-0.32712,-0.39479,-0.32789,-0.25706
44,M,False,0.20009,0.19108,0.17003,0.18543,0.14537,0.15002,0.14139,0.16681,0.13634,0.21042,0.18322,0.22715,0.1999,0.191,0.1737
45,M,True,-0.090532,-0.10605,-0.10652,-0.092416,-0.027129,-0.040506,-0.092549,-0.054265,-0.10278,-0.089544,-0.078998,-0.094254,-0.088385,-0.046504,-0.023156
46,M,True,0.44324,0.34465,0.39161,0.34702,0.41112,0.42076,0.24296,0.29408,0.43627,0.31869,0.3705,0.43979,0.35017,0.39573,0.44614
47,M,False,-0.018995,0.005152,-0.028279,-0.070775,-0.05068,-0.033057,-0.074287,-0.062213,-0.046059,-0.063992,0.025182,0.02165,-0.051569,-0.038352,-0.12827
48,M,False,0.36929,0.42551,0.37371,0.29728,0.40748,0.43573,0.52179,0.39512,0.5142,0.40848,0.29788,0.40625,0.35585,0.35776,0.36541
49,M,False,0.49185,0.43945,0.38964,0.29875,0.36101,0.25779,0.30104,0.36191,0.28313,0.18453,0.27828,0.15488,0.17239,0.12875,0.068349
50,M,False,-0.15971,-0.17853,-0.16718,-0.17831,-0.24411,-0.21877,-0.19493,-0.18743,-0.15389,-0.091297,-0.1866,-0.13429,-0.14208,-0.18371,-0.19072
51,M,True,-0.035897,-0.040305,-0.01738,-0.020016,0.028326,0.021244,0.045621,0.03148,0.025018,0.053054,0.028834,0.056667,0.073082,0.03788,0.082957
52,M,True,-0.19164,-0.17553,-0.13665,-0.15652,-0.22605,-0.16495,-0.14005,-0.18966,-0.17563,-0.22408,-0.32757,-0.29823,-0.30158,-0.19566,-0.2629
53,M,False,0.069058,0.052544,0.036903,0.028504,0.0073888,-0.011742,-0.015001,0.0074687,-0.020595,-0.022002,-0.011165,0.0045703,0.04574,0.070664,0.066855
54,M,False,-0.015001,0.0074687,-0.020595,-0.022002,-0.011165,0.0045703,0.04574,0.070664,0.066855,0.026766,0.070157,0.052821,0.091114,0.036443,0.018179
55,M,False,0.080958,0.13154,0.23509,0.069231,0.13037,0.12949,0.081982,0.12426,0.078778,0.13693,0.14525,0.16075,0.17583,0.17914,0.17118
56,M,False,-0.043055,-0.067878,-0.13113,-0.067931,-0.093325,-0.059787,-0.15259,-0.10191,-0.083118,-0.059678,-0.01897,-0.032364,-0.055279,-0.024969,-0.045818
57,M,True,-0.046988,-0.025751,-0.014154,-0.021734,-0.027579,-0.04363,-0.098198,-0.045909,-0.047948,0.010996,-0.01099,-0.0012313,0.02213,0.010147,-0.02855
58,M,False,-0.016117,-0.01645,-0.019462,-0.0041246,-0.0049707,0.017382,-0.041252,-0.050912,-0.085761,-0.028656,-0.056639,-0.10599,-0.1081,-0.12531,-0.12941
59,M,False,-0.23379,-0.23787,-0.18564,-0.2315,-0.22624,-0.24566,-0.22384,-0.26402,-0.2261,-0.22469,-0.16776,-0.23473,-0.18904,-0.19901,-0.20643
60,M,False,-0.093265,-0.053961,-0.073806,-0.068239,-0.046165,-0.074606,-0.094947,-0.074496,-0.035346,0.0093915,-0.11164,-0.041631,0.072961,-0.056061,-0.10541
61,M,False,-0.035346,0.0093915,-0.11164,-0.041631,0.072961,-0.056061,-0.10541,-0.049122,-0.042028,-0.11258,-0.043361,-0.1392,-0.12392,-0.027978,-0.063132
62,M,True,0.29088,0.23414,0.24488,0.27963,0.2797,0.2917,0.31068,0.30447,0.34192,0.32599,0.37719,0.33484,0.34905,0.36805,0.31189
63,M,False,0.36805,0.31189,0.30096,0.30414,0.31321,0.28535,0.30021,0.34766,0.33146,0.29908,0.34714,0.35653,0.34923,0.34627,0.32862
64,M,True,0.048934,-0.023026,-0.041376,-0.10559,-0.10785,-0.068507,0.0034089,-0.024145,0.018484,-0.004857,0.017828,0.04259,0.079124,0.061943,0.18303
65,M,False,0.053005,0.11685,0.064456,0.10468,0.060521,0.058403,0.053727,0.1291,0.12138,0.059747,0.082234,0.14411,0.15622,0.14673,0.16911
66,M,False,0.14867,0.19707,0.24849,0.087054,0.25345,0.29747,0.30494,0.16642,0.29907,0.28406,0.19263,0.26123,0.24478,0.16924,0.16982
67,M,False,0.048067,0.10848,0.023652,0.076708,0.10513,0.1141,0.10373,0.076491,0.032288,0.066696,0.081802,0.088758,0.060609,0.057211,0.037912
68,M,False,0.1334,0.13219,0.11667,0.07298,0.083689,0.10074,0.084544,0.075921,0.069724,0.11009,0.13206,0.084711,0.12062,0.094755,0.090523
69,M,False,0.065555,0.085077,0.12617,0.14803,0.20394,0.18619,0.25923,0.27938,0.24814,0.2016,0.16295,0.15615,0.16556,0.18999,0.12203
70,M,True,0.23047,0.22161,0.2029,0.19029,0.090267,0.13835,0.14237,0.21969,0.15645,0.18028,0.19293,0.19763,0.21225,0.1668,0.14961
71,M,False,0.055825,0.059411,0.10158,0.034802,0.079039,0.072331,0.047119,0.079861,0.084863,0.073121,0.04349,0.022598,0.067075,0.051277,0.035541
72,M,True,0.39521,0.17219,0.13281,0.20204,0.063568,0.07152,0.012276,0.0032464,0.054322,0.11247,0.23488,-0.037882,0.042889,-0.16144,-0.012791
73,M,False,-0.068505,-0.074103,-0.19397,-0.058568,-0.10878,-0.088077,-0.086523,0.012321,-0.11457,-0.054692,-0.0063426,-0.0456,-0.020745,-0.10006,-0.06695
74,M,False,-0.0060028,0.082128,0.0045813,0.075405,0.029869,-0.01089,0.0085974,-0.014663,-0.094745,-0.090334,-0.11675,-0.17346,-0.16064,-0.19782,-0.24728
75,M,False,0.24743,0.20129,0.19144,0.18317,0.20623,0.0035802,-0.11417,0.01282,0.12936,0.19376,0.058409,-0.065633,-0.089819,0.072494,-0.26934
76,M,False,-0.17612,-0.31167,-0.19444,-0.10508,-0.16778,-0.28438,-0.11656,-0.060942,-0.08518,-0.12358,-0.095477,-0.016589,-0.0018189,0.025121,0.03569
77,M,False,0.15591,0.089705,0.17538,0.070312,0.072725,0.080637,0.072438,0.047648,0.097495,0.095989,0.091119,0.047349,0.10957,0.12064,0.078931
78,M,True,0.25207,0.30202,0.25511,0.29882,0.15864,0.29208,0.33364,0.40092,0.32004,0.31402,0.35834,0.35029,0.20872,0.181,0.23242
79,M,True,0.10859,0.026411,0.057117,0.10063,0.087448,0.15007,0.097522,0.25756,0.12341,0.15872,0.18215,0.21235,0.27371,0.28799,0.2658
80,M,False,0.08608,0.030355,0.086279,0.061377,0.078544,0.051933,0.073692,0.06525,0.091907,0.11621,0.10044,0.044489,0.015285,0.046211,-0.022884
81,M,True,0.32462,0.28651,0.32386,0.32201,0.32616,0.39069,0.38143,0.29346,0.22374,0.25619,0.23559,0.17484,0.21189,0.21686,0.26985
82,M,False,-0.01983,-0.036189,-0.034617,-0.091343,0.11539,0.086778,0.17425,0.10807,0.11096,0.10518,0.12217,0.16379,0.10018,0.14594,0.15388
83,M,True,-0.008391,-0.027435,0.0023131,0.034166,-0.038812,-0.028242,-0.017396,-0.02393,0.0097796,-0.015433,0.03879,-0.026612,0.016743,0.0089027,0.023499
84,M,False,0.024017,-0.031645,0.036318,0.012385,0.013001,0.031913,0.082988,0.078473,-0.0024513,0.0421,0.02274,0.01311,0.03218,0.027077,0.017653
85,M,True,0.13234,0.082422,0.081139,0.074056,0.10358,0.09219,0.090493,0.026164,0.12725,0.025316,0.060098,0.1287,0.04477,0.079517,0.084139
86,M,False,0.017623,-0.080147,-0.08978,-0.14962,-0.087714,-0.12412,-0.11996,-0.069101,-0.051018,-0.01263,-0.026186,-0.033474,-0.044957,-0.012797,-0.055248
87,M,False,-0.059472,-0.046463,-0.068652,-0.091329,-0.12899,-0.10704,-0.20133,-0.21126,-0.29456,-0.17626,-0.1603,-0.15718,-0.13261,-0.13128,-0.13642
88,M,True,0.43971,0.44681,0.43351,0.38353,0.38872,0.42161,0.40076,0.41063,0.39666,0.42486,0.43954,0.4422,0.43964,0.41376,0.35447
89,M,True,0.34769,0.2678,0.29985,0.25552,0.21272,0.24441,0.33794,0.26121,0.22669,0.18744,0.14538,0.083103,0.08156,0.1016,0.16687
90,M,False,0.15422,0.13929,0.10734,0.11538,0.11797,0.11299,0.14789,0.06345,-0.0034123,-0.090348,-0.10142,-0.02768,-0.064534,-0.011291,0.038591
91,M,True,0.17242,0.10083,0.11303,0.095924,0.17757,0.14603,0.16139,0.10497,0.11139,0.14422,0.12656,0.082982,0.099508,0.1248,0.1824
92,M,False,0.058485,0.031838,0.089737,-0.0026742,0.032784,-0.072698,-0.029903,-0.012301,0.025274,0.024555,-0.0056299,0.03064,0.13466,-0.0072427,0.0057664
93,M,False,-0.1157,-0.072263,-0.097051,-0.089025,-0.052747,-0.062491,-0.075347,-0.11751,-0.068283,-0.083429,-0.09325,-0.081826,-0.098432,-0.080872,-0.095037
94,M,True,0.069387,0.069591,0.033883,0.033915,0.013106,-0.014855,-0.017527,-0.02998,-0.012641,-0.057098,-0.079147,-0.059799,-0.054373,-0.012167,-0.030872
95,M,True,-0.060785,-0.042074,-0.031506,-0.018268,0.00013594,0.02457,-0.018972,-0.014634,0.010316,0.02702,0.053369,0.026238,0.054765,0.046942,0.012198
96,M,True,0.043523,-0.011672,0.010172,0.0025446,0.0088568,0.025948,0.026751,-0.026974,-0.033942,-0.029397,0.075137,-0.018979,0.029825,-0.025022,0.009472
97,M,False,0.11477,0.065849,0.10301,0.073708,0.0049924,0.043792,0.06521,0.06313,0.057151,0.033262,0.018674,0.038885,0.036192,0.029854,0.0075769
98,M,False,-0.046097,-0.077584,-0.061557,-0.06648,-0.071198,-0.050703,-0.050105,-0.014472,0.0091972,-0.015462,0.0088689,-0.0018541,-0.0036799,0.0069481,0.0053241
99,M,True,0.052352,0.044499,0.020446,0.041599,0.068189,0.10813,0.063803,0.0829,0.103,0.059934,0.09036,0.085399,0.063974,0.06784,0.027641
100,M,False,0.041599,0.068189,0.10813,0.063803,0.0829,0.103,0.059934,0.09036,0.085399,0.063974,0.06784,0.027641,0.015885,0.038032,0.018329
101,M,False,0.059934,0.09036,0.085399,0.063974,0.06784,0.027641,0.015885,0.038032,0.018329,0.09716,-0.01835,0.090611,0.088712,0.023504,0.088998
102,M,False,0.015885,0.038032,0.018329,0.09716,-0.01835,0.090611,0.088712,0.023504,0.088998,0.11234,0.12135,0.10761,0.067458,0.10017,0.12763
103,M,False,0.089106,0.1193,0.16907,0.17863,0.15221,0.13654,0.11538,0.1175,0.1001,0.085115,0.085616,0.077129,0.091233,0.040098,0.061594
104,M,True,0.070217,0.066713,0.026618,0.042908,0.073535,0.037426,0.029864,0.071473,0.018672,0.12767,0.14971,0.08676,0.10645,0.11886,0.12198
105,M,False,-0.11405,-0.24353,-0.33173,-0.37406,-0.39538,-0.28273,-0.37507,-0.34693,-0.31161,-0.33316,-0.42382,-0.26214,-0.40847,-0.36513,-0.34018
106,M,False,0.15741,0.16548,0.1884,0.21554,0.22246,0.16287,0.21161,0.21209,0.19555,0.16368,0.18291,0.17127,0.20695,0.20539,0.20753
107,M,False,0.29095,0.29971,0.29416,0.32688,0.29678,0.34774,0.33903,0.35642,0.32316,0.39612,0.35287,0.3219,0.29596,0.36058,0.36992
108,M,True,0.49386,0.41033,0.41342,0.5326,0.56259,0.53184,0.46228,0.4788,0.47029,0.35723,0.36838,0.36784,0.31722,0.36006,0.3107
109,M,True,0.13311,0.58325,0.62319,0.2865,0.70996,0.70445,0.37275,0.60677,0.69801,0.56412,0.64257,0.55303,0.56791,0.39864,0.49625
110,M,False,0.46445,0.44883,0.47514,0.45942,0.33906,0.45415,0.56513,0.46194,0.41488,0.35331,0.37409,0.42806,0.39668,0.34115,0.41056
111,M,False,0.14081,0.11314,0.10967,0.10004,0.060391,0.08167,0.12052,0.072272,0.078098,0.16222,0.094109,0.097839,0.12222,0.11606,0.14225
112,M,False,0.053725,0.046754,0.045663,0.068319,0.098785,0.050524,0.049577,0.028196,0.025361,0.04185,0.046422,0.030644,0.028714,-0.02129,-0.034221
113,M,False,0.017462,0.055853,0.015935,0.035427,0.053832,0.068628,0.055281,0.058214,0.074783,0.043068,0.048373,0.050577,0.04965,0.040166,0.0011007
114,M,True,-0.013125,-0.057591,0.070977,0.068762,0.070406,-0.044518,0.094428,-0.042107,0.081974,0.059149,0.061999,-0.093978,0.035998,0.031332,0.049346
115,M,True,0.15691,0.078579,0.18602,0.17489,0.0011169,-0.0042089,0.036868,0.06468,0.072621,0.031735,0.0033163,0.012096,0.00050619,0.039304,0.021396
116,M,True,0.021931,0.041026,0.040051,-0.0071426,0.017641,-0.017557,-0.011438,-0.032872,-0.053903,-0.037704,-0.036935,-0.025974,-0.023035,-0.0029742,-0.024126
117,M,True,-0.04627,-0.023186,-0.023378,0.018224,0.0047408,0.0097007,-0.010219,-0.00098773,-0.012241,-0.015137,0.014868,-0.0049947,-0.012202,-0.013062,0.033649
118,M,True,-0.024442,0.0026484,-2.4001e-05,-0.033003,-0.007434,0.012994,0.011733,0.0017257,0.022682,0.012782,-0.0067993,-0.011767,-0.02029,0.010553,-0.010742
119,M,True,-0.018249,-0.021362,-0.023083,-0.004175,-0.0090557,-0.025711,-0.027304,-0.041785,-0.06701,-0.056375,-0.044294,-0.036564,-0.081192,-0.072313,-0.062267
120,M,False,0.01887,0.030216,0.026823,0.035092,0.012252,0.043661,0.033917,0.0057391,0.041465,0.02866,0.013704,0.044897,0.024668,0.0080387,0.02133
121,M,False,0.030099,0.032436,0.0006779,0.026663,0.028038,0.014556,0.022863,0.038949,0.014452,0.015099,0.012698,0.052169,0.04699,0.019664,0.017431
122,M,False,0.074719,0.038137,0.064324,0.046511,0.053151,0.047982,0.049849,0.049892,0.08027,0.07769,0.037322,0.035068,0.03011,0.064384,0.041331
123,M,False,0.052024,-0.024998,0.021586,0.071167,0.058029,-0.039384,0.020816,0.085888,0.0559,0.054887,-0.0036148,0.075905,0.11276,0.12565,0.10454
124,M,True,-0.038767,-0.095671,-0.022764,-0.031728,-0.017819,0.12888,0.0080331,-0.060466,-0.054083,-0.05203,-0.32632,-0.0075208,-0.061684,-0.061903,-0.064231
125,M,False,0.085319,0.092495,0.087087,0.074997,0.11433,0.10881,0.090061,0.12283,0.086844,0.10089,0.1323,0.1229,0.18607,0.18145,0.12389
126,M,False,0.054792,0.042062,-0.037803,0.08121,-0.12974,0.013813,-0.011715,-0.074624,0.11725,0.08569,-0.045403,-0.068422,0.0052228,-0.11647,-0.0030632
127,M,True,0.5394,0.31506,0.59105,0.58144,0.66433,0.56315,0.52328,0.63167,0.72471,0.59681,0.5853,0.45678,0.54807,0.36414,0.3784
128,M,False,0.034114,0.14021,0.089709,0.020504,0.0076721,-0.0037461,-0.05957,0.037628,-0.055586,0.050128,-0.01489,0.051977,0.015204,-0.11331,-0.11322
129,M,True,-0.12237,-0.1016,-0.15613,-0.16354,-0.24734,-0.12749,-0.18188,-0.1453,-0.10317,-0.11406,-0.16391,-0.1542,-0.13064,-0.14522,-0.12982
130,M,False,-0.17131,-0.14848,-0.15089,-0.13417,-0.16506,-0.14457,-0.13513,-0.078587,-0.10885,-0.06458,-0.11682,-0.14053,-0.098523,-0.095849,-0.12404
131,M,False,-0.092545,-0.084178,-0.09075,-0.080306,-0.13066,-0.12129,-0.11903,-0.11347,-0.10559,-0.1721,-0.1983,-0.12579,-0.095687,-0.16202,-0.073194
132,M,True,-0.10618,-0.069728,-0.053264,-0.006528,-0.088635,-0.075226,-0.12294,-0.069817,-0.093443,-0.075531,-0.067756,-0.060201,-0.039512,-0.024405,-0.014536
133,M,False,-0.056602,-0.060061,-0.0069313,-0.019754,-0.0030709,0.0090199,-0.013517,-0.020397,-0.0041519,-0.023163,-0.014574,-0.0029679,-0.027243,-0.038643,-0.029068
134,M,False,0.0054704,0.008937,0.01144,0.027682,0.016317,0.031281,0.0085677,0.0093475,0.013439,0.0050438,0.0062008,-0.0030361,-0.030172,0.027433,0.0064546
135,M,False,0.11091,0.039205,0.035228,0.079432,0.064144,0.12849,0.087994,0.094728,0.074018,0.080542,0.086027,0.064208,0.10796,0.066107,0.061241
136,M,False,-0.019808,-0.050939,0.022653,0.063137,0.057004,0.063968,0.056293,0.092793,0.09798,0.15365,0.1038,0.10244,0.16288,0.14558,0.14931
137,M,False,-0.10015,-0.1918,-0.13597,-0.1368,-0.19052,-0.20079,-0.20588,-0.19437,-0.16831,-0.17001,-0.20064,-0.18586,-0.18873,-0.13343,-0.19501
138,M,True,0.056236,0.076989,0.10311,-0.017353,0.034347,0.074983,0.025468,0.091327,0.096185,-0.015171,0.10979,0.0013773,0.090841,0.078492,0.061477
139,M,True,0.083021,0.094024,0.009543,0.056972,0.096133,0.0083613,0.042586,0.10432,0.044208,0.027539,0.010938,0.046596,0.040223,0.03304,0.0088333
140,M,False,0.094024,0.009543,0.056972,0.096133,0.0083613,0.042586,0.10432,0.044208,0.027539,0.010938,0.046596,0.040223,0.03304,0.0088333,-0.018915
141,M,False,-0.036676,0.0099499,-0.017509,0.00018657,0.0066094,-0.00028346,-0.020367,-0.051892,-0.071243,-0.043689,-9.4441e-05,-0.02298,-0.0425,-0.0016025,-0.034581
142,M,True,-9.4441e-05,-0.02298,-0.0425,-0.0016025,-0.034581,-0.013713,-0.0015493,0.025832,0.016825,-0.0037951,0.034719,0.014814,-0.039106,0.037923,-0.01338
143,M,False,-0.0015493,0.025832,0.016825,-0.0037951,0.034719,0.014814,-0.039106,0.037923,-0.01338,-0.0035205,-0.025513,-0.04218,-0.070561,-0.0098671,-0.049026
144,M,False,-0.070561,-0.0098671,-0.049026,-0.033918,-0.0081902,-0.0099609,-0.023458,0.010463,-0.059008,-0.00015268,-0.060485,-0.047973,-0.013782,-0.0073942,-0.075005
145,M,False,-0.027187,-0.034321,0.017461,0.041083,-0.017921,0.019216,-0.023317,-0.054557,-0.053,-0.049661,-0.035115,-0.049029,-0.050215,-0.015862,-0.020825
146,M,False,0.037932,0.061351,0.032134,0.082151,0.03859,-0.015126,0.011284,0.023742,0.0035606,0.002769,0.036215,0.00096286,0.038231,0.062658,0.040642
147,M,False,0.031445,0.025289,0.037625,0.02925,0.012926,-0.009125,0.026096,0.013547,-0.047343,0.00024238,-0.0013328,-0.025496,-0.03644,-0.0036902,-0.014751
148,M,False,-0.072984,-0.11385,-0.084517,-0.064859,-0.063332,-0.044351,-0.049553,-0.037749,-0.050186,-0.049105,-0.046939,-0.018359,-0.034674,-0.047034,-0.047246
149,M,False,0.12157,0.10988,0.1417,0.17256,0.1309,0.13113,0.18102,0.14266,0.17141,0.12581,0.14661,0.10854,0.11673,0.13208,0.12827
150,M,False,-0.10684,-0.063184,-0.08403,-0.097343,-0.10874,-0.091892,-0.10107,-0.082968,-0.11429,-0.12355,-0.12566,-0.14431,-0.15615,-0.18926,-0.22822
151,M,True,0.25652,0.25323,0.1452,0.18971,0.20414,0.30412,0.31054,0.38091,0.22832,0.32092,0.34432,0.43699,0.39736,0.39091,0.32279
152,M,False,0.51736,0.60917,0.5313,0.15385,0.52124,0.44288,0.64774,0.56056,0.8826,1.0835,1.0603,0.94771,0.99703,1.0909,0.97704
153,M,False,0.29983,0.19832,0.23797,0.29944,0.16842,0.23695,0.22258,0.10564,0.11398,0.10998,0.19397,0.19233,0.22061,0.27291,0.16834
154,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,M,False,0.13315,0.036259,0.11579,0.059943,-0.011219,0.017859,-0.022411,0.013486,0.049238,0.013553,0.10677,0.10676,0.11664,0.051159,0.19014
