,FLARE_TYPE,COINCIDENCE,MEANJZD_1,MEANJZD_2,MEANJZD_3,MEANJZD_4,MEANJZD_5,MEANJZD_6,MEANJZD_7,MEANJZD_8,MEANJZD_9,MEANJZD_10,MEANJZD_11,MEANJZD_12,MEANJZD_13,MEANJZD_14,MEANJZD_15
0,X,False,0.11124,0.10488,0.13981,0.18104,0.14171,0.14921,0.1414,0.1156,0.10094,0.058417,0.050833,0.079978,0.074147,0.10393,0.053482
1,X,False,0.39676,0.45178,0.47101,0.44905,0.42835,0.50758,0.46046,0.51279,0.41747,0.47587,0.45755,0.48959,0.40291,0.43219,0.43272
2,X,False,0.066541,0.064499,0.027927,0.045047,0.046233,0.02813,-0.013745,0.0088658,0.051629,0.039532,0.040438,0.026534,0.052211,0.050822,0.02838
3,X,False,0.37759,0.43689,0.44408,0.47136,0.42905,0.37456,0.38685,0.41699,0.34251,0.34819,0.34015,0.33258,0.35988,0.23711,0.36597
4,X,True,0.2471,0.16808,0.27453,0.22309,0.24328,0.27617,0.12947,0.33043,0.31094,0.33664,0.27674,0.25237,0.25501,0.26727,0.26438
5,X,False,-0.028996,-0.0033343,-0.050259,-0.0084686,0.069043,-0.039216,-0.02834,-0.024848,-0.027795,-0.035258,-0.003619,-0.018361,0.03001,0.014382,0.02274
6,X,True,0.088182,0.068162,-0.0069056,0.068125,0.074085,0.040607,0.034446,0.038883,0.070209,0.067126,0.063152,0.11083,0.085462,0.099266,0.092295
7,X,False,0.026096,0.013547,-0.047343,0.00024238,-0.0013328,-0.025496,-0.03644,-0.0036902,-0.014751,0.015097,0.032818,0.025944,0.025114,-0.0026856,-0.0061804
8,X,False,-0.025496,-0.03644,-0.0036902,-0.014751,0.015097,0.032818,0.025944,0.025114,-0.0026856,-0.0061804,0.079329,0.07103,0.072762,0.040159,0.043508
9,X,False,0.24945,0.26023,0.25616,0.27467,0.25066,0.24144,0.26593,0.25406,0.25838,0.23582,0.25886,0.23168,0.23943,0.23589,0.257
10,X,False,-0.084806,-0.089071,-0.057105,-0.099041,-0.057116,-0.19815,-0.027689,-0.16862,-0.23121,-0.13771,-0.21934,-0.037661,-0.26654,-0.25246,-0.15323
11,X,True,-0.36071,-0.053037,-0.049399,-0.05944,-0.010515,0.021039,0.19823,-0.0098901,0.10035,-0.084606,-0.25187,-0.062384,-0.090912,-0.22209,-0.06826
12,X,True,0.13647,0.18064,0.17251,0.18773,0.12359,0.12625,0.12006,0.1204,0.081548,0.11088,0.13423,0.1041,0.081191,0.10223,0.13046
13,X,False,-0.0080651,0.0166,0.044873,0.05679,0.054917,0.0019969,-0.0084533,0.038668,0.002197,-0.020192,-0.014327,0.011804,0.0055784,0.039048,0.076973
14,X,False,-0.071349,-0.067366,-0.045246,-0.033926,-0.045122,-0.045574,-0.10488,-0.088682,-0.069164,-0.055075,-0.028677,-0.048938,-0.075736,-0.033396,-0.062393
15,X,False,-0.040821,-0.040536,-0.052127,-0.12343,-0.057423,-0.059937,-0.067877,-0.077554,-0.057499,-0.036251,-0.0060787,0.041524,0.011845,-0.00031258,-0.014969
16,X,False,0.23124,0.19962,0.13257,0.16393,0.15869,0.15265,0.14565,0.13804,0.095986,0.0772,0.096006,0.068889,0.1123,0.15532,0.085199
17,X,False,-0.14417,-0.21463,-0.18271,-0.15557,-0.20316,-0.15774,-0.17459,-0.20582,-0.21451,-0.22873,-0.24107,-0.22292,-0.19753,-0.25422,-0.18663
18,X,False,0.18994,0.20608,0.19843,0.1938,0.19995,0.17046,0.19537,0.19073,0.21186,0.1365,0.1719,0.19625,0.2069,0.20491,0.21621
19,X,False,-0.080412,-0.065701,-0.05682,-0.03249,-0.15779,-0.1534,-0.022619,-0.1438,-0.02964,-0.1695,-0.20647,-0.073904,-0.012877,-0.073423,-0.16264
20,X,False,-0.066379,-0.057506,-0.05837,-0.070427,-0.036716,-0.068891,-0.104,-0.0349,-0.031451,-0.0098586,-0.087757,-0.060251,-0.11392,-0.075097,-0.08633
21,X,False,0.47934,0.5576,0.6568,0.60961,0.4609,0.45168,0.44165,0.37677,0.3715,0.089552,0.18856,0.27343,0.39926,0.3732,0.51876
22,X,False,-0.034101,-0.085632,-0.07016,-0.061271,-0.057418,-0.022381,-0.037742,-0.036803,-0.0062619,-0.025456,-0.035737,-0.040104,-0.043066,-0.015805,-0.010335
23,X,True,0.060584,0.080046,0.10009,0.091575,0.087557,0.10571,0.11786,0.13295,0.13078,0.11825,0.10204,0.12115,0.11886,0.13052,0.15732
24,X,True,0.10832,0.091256,0.11392,0.11016,0.11579,0.121,0.12522,0.12252,0.12798,0.1196,0.12148,0.12597,0.13446,0.14911,0.13531
25,X,True,0.066035,0.052623,0.059599,0.079203,0.06265,0.060347,0.052164,0.043123,0.024953,0.0078262,0.028874,0.0078338,0.022716,0.013335,0.023492
26,X,False,0.017255,0.02227,0.0038469,0.018414,0.050084,0.02439,0.0077247,0.050562,0.033122,-0.016582,-0.033473,-0.045625,-0.044603,-0.10918,-0.089248
27,X,False,0.21326,0.19875,0.21198,0.21443,0.19487,0.1817,0.18079,0.21317,0.18793,0.20279,0.18997,0.19492,0.17842,0.19499,0.19013
