,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10,AREA_ACR_11,AREA_ACR_12,AREA_ACR_13,AREA_ACR_14,AREA_ACR_15
1262,B,False,465.35,467.0,466.06,467.25,467.31,469.24,472.79,474.26,473.07,476.79,477.47,481.99,488.66,490.54,489.33
1263,B,False,78.346,78.902,82.007,79.807,80.665,80.785,82.658,81.882,81.891,84.749,83.399,85.21,87.306,88.494,88.06
1264,B,False,410.5,410.15,406.14,407.58,406.71,406.35,410.64,414.43,418.69,401.19,386.5,390.85,384.81,388.56,388.27
1265,B,False,113.84,110.07,108.47,107.46,109.08,107.91,107.65,107.62,105.66,107.23,107.68,107.95,105.55,107.15,105.69
1266,B,False,70.276,71.86,72.211,71.044,71.697,71.527,73.575,73.671,73.485,75.691,74.349,75.091,75.98,75.284,76.089
1267,B,False,101.78,106.34,104.82,106.46,112.27,112.42,112.84,115.86,117.83,121.63,122.86,123.22,125.8,124.98,125.82
1268,B,False,432.6,430.77,426.59,427.49,429.41,425.71,430.02,432.31,435.48,438.04,440.33,442.29,440.33,437.69,440.11
1269,B,False,216.05,213.81,213.56,218.28,214.83,211.82,209.2,208.01,207.31,201.55,202.17,202.11,198.44,199.78,197.8
1270,B,False,31.479,32.386,31.914,34.307,37.525,44.843,48.721,51.362,53.174,56.453,56.838,57.467,54.178,56.196,56.122
1271,B,False,345.67,348.72,348.28,346.82,348.11,350.79,355.16,355.08,360.66,359.61,355.63,352.98,359.9,355.83,362.12
1272,B,False,375.93,377.52,376.37,381.85,383.79,385.5,388.52,390.54,393.59,396.38,400.31,400.04,402.65,405.18,404.22
1273,B,False,218.82,220.05,217.46,214.56,216.69,215.13,218.77,219.96,222.38,222.98,225.43,227.39,230.78,233.39,230.75
1274,B,False,220.51,220.6,219.88,221.5,223.04,223.29,226.42,229.93,230.0,232.68,232.19,236.15,236.18,234.32,236.34
