,FLARE_TYPE,COINCIDENCE,MEANJZH_1,MEANJZH_2,MEANJZH_3,MEANJZH_4,MEANJZH_5,MEANJZH_6,MEANJZH_7,MEANJZH_8,MEANJZH_9,MEANJZH_10,MEANJZH_11,MEANJZH_12,MEANJZH_13,MEANJZH_14,MEANJZH_15
625,C,True,0.0045642,0.004364,0.0044579,0.0045851,0.0045126,0.0044481,0.0045292,0.0047131,0.0046127,0.0043629,0.004312,0.0044851,0.0043006,0.0047911,0.0044578
626,C,False,-0.0073872,-0.0073469,-0.0075301,-0.0072298,-0.0070846,-0.0077201,-0.0080632,-0.0083191,-0.0082671,-0.0085477,-0.0080319,-0.008596,-0.0091216,-0.0088732,-0.0079111
627,C,False,-0.0090027,-0.0089257,-0.0081395,-0.0078003,-0.007722,-0.0080512,-0.0078769,-0.0081478,-0.0074878,-0.0071442,-0.0071173,-0.0067944,-0.007203,-0.0071356,-0.0077125
628,C,False,0.00032839,-0.0018356,0.00074067,0.00063987,0.00097323,0.0012998,-0.0009132,0.0012535,0.0012917,0.0012772,-0.00037646,0.0014582,-0.00085083,-0.00078292,0.0016135
629,C,False,0.0020736,0.0025064,0.0026617,0.002353,0.0025292,0.00293,0.0027071,0.0028153,0.0028403,0.0031316,0.0027949,0.0027422,0.0025451,0.0027268,0.002604
630,C,True,-0.0034282,-0.0045536,-0.0053372,-0.0043575,-0.0058576,-0.0058109,-0.005539,-0.0069493,-0.0065477,-0.0080372,-0.0051371,-0.0058786,-0.004394,-0.0056662,-0.0058125
631,C,True,-0.00088606,-0.00087498,2.419e-06,-0.00076682,-0.00062049,-0.0013801,-0.0010382,-0.0012667,-0.0017895,-0.0016308,-0.0017317,-0.0017163,-0.0013206,-0.0012271,-0.00079494
632,C,False,-0.001422,-0.001753,-0.0012194,-0.0014432,-0.0010292,-0.0010158,-0.0012925,-0.00076305,-0.00031586,-0.0011344,-0.0011065,-0.0014592,-0.0015714,-0.0018697,-0.0015827
633,C,False,0.00034718,0.0002087,-0.0001186,-0.00067549,-0.00070531,-0.00046384,-0.0018903,-0.0027202,-0.0026693,-0.0024311,-0.0028388,-0.0022973,-0.0026119,-0.0020697,-0.0023685
634,C,False,0.0040635,0.0042942,0.0039811,0.0035493,0.0039378,0.004286,0.0040951,0.0044301,0.0039379,0.004059,0.0042872,0.0045298,0.0043144,0.0043035,0.0040667
635,C,True,0.0088282,0.0088447,0.0088961,0.0085889,0.0081209,0.0086988,0.0087483,0.0055414,0.0088756,0.0051592,0.0049423,0.0084403,0.0086416,0.0092607,0.008989
636,C,False,-0.003287,-0.0035357,-0.0035472,-0.0034083,-0.0033132,-0.0031031,-0.0031515,-0.0017871,-0.0017978,-0.0016385,-0.0013602,-0.003049,-0.003627,-0.0032405,-0.002129
637,C,False,0.000799,0.00064933,0.00078843,0.00014739,0.00016116,7.5002e-05,-4.9411e-05,-8.6767e-05,-0.00023933,-0.00065414,-0.00029995,-0.00029947,-0.00044811,-0.00048326,-0.00057141
