,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5,SHRGT45_6,SHRGT45_7,SHRGT45_8,SHRGT45_9,SHRGT45_10,SHRGT45_11,SHRGT45_12,SHRGT45_13,SHRGT45_14,SHRGT45_15
1954,N,False,7.3439,4.3796,6.6934,7.4407,6.43,8.323,7.6873,7.7896,5.2971,5.2417,5.7343,6.1702,6.7786,6.4178,5.3957
1955,N,False,23.215,24.039,23.956,24.264,24.051,23.464,23.467,24.207,23.877,23.382,23.987,24.578,24.608,24.863,24.686
1956,N,False,6.0192,3.9444,2.9006,2.3014,2.3077,2.1064,2.8734,2.2927,2.2589,1.9248,1.4689,1.5119,1.4152,1.6233,1.4851
1957,N,False,48.068,47.906,48.764,47.317,46.287,48.4,49.413,49.853,48.789,48.73,50.016,49.339,46.891,47.717,46.041
1958,N,False,2.2388,8.6486,29.204,43.945,41.477,36.478,10.526,7.0707,13.542,9.816,0.69444,5.3892,2.1127,12.621,11.667
1959,N,False,3.3437,4.3685,4.307,4.2603,3.0691,2.9874,2.1721,3.0329,3.6408,2.7823,2.6846,2.0761,3.0032,3.8797,3.3248
1960,N,False,8.6053,7.2996,6.5911,7.0029,6.7449,4.0494,3.3641,4.887,5.0249,4.1911,2.365,4.6733,4.5879,3.6421,3.0206
1961,N,False,13.417,13.636,13.367,12.892,13.611,13.63,13.557,13.964,13.798,15.216,12.474,12.652,12.03,9.8224,10.878
1962,N,False,11.19,10.86,10.456,10.281,10.219,9.8142,8.5271,7.8302,8.3135,8.8058,8.7741,6.5833,6.4472,6.1341,8.5223
1963,N,False,15.701,15.306,16.453,15.834,16.145,16.823,16.7,16.803,15.709,16.082,15.693,16.449,15.211,15.852,15.314
1964,N,False,3.663,3.2342,2.7285,2.4217,2.9052,2.3188,2.6087,1.9908,1.9939,1.8321,2.5074,0.70126,1.0884,1.2064,0.26882
1965,N,False,32.842,32.987,33.057,32.662,32.086,32.134,32.41,32.904,33.145,32.928,33.383,33.936,33.871,34.139,34.053
1966,N,False,56.056,55.674,55.896,56.256,56.289,56.25,56.396,56.384,56.577,56.82,56.556,57.111,56.257,56.417,56.508
1967,N,False,38.257,38.189,38.753,38.838,38.977,39.478,40.161,39.49,39.619,40.066,39.402,39.878,40.067,40.16,40.548
1968,N,False,6.4012,5.8621,5.3289,5.5781,5.6019,4.5173,6.6924,4.3215,5.1987,5.5763,6.46,6.1615,5.9474,5.7013,5.9747
1969,N,False,7.6577,3.8591,5.0435,3.8786,3.4843,5.5016,6.5079,6.1389,7.855,7.1756,8.6624,10.614,11.701,10.577,13.695
