,FLARE_TYPE,COINCIDENCE,SAVNCPP_1,SAVNCPP_2,SAVNCPP_3,SAVNCPP_4,SAVNCPP_5,SAVNCPP_6,SAVNCPP_7,SAVNCPP_8,SAVNCPP_9,SAVNCPP_10,SAVNCPP_11,SAVNCPP_12,SAVNCPP_13,SAVNCPP_14,SAVNCPP_15
0,X,False,13441000000000.0,12261000000000.0,13697000000000.0,15390000000000.0,17569000000000.0,14167000000000.0,15406000000000.0,15421000000000.0,17887000000000.0,17887000000000.0,18359000000000.0,19056000000000.0,17222000000000.0,17629000000000.0,18192000000000.0
1,X,False,10216000000000.0,10992000000000.0,11903000000000.0,11343000000000.0,10558000000000.0,12472000000000.0,11281000000000.0,12680000000000.0,10257000000000.0,11810000000000.0,11347000000000.0,12180000000000.0,9991100000000.0,10716000000000.0,10670000000000.0
2,X,False,35099000000000.0,35459000000000.0,33438000000000.0,32545000000000.0,31551000000000.0,33581000000000.0,32900000000000.0,34454000000000.0,34348000000000.0,34050000000000.0,34452000000000.0,34141000000000.0,32913000000000.0,33109000000000.0,35732000000000.0
3,X,False,9718700000000.0,10063000000000.0,9479000000000.0,9727700000000.0,9943000000000.0,9449100000000.0,10071000000000.0,8196400000000.0,8824800000000.0,5609400000000.0,6016000000000.0,8441700000000.0,6942000000000.0,8423800000000.0,7072400000000.0
4,X,True,18909000000000.0,19823000000000.0,20391000000000.0,19676000000000.0,19498000000000.0,19340000000000.0,21122000000000.0,19854000000000.0,19977000000000.0,20564000000000.0,21042000000000.0,20309000000000.0,20601000000000.0,19452000000000.0,17976000000000.0
5,X,False,8865200000000.0,13544000000000.0,2765700000000.0,6920600000000.0,9755700000000.0,3756800000000.0,1581700000000.0,4506500000000.0,4262200000000.0,4713400000000.0,8573100000000.0,5852600000000.0,3996800000000.0,8983400000000.0,8427300000000.0
6,X,True,33348000000000.0,32100000000000.0,33119000000000.0,33247000000000.0,35962000000000.0,34662000000000.0,37555000000000.0,35790000000000.0,35521000000000.0,40719000000000.0,37993000000000.0,36109000000000.0,35794000000000.0,39132000000000.0,38652000000000.0
7,X,False,79137000000000.0,78937000000000.0,76721000000000.0,79367000000000.0,77971000000000.0,75839000000000.0,80033000000000.0,77458000000000.0,77889000000000.0,80215000000000.0,77810000000000.0,77490000000000.0,78716000000000.0,78030000000000.0,77841000000000.0
8,X,False,75839000000000.0,80033000000000.0,77458000000000.0,77889000000000.0,80215000000000.0,77810000000000.0,77490000000000.0,78716000000000.0,78030000000000.0,77841000000000.0,76018000000000.0,73895000000000.0,73555000000000.0,78028000000000.0,73449000000000.0
9,X,False,59416000000000.0,56582000000000.0,55785000000000.0,58894000000000.0,59070000000000.0,57113000000000.0,58565000000000.0,59089000000000.0,58574000000000.0,56659000000000.0,54360000000000.0,56484000000000.0,52928000000000.0,59511000000000.0,58240000000000.0
10,X,False,10164000000000.0,15234000000000.0,14154000000000.0,13688000000000.0,13949000000000.0,16694000000000.0,27724000000000.0,16041000000000.0,16207000000000.0,26900000000000.0,16309000000000.0,27900000000000.0,17087000000000.0,14293000000000.0,10622000000000.0
11,X,True,1047500000000.0,284280000000.0,335810000000.0,657620000000.0,657720000000.0,955140000000.0,540470000000.0,255940000000.0,284770000000.0,237790000000.0,737520000000.0,192270000000.0,281850000000.0,706890000000.0,211250000000.0
12,X,True,36237000000000.0,35802000000000.0,38451000000000.0,36487000000000.0,39332000000000.0,33700000000000.0,34900000000000.0,33755000000000.0,35141000000000.0,34706000000000.0,44219000000000.0,39782000000000.0,36042000000000.0,38037000000000.0,34569000000000.0
13,X,False,18820000000000.0,18505000000000.0,9365800000000.0,12111000000000.0,11461000000000.0,13818000000000.0,10919000000000.0,13321000000000.0,11644000000000.0,14833000000000.0,19811000000000.0,17936000000000.0,14618000000000.0,16223000000000.0,19373000000000.0
14,X,False,36218000000000.0,37487000000000.0,36973000000000.0,35881000000000.0,39638000000000.0,41104000000000.0,39503000000000.0,44901000000000.0,43395000000000.0,40446000000000.0,43500000000000.0,39508000000000.0,41590000000000.0,40070000000000.0,40285000000000.0
15,X,False,15001000000000.0,14010000000000.0,12278000000000.0,16153000000000.0,14082000000000.0,12116000000000.0,11116000000000.0,12960000000000.0,11350000000000.0,12200000000000.0,11583000000000.0,10574000000000.0,8589800000000.0,9723500000000.0,11149000000000.0
16,X,False,11109000000000.0,15268000000000.0,15829000000000.0,13667000000000.0,16486000000000.0,17835000000000.0,16155000000000.0,14728000000000.0,14603000000000.0,13754000000000.0,11979000000000.0,10463000000000.0,11875000000000.0,10645000000000.0,10694000000000.0
17,X,False,25515000000000.0,28021000000000.0,27156000000000.0,25473000000000.0,25812000000000.0,25569000000000.0,24988000000000.0,26253000000000.0,27360000000000.0,28992000000000.0,28034000000000.0,25138000000000.0,25520000000000.0,26953000000000.0,28646000000000.0
18,X,False,66474000000000.0,66590000000000.0,66444000000000.0,66697000000000.0,68947000000000.0,70054000000000.0,68049000000000.0,68206000000000.0,68391000000000.0,70153000000000.0,70386000000000.0,71425000000000.0,72600000000000.0,71693000000000.0,71649000000000.0
19,X,False,278290000000.0,230560000000.0,201390000000.0,116990000000.0,598390000000.0,613090000000.0,114030000000.0,576820000000.0,262490000000.0,732710000000.0,939870000000.0,357600000000.0,191030000000.0,614260000000.0,912780000000.0
20,X,False,6105600000000.0,3695100000000.0,6534900000000.0,7191400000000.0,7608700000000.0,8098700000000.0,7479500000000.0,7290500000000.0,6124000000000.0,9448100000000.0,2531800000000.0,7190500000000.0,5832300000000.0,3663200000000.0,2383400000000.0
21,X,False,10782000000000.0,10913000000000.0,13516000000000.0,11983000000000.0,11045000000000.0,10850000000000.0,12476000000000.0,13706000000000.0,14399000000000.0,13565000000000.0,11246000000000.0,13418000000000.0,11430000000000.0,12712000000000.0,14686000000000.0
22,X,False,21557000000000.0,7000900000000.0,23366000000000.0,5077300000000.0,21924000000000.0,21273000000000.0,15623000000000.0,20691000000000.0,9559100000000.0,4903100000000.0,14965000000000.0,14157000000000.0,14052000000000.0,13558000000000.0,12198000000000.0
23,X,True,21960000000000.0,18435000000000.0,26104000000000.0,29959000000000.0,27525000000000.0,25657000000000.0,21692000000000.0,27036000000000.0,24580000000000.0,22540000000000.0,16413000000000.0,22113000000000.0,21812000000000.0,20453000000000.0,17774000000000.0
24,X,True,29478000000000.0,29506000000000.0,30889000000000.0,26057000000000.0,25406000000000.0,25689000000000.0,25302000000000.0,24123000000000.0,22479000000000.0,22744000000000.0,20351000000000.0,22312000000000.0,19070000000000.0,23183000000000.0,20318000000000.0
25,X,True,59234000000000.0,62193000000000.0,61220000000000.0,60942000000000.0,60766000000000.0,59132000000000.0,56881000000000.0,54255000000000.0,49476000000000.0,56260000000000.0,57262000000000.0,60970000000000.0,52280000000000.0,55986000000000.0,60467000000000.0
26,X,False,54104000000000.0,55215000000000.0,53057000000000.0,52294000000000.0,53254000000000.0,53235000000000.0,53632000000000.0,55021000000000.0,55985000000000.0,56089000000000.0,56410000000000.0,57121000000000.0,51495000000000.0,53801000000000.0,55794000000000.0
27,X,False,56466000000000.0,56145000000000.0,54518000000000.0,53723000000000.0,52538000000000.0,53905000000000.0,50551000000000.0,53533000000000.0,54876000000000.0,51304000000000.0,51076000000000.0,52605000000000.0,49365000000000.0,50002000000000.0,50571000000000.0
28,X,True,58396000000000.0,58707000000000.0,58260000000000.0,57819000000000.0,58295000000000.0,59099000000000.0,57719000000000.0,56725000000000.0,59223000000000.0,61089000000000.0,59432000000000.0,57704000000000.0,56386000000000.0,56217000000000.0,56574000000000.0
29,X,False,237290000000.0,292370000000.0,320910000000.0,773600000000.0,883840000000.0,762430000000.0,230140000000.0,428930000000.0,539400000000.0,312500000000.0,533820000000.0,1037600000000.0,1545100000000.0,2076900000000.0,2203300000000.0
30,X,True,74517000000000.0,74009000000000.0,73178000000000.0,74129000000000.0,77670000000000.0,77849000000000.0,79856000000000.0,76426000000000.0,76945000000000.0,77256000000000.0,77846000000000.0,76004000000000.0,76385000000000.0,78421000000000.0,80880000000000.0
31,X,True,80880000000000.0,81401000000000.0,79030000000000.0,78017000000000.0,84522000000000.0,83061000000000.0,82995000000000.0,81792000000000.0,83102000000000.0,82940000000000.0,83338000000000.0,82261000000000.0,80914000000000.0,81595000000000.0,82188000000000.0
32,X,False,102270000000000.0,95492000000000.0,94087000000000.0,93014000000000.0,96991000000000.0,95037000000000.0,93707000000000.0,93210000000000.0,94000000000000.0,92720000000000.0,90203000000000.0,87196000000000.0,90338000000000.0,90755000000000.0,84725000000000.0
33,X,False,12335000000000.0,18109000000000.0,16037000000000.0,12441000000000.0,12252000000000.0,17594000000000.0,16000000000000.0,9505900000000.0,12710000000000.0,14542000000000.0,17864000000000.0,15491000000000.0,11747000000000.0,6296600000000.0,10916000000000.0
34,M,False,9393800000000.0,9859000000000.0,10590000000000.0,9482800000000.0,9145900000000.0,9526600000000.0,9100800000000.0,11146000000000.0,9594600000000.0,9905200000000.0,10077000000000.0,10205000000000.0,9368500000000.0,8328600000000.0,9755900000000.0
35,M,False,1221800000000.0,1367600000000.0,1399700000000.0,1187700000000.0,949010000000.0,1302400000000.0,1643700000000.0,1211200000000.0,882740000000.0,1083700000000.0,680140000000.0,1399100000000.0,793290000000.0,1490200000000.0,880840000000.0
36,M,False,3126600000000.0,1617700000000.0,2124900000000.0,2117100000000.0,1787100000000.0,2062600000000.0,1165200000000.0,1179300000000.0,1079800000000.0,1341000000000.0,2008400000000.0,2587600000000.0,1683100000000.0,1701600000000.0,2044800000000.0
37,M,True,1871700000000.0,1277500000000.0,131430000000.0,1243100000000.0,1439000000000.0,1222700000000.0,1208000000000.0,1284500000000.0,1358700000000.0,2000600000000.0,1454100000000.0,1208200000000.0,1496200000000.0,1569500000000.0,1434900000000.0
38,M,False,4766600000000.0,4599000000000.0,3964700000000.0,4482900000000.0,4681000000000.0,2472200000000.0,4185700000000.0,5173100000000.0,7791800000000.0,6327100000000.0,3686600000000.0,4287400000000.0,4588000000000.0,5063700000000.0,5051000000000.0
