,FLARE_TYPE,COINCIDENCE,SAVNCPP_1,SAVNCPP_2,SAVNCPP_3,SAVNCPP_4,SAVNCPP_5,SAVNCPP_6,SAVNCPP_7,SAVNCPP_8,SAVNCPP_9,SAVNCPP_10,SAVNCPP_11,SAVNCPP_12,SAVNCPP_13,SAVNCPP_14,SAVNCPP_15
39,M,False,5484200000000.0,8784900000000.0,8858700000000.0,10264000000000.0,8553600000000.0,8669300000000.0,8625400000000.0,8298300000000.0,8799500000000.0,3452500000000.0,8515800000000.0,8204100000000.0,6553000000000.0,7008600000000.0,5816900000000.0
40,M,False,2706400000000.0,1490900000000.0,2479300000000.0,2057500000000.0,1560600000000.0,1347300000000.0,2837200000000.0,1648200000000.0,1688700000000.0,1673600000000.0,1955900000000.0,1826800000000.0,2042500000000.0,2297300000000.0,2431800000000.0
41,M,True,1142800000000.0,1266400000000.0,1542900000000.0,1112800000000.0,419830000000.0,661850000000.0,89003000000.0,1935100000000.0,1960000000000.0,1969900000000.0,1054900000000.0,602750000000.0,1188000000000.0,553860000000.0,586550000000.0
42,M,True,19789000000000.0,21233000000000.0,23570000000000.0,21765000000000.0,19939000000000.0,18417000000000.0,17250000000000.0,16600000000000.0,17001000000000.0,17017000000000.0,16060000000000.0,16374000000000.0,16328000000000.0,19837000000000.0,16948000000000.0
43,M,False,4016900000000.0,4169400000000.0,4115800000000.0,5116300000000.0,5234400000000.0,5992700000000.0,5666000000000.0,7002200000000.0,8424000000000.0,6844600000000.0,7222800000000.0,7780200000000.0,7906400000000.0,7705400000000.0,10086000000000.0
44,M,False,29799000000000.0,31803000000000.0,32580000000000.0,30526000000000.0,30452000000000.0,36880000000000.0,36981000000000.0,36742000000000.0,37549000000000.0,37668000000000.0,37903000000000.0,38896000000000.0,38268000000000.0,35772000000000.0,33877000000000.0
45,M,True,29311000000000.0,29763000000000.0,29172000000000.0,27151000000000.0,29152000000000.0,27473000000000.0,26233000000000.0,26667000000000.0,26343000000000.0,25334000000000.0,25788000000000.0,24842000000000.0,25228000000000.0,27581000000000.0,25445000000000.0
46,M,True,5440700000000.0,4232100000000.0,4877500000000.0,4301100000000.0,5129300000000.0,5157300000000.0,2968100000000.0,3602700000000.0,5247500000000.0,3797800000000.0,4417400000000.0,5148600000000.0,4095900000000.0,4605300000000.0,5151300000000.0
47,M,False,26022000000000.0,25726000000000.0,26193000000000.0,27148000000000.0,27652000000000.0,28725000000000.0,27047000000000.0,26644000000000.0,27371000000000.0,26274000000000.0,27609000000000.0,28062000000000.0,27484000000000.0,26853000000000.0,25917000000000.0
48,M,False,4185800000000.0,4801200000000.0,4227500000000.0,3436600000000.0,4718700000000.0,5054100000000.0,6100300000000.0,4662300000000.0,6044800000000.0,4781100000000.0,3485700000000.0,4815500000000.0,4207200000000.0,4219500000000.0,4205200000000.0
49,M,False,6402900000000.0,5761500000000.0,5176000000000.0,3999000000000.0,4801900000000.0,3397100000000.0,3955300000000.0,4778100000000.0,3704300000000.0,2403600000000.0,3624100000000.0,1997300000000.0,2217100000000.0,1634800000000.0,865330000000.0
50,M,False,26880000000000.0,24464000000000.0,26960000000000.0,26736000000000.0,27055000000000.0,25079000000000.0,25895000000000.0,25888000000000.0,23839000000000.0,23482000000000.0,25736000000000.0,24116000000000.0,23867000000000.0,23316000000000.0,22563000000000.0
51,M,True,54397000000000.0,51527000000000.0,52716000000000.0,51027000000000.0,51580000000000.0,51158000000000.0,47259000000000.0,47038000000000.0,45358000000000.0,46178000000000.0,46238000000000.0,44289000000000.0,44999000000000.0,45407000000000.0,43609000000000.0
52,M,True,10291000000000.0,9138500000000.0,7177300000000.0,8065200000000.0,8214300000000.0,4731500000000.0,3431600000000.0,4228300000000.0,5614600000000.0,4778700000000.0,6688500000000.0,6083500000000.0,6189800000000.0,5504100000000.0,6026900000000.0
53,M,False,44706000000000.0,39328000000000.0,37966000000000.0,41012000000000.0,38633000000000.0,39111000000000.0,38011000000000.0,37552000000000.0,33709000000000.0,34239000000000.0,35760000000000.0,34141000000000.0,31254000000000.0,32926000000000.0,32983000000000.0
54,M,False,38011000000000.0,37552000000000.0,33709000000000.0,34239000000000.0,35760000000000.0,34141000000000.0,31254000000000.0,32926000000000.0,32983000000000.0,33709000000000.0,30441000000000.0,31963000000000.0,29467000000000.0,30924000000000.0,33012000000000.0
55,M,False,2542300000000.0,2473700000000.0,4034800000000.0,3290200000000.0,3884200000000.0,2520800000000.0,4192900000000.0,4450000000000.0,4166900000000.0,2998800000000.0,2674100000000.0,3005200000000.0,3336900000000.0,3400000000000.0,3228300000000.0
56,M,False,35120000000000.0,35363000000000.0,34306000000000.0,34252000000000.0,33497000000000.0,35075000000000.0,33127000000000.0,31277000000000.0,31737000000000.0,31007000000000.0,31778000000000.0,30087000000000.0,30936000000000.0,27409000000000.0,32406000000000.0
57,M,True,3133300000000.0,1601100000000.0,3379000000000.0,2033800000000.0,1231200000000.0,10243000000000.0,3108000000000.0,2580100000000.0,2533700000000.0,10255000000000.0,5795400000000.0,7323000000000.0,1614800000000.0,1337800000000.0,4260600000000.0
58,M,False,18440000000000.0,19963000000000.0,14060000000000.0,19790000000000.0,21341000000000.0,20697000000000.0,17530000000000.0,16650000000000.0,20077000000000.0,20466000000000.0,23479000000000.0,19071000000000.0,20571000000000.0,22454000000000.0,21344000000000.0
59,M,False,12763000000000.0,15568000000000.0,18528000000000.0,17359000000000.0,16568000000000.0,17862000000000.0,16135000000000.0,12554000000000.0,14223000000000.0,17387000000000.0,20003000000000.0,18923000000000.0,16614000000000.0,18926000000000.0,18440000000000.0
60,M,False,21826000000000.0,19488000000000.0,23174000000000.0,29276000000000.0,25992000000000.0,28255000000000.0,27896000000000.0,32239000000000.0,33054000000000.0,30736000000000.0,34482000000000.0,33847000000000.0,38492000000000.0,35079000000000.0,30644000000000.0
61,M,False,33054000000000.0,30736000000000.0,34482000000000.0,33847000000000.0,38492000000000.0,35079000000000.0,30644000000000.0,32090000000000.0,29815000000000.0,35430000000000.0,35956000000000.0,36252000000000.0,40249000000000.0,30250000000000.0,32142000000000.0
62,M,True,7728900000000.0,6288600000000.0,6552600000000.0,7490100000000.0,7489000000000.0,7807000000000.0,8226000000000.0,8014900000000.0,8970400000000.0,8567800000000.0,9888500000000.0,8735400000000.0,9112000000000.0,9580300000000.0,8106100000000.0
63,M,False,9580300000000.0,8106100000000.0,7842400000000.0,7949900000000.0,8230800000000.0,7527600000000.0,7911500000000.0,9197500000000.0,8845200000000.0,7999700000000.0,9250000000000.0,9445500000000.0,9267300000000.0,9213800000000.0,8696900000000.0
64,M,True,29067000000000.0,28383000000000.0,27528000000000.0,26518000000000.0,29051000000000.0,29530000000000.0,27777000000000.0,26446000000000.0,28366000000000.0,27815000000000.0,30231000000000.0,27675000000000.0,26690000000000.0,27429000000000.0,27435000000000.0
65,M,False,15443000000000.0,29387000000000.0,29854000000000.0,29723000000000.0,24804000000000.0,24031000000000.0,22060000000000.0,33844000000000.0,31608000000000.0,24959000000000.0,31069000000000.0,28878000000000.0,28854000000000.0,29587000000000.0,28663000000000.0
66,M,False,3515100000000.0,4534000000000.0,7915300000000.0,2107800000000.0,4054800000000.0,5291700000000.0,5169400000000.0,7067900000000.0,5660000000000.0,5086800000000.0,5283900000000.0,4720100000000.0,4458900000000.0,3181400000000.0,3246800000000.0
67,M,False,7721700000000.0,7827400000000.0,6708300000000.0,6667300000000.0,7636700000000.0,8237800000000.0,8651900000000.0,7928300000000.0,6639500000000.0,7464900000000.0,8933500000000.0,6449600000000.0,8349000000000.0,7594900000000.0,5721000000000.0
68,M,False,6536400000000.0,5858000000000.0,7374400000000.0,7333500000000.0,11865000000000.0,8374700000000.0,4691200000000.0,7387000000000.0,7426800000000.0,8808500000000.0,10129000000000.0,6332000000000.0,6599500000000.0,5855800000000.0,4490600000000.0
69,M,False,13924000000000.0,13892000000000.0,14849000000000.0,16541000000000.0,13893000000000.0,14895000000000.0,15239000000000.0,16676000000000.0,16652000000000.0,17708000000000.0,15257000000000.0,17142000000000.0,18404000000000.0,18651000000000.0,19602000000000.0
70,M,True,14661000000000.0,15136000000000.0,15634000000000.0,16341000000000.0,18314000000000.0,19680000000000.0,20206000000000.0,18810000000000.0,19090000000000.0,17003000000000.0,15722000000000.0,18292000000000.0,17779000000000.0,16066000000000.0,15892000000000.0
71,M,False,16032000000000.0,17883000000000.0,19089000000000.0,18891000000000.0,18172000000000.0,20817000000000.0,19529000000000.0,17615000000000.0,17049000000000.0,16709000000000.0,15966000000000.0,15008000000000.0,17985000000000.0,16441000000000.0,19066000000000.0
72,M,True,6710900000000.0,15372000000000.0,6684100000000.0,3585300000000.0,4358300000000.0,5608500000000.0,6307500000000.0,8406400000000.0,7137500000000.0,8695600000000.0,9070900000000.0,8167200000000.0,10374000000000.0,8540500000000.0,9983800000000.0
73,M,False,17360000000000.0,15941000000000.0,16398000000000.0,16555000000000.0,16323000000000.0,17548000000000.0,18603000000000.0,18609000000000.0,18241000000000.0,17046000000000.0,17049000000000.0,17409000000000.0,17516000000000.0,18904000000000.0,19677000000000.0
74,M,False,18093000000000.0,16839000000000.0,19694000000000.0,18740000000000.0,19024000000000.0,19283000000000.0,20524000000000.0,20836000000000.0,21194000000000.0,21236000000000.0,21327000000000.0,20962000000000.0,20821000000000.0,20405000000000.0,21545000000000.0
75,M,False,1903900000000.0,3361300000000.0,2765500000000.0,3020200000000.0,2927100000000.0,2179400000000.0,2045200000000.0,1106900000000.0,1500000000000.0,1699500000000.0,656580000000.0,644190000000.0,878950000000.0,1435100000000.0,2793200000000.0
76,M,False,15154000000000.0,15544000000000.0,13709000000000.0,13045000000000.0,12183000000000.0,12422000000000.0,13698000000000.0,12376000000000.0,13156000000000.0,14214000000000.0,15325000000000.0,15981000000000.0,15306000000000.0,15632000000000.0,14811000000000.0
77,M,False,3097100000000.0,1770500000000.0,3504200000000.0,1402600000000.0,1449900000000.0,1622400000000.0,2926200000000.0,1196700000000.0,2279500000000.0,1849300000000.0,3137700000000.0,898180000000.0,3007000000000.0,2223200000000.0,1777800000000.0
78,M,True,5414000000000.0,6545900000000.0,5525100000000.0,6521400000000.0,3440400000000.0,6192700000000.0,6856300000000.0,7984400000000.0,6142100000000.0,5929600000000.0,6675700000000.0,6476900000000.0,3820000000000.0,3356900000000.0,4328100000000.0
79,M,True,42584000000000.0,42591000000000.0,42305000000000.0,41444000000000.0,45249000000000.0,44709000000000.0,42559000000000.0,40842000000000.0,40742000000000.0,39615000000000.0,40106000000000.0,37778000000000.0,40095000000000.0,40948000000000.0,42443000000000.0
80,M,False,27825000000000.0,27881000000000.0,28773000000000.0,27101000000000.0,26507000000000.0,24884000000000.0,25498000000000.0,25076000000000.0,23889000000000.0,22971000000000.0,22490000000000.0,24653000000000.0,24891000000000.0,26119000000000.0,26107000000000.0
81,M,True,41247000000000.0,43275000000000.0,44630000000000.0,44607000000000.0,41649000000000.0,41713000000000.0,41654000000000.0,39833000000000.0,40885000000000.0,40119000000000.0,39428000000000.0,39177000000000.0,39057000000000.0,40252000000000.0,39626000000000.0
82,M,False,42732000000000.0,44323000000000.0,46376000000000.0,44128000000000.0,46214000000000.0,47614000000000.0,45226000000000.0,46870000000000.0,41354000000000.0,47060000000000.0,47571000000000.0,48082000000000.0,47612000000000.0,48141000000000.0,48668000000000.0
83,M,True,44633000000000.0,46628000000000.0,47450000000000.0,45201000000000.0,45327000000000.0,45362000000000.0,47230000000000.0,48047000000000.0,47815000000000.0,46893000000000.0,48143000000000.0,48821000000000.0,46268000000000.0,44671000000000.0,43938000000000.0
84,M,False,39264000000000.0,39600000000000.0,38381000000000.0,37250000000000.0,34948000000000.0,36166000000000.0,36355000000000.0,35904000000000.0,35462000000000.0,36790000000000.0,36472000000000.0,34550000000000.0,35980000000000.0,35876000000000.0,36471000000000.0
85,M,True,2059300000000.0,1278600000000.0,1271200000000.0,1172600000000.0,1649600000000.0,1434700000000.0,1417100000000.0,1246300000000.0,2028300000000.0,1366300000000.0,962060000000.0,2042000000000.0,2036600000000.0,1247800000000.0,2658900000000.0
86,M,False,4284000000000.0,3729300000000.0,3102800000000.0,3533600000000.0,2398500000000.0,2816500000000.0,1809500000000.0,1818500000000.0,2226200000000.0,1122300000000.0,2068200000000.0,1300300000000.0,996900000000.0,1773200000000.0,1305400000000.0
87,M,False,2113600000000.0,3183500000000.0,2531900000000.0,2638200000000.0,2450800000000.0,2168500000000.0,3570600000000.0,2987500000000.0,4126200000000.0,2890500000000.0,2281800000000.0,2612400000000.0,2862900000000.0,3479800000000.0,3311700000000.0
88,M,True,8267400000000.0,8557100000000.0,8217400000000.0,7269100000000.0,7452500000000.0,8095800000000.0,7676700000000.0,7856500000000.0,7662600000000.0,8227700000000.0,8509200000000.0,8518200000000.0,8597200000000.0,8102800000000.0,7087200000000.0
89,M,True,16401000000000.0,15446000000000.0,14167000000000.0,13946000000000.0,12873000000000.0,12426000000000.0,11476000000000.0,12871000000000.0,11829000000000.0,11211000000000.0,10121000000000.0,11272000000000.0,11660000000000.0,10423000000000.0,10111000000000.0
90,M,False,13289000000000.0,12477000000000.0,12877000000000.0,15009000000000.0,14867000000000.0,12611000000000.0,12013000000000.0,11850000000000.0,11090000000000.0,10956000000000.0,9457200000000.0,11159000000000.0,12181000000000.0,11904000000000.0,11824000000000.0
91,M,True,8518600000000.0,8034000000000.0,7615800000000.0,8022900000000.0,9146100000000.0,8442200000000.0,8480900000000.0,11299000000000.0,10693000000000.0,10354000000000.0,8845300000000.0,9480100000000.0,10273000000000.0,10705000000000.0,11667000000000.0
92,M,False,13091000000000.0,14380000000000.0,12558000000000.0,16237000000000.0,10823000000000.0,14345000000000.0,14531000000000.0,16046000000000.0,13663000000000.0,14585000000000.0,16166000000000.0,14417000000000.0,16104000000000.0,15465000000000.0,12562000000000.0
93,M,False,5186200000000.0,5236200000000.0,4573500000000.0,4842400000000.0,6241100000000.0,5295200000000.0,6246100000000.0,6446900000000.0,6604000000000.0,5378400000000.0,3312700000000.0,2742100000000.0,6392300000000.0,4052900000000.0,3340100000000.0
94,M,True,13076000000000.0,12257000000000.0,11647000000000.0,13676000000000.0,12145000000000.0,12593000000000.0,11892000000000.0,11465000000000.0,11645000000000.0,11470000000000.0,10036000000000.0,10135000000000.0,12073000000000.0,10080000000000.0,10155000000000.0
95,M,True,15981000000000.0,14511000000000.0,17389000000000.0,16255000000000.0,15755000000000.0,17875000000000.0,16244000000000.0,19100000000000.0,15526000000000.0,18592000000000.0,16103000000000.0,16405000000000.0,17898000000000.0,18381000000000.0,18753000000000.0
96,M,True,25076000000000.0,32717000000000.0,29238000000000.0,28025000000000.0,30386000000000.0,30064000000000.0,43190000000000.0,32545000000000.0,32395000000000.0,32537000000000.0,16349000000000.0,32417000000000.0,36688000000000.0,37600000000000.0,39732000000000.0
97,M,False,22644000000000.0,19804000000000.0,25603000000000.0,15436000000000.0,13343000000000.0,19067000000000.0,23488000000000.0,12591000000000.0,16749000000000.0,27104000000000.0,21985000000000.0,20376000000000.0,18210000000000.0,28374000000000.0,15031000000000.0
98,M,False,4887400000000.0,7676000000000.0,3764600000000.0,7141400000000.0,5888800000000.0,6646900000000.0,10004000000000.0,8480200000000.0,8990700000000.0,8880000000000.0,7176100000000.0,6603600000000.0,9904800000000.0,5773100000000.0,8620200000000.0
99,M,True,17688000000000.0,33798000000000.0,16884000000000.0,20288000000000.0,17740000000000.0,14706000000000.0,4239700000000.0,15480000000000.0,11516000000000.0,2565100000000.0,3836000000000.0,3574800000000.0,11429000000000.0,2780500000000.0,16673000000000.0
100,M,False,20288000000000.0,17740000000000.0,14706000000000.0,4239700000000.0,15480000000000.0,11516000000000.0,2565100000000.0,3836000000000.0,3574800000000.0,11429000000000.0,2780500000000.0,16673000000000.0,21281000000000.0,19396000000000.0,11024000000000.0
101,M,False,2565100000000.0,3836000000000.0,3574800000000.0,11429000000000.0,2780500000000.0,16673000000000.0,21281000000000.0,19396000000000.0,11024000000000.0,3884400000000.0,12734000000000.0,15448000000000.0,12082000000000.0,33555000000000.0,15019000000000.0
102,M,False,21281000000000.0,19396000000000.0,11024000000000.0,3884400000000.0,12734000000000.0,15448000000000.0,12082000000000.0,33555000000000.0,15019000000000.0,20613000000000.0,11110000000000.0,20431000000000.0,21060000000000.0,10373000000000.0,26867000000000.0
103,M,False,18453000000000.0,20064000000000.0,20043000000000.0,23295000000000.0,19743000000000.0,23176000000000.0,24447000000000.0,22737000000000.0,9993600000000.0,17552000000000.0,18875000000000.0,21931000000000.0,17089000000000.0,20669000000000.0,20070000000000.0
104,M,True,10889000000000.0,10574000000000.0,12028000000000.0,6096200000000.0,4679500000000.0,4128300000000.0,11518000000000.0,11342000000000.0,6834800000000.0,6959000000000.0,5994500000000.0,3538400000000.0,5599000000000.0,4861000000000.0,9930100000000.0
105,M,False,1503000000000.0,4098000000000.0,4491600000000.0,2272100000000.0,2457200000000.0,2550100000000.0,2506000000000.0,2382100000000.0,3838800000000.0,2331100000000.0,3231800000000.0,5966300000000.0,6535100000000.0,6492800000000.0,6237600000000.0
106,M,False,14695000000000.0,16847000000000.0,14619000000000.0,11377000000000.0,15455000000000.0,17039000000000.0,17808000000000.0,13326000000000.0,17025000000000.0,14458000000000.0,15021000000000.0,13803000000000.0,12671000000000.0,13024000000000.0,12480000000000.0
107,M,False,9290200000000.0,8987600000000.0,8727700000000.0,9649200000000.0,11139000000000.0,10561000000000.0,10589000000000.0,10450000000000.0,11022000000000.0,11929000000000.0,11922000000000.0,11183000000000.0,11279000000000.0,11251000000000.0,11670000000000.0
