,FLARE_TYPE,COINCIDENCE,MEANGAM_21,MEANGAM_22,MEANGAM_23,MEANGAM_24,MEANGAM_25,MEANGAM_26,MEANGAM_27,MEANGAM_28,MEANGAM_29,MEANGAM_30,MEANGAM_31,MEANGAM_32,MEANGAM_33,MEANGAM_34,MEANGAM_35,MEANGAM_36,MEANGAM_37,MEANGAM_38,MEANGAM_39,MEANGAM_40,MEANGAM_41,MEANGAM_42,MEANGAM_43,MEANGAM_44,MEANGAM_45,MEANGAM_46,MEANGAM_47,MEANGAM_48,MEANGAM_49,MEANGAM_50,MEANGAM_51,MEANGAM_52,MEANGAM_53,MEANGAM_54,MEANGAM_55,MEANGAM_56,MEANGAM_57,MEANGAM_58,MEANGAM_59,MEANGAM_60,MEANGAM_61,MEANGAM_62,MEANGAM_63,MEANGAM_64,MEANGAM_65,MEANGAM_66,MEANGAM_67,MEANGAM_68,MEANGAM_69,MEANGAM_70,MEANGAM_71,MEANGAM_72,MEANGAM_73,MEANGAM_74,MEANGAM_75,MEANGAM_76,MEANGAM_77,MEANGAM_78,MEANGAM_79,MEANGAM_80,MEANGAM_81,MEANGAM_82,MEANGAM_83,MEANGAM_84,MEANGAM_85,MEANGAM_86,MEANGAM_87,MEANGAM_88,MEANGAM_89,MEANGAM_90,MEANGAM_91,MEANGAM_92,MEANGAM_93,MEANGAM_94,MEANGAM_95,MEANGAM_96,MEANGAM_97,MEANGAM_98,MEANGAM_99,MEANGAM_100
0,X,False,60.466,60.511,60.453,60.492,60.563,60.406,60.226,60.34,60.191,60.153,60.002,59.937,59.951,59.856,60.087,59.95,60.026,60.181,60.026,60.169,60.368,60.309,60.482,60.564,60.707,60.699,60.831,60.948,60.915,60.925,60.967,60.869,60.901,60.888,60.862,60.711,60.612,60.587,60.495,60.419,60.509,60.629,60.631,60.493,60.438,60.468,60.425,60.443,60.378,60.416,60.356,60.472,60.383,60.367,60.387,60.325,60.341,60.367,60.336,60.263,60.095,59.962,59.877,59.815,59.9,60.039,60.068,59.96,60.179,60.312,60.172,60.206,60.175,60.168,60.145,59.961,60.026,60.041,60.128,60.039
1,X,False,57.913,58.169,58.202,58.195,58.287,58.283,58.258,58.361,58.306,58.39,58.311,58.367,58.414,58.276,58.437,58.494,58.46,58.457,58.211,58.141,58.103,58.197,58.122,58.011,58.006,58.171,58.105,58.232,58.431,58.576,58.61,58.688,58.811,58.929,59.039,59.02,59.023,58.96,59.02,58.837,58.823,58.805,58.765,58.638,58.579,58.457,58.375,58.385,58.513,58.339,58.248,58.252,58.181,58.138,58.079,58.017,57.991,58.027,58.019,58.038,58.126,58.162,58.164,58.05,57.936,57.994,57.933,57.773,57.53,57.467,57.218,57.103,56.981,56.888,56.749,56.503,56.46,56.455,56.309,56.427
2,X,False,44.613,44.85,44.804,44.59,44.484,44.778,44.855,44.877,44.791,44.858,44.923,44.538,44.832,44.721,44.747,44.753,44.825,44.572,44.27,44.414,44.239,43.831,43.848,43.758,43.698,43.557,43.414,43.326,43.151,43.38,43.221,43.284,43.386,43.349,43.214,43.128,43.099,43.138,43.006,43.145,42.923,42.81,42.693,42.775,43.08,42.801,43.272,43.453,43.063,43.234,43.259,43.284,43.255,43.44,43.259,43.209,43.13,43.057,43.081,43.144,43.108,43.251,43.104,43.313,43.374,43.211,43.084,43.175,43.007,43.134,43.219,43.033,43.127,42.763,43.093,43.115,43.762,43.241,43.403,43.449
3,X,False,54.804,54.703,54.615,54.472,54.111,54.091,53.797,54.038,53.69,53.611,53.454,53.401,53.587,53.341,52.874,52.583,52.201,51.627,51.392,51.379,51.371,51.759,52.585,52.594,53.135,53.51,53.656,53.762,53.757,53.897,53.862,53.949,53.488,53.128,53.169,52.981,52.717,52.62,52.629,51.911,51.629,51.705,51.496,51.69,51.575,51.802,51.966,51.852,51.74,52.113,52.123,52.383,52.139,52.345,52.228,52.168,51.734,51.924,51.775,51.571,51.739,51.566,51.084,51.242,51.135,51.067,50.992,50.986,51.177,50.961,50.859,50.976,51.315,51.604,51.628,51.544,51.707,51.526,51.452,51.255
4,X,True,48.385,48.516,48.559,48.475,48.678,48.362,48.298,48.472,48.408,48.252,48.063,48.085,47.953,47.796,47.826,47.703,47.589,47.554,47.436,46.892,47.106,47.477,47.728,47.73,48.042,47.743,47.982,48.225,48.144,48.101,48.157,48.616,48.647,48.358,48.01,47.817,48.138,47.99,47.853,47.609,47.658,47.342,47.043,46.901,47.102,47.09,46.978,47.0,47.077,47.134,46.67,46.702,46.941,47.003,47.19,46.776,46.734,46.884,46.568,46.501,46.42,46.214,46.424,46.054,46.04,45.942,46.092,46.089,46.421,46.576,46.883,46.733,46.467,46.405,46.547,46.573,46.611,46.364,45.909,45.78
5,X,True,45.926,46.362,46.601,46.287,46.708,45.782,46.146,46.318,46.084,46.217,46.352,46.426,46.643,46.945,46.51,46.677,46.613,46.559,46.482,46.425,46.368,46.281,46.438,46.882,46.803,46.707,46.968,47.419,46.675,47.797,47.427,47.45,47.169,47.877,46.922,47.115,47.018,47.739,48.149,47.64,47.688,47.388,47.411,47.811,47.922,47.473,47.651,47.444,47.91,47.489,47.499,47.705,47.751,47.477,48.298,48.078,47.768,48.449,48.729,48.457,48.321,48.126,48.075,48.286,48.213,48.136,48.162,48.535,48.471,48.559,48.658,48.837,48.855,48.575,48.759,48.811,48.749,48.519,48.903,48.901
6,X,False,45.488,45.396,45.349,45.495,45.6,45.55,45.825,45.432,45.497,45.469,45.377,45.441,45.439,45.557,45.567,45.928,45.957,46.212,45.981,46.096,46.222,46.541,46.459,46.347,46.403,46.455,46.169,45.946,45.951,46.182,46.472,45.86,45.672,45.674,45.179,45.391,45.112,45.268,44.857,45.121,44.654,44.965,45.505,44.767,44.924,45.174,45.065,45.449,45.494,45.76,45.725,45.927,46.077,46.04,45.953,45.897,45.843,45.572,45.373,45.624,45.52,45.401,45.615,45.367,45.814,45.894,45.874,45.888,45.742,45.366,45.863,46.016,45.989,45.471,45.494,45.838,45.752,45.741,45.551,45.572
7,X,False,33.991,34.127,34.708,34.504,34.487,34.287,34.274,34.296,34.369,34.329,34.083,34.303,33.908,34.287,34.469,33.882,34.303,34.265,34.397,34.313,34.135,34.143,34.46,34.588,34.77,34.388,34.583,34.579,34.472,34.385,34.167,34.347,34.807,34.344,34.7,34.598,34.869,34.636,35.567,35.704,35.977,35.244,35.485,35.781,35.755,35.56,35.285,35.58,35.896,36.441,36.722,36.509,36.83,35.957,36.368,36.303,36.92,36.021,35.605,36.368,35.257,35.876,35.021,34.953,35.049,35.113,36.275,35.789,35.545,35.708,35.776,36.029,34.38,34.812,35.04,34.81,34.198,32.843,33.4,32.969
8,X,True,48.532,48.624,48.847,48.916,48.927,48.621,48.913,48.36,48.157,47.844,47.927,47.777,47.51,47.986,47.642,47.642,46.88,47.306,47.171,47.606,47.118,47.426,47.629,47.587,47.746,48.232,47.537,48.179,48.065,47.867,48.099,48.004,48.048,48.056,47.768,47.807,47.432,47.148,47.886,47.865,47.471,47.359,47.47,47.688,47.877,47.71,47.822,47.698,47.913,47.647,47.892,47.926,47.563,47.305,47.579,47.747,47.42,47.276,47.491,47.363,47.601,47.929,47.834,47.384,47.801,47.572,47.288,47.356,47.145,47.44,47.192,47.986,47.91,48.093,48.051,48.482,48.159,48.311,48.037,48.097
9,X,False,47.136,46.497,47.022,46.862,46.63,46.459,46.655,47.093,46.921,46.887,46.407,46.479,46.084,46.272,46.219,46.476,46.13,45.988,45.567,45.627,45.82,45.662,45.449,45.407,45.579,45.696,45.395,45.108,45.354,45.548,45.258,45.33,45.413,45.261,45.218,45.003,45.007,45.276,45.276,45.119,45.251,45.158,45.108,45.14,45.362,45.063,45.24,45.143,45.18,44.979,44.913,45.107,45.032,45.141,44.962,44.921,44.829,45.157,44.83,45.037,44.957,45.343,45.442,45.168,45.293,45.313,45.245,45.152,45.194,45.032,45.186,44.843,44.812,44.865,44.754,44.467,44.219,44.115,44.254,44.01
