,FLARE_TYPE,COINCIDENCE,ABSNJZH_21,ABSNJZH_22,ABSNJZH_23,ABSNJZH_24,ABSNJZH_25,ABSNJZH_26,ABSNJZH_27,ABSNJZH_28,ABSNJZH_29,ABSNJZH_30,ABSNJZH_31,ABSNJZH_32,ABSNJZH_33,ABSNJZH_34,ABSNJZH_35,ABSNJZH_36,ABSNJZH_37,ABSNJZH_38,ABSNJZH_39,ABSNJZH_40,ABSNJZH_41,ABSNJZH_42,ABSNJZH_43,ABSNJZH_44,ABSNJZH_45,ABSNJZH_46,ABSNJZH_47,ABSNJZH_48,ABSNJZH_49,ABSNJZH_50,ABSNJZH_51,ABSNJZH_52,ABSNJZH_53,ABSNJZH_54,ABSNJZH_55,ABSNJZH_56,ABSNJZH_57,ABSNJZH_58,ABSNJZH_59,ABSNJZH_60,ABSNJZH_61,ABSNJZH_62,ABSNJZH_63,ABSNJZH_64,ABSNJZH_65,ABSNJZH_66,ABSNJZH_67,ABSNJZH_68,ABSNJZH_69,ABSNJZH_70,ABSNJZH_71,ABSNJZH_72,ABSNJZH_73,ABSNJZH_74,ABSNJZH_75,ABSNJZH_76,ABSNJZH_77,ABSNJZH_78,ABSNJZH_79,ABSNJZH_80,ABSNJZH_81,ABSNJZH_82,ABSNJZH_83,ABSNJZH_84,ABSNJZH_85,ABSNJZH_86,ABSNJZH_87,ABSNJZH_88,ABSNJZH_89,ABSNJZH_90,ABSNJZH_91,ABSNJZH_92,ABSNJZH_93,ABSNJZH_94,ABSNJZH_95,ABSNJZH_96,ABSNJZH_97,ABSNJZH_98,ABSNJZH_99,ABSNJZH_100
0,X,False,812.3,808.52,809.8,819.73,799.24,793.95,812.98,789.51,797.36,795.91,780.3,761.33,733.78,736.71,745.64,745.17,750.03,730.12,741.92,708.42,693.79,734.77,730.57,755.25,663.98,651.0,689.87,647.52,654.27,648.22,664.06,679.84,661.02,651.29,646.09,643.17,622.68,583.28,585.15,562.45,570.66,558.12,545.61,504.75,482.89,465.46,469.15,481.63,486.28,492.85,526.54,550.47,550.31,552.51,546.39,586.02,556.76,571.52,551.89,544.08,530.65,538.15,546.0,574.17,589.99,599.23,621.89,613.09,595.25,570.66,561.67,562.51,562.0,569.04,578.45,574.06,614.56,620.47,622.63,640.21
1,X,False,254.9,217.6,200.82,210.44,184.94,212.22,223.93,186.39,177.13,166.06,177.84,182.17,140.17,152.45,129.66,90.933,90.055,90.383,122.35,143.44,150.27,156.47,149.4,171.1,195.44,189.66,210.63,196.01,223.53,190.97,188.63,164.91,142.09,121.66,128.34,130.82,127.59,107.97,116.32,110.75,60.454,80.973,64.136,41.307,33.995,24.972,3.5841,8.9445,5.6763,14.078,0.48529,12.639,13.745,5.6005,9.3769,13.712,51.95,34.412,56.018,2.8322,19.133,0.99737,40.346,44.213,41.218,13.877,19.701,29.39,29.815,14.861,21.356,31.827,13.548,2.4322,6.9587,24.425,21.578,46.543,89.306,76.028
2,X,False,794.55,791.72,786.67,773.87,789.89,776.95,808.42,799.13,807.34,819.84,796.92,777.95,799.16,815.54,816.77,823.27,810.28,828.31,846.81,843.17,836.86,849.8,861.54,847.62,868.05,880.77,896.14,906.37,920.01,927.67,941.42,948.37,978.15,1017.8,1025.2,1046.6,1055.3,1041.0,1072.3,1049.8,1061.4,1038.6,1041.9,1042.1,1029.8,1053.5,1042.7,1054.8,1057.9,1052.7,1057.9,1062.7,1092.9,1111.1,1098.5,1067.6,1093.0,1075.0,1110.6,1128.1,1075.2,1099.5,1061.1,1038.0,1050.3,1055.7,1064.7,1112.3,1099.1,1123.7,1173.9,1169.1,1132.0,1044.2,1104.9,1120.6,1231.5,1053.9,946.66,1062.9
3,X,False,216.6,220.31,216.68,209.99,206.44,202.66,212.41,196.74,234.43,249.1,276.81,284.44,281.25,299.84,302.55,313.64,291.55,299.55,274.04,276.28,259.15,273.46,237.42,212.92,214.28,222.28,239.74,225.63,219.82,222.9,216.94,221.25,233.64,239.34,249.0,253.04,246.39,251.34,240.07,233.48,240.8,226.1,237.39,244.08,232.89,221.58,201.77,218.06,211.41,230.86,228.83,230.14,238.31,232.42,237.06,246.78,234.8,243.64,242.02,261.75,263.73,263.15,253.02,265.95,251.03,246.99,235.59,268.66,267.41,266.23,294.01,296.32,289.32,289.95,267.29,269.72,267.87,276.27,265.46,250.57
4,X,True,394.91,395.41,393.15,374.29,377.66,379.38,392.68,398.49,387.66,407.9,397.53,384.78,394.21,391.3,379.28,394.45,405.38,396.68,400.38,389.1,398.73,379.74,356.15,351.23,358.56,333.33,353.45,353.22,346.63,353.42,357.87,356.63,349.98,354.21,351.75,358.46,348.14,330.14,344.28,339.1,327.19,332.41,321.53,327.91,317.3,320.73,322.83,313.63,329.31,315.66,303.12,296.9,312.25,304.92,276.28,280.31,296.25,291.05,287.43,282.4,303.54,288.18,294.08,279.69,267.48,282.0,287.01,271.78,267.21,244.31,235.15,233.12,244.21,231.6,236.29,217.53,223.87,222.79,201.04,202.83
5,X,True,327.16,459.12,736.58,401.87,463.39,665.83,564.03,621.61,574.2,931.32,524.95,596.36,948.95,984.87,579.95,966.86,958.53,991.99,603.0,702.43,648.79,1189.6,666.55,707.02,646.36,676.58,476.59,621.33,654.65,299.53,224.08,291.04,560.91,213.18,629.93,703.0,777.7,446.48,283.52,588.53,694.68,637.49,1426.2,605.52,1050.8,571.25,1019.3,648.83,500.44,1125.6,1227.2,1149.7,1086.6,1194.9,1082.1,1065.3,1087.3,1056.0,888.17,1022.0,1099.8,1089.5,1048.9,1127.6,1093.8,1022.7,1077.5,1022.1,1047.1,981.24,1016.6,996.63,967.52,786.14,889.69,946.64,941.6,868.01,937.32,909.88
6,X,False,260.54,189.15,315.12,223.62,318.12,317.37,298.47,272.83,206.38,293.46,186.31,247.03,255.98,220.76,215.12,63.224,264.11,50.527,237.57,156.41,179.98,25.463,24.255,170.31,51.765,3.4551,31.268,39.604,53.225,40.846,27.855,67.743,51.959,19.89,4.5936,25.886,26.484,19.867,85.226,17.467,20.13,22.349,55.719,162.17,180.0,151.1,92.184,6.9595,65.735,82.487,74.347,54.989,102.71,136.42,29.57,146.45,154.06,139.2,59.641,194.77,166.11,3.259,34.281,11.459,59.103,67.311,48.962,29.783,46.627,74.129,55.26,81.348,102.02,10.574,1.403,98.145,84.315,12.286,14.842,36.203
7,X,False,455.49,447.64,470.31,454.59,449.45,393.61,406.49,370.22,389.2,388.7,419.74,450.54,351.83,403.28,402.54,375.22,289.97,418.44,417.02,277.53,402.07,362.5,372.36,377.47,374.29,457.59,370.91,425.98,395.74,388.44,395.36,309.01,293.94,441.73,366.25,333.33,332.29,325.3,219.28,350.88,358.01,335.34,351.94,333.94,326.11,392.38,377.88,417.48,439.94,427.17,369.3,472.29,362.71,441.07,455.79,426.23,298.49,237.64,426.09,245.1,398.34,317.18,377.1,276.34,397.6,158.87,186.81,147.94,287.82,148.39,239.92,162.22,255.98,187.48,157.81,62.9,151.79,94.905,64.726,29.908
8,X,True,921.32,888.17,887.58,909.81,924.92,888.88,907.43,897.74,883.99,879.26,884.86,864.95,866.89,908.17,845.28,859.27,838.4,846.02,847.89,852.54,855.11,884.8,883.57,918.37,893.51,848.24,897.06,897.92,921.64,943.6,962.5,942.98,948.26,967.34,987.47,962.58,980.97,977.15,1006.9,1002.7,1031.6,1045.4,1009.6,1057.2,959.09,997.26,1010.4,1008.2,985.38,1017.2,992.66,975.3,1001.4,949.17,1008.4,1022.7,999.04,1014.7,1027.6,1016.4,1070.4,1048.6,1047.4,1037.8,1083.9,1059.5,1118.5,1097.5,1100.9,1127.1,1178.0,1168.9,1229.1,1227.1,1249.0,1249.8,1255.4,1264.7,1296.6,1277.1
9,X,False,1568.0,1646.5,1602.8,1618.2,1513.7,1763.4,1682.5,1717.7,1633.8,1369.3,1293.8,1620.1,1555.9,1424.7,1640.4,1596.9,1531.4,1506.0,1603.9,1607.9,1510.2,1552.9,1569.6,1608.2,1479.3,1644.5,1587.3,1531.0,1580.6,1562.1,1608.2,1598.5,1581.5,1552.2,1623.9,1530.5,1553.3,1529.5,1558.5,1475.7,1497.4,1595.7,1561.8,1558.7,1475.0,1600.1,1583.0,1607.6,1628.8,1681.7,1658.4,1656.2,1667.0,1718.9,1781.0,1790.2,1774.5,1828.4,1799.5,1784.4,1819.1,1821.2,1880.0,1920.4,1799.9,1810.8,1816.4,1875.5,1715.0,1788.9,1811.6,1888.6,1840.0,1870.7,1870.2,1904.8,1909.6,1931.6,1894.0,1915.4
