,FLARE_TYPE,COINCIDENCE,AREA_ACR_21,AREA_ACR_22,AREA_ACR_23,AREA_ACR_24,AREA_ACR_25,AREA_ACR_26,AREA_ACR_27,AREA_ACR_28,AREA_ACR_29,AREA_ACR_30,AREA_ACR_31,AREA_ACR_32,AREA_ACR_33,AREA_ACR_34,AREA_ACR_35,AREA_ACR_36,AREA_ACR_37,AREA_ACR_38,AREA_ACR_39,AREA_ACR_40,AREA_ACR_41,AREA_ACR_42,AREA_ACR_43,AREA_ACR_44,AREA_ACR_45,AREA_ACR_46,AREA_ACR_47,AREA_ACR_48,AREA_ACR_49,AREA_ACR_50,AREA_ACR_51,AREA_ACR_52,AREA_ACR_53,AREA_ACR_54,AREA_ACR_55,AREA_ACR_56,AREA_ACR_57,AREA_ACR_58,AREA_ACR_59,AREA_ACR_60,AREA_ACR_61,AREA_ACR_62,AREA_ACR_63,AREA_ACR_64,AREA_ACR_65,AREA_ACR_66,AREA_ACR_67,AREA_ACR_68,AREA_ACR_69,AREA_ACR_70,AREA_ACR_71,AREA_ACR_72,AREA_ACR_73,AREA_ACR_74,AREA_ACR_75,AREA_ACR_76,AREA_ACR_77,AREA_ACR_78,AREA_ACR_79,AREA_ACR_80,AREA_ACR_81,AREA_ACR_82,AREA_ACR_83,AREA_ACR_84,AREA_ACR_85,AREA_ACR_86,AREA_ACR_87,AREA_ACR_88,AREA_ACR_89,AREA_ACR_90,AREA_ACR_91,AREA_ACR_92,AREA_ACR_93,AREA_ACR_94,AREA_ACR_95,AREA_ACR_96,AREA_ACR_97,AREA_ACR_98,AREA_ACR_99,AREA_ACR_100
1730,N,False,464.18,462.59,461.14,460.26,460.24,459.36,459.98,460.06,457.73,452.24,451.73,454.63,455.66,453.19,451.43,453.82,456.05,458.49,454.07,451.02,455.41,459.0,456.76,455.49,457.02,452.57,455.21,454.27,457.7,454.6,456.87,455.62,455.02,454.23,452.98,447.26,444.43,445.95,448.32,446.34,442.74,442.09,441.99,442.11,444.45,444.63,441.25,439.35,438.84,436.96,436.73,440.55,437.95,433.17,430.14,427.31,432.69,432.87,432.37,433.91,428.52,427.66,428.34,429.37,432.33,434.67,432.96,430.56,428.26,425.14,427.47,426.58,424.84,424.08,419.5,416.12,414.77,416.62,408.92,406.24
1731,N,False,216.69,219.1,217.58,214.72,214.05,217.09,217.3,211.54,210.99,211.31,210.0,207.76,208.58,209.38,210.7,206.13,208.57,205.56,206.89,214.45,214.06,206.33,207.78,205.35,200.81,205.67,203.57,206.36,207.4,210.25,213.45,211.15,209.06,207.67,206.21,205.08,206.29,202.14,202.75,196.37,202.57,200.25,196.41,195.95,193.97,189.11,186.51,188.27,183.97,184.18,183.99,184.09,184.72,183.44,179.42,179.81,180.48,187.74,185.25,183.6,183.59,181.17,180.85,182.5,182.99,185.57,183.03,181.13,179.34,178.93,176.53,176.78,176.07,175.66,177.08,174.66,174.22,177.95,175.34,173.7
1732,N,False,111.63,112.97,113.44,112.3,111.97,112.66,111.65,112.21,111.14,110.89,109.66,111.88,111.34,113.66,112.56,111.43,110.33,109.43,108.76,108.79,107.49,106.26,109.18,106.83,108.91,107.24,106.34,105.14,105.38,102.84,103.84,106.44,106.7,105.07,105.72,103.63,104.88,104.08,105.0,103.13,101.13,100.23,97.39,97.492,97.555,99.978,97.925,99.259,100.05,100.48,99.563,96.121,96.553,93.208,94.535,91.533,90.447,89.111,86.554,86.278,88.227,85.355,86.531,85.787,83.089,83.326,83.536,86.166,83.375,82.933,84.048,81.08,81.955,80.56,79.787,78.704,78.915,78.28,77.424,76.306
1733,N,False,121.16,122.65,126.03,125.03,127.14,127.28,128.12,128.52,130.08,130.01,127.86,131.5,130.51,131.34,129.59,128.27,129.63,129.1,132.56,133.47,132.57,131.74,135.52,135.08,137.12,140.77,139.98,139.24,140.41,139.54,134.72,133.9,133.23,131.28,131.8,131.18,133.23,135.24,134.98,132.23,132.58,132.12,131.84,133.63,131.48,133.28,133.85,134.89,133.94,132.92,133.42,131.0,132.57,133.63,134.69,129.93,129.24,127.51,128.82,128.35,128.73,129.91,128.5,129.62,132.02,135.14,136.51,137.27,138.51,138.09,138.52,136.94,138.69,139.77,136.75,137.87,137.57,139.11,139.13,138.9
1734,N,False,767.79,774.45,774.78,774.34,774.0,771.9,767.03,766.67,768.45,774.35,778.62,782.84,788.62,784.13,786.73,791.86,787.04,793.74,787.77,786.73,785.82,782.33,783.5,780.25,784.23,781.44,781.07,785.35,782.38,775.37,783.07,784.16,782.19,781.49,775.37,782.54,782.15,783.72,784.64,787.96,786.18,784.07,780.42,787.25,785.83,784.54,778.39,771.24,773.78,770.59,774.21,773.3,770.98,770.51,769.17,761.29,761.17,767.52,763.0,769.1,771.33,775.89,774.62,780.0,781.1,781.46,778.25,776.17,772.25,773.33,773.64,774.03,774.08,778.56,775.16,772.74,773.13,765.18,766.71,770.42
1735,N,False,134.42,134.69,133.83,130.26,130.03,129.0,129.79,131.38,131.33,131.93,130.01,128.65,128.54,129.39,129.29,128.8,130.81,129.73,130.37,131.37,129.92,131.35,134.14,132.57,133.09,134.14,133.64,134.67,135.9,135.88,135.82,134.99,137.44,136.04,135.07,135.26,135.18,137.27,138.21,137.67,137.7,136.78,137.68,136.9,136.32,137.86,137.12,135.78,136.72,135.77,133.25,132.36,130.6,130.89,130.65,131.23,131.32,131.8,131.18,131.09,129.09,128.62,128.78,128.31,130.46,130.41,130.17,131.87,130.17,127.74,127.1,125.75,123.06,123.6,123.38,123.02,123.13,123.57,120.23,120.21
1736,N,False,209.21,212.56,214.15,211.65,212.38,212.79,215.22,215.31,216.43,217.11,216.64,214.17,213.24,214.74,218.25,219.92,217.67,219.07,222.8,224.13,222.43,227.11,225.47,226.17,223.83,226.75,226.23,225.7,229.92,229.95,227.51,229.57,231.87,229.47,231.45,231.3,234.18,234.78,233.77,235.16,237.83,237.3,239.7,238.87,240.54,240.59,242.44,243.93,244.44,240.26,243.32,245.27,246.95,249.73,250.68,248.74,249.25,249.29,249.05,247.16,247.47,247.22,248.74,247.13,250.05,249.43,248.24,247.36,247.56,247.42,248.66,246.77,247.79,251.27,248.9,247.36,251.47,252.45,251.26,254.33
1737,N,False,81.055,80.236,78.602,77.953,77.633,77.149,77.611,77.107,76.529,77.578,77.847,78.987,79.724,80.045,78.96,78.709,78.072,76.813,76.258,76.494,78.054,76.454,78.681,80.836,79.399,80.393,77.669,81.559,78.276,77.67,79.3,77.432,79.013,77.153,77.904,76.374,74.195,75.822,77.066,74.744,72.436,71.261,70.813,72.026,73.968,72.903,72.452,73.885,71.242,70.222,67.501,67.745,68.208,71.445,70.486,71.665,72.696,75.113,72.543,71.315,73.512,70.892,71.13,72.615,72.188,72.632,69.943,71.515,68.94,67.179,66.949,69.035,68.499,67.434,67.415,64.812,64.635,61.975,60.797,60.836
1738,N,False,611.16,614.73,616.93,615.64,617.74,614.0,615.17,615.71,614.32,616.62,617.85,616.71,617.64,615.43,612.91,613.2,614.29,608.84,610.13,609.45,607.9,606.41,613.3,613.5,611.41,611.54,619.14,620.42,625.14,629.72,637.53,636.16,633.76,631.24,629.63,631.82,636.79,629.8,631.66,634.76,630.41,627.52,625.44,620.25,627.01,623.05,627.75,626.35,634.43,630.36,623.48,624.16,620.28,625.92,621.16,615.87,619.08,621.22,618.27,623.56,625.54,625.37,628.82,630.06,628.73,627.87,622.98,620.51,612.65,609.99,604.95,614.53,606.24,604.13,597.09,593.12,589.88,581.08,577.17,575.53
1739,N,False,120.0,119.02,117.53,116.78,118.58,118.27,116.65,117.14,116.17,111.53,112.31,111.96,112.53,112.27,113.48,113.81,113.33,113.83,112.99,111.19,113.56,116.14,117.02,116.82,115.65,114.15,113.71,112.0,113.17,112.07,109.69,109.68,108.18,110.28,109.13,107.04,106.06,106.54,108.48,109.28,109.71,107.48,109.74,109.27,109.65,109.15,109.4,107.27,107.14,103.62,103.78,103.93,101.85,100.85,103.2,101.93,102.84,101.25,98.376,96.93,97.923,98.365,98.969,95.854,96.469,96.231,96.238,94.846,94.322,94.14,94.097,94.553,93.818,92.107,91.5,93.04,89.868,90.239,91.544,92.861
