,FLARE_TYPE,COINCIDENCE,TOTUSJH_21,TOTUSJH_22,TOTUSJH_23,TOTUSJH_24,TOTUSJH_25,TOTUSJH_26,TOTUSJH_27,TOTUSJH_28,TOTUSJH_29,TOTUSJH_30,TOTUSJH_31,TOTUSJH_32,TOTUSJH_33,TOTUSJH_34,TOTUSJH_35,TOTUSJH_36,TOTUSJH_37,TOTUSJH_38,TOTUSJH_39,TOTUSJH_40,TOTUSJH_41,TOTUSJH_42,TOTUSJH_43,TOTUSJH_44,TOTUSJH_45,TOTUSJH_46,TOTUSJH_47,TOTUSJH_48,TOTUSJH_49,TOTUSJH_50,TOTUSJH_51,TOTUSJH_52,TOTUSJH_53,TOTUSJH_54,TOTUSJH_55,TOTUSJH_56,TOTUSJH_57,TOTUSJH_58,TOTUSJH_59,TOTUSJH_60,TOTUSJH_61,TOTUSJH_62,TOTUSJH_63,TOTUSJH_64,TOTUSJH_65,TOTUSJH_66,TOTUSJH_67,TOTUSJH_68,TOTUSJH_69,TOTUSJH_70,TOTUSJH_71,TOTUSJH_72,TOTUSJH_73,TOTUSJH_74,TOTUSJH_75,TOTUSJH_76,TOTUSJH_77,TOTUSJH_78,TOTUSJH_79,TOTUSJH_80,TOTUSJH_81,TOTUSJH_82,TOTUSJH_83,TOTUSJH_84,TOTUSJH_85,TOTUSJH_86,TOTUSJH_87,TOTUSJH_88,TOTUSJH_89,TOTUSJH_90,TOTUSJH_91,TOTUSJH_92,TOTUSJH_93,TOTUSJH_94,TOTUSJH_95,TOTUSJH_96,TOTUSJH_97,TOTUSJH_98,TOTUSJH_99,TOTUSJH_100
1302,B,False,110.98,109.02,103.34,105.08,94.639,92.857,98.41,98.613,98.276,97.046,93.617,89.468,93.199,97.186,101.22,100.01,98.43,106.04,102.88,98.631,108.49,112.5,122.17,127.41,130.75,137.5,143.87,135.92,137.46,147.34,153.59,162.44,161.04,162.02,176.38,178.82,174.36,173.85,172.2,169.12,172.32,178.07,170.35,185.68,188.56,179.19,189.58,189.49,194.27,216.27,217.98,230.52,234.22,232.12,230.28,232.58,237.52,241.28,275.95,275.25,272.93,284.59,277.05,277.81,280.96,285.25,290.16,286.81,283.52,277.14,278.7,270.2,255.35,252.68,250.33,247.45,262.29,261.37,247.65,240.23
1303,B,False,696.35,688.31,692.49,695.42,688.05,703.94,710.34,709.37,717.15,722.2,725.56,728.49,737.1,740.04,740.94,730.09,727.02,735.98,745.28,751.99,745.55,750.8,739.06,747.93,740.26,744.21,741.8,749.15,749.67,743.25,739.59,744.82,732.57,740.02,742.11,735.8,739.83,734.71,746.46,743.39,757.7,751.68,759.84,752.26,746.33,745.58,738.83,732.11,730.95,742.25,756.57,758.2,745.99,746.39,725.94,745.63,750.41,752.61,753.22,753.14,763.14,761.11,748.87,751.17,756.25,760.19,759.88,753.54,754.3,766.71,765.91,783.65,770.21,767.15,759.96,746.39,734.48,735.1,738.89,729.13
1304,B,False,471.09,483.65,487.67,485.4,489.3,485.08,480.1,487.18,493.16,495.36,512.51,505.99,505.09,548.47,554.78,526.31,518.46,509.92,503.8,489.43,488.14,496.25,498.69,489.96,499.87,483.82,479.47,469.49,476.47,479.74,483.68,489.03,487.52,480.56,490.95,489.3,488.14,502.38,492.41,489.86,495.89,498.21,509.69,504.45,507.25,515.03,513.6,510.0,504.25,500.48,500.85,513.22,501.66,508.57,487.7,488.51,483.06,468.61,455.14,441.58,452.98,452.53,446.37,431.24,420.94,421.05,430.37,435.82,429.65,434.11,437.04,447.77,437.04,443.47,446.01,453.21,467.63,464.15,462.22,462.91
1305,B,False,698.97,697.08,691.66,684.9,722.91,708.37,721.54,697.43,690.01,673.96,693.56,682.3,693.45,694.72,693.51,708.33,701.19,694.57,695.01,703.25,733.03,724.91,700.4,720.11,710.54,703.09,701.38,689.85,687.51,686.24,681.97,672.14,664.68,658.87,651.11,655.54,661.43,657.31,651.84,652.29,676.58,665.32,644.35,649.64,657.79,669.8,658.42,650.41,660.5,642.72,640.67,629.0,639.48,623.44,626.48,610.37,595.87,588.75,608.48,595.74,601.04,595.18,606.55,612.68,634.52,626.07,620.24,627.28,614.02,601.84,605.14,599.25,608.72,608.16,610.85,610.66,609.89,596.38,605.49,606.92
1306,B,False,617.7,640.59,650.24,633.0,634.24,652.99,650.93,662.17,656.91,643.55,648.21,648.67,652.29,658.85,642.44,640.93,639.73,647.69,656.15,676.88,682.66,691.24,707.6,721.18,706.49,705.65,703.69,715.18,723.41,739.44,732.16,745.94,737.75,737.77,751.41,739.71,736.32,720.78,726.1,713.42,723.94,704.28,723.05,729.15,728.32,732.94,730.2,710.34,716.7,728.74,723.66,724.93,680.82,718.69,723.39,722.64,718.16,745.25,731.76,743.62,760.1,743.51,749.07,727.46,726.06,721.35,718.6,721.55,717.0,718.32,714.54,715.99,713.1,706.34,706.54,709.68,700.35,691.57,699.99,701.5
1307,B,False,43.02,44.356,46.328,46.017,42.371,43.736,50.668,47.662,49.28,48.981,48.039,48.465,43.279,42.73,40.852,36.21,35.695,37.074,38.971,36.359,37.05,38.636,35.507,33.474,34.49,33.26,33.04,30.209,28.37,33.898,32.329,27.387,28.649,29.433,30.274,28.52,30.519,31.348,29.295,27.985,24.634,29.363,24.529,23.406,28.527,24.425,25.21,25.147,22.551,25.377,25.594,27.063,29.382,29.964,29.623,30.299,35.124,37.526,37.227,38.72,47.578,47.246,48.509,48.374,56.851,60.511,55.168,65.783,64.234,69.708,72.591,76.025,83.891,92.661,80.21,88.445,81.832,88.928,87.533,86.916
1308,B,False,132.74,128.88,125.38,118.68,130.69,131.25,122.36,125.95,126.43,118.91,125.7,119.47,116.08,118.27,119.24,120.46,121.58,120.43,124.76,111.29,109.64,99.782,99.068,99.834,102.87,98.377,96.049,95.648,89.082,93.595,99.735,97.036,96.208,95.16,91.74,95.44,88.106,88.684,90.483,95.229,96.893,93.905,97.436,86.555,91.191,88.28,90.33,90.08,85.972,85.559,83.54,87.713,85.199,85.805,87.977,89.79,94.267,97.108,98.086,95.111,95.127,95.797,90.559,93.42,93.258,91.71,90.06,92.886,89.158,88.358,92.047,87.711,90.726,87.518,84.079,82.438,80.581,78.866,80.247,82.863
1309,B,False,547.47,535.47,543.7,551.02,554.39,544.85,545.51,525.59,532.72,512.6,519.34,511.21,531.77,531.27,525.51,516.55,521.58,524.42,509.6,510.94,515.21,529.15,540.82,537.67,556.0,561.4,566.05,584.46,597.86,600.49,611.99,607.89,608.45,620.9,630.0,657.74,651.03,662.76,657.45,660.03,667.92,683.81,702.32,701.87,725.93,712.52,696.7,697.51,676.43,692.53,673.47,670.18,669.49,657.79,656.83,654.61,658.27,667.14,662.75,663.36,679.84,664.27,667.3,673.93,673.07,677.54,675.07,671.11,663.93,662.16,674.75,677.24,679.65,661.83,667.8,672.87,675.13,669.03,656.15,663.43
1310,B,False,363.28,374.3,366.06,359.35,359.86,349.9,338.0,336.73,333.6,337.06,347.97,343.88,353.68,355.97,344.82,354.23,343.36,354.89,353.73,345.2,352.44,356.38,355.93,357.96,368.93,359.8,356.65,356.31,365.93,363.03,366.75,368.38,374.48,378.92,379.37,361.3,372.35,369.86,371.52,369.96,372.91,385.1,372.71,376.44,378.58,370.16,372.05,367.88,364.71,355.27,351.19,352.26,348.85,348.67,358.74,363.05,357.83,360.65,362.34,367.95,363.5,372.3,372.81,370.2,377.66,366.22,354.03,351.87,350.87,352.04,361.83,358.8,358.56,361.11,353.67,353.24,346.74,348.22,340.31,348.16
1311,B,False,534.72,540.66,549.8,559.5,581.71,585.61,592.04,602.11,630.98,654.98,678.02,709.94,728.41,745.65,770.64,787.42,783.49,784.52,777.19,773.28,769.94,793.96,815.22,827.63,824.71,802.3,798.49,792.13,790.08,812.85,812.47,815.35,820.86,834.52,839.31,834.11,823.99,829.37,840.83,849.48,836.86,828.39,816.27,814.54,832.9,840.3,830.43,844.81,851.97,839.48,861.61,871.7,863.08,861.24,835.67,828.79,835.97,831.41,832.93,833.88,862.13,864.22,874.37,894.96,876.86,898.55,924.89,922.13,926.38,914.63,909.55,884.04,894.84,903.94,897.26,887.69,845.21,821.72,800.79,819.89
