,FLARE_TYPE,COINCIDENCE,MEANGBZ_21,MEANGBZ_22,MEANGBZ_23,MEANGBZ_24,MEANGBZ_25,MEANGBZ_26,MEANGBZ_27,MEANGBZ_28,MEANGBZ_29,MEANGBZ_30,MEANGBZ_31,MEANGBZ_32,MEANGBZ_33,MEANGBZ_34,MEANGBZ_35,MEANGBZ_36,MEANGBZ_37,MEANGBZ_38,MEANGBZ_39,MEANGBZ_40,MEANGBZ_41,MEANGBZ_42,MEANGBZ_43,MEANGBZ_44,MEANGBZ_45,MEANGBZ_46,MEANGBZ_47,MEANGBZ_48,MEANGBZ_49,MEANGBZ_50,MEANGBZ_51,MEANGBZ_52,MEANGBZ_53,MEANGBZ_54,MEANGBZ_55,MEANGBZ_56,MEANGBZ_57,MEANGBZ_58,MEANGBZ_59,MEANGBZ_60,MEANGBZ_61,MEANGBZ_62,MEANGBZ_63,MEANGBZ_64,MEANGBZ_65,MEANGBZ_66,MEANGBZ_67,MEANGBZ_68,MEANGBZ_69,MEANGBZ_70,MEANGBZ_71,MEANGBZ_72,MEANGBZ_73,MEANGBZ_74,MEANGBZ_75,MEANGBZ_76,MEANGBZ_77,MEANGBZ_78,MEANGBZ_79,MEANGBZ_80,MEANGBZ_81,MEANGBZ_82,MEANGBZ_83,MEANGBZ_84,MEANGBZ_85,MEANGBZ_86,MEANGBZ_87,MEANGBZ_88,MEANGBZ_89,MEANGBZ_90,MEANGBZ_91,MEANGBZ_92,MEANGBZ_93,MEANGBZ_94,MEANGBZ_95,MEANGBZ_96,MEANGBZ_97,MEANGBZ_98,MEANGBZ_99,MEANGBZ_100
10,X,False,106.05,105.74,105.77,105.78,94.694,103.92,102.8,102.5,102.04,101.73,101.35,101.16,101.26,100.92,101.01,101.08,101.27,101.36,102.15,102.21,102.62,102.49,102.78,103.13,103.06,103.22,103.54,103.73,103.33,103.03,102.67,102.79,103.08,102.72,102.77,102.65,102.47,102.71,103.0,102.77,102.56,102.32,102.47,101.96,101.88,101.6,101.39,101.51,101.46,101.45,101.09,101.1,102.01,102.45,103.46,103.85,105.04,105.71,106.32,106.81,107.09,107.54,107.3,106.98,106.93,106.42,105.13,104.58,104.43,103.61,103.58,103.25,102.74,102.21,101.92,102.08,101.66,101.36,101.15,101.32
11,X,False,101.3,99.664,96.458,94.885,96.789,97.05,98.661,96.57,100.73,94.735,92.362,92.175,93.318,96.708,97.544,94.342,94.633,98.01,96.666,93.629,93.218,93.521,94.375,93.812,93.786,95.807,97.381,94.336,95.001,95.041,95.288,96.069,94.745,95.917,94.398,92.559,94.921,94.485,94.893,96.582,96.265,94.933,86.018,85.425,94.0,93.83,95.613,94.94,92.987,93.355,94.005,92.401,92.58,92.091,93.626,93.532,93.171,84.507,92.504,93.303,90.517,92.776,94.062,92.082,95.517,93.342,94.099,94.717,95.885,94.673,95.302,87.871,94.173,95.353,95.73,96.708,95.919,87.481,93.25,92.402
12,X,True,95.186,95.416,94.998,95.117,96.467,96.051,97.036,97.114,97.806,98.299,98.78,99.837,99.617,99.824,99.897,99.518,99.61,98.266,98.142,97.8,97.272,96.856,96.577,96.263,95.842,95.326,94.425,93.718,92.636,92.598,92.937,92.506,92.884,92.762,92.857,93.807,93.516,93.692,94.101,93.755,93.798,94.008,93.217,93.267,93.459,93.526,93.63,93.88,93.743,93.942,93.928,93.586,93.108,91.978,91.666,90.569,90.524,90.47,88.804,88.63,87.64,87.843,87.354,86.682,86.142,86.933,86.126,87.866,87.514,87.448,88.066,88.231,88.73,89.67,89.202,89.239,88.157,88.819,87.388,86.887
13,X,False,79.887,81.102,81.411,80.162,83.966,79.683,82.619,83.675,84.469,82.903,82.398,86.454,83.509,81.676,81.23,82.989,76.564,76.319,78.278,82.762,78.631,76.862,79.232,80.231,81.973,80.023,82.308,80.234,83.216,77.601,80.406,78.326,79.521,77.704,78.434,78.749,77.01,75.718,72.296,74.434,74.184,70.633,73.646,68.628,69.437,75.781,72.211,69.998,63.615,63.599,72.912,66.789,68.11,68.21,65.344,66.304,65.755,63.061,70.869,70.402,65.354,68.752,73.536,69.354,75.793,77.991,85.904,77.522,75.298,71.291,89.749,69.875,67.055,65.747,76.328,68.893,65.469,69.313,64.072,65.494
14,X,False,98.304,98.524,99.036,98.496,98.645,98.994,98.304,98.222,98.55,98.133,98.175,98.456,98.004,97.594,97.09,96.714,95.98,95.881,95.229,94.588,94.422,94.72,94.849,95.046,95.726,96.12,96.402,96.981,97.659,98.136,98.794,99.206,99.607,99.4,100.49,99.191,99.03,99.457,99.439,99.004,98.704,98.245,98.441,98.351,98.558,98.224,97.875,97.513,97.767,97.972,98.223,98.797,99.635,99.857,100.04,99.381,100.35,99.799,100.18,100.18,100.84,100.61,101.14,100.92,101.06,101.21,100.6,99.613,99.811,98.644,98.689,98.224,97.98,97.946,97.811,98.037,98.315,98.262,99.095,99.835
15,X,False,105.68,106.06,106.92,107.11,107.91,108.37,108.85,108.92,109.14,109.26,109.66,109.47,109.76,109.6,110.57,109.87,110.1,109.99,110.42,109.35,110.06,110.05,109.24,108.46,108.13,107.74,107.18,107.16,107.1,106.74,107.62,107.66,108.12,108.4,108.67,109.7,109.91,111.02,111.73,112.61,113.04,113.32,113.86,114.98,114.25,112.87,112.35,111.8,110.66,109.76,109.27,109.38,108.65,108.5,108.21,108.32,108.37,107.64,107.55,108.1,108.81,108.66,108.32,109.05,109.77,110.08,110.97,110.86,111.43,111.0,111.0,111.2,111.49,112.32,111.6,111.76,112.21,111.94,111.81,111.89
16,X,False,94.679,94.968,94.43,94.806,94.827,94.933,94.472,94.563,94.545,93.913,94.29,92.419,92.092,90.832,90.096,89.321,88.787,89.089,88.982,85.209,88.013,88.836,88.825,89.013,88.969,89.232,90.658,91.114,91.127,91.168,90.685,91.147,90.456,90.105,91.093,90.795,90.238,86.926,88.876,88.022,88.093,87.135,87.115,86.29,85.278,85.317,85.02,85.743,84.759,85.387,84.04,83.928,83.57,84.637,84.512,84.102,84.182,83.222,85.04,84.454,86.992,84.417,84.041,84.717,84.206,85.346,84.865,86.914,83.877,83.916,84.207,81.965,82.814,82.429,82.732,82.603,83.313,83.49,83.383,82.319
17,X,False,96.464,96.444,95.882,95.655,95.689,95.946,95.844,95.379,95.186,95.282,95.888,95.951,95.634,95.795,95.832,95.626,95.801,95.857,95.752,95.314,94.744,94.622,94.561,94.29,94.3,94.557,94.709,94.684,94.684,94.737,94.427,94.434,94.212,94.398,94.597,94.796,95.029,95.611,96.333,96.973,96.98,97.986,98.597,99.508,99.839,100.32,100.58,100.67,100.66,100.25,99.845,99.108,98.474,97.38,97.009,96.347,95.521,95.029,95.117,94.664,94.208,94.112,93.683,93.526,93.441,94.147,93.883,94.272,94.288,94.164,95.118,94.988,95.087,95.158,95.212,95.496,95.661,95.514,95.721,95.525
18,X,False,82.597,84.294,81.18,82.7,85.805,86.341,83.654,82.248,83.102,76.521,83.081,74.354,77.319,74.248,78.969,77.31,77.154,76.849,76.76,76.86,75.273,79.682,84.203,80.483,77.362,78.64,79.474,77.298,75.592,77.762,83.702,75.104,76.742,73.983,76.011,80.322,92.875,87.747,92.846,95.529,80.435,93.651,92.985,91.832,91.432,90.008,97.625,92.42,97.043,86.228,81.214,79.997,92.349,79.223,89.011,78.57,80.864,87.731,88.246,77.808,88.044,77.354,82.948,88.03,86.197,75.927,77.474,77.252,82.9,76.446,77.506,76.413,79.185,74.808,85.078,87.897,80.848,89.351,90.409,87.098
19,X,True,131.13,130.42,129.76,129.42,129.49,127.82,126.48,125.71,124.49,124.53,123.55,124.61,126.43,127.43,127.18,126.63,127.21,126.63,127.57,127.1,127.25,127.24,126.04,128.86,130.32,130.09,131.51,131.68,131.51,132.9,133.61,133.69,133.39,135.54,133.64,133.38,132.95,132.42,130.99,130.66,129.38,128.08,126.4,126.99,127.14,126.35,126.01,127.29,127.83,128.03,128.57,129.99,131.85,132.53,134.16,134.16,135.98,136.28,135.73,135.41,135.24,133.91,133.46,132.14,129.89,129.69,129.39,127.1,126.73,126.12,125.35,124.8,123.86,124.11,123.7,124.46,125.2,123.78,123.93,123.53
20,X,False,98.842,95.62,98.377,100.56,98.825,98.063,99.656,96.773,96.467,93.656,95.108,93.879,93.428,92.561,91.15,90.399,91.175,92.231,92.933,92.355,92.761,92.707,95.414,94.939,96.637,97.425,98.524,98.319,99.124,97.157,98.501,100.45,101.1,101.37,100.46,98.907,99.494,101.38,101.59,98.961,99.325,100.54,98.376,98.386,96.831,97.937,97.365,96.67,96.872,97.01,98.707,98.33,98.835,94.707,93.483,93.235,93.379,91.433,91.246,89.249,88.951,87.116,86.416,86.479,87.181,84.878,85.527,86.041,85.988,86.737,86.754,87.805,88.77,87.916,88.318,87.702,87.127,87.666,86.97,86.141
21,X,True,0.0,0.0,0.0,0.0,17.326,43.788,22.632,145.48,70.08,33.496,110.13,31.303,89.895,84.812,111.17,146.0,62.281,96.461,81.873,72.333,43.203,90.83,112.45,87.915,116.77,112.78,121.77,103.68,122.42,112.9,89.581,95.316,60.521,59.213,64.968,100.22,79.982,74.425,71.229,65.755,102.42,109.21,60.589,91.853,76.507,85.871,88.606,91.932,91.836,95.356,103.08,110.22,127.68,104.33,85.778,96.569,99.88,84.028,88.034,97.705,89.71,87.117,97.636,85.043,86.112,85.619,74.938,87.741,72.734,77.327,93.162,85.443,84.587,82.887,81.039,90.84,83.264,66.489,92.047,80.802
22,X,False,43.788,22.632,145.48,70.08,33.496,110.13,31.303,89.895,84.812,111.17,146.0,62.281,96.461,81.873,72.333,43.203,90.83,112.45,87.915,116.77,112.78,121.77,103.68,122.42,112.9,89.581,95.316,60.521,59.213,64.968,100.22,79.982,74.425,71.229,65.755,102.42,109.21,60.589,91.853,76.507,85.871,88.606,91.932,91.836,95.356,103.08,110.22,127.68,104.33,85.778,96.569,99.88,84.028,88.034,97.705,89.71,87.117,97.636,85.043,86.112,85.619,74.938,87.741,72.734,77.327,93.162,85.443,84.587,82.887,81.039,90.84,83.264,66.489,92.047,80.802,63.239,80.807,88.169,82.614,81.146
23,X,False,83.749,82.05,80.678,79.627,82.525,84.659,75.37,80.404,83.28,76.716,85.713,78.794,74.767,80.621,76.147,75.886,76.053,76.456,77.157,75.234,74.762,76.673,72.932,69.869,74.022,73.181,73.727,70.556,74.845,76.884,72.753,82.243,74.105,76.587,72.797,76.024,75.483,80.003,74.883,80.043,77.864,77.662,80.282,82.862,81.81,77.509,81.674,81.372,82.973,79.6,80.582,79.914,83.725,81.306,80.895,82.41,79.625,80.967,80.932,81.607,83.752,84.354,85.514,80.841,83.257,85.994,84.367,85.753,87.55,88.28,85.037,89.203,83.253,84.033,85.611,88.287,88.668,91.852,86.758,87.569
24,X,False,77.425,81.117,76.717,76.534,77.192,76.378,76.062,75.409,76.329,75.274,75.231,76.599,75.58,75.005,76.475,77.154,75.452,75.269,76.284,76.143,75.718,74.199,75.154,74.361,74.543,74.61,75.397,75.173,75.906,75.568,76.259,76.814,77.605,77.546,77.983,78.221,78.953,79.569,79.542,80.388,80.411,80.452,80.287,81.084,80.671,79.291,79.579,79.286,78.855,78.744,78.587,79.467,79.207,79.599,80.769,80.855,82.013,82.463,82.52,82.814,82.674,82.686,83.638,84.544,84.568,84.434,84.791,85.071,84.865,84.696,84.65,84.33,84.819,83.743,84.053,83.735,83.927,84.301,83.883,84.076
25,X,True,95.912,95.557,95.465,95.698,95.753,96.026,96.265,96.707,97.304,98.043,98.489,98.66,98.696,98.429,98.929,98.524,98.406,97.6,98.048,97.527,96.714,96.391,95.601,95.324,94.803,94.823,94.397,94.108,94.011,94.121,93.99,94.43,94.215,93.728,93.71,94.377,94.628,94.919,94.955,95.41,95.587,95.665,95.841,96.017,96.037,95.856,95.612,95.422,95.119,94.764,94.534,94.279,93.36,93.327,93.292,92.356,92.519,92.402,92.554,92.681,92.89,93.414,93.912,93.689,94.505,94.819,95.067,95.227,95.57,95.913,95.895,96.238,95.651,95.533,95.186,94.787,94.204,94.099,93.712,93.309
26,X,False,112.86,112.29,111.57,110.8,110.92,110.39,109.98,109.6,108.75,108.71,108.57,108.27,108.17,107.49,107.4,107.44,107.2,107.45,107.23,107.75,107.38,107.26,107.83,108.97,109.14,109.72,110.19,110.15,110.18,111.55,111.57,112.31,112.34,113.29,113.36,112.71,113.97,114.25,113.61,112.9,112.78,112.08,110.06,110.39,109.55,107.6,106.28,105.02,104.42,103.84,104.33,104.04,103.66,104.5,104.81,105.48,106.16,107.08,107.51,108.76,109.44,110.55,110.97,111.5,112.09,112.49,113.04,112.56,112.22,112.5,112.62,112.36,111.74,111.47,111.32,111.6,112.04,112.52,112.56,113.0
27,X,True,125.31,123.78,123.75,122.91,123.46,122.67,121.83,121.17,120.44,120.12,119.67,120.28,119.51,118.99,119.57,119.88,120.48,121.24,122.13,123.69,124.61,125.36,125.64,127.27,128.14,127.63,127.45,126.69,125.82,125.22,122.89,121.51,120.48,119.88,118.96,119.9,119.41,120.89,120.71,120.88,122.05,122.84,123.64,123.89,123.48,123.68,123.53,123.72,122.61,121.81,121.19,121.14,121.33,120.31,119.66,119.83,118.98,119.08,119.28,119.14,119.17,118.07,117.59,117.8,117.33,117.84,118.71,118.32,120.15,120.26,119.29,119.6,120.83,121.79,121.74,120.55,120.85,120.52,120.22,120.25
28,X,False,102.2,102.43,113.99,99.049,101.91,102.15,103.62,120.89,117.31,105.9,111.27,115.64,111.31,113.25,112.82,126.59,118.66,115.43,115.92,115.34,116.33,111.4,115.48,119.16,117.22,110.54,112.88,115.48,126.02,116.03,119.09,121.63,115.37,104.8,106.64,104.29,97.714,113.56,108.52,109.78,120.84,117.34,114.07,109.65,119.63,99.31,115.68,132.94,100.65,100.02,104.86,103.47,118.42,101.81,117.67,107.16,108.45,107.01,104.99,110.21,110.71,104.09,105.61,105.08,113.5,115.99,119.99,105.81,95.701,116.14,104.33,89.629,95.816,91.111,84.54,95.518,102.01,96.094,96.826,113.55
29,X,False,124.78,123.19,121.66,120.73,119.17,117.14,116.69,114.85,113.5,112.92,113.2,113.47,112.84,112.98,113.55,112.7,113.77,113.89,114.36,114.47,114.41,115.8,115.62,115.76,115.55,115.72,115.66,115.49,116.28,115.31,116.6,116.29,116.1,116.21,116.38,115.54,114.65,113.8,112.6,113.43,113.6,112.93,112.82,112.97,112.95,112.67,113.62,114.44,114.22,117.0,117.85,120.06,120.16,122.73,124.8,125.98,127.75,128.53,128.06,126.64,125.9,125.0,124.16,122.0,121.09,119.36,118.35,116.53,115.59,115.19,114.93,113.78,113.38,113.56,114.62,114.69,114.98,115.89,117.23,116.9
30,M,False,124.53,124.4,124.25,143.19,118.88,119.91,121.19,120.65,119.23,119.07,118.25,118.08,118.9,116.9,114.94,116.97,117.22,116.01,114.58,117.08,117.42,116.8,120.49,119.65,120.51,121.1,122.27,123.64,123.62,124.61,121.96,124.79,122.55,122.1,122.14,120.25,119.6,117.2,115.44,113.86,110.94,113.83,112.11,110.68,110.62,110.36,109.45,111.47,112.22,113.03,112.91,113.03,114.88,116.36,116.43,116.52,116.44,115.28,118.86,118.62,117.46,114.55,113.87,112.55,112.6,112.24,110.89,108.8,108.67,106.6,105.48,104.3,105.58,106.13,106.51,106.63,106.76,105.02,103.82,104.73
31,M,False,120.35,109.05,123.9,119.19,117.81,123.43,114.1,119.09,109.42,114.83,112.86,109.65,115.49,115.15,114.31,124.46,111.07,117.46,124.78,120.77,120.52,126.33,142.33,121.53,113.22,101.9,108.14,105.91,113.42,113.27,114.38,119.58,119.88,115.14,115.86,115.42,114.18,108.34,109.73,105.99,92.626,111.45,113.52,105.74,116.89,110.08,117.04,126.64,119.99,118.71,124.15,119.61,113.46,120.7,110.06,115.31,114.37,110.07,121.78,118.39,124.92,120.48,108.4,110.19,112.67,117.46,114.84,113.05,106.09,116.81,112.09,100.36,110.4,105.3,104.11,114.76,107.32,108.94,114.89,119.22
32,M,False,95.965,95.444,95.094,94.681,94.336,94.235,93.201,92.919,92.012,91.869,91.907,91.795,91.789,91.922,91.29,91.521,90.613,91.458,92.626,92.211,92.858,93.059,93.276,92.493,93.026,92.853,92.899,92.854,93.494,94.826,94.474,96.389,95.475,96.0,96.658,96.276,96.106,96.814,96.79,97.228,96.649,96.327,96.397,96.848,96.73,95.827,95.871,95.09,94.099,93.658,92.948,92.848,92.027,91.705,92.74,93.348,93.868,94.836,94.565,94.731,94.071,93.44,94.0,93.72,94.28,94.711,94.891,94.277,94.942,94.418,93.248,93.397,94.26,93.626,95.411,96.037,95.763,96.285,96.419,95.612
33,M,False,137.73,137.36,136.87,134.85,136.17,136.47,138.23,137.98,136.74,139.1,140.58,140.57,139.53,139.38,137.8,138.23,137.95,137.77,136.78,136.67,135.31,132.73,130.36,128.67,127.92,127.33,126.99,125.53,126.12,125.99,126.29,126.5,126.75,129.17,129.55,131.85,133.81,133.07,131.27,131.41,132.93,131.87,130.74,130.36,129.31,126.73,125.64,124.41,124.08,123.57,122.89,121.36,120.25,120.22,120.68,121.04,120.23,120.61,121.59,121.66,120.84,121.48,120.32,120.36,120.42,122.04,121.62,121.61,122.58,122.09,121.62,120.96,120.59,118.76,118.14,119.75,119.36,118.37,117.72,117.46
34,M,False,98.815,99.957,99.606,99.108,100.25,101.0,101.65,102.02,100.45,101.99,100.53,96.925,93.186,96.26,96.741,97.072,95.095,90.467,89.397,89.645,98.449,92.1,92.012,91.891,93.482,93.808,95.487,94.86,94.504,98.038,96.956,96.972,97.189,97.377,97.962,98.037,100.42,100.55,99.792,98.004,99.282,100.2,99.579,100.28,99.741,97.758,98.087,98.245,98.449,97.233,96.284,96.825,97.008,98.709,100.05,105.42,95.21,95.743,95.137,95.378,95.878,93.655,95.515,91.079,94.425,91.364,91.989,90.568,89.593,90.392,89.475,88.041,90.424,90.65,93.188,90.216,90.895,92.825,88.705,90.09
35,M,True,116.95,115.9,115.69,115.35,115.02,113.74,115.44,116.97,117.13,116.88,117.22,119.44,119.66,120.26,121.75,123.13,122.06,121.61,120.83,120.35,120.62,121.5,123.75,124.75,125.91,128.49,128.31,128.83,129.01,128.71,128.31,127.77,127.3,126.54,125.94,123.36,123.57,122.25,121.18,120.66,119.22,118.4,120.09,121.25,122.13,121.96,121.44,122.47,123.68,124.76,124.6,126.37,128.18,130.22,132.34,132.87,131.83,130.15,130.28,127.71,126.47,124.77,122.92,120.81,118.86,119.35,117.85,117.2,115.97,116.67,116.57,117.77,117.84,117.82,119.16,120.12,120.46,121.37,121.2,120.78
36,M,True,111.19,111.43,111.75,111.65,112.57,113.31,113.44,114.47,114.61,115.94,116.7,116.31,116.92,116.91,117.4,117.38,118.29,118.31,118.24,117.64,118.01,116.57,116.17,117.58,117.63,115.9,115.69,115.35,115.13,114.56,113.81,113.53,112.28,110.63,110.46,109.7,110.04,110.0,109.97,109.34,108.35,106.96,107.06,106.47,106.11,106.22,106.55,107.77,108.48,108.57,109.52,109.46,110.46,110.8,110.8,110.83,110.35,110.21,109.36,108.73,108.65,108.06,106.27,105.12,104.07,103.81,103.22,103.42,102.71,102.59,102.3,102.12,102.05,102.54,102.23,102.18,102.2,102.48,102.49,102.58
