,FLARE_TYPE,COINCIDENCE,d_l_f_21,d_l_f_22,d_l_f_23,d_l_f_24,d_l_f_25,d_l_f_26,d_l_f_27,d_l_f_28,d_l_f_29,d_l_f_30,d_l_f_31,d_l_f_32,d_l_f_33,d_l_f_34,d_l_f_35,d_l_f_36,d_l_f_37,d_l_f_38,d_l_f_39,d_l_f_40,d_l_f_41,d_l_f_42,d_l_f_43,d_l_f_44,d_l_f_45,d_l_f_46,d_l_f_47,d_l_f_48,d_l_f_49,d_l_f_50,d_l_f_51,d_l_f_52,d_l_f_53,d_l_f_54,d_l_f_55,d_l_f_56,d_l_f_57,d_l_f_58,d_l_f_59,d_l_f_60,d_l_f_61,d_l_f_62,d_l_f_63,d_l_f_64,d_l_f_65,d_l_f_66,d_l_f_67,d_l_f_68,d_l_f_69,d_l_f_70,d_l_f_71,d_l_f_72,d_l_f_73,d_l_f_74,d_l_f_75,d_l_f_76,d_l_f_77,d_l_f_78,d_l_f_79,d_l_f_80,d_l_f_81,d_l_f_82,d_l_f_83,d_l_f_84,d_l_f_85,d_l_f_86,d_l_f_87,d_l_f_88,d_l_f_89,d_l_f_90,d_l_f_91,d_l_f_92,d_l_f_93,d_l_f_94,d_l_f_95,d_l_f_96,d_l_f_97,d_l_f_98,d_l_f_99,d_l_f_100
0,X,False,174.37,174.76,174.57,175.62,174.4,177.29,178.5,178.53,173.58,178.79,170.58,176.76,176.28,176.94,177.7,178.47,176.28,176.99,177.48,178.96,178.22,178.53,178.24,177.49,176.9,174.01,173.43,174.7,173.82,174.45,175.8,175.75,178.3,176.6,180.52,176.13,180.39,181.96,181.63,182.05,181.45,181.08,184.03,184.83,185.16,185.88,186.69,185.77,185.23,184.93,186.46,183.85,182.58,180.9,180.45,180.02,180.14,180.5,182.08,180.36,181.07,181.06,180.44,177.54,175.7,175.53,175.8,175.67,175.18,176.47,177.62,176.32,175.89,177.64,176.91,177.17,179.23,178.41,179.15,180.17
1,X,False,230.81,229.08,230.46,232.01,230.46,228.97,228.84,229.1,228.82,230.79,230.6,232.57,231.29,230.87,230.33,229.09,227.92,227.12,226.19,228.97,227.32,227.32,227.2,228.18,228.74,229.72,229.19,229.03,228.85,227.75,228.5,229.13,228.33,228.94,229.43,228.84,229.64,230.63,229.57,229.38,229.97,230.97,230.52,229.69,230.2,230.35,229.31,231.31,231.49,231.62,230.76,231.22,230.99,231.4,233.16,233.32,231.46,229.66,229.55,230.5,230.45,229.8,229.67,231.63,231.82,232.57,232.36,233.21,232.93,232.56,233.52,233.25,232.68,233.2,234.44,234.94,233.79,232.69,234.0,232.96
2,X,False,282.91,286.2,283.21,284.44,282.21,282.57,281.27,276.21,277.62,277.13,278.22,275.51,277.05,276.32,278.85,277.7,274.42,271.18,272.56,267.98,267.94,270.93,268.44,267.72,269.42,268.94,266.08,266.5,269.25,268.13,266.41,266.0,265.88,263.93,264.17,265.37,264.17,266.35,266.1,265.88,268.41,268.63,267.17,267.31,267.14,267.86,266.74,267.07,269.55,271.48,269.48,273.29,272.53,270.62,271.52,272.12,272.74,273.63,274.04,275.78,273.98,273.63,272.82,275.59,274.38,276.88,274.23,280.06,278.38,278.47,280.59,281.32,280.52,279.21,279.36,280.97,282.48,283.06,282.33,279.48
3,X,False,64.468,65.626,57.504,64.593,65.45,64.63,64.799,65.224,66.302,65.131,64.852,65.334,64.403,62.463,64.127,64.332,64.725,65.4,65.599,65.868,63.454,64.551,65.284,65.238,64.242,64.106,64.045,63.811,62.801,63.844,63.237,63.65,65.498,64.707,64.481,65.027,65.075,63.653,64.657,64.167,63.853,62.792,63.598,63.379,64.935,65.315,65.316,62.579,63.44,64.999,67.015,66.662,67.745,68.819,68.504,67.461,66.806,65.808,64.083,64.722,65.222,62.171,64.328,63.113,61.829,59.844,59.988,62.52,59.897,59.261,59.464,59.987,61.51,61.33,62.317,62.197,62.388,63.483,60.59,60.539
4,X,True,39.829,41.312,39.813,40.946,40.434,40.135,41.719,37.671,36.853,38.716,39.086,42.92,41.258,41.282,41.617,48.889,48.906,49.48,38.414,50.367,50.877,41.299,41.882,52.336,51.927,52.916,52.555,42.255,41.738,41.862,42.978,42.854,44.334,48.526,44.03,44.914,45.718,45.364,44.696,45.329,46.216,46.083,45.87,44.638,44.807,42.946,45.378,45.264,46.083,45.571,46.427,45.459,45.487,45.759,46.68,46.698,46.327,46.005,46.329,45.976,46.295,47.863,48.315,47.955,47.407,46.9,46.736,46.882,51.675,53.934,47.251,52.333,47.231,47.656,54.853,47.917,48.437,54.629,48.817,48.074
5,X,True,264.26,266.38,265.08,266.14,267.02,265.75,264.19,263.96,262.98,262.9,264.39,266.88,266.04,266.66,266.55,266.83,267.18,268.34,266.7,265.13,266.29,266.35,265.36,265.62,265.2,265.92,267.16,268.27,268.48,268.07,266.98,266.3,266.53,266.25,266.97,267.61,268.62,268.49,268.65,267.7,267.31,267.16,267.74,268.69,268.26,269.16,270.68,270.64,270.95,271.51,271.99,271.97,272.67,271.51,270.3,270.96,269.49,268.7,269.21,268.94,270.19,271.76,273.26,271.91,271.11,271.23,270.52,270.71,271.34,272.32,272.56,272.77,272.94,272.64,271.47,271.55,271.76,271.41,271.24,270.36
6,X,False,349.1,291.65,267.97,278.98,283.29,323.5,311.85,318.46,271.9,341.77,282.53,322.22,334.58,343.11,319.93,306.85,324.16,293.93,312.68,321.68,324.44,421.17,315.95,307.29,276.27,342.31,406.13,300.21,273.72,289.75,314.43,297.64,318.09,257.86,263.16,311.85,306.71,265.44,299.38,303.02,325.18,277.53,285.75,285.43,292.97,358.72,307.34,331.97,354.29,343.79,288.05,289.12,258.27,328.66,284.19,295.5,317.6,294.34,320.72,291.13,311.67,301.99,324.42,353.84,326.03,315.29,306.21,385.28,302.8,324.49,342.11,322.36,287.73,374.52,291.38,299.77,300.53,296.72,301.64,264.87
7,X,False,582.61,660.84,588.79,677.77,567.47,560.48,583.0,596.77,666.78,611.15,664.9,577.69,639.93,609.76,512.53,643.14,109.52,606.66,638.42,624.16,601.36,643.65,599.66,629.31,590.56,628.81,611.91,612.31,603.97,591.4,604.76,590.51,599.43,600.58,582.98,577.47,572.67,546.99,565.01,506.55,517.3,511.92,471.32,453.69,449.11,413.11,420.86,420.23,402.15,405.05,399.22,387.08,387.47,410.6,427.06,420.73,595.49,457.88,648.35,589.22,648.22,537.46,540.62,571.23,92.463,535.26,569.82,532.02,514.68,488.42,550.88,30.509,425.83,405.9,0.0,339.07,30.529,545.38,557.82,534.5
8,X,True,107.15,108.34,106.61,106.93,107.96,106.73,108.4,107.81,106.61,108.18,107.48,106.69,107.59,108.17,108.12,109.39,110.13,109.48,109.05,108.75,107.54,106.89,108.16,108.6,107.05,107.5,107.37,106.86,108.36,107.89,114.3,118.5,125.17,128.07,125.1,124.38,126.47,136.02,141.49,140.16,152.42,193.08,196.16,194.49,192.95,208.55,210.66,210.37,208.33,210.01,212.63,218.35,222.91,230.92,232.62,234.71,233.48,228.13,230.53,232.03,236.69,238.33,275.91,281.01,280.53,276.42,280.65,278.75,277.21,284.14,274.03,270.37,246.49,270.94,269.52,264.41,278.74,277.14,277.14,283.62
9,X,False,305.6,304.5,304.6,303.69,302.46,302.84,303.14,303.43,304.29,308.95,306.09,305.8,305.99,303.29,303.18,304.36,306.11,304.5,307.2,305.67,306.77,307.93,308.44,308.44,309.51,307.96,308.85,309.14,309.89,310.36,312.14,314.31,313.32,312.07,311.26,309.7,308.19,307.97,307.86,307.23,306.49,305.54,306.24,305.35,303.41,303.48,302.7,303.46,304.41,304.03,303.99,302.78,303.26,300.7,300.09,300.27,301.14,300.69,300.57,300.15,301.06,301.44,301.41,301.44,305.11,305.01,305.14,306.44,307.41,306.37,306.35,305.04,304.49,305.1,305.6,305.68,305.48,305.81,306.09,304.15
