,FLARE_TYPE,COINCIDENCE,TOTUSJZ_1,TOTUSJZ_2,TOTUSJZ_3,TOTUSJZ_4,TOTUSJZ_5,TOTUSJZ_6,TOTUSJZ_7,TOTUSJZ_8,TOTUSJZ_9,TOTUSJZ_10,TOTUSJZ_11,TOTUSJZ_12,TOTUSJZ_13,TOTUSJZ_14,TOTUSJZ_15,TOTUSJZ_16,TOTUSJZ_17,TOTUSJZ_18,TOTUSJZ_19,TOTUSJZ_20,TOTUSJZ_21,TOTUSJZ_22,TOTUSJZ_23,TOTUSJZ_24,TOTUSJZ_25,TOTUSJZ_26,TOTUSJZ_27,TOTUSJZ_28,TOTUSJZ_29,TOTUSJZ_30,TOTUSJZ_31,TOTUSJZ_32,TOTUSJZ_33,TOTUSJZ_34,TOTUSJZ_35,TOTUSJZ_36,TOTUSJZ_37,TOTUSJZ_38,TOTUSJZ_39,TOTUSJZ_40,TOTUSJZ_41,TOTUSJZ_42,TOTUSJZ_43,TOTUSJZ_44,TOTUSJZ_45,TOTUSJZ_46,TOTUSJZ_47,TOTUSJZ_48,TOTUSJZ_49,TOTUSJZ_50,TOTUSJZ_51,TOTUSJZ_52,TOTUSJZ_53,TOTUSJZ_54,TOTUSJZ_55
1796,N,False,5193000000000.0,5117800000000.0,5075800000000.0,4891600000000.0,4833800000000.0,4817500000000.0,4570300000000.0,4612100000000.0,4579700000000.0,4640100000000.0,4537800000000.0,4466200000000.0,4499200000000.0,4524300000000.0,4631900000000.0,4732500000000.0,4819500000000.0,4742100000000.0,5034100000000.0,4867400000000.0,4865700000000.0,4848500000000.0,4847200000000.0,4860900000000.0,4692700000000.0,4877300000000.0,4549300000000.0,4428500000000.0,4398000000000.0,4486600000000.0,4724400000000.0,4870600000000.0,4659000000000.0,4752500000000.0,4834500000000.0,4897900000000.0,4848900000000.0,4774400000000.0,4877400000000.0,4839000000000.0,5024200000000.0,4997400000000.0,4954700000000.0,5047500000000.0,5031700000000.0,5285800000000.0,5213800000000.0,5254800000000.0,5455500000000.0,5458700000000.0,5489900000000.0,5659500000000.0,5729800000000.0,5653100000000.0,5345900000000.0
1797,N,False,7171700000000.0,7322800000000.0,7211300000000.0,7368700000000.0,7232100000000.0,7329700000000.0,7384100000000.0,7454900000000.0,7539400000000.0,7453300000000.0,7732100000000.0,8141800000000.0,8856600000000.0,9541400000000.0,9546200000000.0,9090300000000.0,8195700000000.0,7629200000000.0,7181800000000.0,7103000000000.0,6831100000000.0,6922700000000.0,6845200000000.0,6881000000000.0,6936900000000.0,7048900000000.0,6713700000000.0,6576800000000.0,6442300000000.0,6908700000000.0,6863100000000.0,6762000000000.0,6972800000000.0,7123700000000.0,7259200000000.0,7233000000000.0,7283500000000.0,7641900000000.0,7882000000000.0,7817400000000.0,7483000000000.0,7528400000000.0,7842600000000.0,7720900000000.0,7345200000000.0,7542300000000.0,7722600000000.0,7618700000000.0,7560600000000.0,7054900000000.0,7057200000000.0,6838600000000.0,6532000000000.0,6565600000000.0,6024600000000.0
1798,N,False,31905000000000.0,31334000000000.0,30296000000000.0,30293000000000.0,29378000000000.0,29366000000000.0,28865000000000.0,29304000000000.0,29017000000000.0,29211000000000.0,29124000000000.0,28998000000000.0,28895000000000.0,28289000000000.0,28946000000000.0,28972000000000.0,28742000000000.0,28919000000000.0,29024000000000.0,29295000000000.0,29543000000000.0,30306000000000.0,30572000000000.0,31638000000000.0,31482000000000.0,31499000000000.0,30714000000000.0,30162000000000.0,29550000000000.0,29098000000000.0,28492000000000.0,28286000000000.0,28024000000000.0,27779000000000.0,27407000000000.0,27503000000000.0,27076000000000.0,27279000000000.0,26738000000000.0,27039000000000.0,27213000000000.0,27130000000000.0,28020000000000.0,28538000000000.0,29269000000000.0,29508000000000.0,29513000000000.0,28923000000000.0,27851000000000.0,27326000000000.0,26381000000000.0,25888000000000.0,25623000000000.0,26019000000000.0,25692000000000.0
1799,N,False,2041600000000.0,2118900000000.0,1986300000000.0,1896500000000.0,1999000000000.0,1947400000000.0,1911200000000.0,1979500000000.0,2027200000000.0,2136200000000.0,2114000000000.0,2129200000000.0,2118400000000.0,2044100000000.0,2128400000000.0,2071100000000.0,2144000000000.0,2155900000000.0,2180100000000.0,2197100000000.0,2091700000000.0,2051900000000.0,2023300000000.0,2058200000000.0,1974000000000.0,1972900000000.0,1959900000000.0,1924100000000.0,1890900000000.0,1925100000000.0,1895100000000.0,2002700000000.0,1899900000000.0,2109400000000.0,2166200000000.0,2348500000000.0,2309500000000.0,2138600000000.0,2246300000000.0,2062000000000.0,2045700000000.0,2046900000000.0,1895100000000.0,1942800000000.0,1839400000000.0,1854900000000.0,1740200000000.0,1797000000000.0,1754700000000.0,1728000000000.0,1777300000000.0,1753500000000.0,1796200000000.0,1706500000000.0,1744900000000.0
1800,N,False,50075000000000.0,49137000000000.0,49308000000000.0,50090000000000.0,50155000000000.0,50938000000000.0,51219000000000.0,52121000000000.0,53897000000000.0,54167000000000.0,54243000000000.0,55227000000000.0,55133000000000.0,55508000000000.0,55616000000000.0,55717000000000.0,55786000000000.0,55206000000000.0,54503000000000.0,53795000000000.0,54251000000000.0,52846000000000.0,52911000000000.0,52708000000000.0,53775000000000.0,53684000000000.0,52962000000000.0,53361000000000.0,53834000000000.0,53490000000000.0,53851000000000.0,54766000000000.0,54929000000000.0,54681000000000.0,54923000000000.0,54877000000000.0,54960000000000.0,56501000000000.0,56684000000000.0,56725000000000.0,56636000000000.0,56180000000000.0,56754000000000.0,56700000000000.0,56405000000000.0,55987000000000.0,56481000000000.0,55619000000000.0,55224000000000.0,55351000000000.0,55396000000000.0,55227000000000.0,56465000000000.0,56461000000000.0,56740000000000.0
1801,N,False,55043000000000.0,55895000000000.0,57289000000000.0,56911000000000.0,56235000000000.0,55911000000000.0,55169000000000.0,55171000000000.0,55267000000000.0,55066000000000.0,54232000000000.0,54353000000000.0,53898000000000.0,53171000000000.0,53323000000000.0,52498000000000.0,52145000000000.0,52753000000000.0,52284000000000.0,52032000000000.0,51662000000000.0,52075000000000.0,52060000000000.0,51189000000000.0,51691000000000.0,52254000000000.0,52451000000000.0,52000000000000.0,52040000000000.0,52033000000000.0,51213000000000.0,51035000000000.0,50921000000000.0,50655000000000.0,50985000000000.0,50480000000000.0,50094000000000.0,49713000000000.0,49431000000000.0,48729000000000.0,48969000000000.0,49525000000000.0,49632000000000.0,49180000000000.0,49156000000000.0,49286000000000.0,50067000000000.0,50238000000000.0,50508000000000.0,50214000000000.0,50870000000000.0,50692000000000.0,51436000000000.0,51783000000000.0,52842000000000.0
1802,N,False,2303100000000.0,2164400000000.0,2222000000000.0,2283500000000.0,2493900000000.0,2503600000000.0,2406600000000.0,2338200000000.0,2276700000000.0,2303600000000.0,2209200000000.0,2258100000000.0,2284100000000.0,2305600000000.0,2230900000000.0,2281100000000.0,2129200000000.0,2018100000000.0,2107500000000.0,2004100000000.0,2036800000000.0,2084900000000.0,2105100000000.0,2157000000000.0,2226600000000.0,2204500000000.0,2147400000000.0,2141800000000.0,2219400000000.0,2053800000000.0,1984700000000.0,2037800000000.0,2050700000000.0,1981300000000.0,2068000000000.0,2250800000000.0,2010900000000.0,2001900000000.0,2091700000000.0,2200000000000.0,2116500000000.0,2207900000000.0,2137000000000.0,2269400000000.0,2152500000000.0,2197700000000.0,2333300000000.0,2170700000000.0,2103300000000.0,2034500000000.0,2060200000000.0,2090400000000.0,1923400000000.0,1920000000000.0,1899500000000.0
1803,N,False,4311900000000.0,4411000000000.0,4527000000000.0,4428400000000.0,4581000000000.0,4475000000000.0,4280600000000.0,4319400000000.0,4366200000000.0,4350600000000.0,4387700000000.0,4437400000000.0,4594200000000.0,4637900000000.0,5036000000000.0,5097500000000.0,5361400000000.0,5294600000000.0,4857900000000.0,4527500000000.0,4688100000000.0,4493600000000.0,4480200000000.0,4341600000000.0,4253300000000.0,4149600000000.0,4239000000000.0,4107300000000.0,4231600000000.0,4175600000000.0,3959400000000.0,3925800000000.0,3921200000000.0,4046000000000.0,4112900000000.0,4150800000000.0,4074500000000.0,4343400000000.0,4105700000000.0,4481600000000.0,4546900000000.0,4575300000000.0,4536600000000.0,4603600000000.0,4539800000000.0,4410400000000.0,4297400000000.0,4327900000000.0,4356000000000.0,4366700000000.0,4435900000000.0,4256600000000.0,4435200000000.0,4454700000000.0,4456200000000.0
1804,N,False,63715000000000.0,64461000000000.0,64043000000000.0,64442000000000.0,65530000000000.0,65408000000000.0,65859000000000.0,65260000000000.0,66286000000000.0,66462000000000.0,66768000000000.0,66846000000000.0,67267000000000.0,67067000000000.0,66975000000000.0,67185000000000.0,66120000000000.0,65892000000000.0,66706000000000.0,66197000000000.0,65881000000000.0,65360000000000.0,65491000000000.0,65317000000000.0,65403000000000.0,64963000000000.0,65344000000000.0,64516000000000.0,64251000000000.0,65200000000000.0,64750000000000.0,65044000000000.0,65049000000000.0,65740000000000.0,66646000000000.0,67537000000000.0,68945000000000.0,68930000000000.0,69954000000000.0,70289000000000.0,70419000000000.0,71038000000000.0,71186000000000.0,70432000000000.0,71132000000000.0,70472000000000.0,70141000000000.0,69661000000000.0,69671000000000.0,68288000000000.0,66921000000000.0,67519000000000.0,66776000000000.0,66129000000000.0,66293000000000.0
1805,N,False,94112000000000.0,93693000000000.0,92069000000000.0,91966000000000.0,91166000000000.0,91378000000000.0,90323000000000.0,90101000000000.0,88978000000000.0,88666000000000.0,87160000000000.0,86322000000000.0,86494000000000.0,86135000000000.0,86050000000000.0,86267000000000.0,85321000000000.0,85480000000000.0,85316000000000.0,85006000000000.0,85847000000000.0,86054000000000.0,86459000000000.0,86976000000000.0,87052000000000.0,88245000000000.0,88123000000000.0,89188000000000.0,88477000000000.0,89228000000000.0,87741000000000.0,88250000000000.0,87122000000000.0,85196000000000.0,85044000000000.0,83965000000000.0,83925000000000.0,82280000000000.0,81620000000000.0,82206000000000.0,81643000000000.0,81826000000000.0,81984000000000.0,81341000000000.0,82023000000000.0,81374000000000.0,81626000000000.0,80096000000000.0,80890000000000.0,81196000000000.0,80760000000000.0,81114000000000.0,80187000000000.0,80013000000000.0,79631000000000.0
