,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5,slf_6,slf_7,slf_8,slf_9,slf_10,slf_11,slf_12,slf_13,slf_14,slf_15,slf_16,slf_17,slf_18,slf_19,slf_20,slf_21,slf_22,slf_23,slf_24,slf_25,slf_26,slf_27,slf_28,slf_29,slf_30,slf_31,slf_32,slf_33,slf_34,slf_35
21,X,True,5.5954,5.6135,5.5466,5.5563,5.5173,5.5965,5.5841,5.5549,5.5876,5.58,5.6304,5.6365,5.6476,5.6372,5.6059,5.5769,5.5969,5.5526,5.5978,5.539,5.5554,5.6143,5.6115,5.551,5.5414,5.5947,5.5447,5.5417,5.5005,5.6286,5.5586,5.5433,5.569,5.5731,5.6325
22,X,True,5.6907,5.6809,5.7182,5.7204,5.7319,5.7619,5.7682,5.8048,5.8835,5.8206,5.8097,5.8389,5.8606,5.7737,5.8381,5.838,5.8584,5.8343,5.7876,5.8513,5.8018,5.8442,5.9009,5.8377,5.8999,5.8469,5.927,5.9602,5.9052,5.8513,5.9141,5.9362,5.8774,5.8902,5.9562
23,X,False,12.86,12.739,12.952,12.713,12.64,12.616,12.616,12.553,12.55,12.314,12.654,12.418,11.574,12.373,12.279,11.512,12.397,12.059,12.137,12.043,12.285,12.052,11.824,11.861,11.641,11.86,11.779,11.574,11.353,10.872,10.947,11.301,10.954,10.822,10.738
24,X,True,6.0971,5.9439,6.0267,6.024,5.9887,5.9592,6.0399,6.0183,5.9645,5.9225,5.9383,5.8698,5.8933,5.7682,5.6541,5.6731,5.5966,5.6118,5.6202,5.6158,5.6167,5.4994,5.5353,5.5194,5.523,5.5018,5.4868,5.4928,5.5247,5.5264,5.5453,5.5279,5.6102,5.638,5.7172
25,X,False,2.6744,2.8009,3.4646,2.9676,2.9536,3.1535,4.0043,2.6849,2.4126,2.4412,2.2053,2.1043,2.1512,1.357,1.419,1.0086,1.61,3.6795,1.5711,2.6048,3.9889,1.5121,3.7847,4.1322,5.212,3.5664,3.0304,2.3308,2.6001,2.8432,11.077,2.5446,2.8763,2.7288,2.8856
26,X,True,4.3183,4.3321,4.3425,4.2676,4.2655,4.3258,4.4004,4.3518,4.388,4.0073,3.9619,3.9767,4.0368,3.9976,3.9757,4.2932,4.275,3.877,3.8842,3.8463,3.9011,3.8851,3.8969,3.9439,3.9554,4.0038,3.9646,4.0151,4.0124,3.9383,3.9839,3.9435,3.9573,3.9544,3.9642
27,X,True,3.9757,4.2932,4.275,3.877,3.8842,3.8463,3.9011,3.8851,3.8969,3.9439,3.9554,4.0038,3.9646,4.0151,4.0124,3.9383,3.9839,3.9435,3.9573,3.9544,3.9642,4.0086,3.9377,3.8724,3.8967,3.9129,3.9568,3.9501,3.97,4.2364,3.8956,3.8398,3.8047,3.7986,3.7574
28,X,False,26.514,27.197,25.721,24.841,22.853,26.305,31.73,22.226,21.36,21.586,22.794,23.345,21.375,27.091,26.972,23.066,21.312,18.528,23.381,19.183,20.372,15.162,10.869,8.3853,9.8134,5.9292,5.2395,4.4375,5.5306,5.2334,2.6698,2.4093,3.5175,2.3392,2.8305
29,M,False,14.308,12.97,14.187,13.961,13.5,13.42,14.217,14.528,14.774,15.196,15.191,15.467,15.563,15.557,15.89,15.875,16.206,16.223,16.008,16.534,16.856,17.421,17.972,18.328,18.533,18.254,17.729,17.096,17.037,17.074,16.911,17.321,17.401,17.02,17.543
30,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,M,False,19.656,19.279,19.234,19.203,19.248,19.143,19.098,0.0,18.716,18.707,18.562,18.65,18.648,18.799,18.96,18.98,18.844,18.997,14.711,18.818,18.669,18.847,19.03,18.952,18.97,18.911,18.914,19.037,18.999,19.067,18.981,18.846,19.098,18.883,18.963
32,M,True,2.4091,2.744,9.8021,13.366,11.001,9.1348,6.1023,9.742,5.2808,4.8021,3.5711,5.5022,12.721,5.9793,2.5453,3.3868,7.2159,6.0533,5.642,10.159,4.7301,7.0526,7.1857,3.8019,5.7343,9.9628,10.11,14.298,7.9752,6.6539,10.483,5.9702,4.8729,7.9098,3.6083
33,M,False,2.8339,307.1,249.42,305.36,272.32,2.9742,250.84,304.4,3.3238,302.81,278.42,3.0839,252.55,270.9,2.5461,209.12,0.0,231.22,236.36,235.99,319.22,193.84,265.71,212.88,277.79,72.298,0.0,67.898,243.74,0.0,67.331,71.495,67.345,65.64,65.093
34,M,False,38.3,38.636,38.373,39.737,38.941,38.993,39.091,39.06,39.572,41.292,41.09,41.655,41.108,39.843,41.426,40.663,6.9667,7.5853,6.3027,6.1849,6.8788,6.0761,5.1064,3.9184,3.6422,3.5946,3.5456,3.7049,3.6183,3.8687,3.5772,3.6714,3.4997,3.3243,64.18
35,M,False,43.323,44.174,45.072,44.895,45.798,43.684,42.3,47.491,42.759,42.532,44.848,45.326,46.587,49.646,50.925,50.221,46.83,44.155,43.598,38.187,35.695,32.998,32.563,32.414,32.94,33.728,33.861,34.886,34.014,32.597,30.023,28.117,26.711,27.065,27.699
36,M,True,25.025,23.917,23.092,24.262,24.327,23.242,22.239,22.444,22.404,21.095,21.539,21.312,20.32,19.35,18.806,18.132,16.541,16.171,15.204,13.99,13.351,12.861,12.671,12.103,12.278,12.002,11.809,11.879,11.521,11.656,11.325,11.162,10.953,10.735,10.579
37,M,True,8.4887,8.5338,8.6114,8.7296,8.6781,8.5818,8.6001,8.6365,8.6315,8.551,8.4775,8.5156,8.6269,8.5606,8.6939,8.726,8.6766,8.6322,8.7814,8.7035,8.6623,8.6944,8.5948,8.431,8.704,8.468,8.4754,8.7686,8.5314,8.6094,8.4977,8.5277,8.6525,8.6336,8.6507
38,M,False,23.262,23.215,22.857,22.976,20.009,19.924,20.231,19.91,19.741,20.434,22.023,19.855,18.937,18.256,17.058,17.023,16.807,17.396,15.569,15.682,15.766,15.358,15.3,14.578,14.808,14.921,14.857,14.964,14.609,14.518,14.535,14.85,14.535,14.296,13.876
39,M,False,8.3769,8.4692,8.3067,8.2312,8.324,8.3376,8.3482,8.15,8.3001,8.0938,8.1134,8.0864,8.1813,8.1677,8.3038,8.2597,8.1669,8.2188,8.2211,8.2212,8.2125,8.2294,8.2254,8.1969,8.3951,8.3525,8.3332,8.2319,8.3737,8.3933,8.3634,8.4197,8.4739,8.5168,8.4026
40,M,True,10.331,10.549,10.551,10.567,10.518,10.451,10.25,10.277,10.379,10.412,10.488,10.302,10.351,10.359,10.356,10.189,10.077,10.226,10.199,10.172,10.248,10.175,9.9303,9.9542,10.142,10.016,9.8738,9.9424,10.089,9.8974,9.8563,9.9298,10.012,10.034,10.209
41,M,True,14.748,14.785,15.025,15.322,15.214,15.378,15.378,15.258,15.249,15.142,15.323,15.239,15.216,15.189,15.459,15.406,15.507,15.672,15.56,15.644,15.728,15.916,15.71,15.557,15.693,15.515,15.675,15.602,15.768,15.794,15.957,15.867,16.188,16.231,16.13
42,M,False,10.189,10.077,10.226,10.199,10.172,10.248,10.175,9.9303,9.9542,10.142,10.016,9.8738,9.9424,10.089,9.8974,9.8563,9.9298,10.012,10.034,10.209,10.164,10.15,10.082,10.012,10.041,10.077,10.268,10.251,10.156,10.089,10.181,10.364,10.374,10.364,10.459
43,M,False,15.56,15.644,15.728,15.916,15.71,15.557,15.693,15.515,15.675,15.602,15.768,15.794,15.957,15.867,16.188,16.231,16.13,16.194,16.323,16.249,16.419,16.564,16.774,16.837,16.993,16.953,17.023,17.254,17.419,17.366,17.33,17.299,17.493,17.604,17.587
44,M,False,17.768,17.738,17.676,17.739,17.829,18.138,18.164,18.207,18.164,18.166,18.283,18.632,18.672,18.762,18.816,18.73,18.509,17.971,17.676,17.706,18.09,18.178,18.04,18.019,17.455,17.727,17.761,17.768,17.908,17.761,17.888,18.035,17.607,17.795,18.125
45,M,False,23.029,14.077,13.935,23.187,23.192,22.777,23.329,23.524,13.832,23.112,22.85,22.916,22.987,23.246,23.465,22.927,23.313,22.828,22.524,14.244,14.446,14.282,14.461,14.441,14.188,14.362,15.123,14.875,14.759,14.769,14.58,14.25,14.46,14.532,14.454
46,M,True,8.2684,8.4063,8.3583,8.4011,8.4103,8.3415,8.2085,8.2796,8.2646,8.1546,8.1835,8.2433,8.2244,8.1498,8.1006,8.3308,8.1822,8.1958,8.3372,8.317,8.2762,8.1602,8.2877,8.2307,8.1824,8.3787,8.307,8.37,8.2566,8.2904,8.4485,8.4197,8.2914,8.2885,8.2617
47,M,True,21.918,22.119,21.622,21.691,22.084,21.319,22.744,22.849,22.34,20.52,19.14,19.095,18.596,18.284,17.342,17.968,17.848,17.203,17.393,16.898,16.73,16.725,16.604,16.284,15.912,16.579,16.532,16.498,16.861,17.263,17.263,16.986,16.438,15.839,16.072
48,M,False,8.3308,8.1822,8.1958,8.3372,8.317,8.2762,8.1602,8.2877,8.2307,8.1824,8.3787,8.307,8.37,8.2566,8.2904,8.4485,8.4197,8.2914,8.2885,8.2617,8.1492,8.3094,8.2878,8.0945,8.3822,8.3709,8.4506,8.1458,8.0294,8.135,8.3051,8.3483,8.4101,8.2991,8.3118
49,M,False,8.1602,8.2877,8.2307,8.1824,8.3787,8.307,8.37,8.2566,8.2904,8.4485,8.4197,8.2914,8.2885,8.2617,8.1492,8.3094,8.2878,8.0945,8.3822,8.3709,8.4506,8.1458,8.0294,8.135,8.3051,8.3483,8.4101,8.2991,8.3118,8.3144,8.3533,8.292,8.2793,8.1957,8.3612
50,M,False,15.774,15.583,15.49,15.463,15.458,15.562,15.6,15.44,15.479,15.533,15.396,15.417,15.52,15.334,15.364,15.142,15.299,15.287,15.585,15.472,15.279,15.211,15.113,15.212,15.266,15.272,15.083,15.172,15.036,15.205,15.248,15.03,15.092,15.172,15.425
51,M,False,9.0885,9.1335,9.1552,9.2033,9.2464,9.4219,9.2685,9.336,9.2988,9.4213,9.4284,9.7072,9.6404,9.7025,9.6756,9.7607,9.7372,9.9471,9.9679,9.9987,10.013,10.076,10.028,10.073,10.324,10.227,10.205,10.012,10.079,10.002,9.923,10.127,9.7723,10.087,10.022
52,M,True,21.508,21.955,22.822,22.828,23.511,24.231,25.112,24.813,26.215,26.093,26.187,25.079,25.443,23.134,23.114,25.867,25.368,21.939,22.894,21.471,21.618,21.668,21.509,21.493,22.768,22.53,23.363,22.845,22.719,22.618,24.382,23.328,24.133,23.445,22.437
53,M,False,21.493,22.768,22.53,23.363,22.845,22.719,22.618,24.382,23.328,24.133,23.445,22.437,22.519,21.249,20.596,20.367,20.369,21.132,20.191,20.013,19.913,19.331,18.617,19.073,18.645,18.464,18.141,17.762,17.475,17.565,17.338,16.842,16.768,16.77,15.255
54,M,False,15.609,16.028,15.588,14.415,14.196,14.224,14.799,15.287,14.198,13.797,13.717,13.257,13.661,13.816,13.961,14.2,13.85,13.639,14.034,14.864,15.175,16.938,16.696,17.035,18.033,17.374,15.238,15.228,15.509,15.387,15.34,16.36,15.345,14.95,13.563
55,M,False,12.512,28.3,23.496,16.777,10.755,17.396,49.22,44.389,45.255,45.536,41.852,43.244,46.214,43.607,45.474,43.064,45.051,43.986,43.892,45.473,49.154,47.305,38.756,35.423,38.65,44.713,41.929,43.452,44.423,41.149,38.465,46.327,37.863,33.832,33.03
56,M,False,45.255,45.536,41.852,43.244,46.214,43.607,45.474,43.064,45.051,43.986,43.892,45.473,49.154,47.305,38.756,35.423,38.65,44.713,41.929,43.452,44.423,41.149,38.465,46.327,37.863,33.832,33.03,29.841,34.544,28.737,27.142,29.249,27.487,29.288,29.931
57,M,True,9.3085,9.2829,9.1859,9.2611,9.2625,9.5231,9.3808,9.6898,9.5344,9.5134,9.8022,9.7775,9.6493,9.8042,9.659,9.7592,9.6,9.4294,9.4415,9.4771,9.4563,9.4998,9.3607,9.4636,9.6099,9.6174,9.6758,9.5851,9.6095,9.8631,9.8012,10.08,10.022,10.101,9.9756
58,M,False,9.8042,9.659,9.7592,9.6,9.4294,9.4415,9.4771,9.4563,9.4998,9.3607,9.4636,9.6099,9.6174,9.6758,9.5851,9.6095,9.8631,9.8012,10.08,10.022,10.101,9.9756,10.062,10.288,10.135,10.045,10.072,9.9609,10.07,10.172,10.187,10.089,10.151,10.227,10.157
59,M,True,5.4263,3.8066,3.7794,3.6798,3.8557,3.8831,3.8285,3.8231,3.8762,3.8579,3.88,3.6191,4.0556,3.9993,4.0258,4.0563,4.0566,4.0498,3.983,3.7996,4.1074,4.0317,4.0084,4.1617,4.2047,3.8864,4.09,3.9383,4.0587,4.0232,3.9135,3.935,3.9661,4.0036,4.1615
60,M,False,15.591,23.745,25.14,19.601,16.546,20.27,20.283,18.333,19.357,16.577,15.144,16.853,15.102,13.37,13.754,13.707,13.637,13.635,13.449,13.531,13.393,13.49,13.479,13.34,13.506,13.422,13.432,13.408,13.441,13.572,13.495,13.4,13.506,13.485,13.447
61,M,False,15.81,15.783,15.812,16.217,16.08,16.548,16.526,16.31,16.303,16.299,16.414,16.331,16.092,15.946,15.915,15.51,15.798,15.585,15.565,15.705,15.849,16.132,16.568,16.756,16.398,16.343,16.259,16.106,16.216,16.395,16.631,16.32,16.504,16.729,16.798
62,M,False,15.772,15.746,15.376,15.61,15.613,15.416,15.511,15.155,15.385,15.068,15.007,15.171,15.196,15.351,15.339,15.436,15.922,15.647,15.607,15.888,15.451,15.447,15.385,15.939,15.792,15.896,15.2,15.517,15.188,15.306,14.923,15.204,14.727,14.152,13.982
63,M,True,22.666,21.857,20.756,15.791,16.865,17.494,16.426,23.787,26.456,27.333,27.493,28.357,25.574,25.212,23.97,22.996,22.956,25.919,25.197,26.871,25.509,24.352,24.883,25.08,26.068,19.678,19.711,18.586,29.224,17.396,16.546,14.367,17.822,19.193,18.549
64,M,False,30.215,30.585,31.6,31.763,33.235,34.245,33.468,35.48,35.375,33.606,34.14,33.495,32.281,32.75,31.573,29.06,29.384,28.885,26.923,27.671,28.446,27.556,26.14,23.303,23.012,24.66,25.38,24.141,22.931,24.845,28.563,28.546,28.335,23.988,23.388
65,M,True,51.368,47.611,53.676,49.8,52.443,51.068,53.983,52.081,54.737,48.73,45.623,53.019,55.477,57.876,61.114,58.675,58.044,53.795,64.348,54.92,52.245,59.009,59.049,57.723,60.37,60.642,53.308,59.651,53.492,56.41,56.351,49.595,46.133,52.578,45.124
66,M,False,41.26,42.979,38.156,38.181,37.18,34.177,40.952,41.209,41.566,38.173,40.683,38.075,33.719,34.269,33.65,36.504,36.521,38.047,38.167,42.434,44.257,37.318,38.376,44.341,44.6,39.752,37.195,35.504,34.366,32.609,31.581,30.274,28.625,28.279,27.77
67,M,False,54.804,54.33,54.769,55.193,55.463,58.042,56.924,57.514,56.003,56.928,57.012,57.921,57.435,59.114,60.101,59.165,60.156,58.672,59.218,58.602,59.054,59.219,60.178,62.332,61.833,62.037,61.34,61.054,60.342,60.945,61.895,62.206,61.446,62.725,62.14
68,M,False,12.149,11.76,12.292,11.167,13.369,12.089,12.338,10.848,10.221,9.9144,8.5301,8.7015,8.939,8.7742,8.9079,9.2525,8.5223,8.5445,8.1392,8.8561,8.1165,9.1113,9.1124,10.87,14.074,16.222,18.033,20.114,22.452,23.289,26.989,26.953,25.304,27.576,28.889
69,M,False,19.51,18.666,18.931,19.429,18.67,18.261,18.394,17.835,18.016,18.262,18.179,17.858,17.723,17.567,17.419,16.962,16.789,16.414,15.844,15.559,15.207,14.799,14.861,14.681,14.732,14.957,14.733,14.618,14.389,14.596,14.301,14.687,14.795,14.998,14.766
70,M,False,10.012,10.087,10.09,10.144,10.291,10.325,10.275,10.482,10.403,10.37,10.507,10.437,10.469,10.566,10.57,10.169,10.505,10.184,10.484,10.394,10.353,10.531,10.473,10.535,10.587,10.474,10.67,10.659,10.871,10.632,10.715,11.025,10.817,10.833,10.916
71,M,True,5.7594,5.7868,5.7414,5.7667,5.8638,5.9869,6.0734,5.9143,5.9567,5.8201,5.7375,5.6642,5.6911,5.6597,5.641,5.6098,5.5347,5.5784,5.5543,6.6599,6.5892,6.6252,6.5736,6.4934,6.7176,5.5401,5.6109,6.6511,5.682,5.6328,6.401,6.6188,6.5992,6.6566,6.7436
72,M,True,7.786,7.7585,7.7883,7.835,7.9131,7.9536,7.8063,7.9366,7.9547,7.8969,7.9341,7.9335,8.0839,7.9645,8.0291,8.2058,8.3446,8.279,8.2875,8.2821,8.2484,8.3419,8.2118,8.2815,8.3395,8.2429,8.2424,8.4064,8.6087,8.4043,8.3692,8.3568,8.4133,8.6511,8.6169
73,M,False,7.5436,7.5547,7.3891,7.418,7.4909,7.4441,7.4321,7.3996,7.4212,7.4845,7.5181,7.4313,7.4647,7.3981,7.4447,7.5119,7.5015,7.5476,7.5135,7.4127,7.4576,7.5253,7.4137,7.4974,7.4556,7.5357,7.5181,7.4113,7.4963,7.4896,7.4635,7.4577,7.5155,7.5673,7.4852
74,M,True,9.1894,9.2375,9.4031,9.3245,9.2291,9.1114,9.1605,9.1785,9.2493,9.3081,9.303,9.1806,9.2464,9.31,9.4072,9.3975,9.3927,9.2958,9.3358,9.4772,9.3632,9.3673,9.216,9.1018,9.1601,9.1052,9.0151,9.0662,9.1163,9.0666,9.058,9.023,8.9788,9.0927,9.135
75,M,False,10.381,10.444,10.398,10.322,10.356,10.37,10.435,10.338,10.411,10.436,10.43,10.287,10.373,10.381,10.431,10.481,10.551,10.59,10.535,10.618,10.629,10.64,10.685,10.682,10.698,10.694,10.595,10.604,10.676,10.744,10.901,10.932,11.196,11.133,11.101
76,M,True,13.159,13.266,13.477,13.568,13.467,13.633,13.742,13.756,13.773,13.663,13.602,13.578,13.74,13.85,13.904,13.871,14.143,14.046,14.363,14.266,14.35,14.041,14.379,14.149,14.447,14.396,14.503,14.628,14.729,14.754,14.689,14.645,14.804,14.68,14.974
77,M,False,15.685,15.696,15.736,15.771,15.739,15.931,15.845,15.741,15.82,15.983,15.858,15.937,16.046,16.155,16.395,16.196,16.621,16.958,16.75,16.768,16.489,16.304,16.635,16.25,16.296,16.426,16.243,16.108,16.207,16.333,16.523,16.569,16.857,16.622,16.557
78,M,True,28.267,28.095,28.298,28.505,29.082,28.659,28.228,29.371,30.185,29.596,29.675,30.348,30.041,29.355,30.115,30.472,30.162,30.816,30.573,30.36,30.139,30.248,29.583,29.172,29.041,29.075,28.959,28.871,29.031,28.759,28.018,28.747,28.776,29.134,28.978
79,M,False,29.059,28.996,29.229,29.246,28.934,28.891,29.069,29.433,29.213,29.626,29.519,30.032,29.899,29.663,30.086,30.584,30.744,30.574,30.351,30.462,30.705,30.963,30.762,30.791,30.877,31.214,30.951,31.067,31.453,31.0,31.441,31.352,31.804,32.012,32.044
80,M,False,30.744,30.574,30.351,30.462,30.705,30.963,30.762,30.791,30.877,31.214,30.951,31.067,31.453,31.0,31.441,31.352,31.804,32.012,32.044,32.141,31.949,32.199,32.678,32.835,32.63,33.148,33.043,33.184,33.547,33.26,33.224,33.617,33.581,33.475,33.62
81,M,True,9.7386,9.8354,9.724,9.5174,9.7205,9.9127,9.8721,9.9216,10.387,10.613,10.485,10.453,10.446,10.123,10.986,10.446,9.9922,10.056,10.496,11.016,11.136,10.973,10.993,8.5874,8.4694,8.519,8.479,8.1368,7.9815,8.1598,7.9946,7.8687,8.0402,8.0468,8.2518
82,M,True,3.8018,3.801,3.7647,4.192,4.3946,3.8529,4.2407,3.8498,3.8393,4.4287,3.8341,3.9008,4.3618,3.9019,3.8604,3.6736,3.5989,3.7756,3.856,3.8437,3.9532,4.0731,3.8998,3.9321,5.8463,6.2774,7.0191,6.7711,7.0389,6.213,7.293,6.2959,6.2119,5.7896,6.6389
83,M,False,5.6424,5.4722,6.1612,6.5162,6.0014,5.8006,5.4272,5.7873,6.3193,6.1763,5.7283,5.8138,5.1543,5.3112,5.0876,4.3331,4.9415,5.0353,5.2183,5.623,5.9701,6.1415,5.8936,5.8905,5.798,5.6301,5.398,6.0322,6.1502,6.2829,6.5523,6.7302,6.4324,6.3688,6.2362
