,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10,AREA_ACR_11,AREA_ACR_12,AREA_ACR_13,AREA_ACR_14,AREA_ACR_15,AREA_ACR_16,AREA_ACR_17,AREA_ACR_18,AREA_ACR_19,AREA_ACR_20,AREA_ACR_21,AREA_ACR_22,AREA_ACR_23,AREA_ACR_24,AREA_ACR_25,AREA_ACR_26,AREA_ACR_27,AREA_ACR_28,AREA_ACR_29,AREA_ACR_30,AREA_ACR_31,AREA_ACR_32,AREA_ACR_33,AREA_ACR_34,AREA_ACR_35
140,M,False,1053.2,1054.1,1054.8,1043.4,1049.7,1047.7,1042.6,1033.2,1036.7,1032.5,1022.4,1022.2,1024.2,1030.8,1025.8,1023.6,1021.0,1017.5,1014.0,1016.0,1014.3,1017.7,1014.8,1013.2,1007.9,1004.9,1002.4,999.5,990.72,988.27,988.19,981.03,979.7,974.09,971.47
141,M,True,2067.3,2070.2,2078.0,2072.6,2067.8,2065.3,2073.3,2059.8,2064.5,2070.7,2066.0,2059.1,2060.8,2058.9,2045.3,2032.1,2042.3,2035.6,2038.3,2045.6,2052.1,2055.8,2059.1,2061.2,2062.1,2054.2,2060.3,2058.9,2063.7,2067.3,2062.5,2066.6,2068.5,2076.1,2058.8
142,M,True,2094.8,2101.6,2109.1,2100.5,2095.7,2096.5,2097.9,2100.0,2098.3,2103.2,2110.5,2103.8,2104.1,2104.9,2106.8,2110.5,2106.3,2106.5,2097.2,2106.4,2104.5,2112.9,2117.4,2112.9,2119.4,2127.7,2149.8,2149.0,2154.7,2159.9,2164.9,2161.8,2169.8,2181.4,2192.5
143,M,False,2098.3,2103.2,2110.5,2103.8,2104.1,2104.9,2106.8,2110.5,2106.3,2106.5,2097.2,2106.4,2104.5,2112.9,2117.4,2112.9,2119.4,2127.7,2149.8,2149.0,2154.7,2159.9,2164.9,2161.8,2169.8,2181.4,2192.5,2182.9,2182.3,2180.7,2180.6,2186.5,2197.6,2197.6,2202.5
144,M,False,2231.7,2241.9,2241.2,2248.2,2241.3,2253.9,2254.2,2246.4,2251.9,2261.7,2254.0,2249.7,2241.8,2239.4,2245.2,2245.4,2245.0,2242.4,2230.5,2226.2,2233.5,2229.9,2242.4,2234.1,2227.8,2223.1,2216.6,2213.7,2218.1,2219.5,2222.4,2222.6,2219.2,2222.9,2224.4
145,M,False,1120.0,1101.4,1108.4,1112.2,1098.0,1097.3,1088.4,1090.3,1086.1,1089.9,1074.3,1078.1,1078.7,1071.0,1060.4,1062.5,1066.7,1058.5,1051.1,1045.1,1050.4,1038.5,1038.9,1036.3,1036.2,1033.5,1029.7,1020.3,1019.4,1018.0,1005.1,994.21,990.03,993.83,988.32
146,M,False,1571.3,1579.6,1584.8,1590.3,1574.4,1583.0,1580.9,1594.7,1590.7,1584.3,1600.3,1596.7,1602.3,1610.2,1610.3,1633.1,1630.7,1627.3,1647.2,1647.0,1652.9,1644.0,1649.0,1667.9,1665.6,1668.3,1671.5,1670.7,1673.2,1662.9,1649.7,1655.2,1674.7,1673.7,1685.8
147,M,True,24.064,22.884,29.174,31.193,39.36,39.356,39.535,41.207,44.593,51.633,47.815,44.269,40.95,43.802,39.151,42.99,44.12,45.526,53.758,52.495,65.98,70.342,83.187,91.66,99.723,105.56,120.22,129.13,139.43,140.1,155.31,161.87,169.43,171.8,160.37
148,M,False,120.22,129.13,139.43,140.1,155.31,161.87,169.43,171.8,160.37,162.62,171.69,194.94,180.47,184.31,194.27,182.8,180.41,183.38,181.22,197.38,224.32,223.82,224.31,251.18,259.69,273.77,276.57,279.53,283.95,275.41,274.43,278.85,282.62,274.3,277.47
149,M,False,227.84,232.43,248.39,246.39,233.11,234.96,248.92,248.68,233.23,237.31,243.1,259.83,258.02,256.92,266.53,291.69,302.23,298.53,300.07,299.8,298.84,313.05,308.43,305.88,301.13,290.76,288.06,298.46,294.83,294.9,317.1,312.91,320.66,329.47,324.88
150,M,False,1298.9,1293.2,1291.3,1297.1,1302.9,1310.8,1320.2,1321.2,1319.3,1325.5,1323.7,1326.7,1331.4,1341.8,1344.1,1344.9,1344.7,1353.3,1353.1,1353.2,1344.3,1358.1,1363.7,1363.2,1370.9,1377.3,1391.0,1387.8,1386.7,1387.2,1399.2,1405.1,1412.6,1417.9,1425.1
151,M,True,275.47,271.31,271.49,273.95,272.23,275.42,276.44,282.61,278.65,281.54,283.54,288.71,290.86,292.81,290.62,291.61,293.28,290.31,294.95,299.16,299.65,303.32,299.36,300.44,314.79,321.14,317.76,319.39,324.6,330.68,326.75,330.26,324.77,318.46,314.47
152,M,True,804.45,804.58,805.17,808.15,817.36,823.3,823.29,818.78,817.34,813.4,810.97,812.52,805.93,811.96,811.39,806.38,806.84,807.67,802.13,806.38,799.91,804.27,809.49,811.51,817.04,812.06,814.34,825.12,830.29,831.18,834.02,834.34,833.1,841.63,831.18
153,M,False,830.29,831.18,834.02,834.34,833.1,841.63,831.18,835.86,844.17,840.75,844.63,841.69,841.4,841.8,841.96,846.17,850.52,857.29,858.63,856.35,856.09,849.33,853.65,853.92,854.76,855.65,861.11,858.92,853.09,845.81,843.5,846.86,845.42,841.66,845.9
154,M,True,1009.0,1014.0,1012.2,1011.7,1017.3,1022.7,1024.1,1027.3,1014.7,1026.5,1035.6,1043.1,1050.4,1059.0,1069.9,1073.0,1081.1,1085.6,1097.5,1101.2,1104.7,1116.7,1122.9,1128.4,1129.3,1135.3,1139.5,1143.0,1153.4,1156.2,1161.4,1173.0,1175.8,1180.8,1182.6
155,M,False,1139.5,1143.0,1153.4,1156.2,1161.4,1173.0,1175.8,1180.8,1182.6,1186.7,1199.0,1192.7,1208.9,1221.1,1226.6,1226.9,1243.4,1256.0,1268.8,1281.7,1294.5,1285.1,1300.5,1305.6,1309.5,1313.6,1323.5,1333.6,1329.8,1323.8,1336.5,1345.5,1353.5,1345.9,1346.6
156,M,True,1408.6,1404.7,1404.4,1406.1,1410.7,1424.8,1420.5,1426.6,1429.7,1430.1,1435.3,1438.8,1447.1,1445.8,1451.9,1451.1,1455.0,1462.7,1471.6,1469.4,1476.9,1469.9,1470.0,1479.3,1481.2,1487.5,1483.1,1491.7,1484.7,1495.0,1488.0,1499.3,1508.1,1506.9,1503.2
157,M,False,1506.5,1514.5,1517.4,1521.9,1531.8,1531.5,1535.2,1533.0,1529.3,1531.4,1535.3,1540.2,1545.6,1550.9,1553.0,1553.4,1548.0,1549.2,1548.7,1545.2,1541.7,1550.4,1547.9,1552.0,1560.8,1570.7,1578.1,1580.5,1602.7,1605.0,1607.8,1614.9,1614.2,1616.7,1608.7
158,M,False,1545.2,1541.7,1550.4,1547.9,1552.0,1560.8,1570.7,1578.1,1580.5,1602.7,1605.0,1607.8,1614.9,1614.2,1616.7,1608.7,1607.5,1618.8,1612.1,1611.6,1625.3,1636.3,1639.7,1644.9,1654.3,1651.4,1649.6,1656.3,1669.0,1668.6,1667.0,1670.3,1672.8,1675.3,1679.3
159,M,True,1699.6,1705.9,1711.7,1711.2,1724.9,1717.9,1726.3,1728.3,1724.6,1727.5,1737.3,1733.3,1740.8,1753.3,1752.5,1751.8,1754.0,1753.6,1750.8,1753.4,1762.1,1769.7,1776.0,1773.1,1770.4,1755.0,1754.3,1761.4,1772.0,1768.2,1765.9,1777.1,1781.8,1783.4,1796.7
160,M,True,1761.4,1772.0,1768.2,1765.9,1777.1,1781.8,1783.4,1796.7,1795.3,1793.4,1792.1,1797.9,1799.9,1801.3,1803.9,1809.0,1817.6,1812.2,1816.1,1820.1,1823.2,1824.6,1831.0,1838.4,1835.4,1846.9,1848.4,1851.2,1859.9,1855.7,1863.7,1864.4,1868.8,1872.7,1878.2
161,M,True,1799.9,1801.3,1803.9,1809.0,1817.6,1812.2,1816.1,1820.1,1823.2,1824.6,1831.0,1838.4,1835.4,1846.9,1848.4,1851.2,1859.9,1855.7,1863.7,1864.4,1868.8,1872.7,1878.2,1874.5,1881.4,1872.3,1877.5,1873.3,1872.5,1865.6,1868.2,1872.5,1874.3,1879.9,1878.6
162,M,True,1883.0,1879.8,1871.1,1872.0,1872.8,1872.3,1871.6,1875.4,1877.0,1871.0,1873.2,1876.7,1881.6,1873.6,1884.0,1879.7,1877.6,1871.8,1871.8,1869.7,1877.4,1882.5,1879.7,1879.3,1882.1,1887.0,1886.9,1893.3,1896.2,1894.3,1896.1,1890.3,1895.2,1903.7,1892.6
163,M,False,1871.0,1873.2,1876.7,1881.6,1873.6,1884.0,1879.7,1877.6,1871.8,1871.8,1869.7,1877.4,1882.5,1879.7,1879.3,1882.1,1887.0,1886.9,1893.3,1896.2,1894.3,1896.1,1890.3,1895.2,1903.7,1892.6,1896.4,1894.6,1897.8,1903.4,1910.2,1909.0,1915.1,1919.0,1912.4
164,M,False,1879.7,1877.6,1871.8,1871.8,1869.7,1877.4,1882.5,1879.7,1879.3,1882.1,1887.0,1886.9,1893.3,1896.2,1894.3,1896.1,1890.3,1895.2,1903.7,1892.6,1896.4,1894.6,1897.8,1903.4,1910.2,1909.0,1915.1,1919.0,1912.4,1917.3,1916.8,1922.3,1916.7,1919.5,1910.5
165,M,True,1879.3,1882.1,1887.0,1886.9,1893.3,1896.2,1894.3,1896.1,1890.3,1895.2,1903.7,1892.6,1896.4,1894.6,1897.8,1903.4,1910.2,1909.0,1915.1,1919.0,1912.4,1917.3,1916.8,1922.3,1916.7,1919.5,1910.5,1916.2,1920.8,1911.1,1919.6,1921.9,1920.0,1932.4,1927.7
166,M,True,1893.3,1896.2,1894.3,1896.1,1890.3,1895.2,1903.7,1892.6,1896.4,1894.6,1897.8,1903.4,1910.2,1909.0,1915.1,1919.0,1912.4,1917.3,1916.8,1922.3,1916.7,1919.5,1910.5,1916.2,1920.8,1911.1,1919.6,1921.9,1920.0,1932.4,1927.7,1935.5,1946.2,1948.0,1963.9
167,M,False,1917.3,1916.8,1922.3,1916.7,1919.5,1910.5,1916.2,1920.8,1911.1,1919.6,1921.9,1920.0,1932.4,1927.7,1935.5,1946.2,1948.0,1963.9,1957.8,1958.9,1964.5,1955.1,1952.3,1965.3,1959.0,1967.1,1971.3,1975.0,1987.2,1995.7,2001.5,2001.2,2009.3,2018.4,2022.7
168,M,False,222.08,209.18,228.97,226.14,224.64,214.38,216.86,217.21,196.35,203.48,188.05,188.88,181.75,187.41,185.13,187.82,181.07,185.49,177.33,179.57,183.69,176.66,181.7,180.0,180.11,174.43,175.33,180.93,170.62,168.96,172.99,167.32,168.74,167.7,169.54
169,M,True,1964.5,1955.1,1952.3,1965.3,1959.0,1967.1,1971.3,1975.0,1987.2,1995.7,2001.5,2001.2,2009.3,2018.4,2022.7,2026.9,2027.1,2021.2,2023.6,2041.2,2048.7,2044.4,2054.6,2059.6,2057.7,2061.4,2067.1,2068.8,2073.9,2077.1,2082.7,2072.0,2068.8,2071.0,2074.8
170,M,False,1959.0,1967.1,1971.3,1975.0,1987.2,1995.7,2001.5,2001.2,2009.3,2018.4,2022.7,2026.9,2027.1,2021.2,2023.6,2041.2,2048.7,2044.4,2054.6,2059.6,2057.7,2061.4,2067.1,2068.8,2073.9,2077.1,2082.7,2072.0,2068.8,2071.0,2074.8,2074.9,2079.6,2072.9,2070.7
171,M,False,2001.2,2009.3,2018.4,2022.7,2026.9,2027.1,2021.2,2023.6,2041.2,2048.7,2044.4,2054.6,2059.6,2057.7,2061.4,2067.1,2068.8,2073.9,2077.1,2082.7,2072.0,2068.8,2071.0,2074.8,2074.9,2079.6,2072.9,2070.7,2077.1,2073.2,2074.2,2071.4,2079.6,2081.1,2081.3
172,M,True,2083.5,2084.7,2100.1,2094.2,2089.9,2094.7,2099.9,2091.1,2088.7,2078.7,2067.5,2073.8,2068.9,2072.1,2070.6,2063.7,2065.2,2060.8,2065.0,2064.0,2051.6,2051.1,2048.9,2049.9,2049.9,2057.5,2056.7,2062.8,2066.6,2071.3,2079.9,2068.4,2087.8,2088.6,2075.8
173,M,False,2091.1,2088.7,2078.7,2067.5,2073.8,2068.9,2072.1,2070.6,2063.7,2065.2,2060.8,2065.0,2064.0,2051.6,2051.1,2048.9,2049.9,2049.9,2057.5,2056.7,2062.8,2066.6,2071.3,2079.9,2068.4,2087.8,2088.6,2075.8,2085.6,2081.9,2075.8,2081.6,2080.8,2085.8,2088.0
174,M,True,2062.8,2066.6,2071.3,2079.9,2068.4,2087.8,2088.6,2075.8,2085.6,2081.9,2075.8,2081.6,2080.8,2085.8,2088.0,2095.4,2106.8,2114.2,2111.6,2110.7,2114.1,2124.8,2126.8,2128.5,2132.6,2133.8,2137.8,2131.5,2126.4,2142.9,2147.5,2149.3,2149.1,2159.4,2157.7
