parameter,f_score,f_score_norm
TOTPOT,17.58513923417461,0.9999999999999999
g_s,17.374978535021725,0.9880369618743344
ABSNJZH,16.792830892172592,0.9548992036053433
AREA_ACR,16.252613057515482,0.924148227908093
SAVNCPP,15.811927400620569,0.8990629510884122
TOTUSJZ,14.114320704918457,0.8024295952567606
TOTUSJH,13.76300325428134,0.7824314506316039
USFLUX,10.836386029143075,0.6158387737672728
MEANPOT,9.443373630815712,0.536543927024343
R_VALUE,6.874560589026785,0.3903186409432757
slf,5.483097192616799,0.3111119684834968
SHRGT45,5.311644871200868,0.301352338514144
MEANSHR,4.701080136818753,0.26659698594326914
MEANGAM,3.0363303225405853,0.1718339518546908
MEANGBT,1.7441750309697295,0.09828022330481896
d_l_f,0.8964221664590968,0.05002334235532661
MEANJZD,0.3809393205813451,0.020680363562341146
MEANGBZ,0.3029073796193502,0.01623852886864832
MEANGBH,0.13709740286478114,0.0068000797127115795
MEANJZH,0.017636987232333874,0.0
