,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10,MEANGBH_11,MEANGBH_12,MEANGBH_13,MEANGBH_14,MEANGBH_15,MEANGBH_16,MEANGBH_17,MEANGBH_18,MEANGBH_19,MEANGBH_20
2068,N,False,52.077,51.724,51.703,51.812,51.945,51.869,52.002,52.136,52.088,52.347,52.398,52.781,53.092,53.277,53.318,53.468,53.914,53.823,54.122,53.999
2069,N,False,49.027,49.622,49.696,48.719,48.437,48.79,48.069,48.109,48.532,48.135,48.606,48.694,48.451,48.408,49.253,48.926,49.013,49.046,48.779,49.484
2070,N,False,84.257,83.63,84.486,83.104,81.89,85.275,86.312,86.427,86.76,85.179,84.558,83.84,86.255,86.865,83.498,84.561,83.538,83.619,82.635,81.747
2071,N,False,53.002,52.638,53.354,53.58,53.705,53.477,53.801,54.017,53.869,54.785,54.269,53.913,53.455,53.515,53.298,53.144,53.415,52.504,53.55,52.983
2072,N,False,80.76,80.971,83.012,82.16,82.368,80.859,81.888,81.559,80.749,80.41,80.345,77.805,77.718,78.938,80.116,80.079,78.92,78.748,79.929,81.249
2073,N,False,91.767,96.816,90.62,94.515,91.46,92.138,91.549,96.662,98.124,101.79,101.86,92.941,98.376,102.13,94.142,100.63,98.095,97.373,91.363,92.351
2074,N,False,80.971,83.012,82.16,82.368,80.859,81.888,81.559,80.749,80.41,80.345,77.805,77.718,78.938,80.116,80.079,78.92,78.748,79.929,81.249,80.286
2075,N,False,54.632,58.652,57.408,55.751,53.983,55.797,54.766,55.567,55.207,54.215,52.117,51.236,52.189,50.449,47.609,48.629,49.686,49.164,48.779,46.945
2076,N,False,85.649,86.462,87.757,87.889,89.824,90.724,86.629,87.946,88.285,83.896,84.711,80.787,81.247,80.347,81.171,77.525,80.709,83.449,79.669,79.066
2077,N,False,59.839,60.222,60.211,60.671,60.913,60.823,61.289,61.077,61.406,61.484,61.353,61.65,62.02,61.847,61.574,61.706,61.522,61.493,62.168,62.129
2078,N,False,56.205,56.424,56.602,57.405,56.457,56.605,56.745,57.125,57.907,58.208,59.051,59.206,58.251,58.604,58.779,59.194,60.777,59.496,58.935,58.83
2079,N,False,57.807,57.432,56.488,56.472,56.457,58.02,53.919,53.247,54.763,58.058,56.986,56.986,54.805,55.023,56.718,59.199,58.742,58.668,56.81,55.629
2080,N,False,54.009,53.411,53.582,53.072,52.928,52.335,51.861,52.081,51.677,51.588,51.728,51.815,51.883,51.652,52.647,53.08,53.471,54.079,53.596,54.372
2081,N,False,75.931,77.803,77.513,80.506,83.404,81.719,81.948,84.493,85.048,90.679,88.898,88.799,88.702,88.214,85.716,84.292,84.335,83.188,83.461,81.428
