,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5,MEANPOT_6,MEANPOT_7,MEANPOT_8,MEANPOT_9,MEANPOT_10,MEANPOT_11,MEANPOT_12,MEANPOT_13,MEANPOT_14,MEANPOT_15,MEANPOT_16,MEANPOT_17,MEANPOT_18,MEANPOT_19,MEANPOT_20
643,C,True,9197.9,9243.9,9364.9,9361.1,9386.2,9374.7,9468.6,9447.8,9474.1,9410.5,9370.4,9309.1,9340.2,9362.9,9301.4,9301.4,9235.1,9146.7,9087.0,9046.6
644,C,False,4103.4,3969.6,4039.5,4321.8,4342.6,4658.5,4756.2,4986.5,4550.2,4919.0,4955.1,5036.0,5285.8,5567.6,5506.9,5325.3,5025.8,5336.5,5313.5,5453.8
645,C,False,9055.3,10350.0,10883.0,10912.0,10899.0,10832.0,9724.1,11229.0,9951.8,10393.0,9944.9,10678.0,9893.6,10660.0,11600.0,11076.0,11073.0,11860.0,11584.0,11662.0
646,C,False,3449.3,3471.7,3561.0,3680.4,3729.8,3664.7,3692.4,3686.2,3955.6,3995.8,4057.2,3740.0,3783.1,3664.0,3804.4,3530.3,3225.6,3130.9,3256.6,3185.9
647,C,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2567.6,2453.5,3086.8,3701.2,2271.2,3109.9,3690.2,9047.3,5502.7,7140.3
648,C,False,3758.1,3861.6,3790.8,3858.4,3875.2,3988.8,4020.5,4102.5,4124.5,4225.2,4290.3,4319.9,4397.6,4490.6,4527.7,4626.6,4649.6,4748.1,4762.3,4954.4
649,C,False,6510.0,6501.8,6548.7,6554.3,6447.0,6449.4,6550.2,6576.3,6612.5,6642.0,6733.6,6747.0,6708.9,6599.2,6450.6,6413.5,6343.1,6182.2,6135.2,6005.8
650,C,False,895.39,927.28,949.97,990.42,1029.4,1042.4,1089.4,1145.8,1103.8,1070.4,1044.3,1013.5,971.02,922.17,882.88,852.22,846.82,820.92,816.3,779.59
651,C,False,11054.0,11084.0,11079.0,10968.0,10979.0,11065.0,11186.0,11270.0,11407.0,11699.0,11905.0,11952.0,12067.0,12167.0,12216.0,12166.0,12300.0,12186.0,11979.0,11806.0
652,C,False,6880.8,6775.9,6730.4,6742.7,6738.8,6650.3,6604.8,6606.3,6561.5,6588.1,6448.4,6363.4,6331.9,6269.7,6161.6,6148.2,6128.7,6169.0,6008.7,6020.1
653,C,False,2384.7,2371.3,2395.1,2427.7,2451.7,2496.6,2541.2,2585.3,2556.0,2559.4,2588.5,2610.4,2694.7,2590.4,2718.5,2563.9,2591.1,2656.0,2580.6,2548.6
654,C,False,1720.2,1768.7,1818.0,1811.8,1832.3,1850.0,1883.8,1878.4,1925.9,1909.9,1893.5,1893.1,1863.8,1857.3,1855.4,1817.9,1833.0,1838.2,1768.3,1762.0
655,C,False,2288.2,2198.8,2220.5,2186.7,2162.0,2213.7,2081.2,2027.9,1995.2,1921.4,1896.4,1873.9,1833.1,1758.6,1752.7,1740.0,1721.4,1709.7,1709.1,1692.0
656,C,True,5718.9,5873.7,5692.1,4702.0,4885.8,5656.1,5185.8,4992.3,4881.7,4567.2,4446.8,4622.3,4508.3,4530.2,4802.6,4225.7,4326.6,5581.0,5072.0,4935.0
