,FLARE_TYPE,COINCIDENCE,TOTUSJZ_1,TOTUSJZ_2,TOTUSJZ_3,TOTUSJZ_4,TOTUSJZ_5,TOTUSJZ_6,TOTUSJZ_7,TOTUSJZ_8,TOTUSJZ_9,TOTUSJZ_10,TOTUSJZ_11,TOTUSJZ_12,TOTUSJZ_13,TOTUSJZ_14,TOTUSJZ_15,TOTUSJZ_16,TOTUSJZ_17,TOTUSJZ_18,TOTUSJZ_19,TOTUSJZ_20
1692,B,False,10012000000000.0,9920900000000.0,9589400000000.0,9969700000000.0,9799200000000.0,9514000000000.0,9972200000000.0,10001000000000.0,10288000000000.0,10172000000000.0,10102000000000.0,10411000000000.0,10512000000000.0,10526000000000.0,10309000000000.0,10336000000000.0,10089000000000.0,9818900000000.0,10158000000000.0,10336000000000.0
1693,B,False,5888000000000.0,6051300000000.0,5237500000000.0,6049400000000.0,5711500000000.0,5415800000000.0,5407200000000.0,5272800000000.0,5331900000000.0,5077600000000.0,5041200000000.0,5317000000000.0,5073800000000.0,5383000000000.0,5413000000000.0,4940800000000.0,5268200000000.0,4985200000000.0,5130200000000.0,5037400000000.0
1694,B,False,2644000000000.0,2424100000000.0,2617600000000.0,2502400000000.0,2490300000000.0,2436400000000.0,2420700000000.0,2255700000000.0,2420900000000.0,2390600000000.0,2276900000000.0,2516500000000.0,2451200000000.0,2458800000000.0,2521400000000.0,2444500000000.0,2508200000000.0,2349200000000.0,2478900000000.0,2451000000000.0
1695,B,False,16059000000000.0,15965000000000.0,15800000000000.0,15963000000000.0,15506000000000.0,15297000000000.0,15058000000000.0,15045000000000.0,14619000000000.0,13987000000000.0,13943000000000.0,14363000000000.0,14407000000000.0,14110000000000.0,13899000000000.0,14078000000000.0,14042000000000.0,13736000000000.0,13660000000000.0,14029000000000.0
1696,B,False,5865300000000.0,6123400000000.0,5936900000000.0,5963300000000.0,5715500000000.0,5860600000000.0,5772100000000.0,5966500000000.0,6062900000000.0,6053900000000.0,5968500000000.0,6002200000000.0,6381100000000.0,6028200000000.0,6335500000000.0,6382800000000.0,6056300000000.0,5776400000000.0,5793800000000.0,5851500000000.0
1697,B,False,4117700000000.0,3982900000000.0,4151600000000.0,4141500000000.0,4106700000000.0,4335700000000.0,4349600000000.0,4466200000000.0,4311200000000.0,4304500000000.0,4413400000000.0,4417200000000.0,4468600000000.0,4480600000000.0,4290200000000.0,4479200000000.0,4543400000000.0,4320300000000.0,4459600000000.0,4378200000000.0
1698,B,False,4506500000000.0,4448600000000.0,4773200000000.0,4650000000000.0,4821400000000.0,4756400000000.0,4830700000000.0,5212500000000.0,5193300000000.0,4922600000000.0,5299800000000.0,5876500000000.0,5468100000000.0,5557000000000.0,5999900000000.0,6075300000000.0,6250000000000.0,6403000000000.0,6627000000000.0,6672000000000.0
1699,B,False,1614300000000.0,1658000000000.0,1818900000000.0,1911100000000.0,1931500000000.0,1978700000000.0,2157800000000.0,2181200000000.0,2225500000000.0,2172400000000.0,2292600000000.0,2262100000000.0,2329100000000.0,2347400000000.0,2278300000000.0,2283900000000.0,2323700000000.0,2308400000000.0,2296300000000.0,2313400000000.0
1700,B,False,12799000000000.0,12934000000000.0,13062000000000.0,13531000000000.0,13556000000000.0,13702000000000.0,13541000000000.0,13405000000000.0,13293000000000.0,13641000000000.0,13657000000000.0,13674000000000.0,13343000000000.0,13455000000000.0,13647000000000.0,14181000000000.0,14081000000000.0,13857000000000.0,14176000000000.0,14727000000000.0
1701,B,False,6670300000000.0,6755200000000.0,6846200000000.0,7022100000000.0,6832500000000.0,6590000000000.0,7106000000000.0,6960300000000.0,6838400000000.0,6744500000000.0,6598300000000.0,6651300000000.0,6703500000000.0,6661200000000.0,6671500000000.0,6522300000000.0,6367000000000.0,6426800000000.0,6371300000000.0,6305700000000.0
1702,B,False,4543100000000.0,4837500000000.0,4854100000000.0,5140500000000.0,5004400000000.0,4867000000000.0,5142900000000.0,5251400000000.0,5450700000000.0,5514600000000.0,5781600000000.0,5755400000000.0,5788700000000.0,5598900000000.0,5683000000000.0,5845100000000.0,5844600000000.0,5706600000000.0,5862100000000.0,5905000000000.0
1703,B,True,18360000000000.0,18213000000000.0,18073000000000.0,17706000000000.0,17971000000000.0,18069000000000.0,17904000000000.0,17778000000000.0,18432000000000.0,18348000000000.0,18281000000000.0,18378000000000.0,18499000000000.0,18347000000000.0,18425000000000.0,18066000000000.0,18062000000000.0,17973000000000.0,18013000000000.0,17864000000000.0
1704,B,False,21179000000000.0,21273000000000.0,21494000000000.0,21295000000000.0,21257000000000.0,20709000000000.0,20731000000000.0,20296000000000.0,20485000000000.0,20442000000000.0,19763000000000.0,19762000000000.0,19644000000000.0,19835000000000.0,19690000000000.0,19958000000000.0,20398000000000.0,20506000000000.0,20372000000000.0,20131000000000.0
1705,B,False,17521000000000.0,17476000000000.0,16991000000000.0,16920000000000.0,17214000000000.0,17072000000000.0,16936000000000.0,17768000000000.0,17426000000000.0,17413000000000.0,17297000000000.0,18704000000000.0,17346000000000.0,18131000000000.0,17391000000000.0,17513000000000.0,18074000000000.0,18394000000000.0,18247000000000.0,18255000000000.0
1706,B,False,19125000000000.0,19085000000000.0,19089000000000.0,18913000000000.0,18776000000000.0,18909000000000.0,18808000000000.0,18800000000000.0,18620000000000.0,18943000000000.0,18387000000000.0,18535000000000.0,18602000000000.0,18552000000000.0,18946000000000.0,18785000000000.0,18710000000000.0,18860000000000.0,18667000000000.0,18784000000000.0
1707,B,False,4602800000000.0,4607400000000.0,4502800000000.0,4407300000000.0,4405900000000.0,4430900000000.0,4504600000000.0,5040400000000.0,5797300000000.0,6234400000000.0,7252500000000.0,7473900000000.0,7732400000000.0,7925400000000.0,8701200000000.0,8776600000000.0,8874400000000.0,9040100000000.0,9127000000000.0,9330600000000.0
