,FLARE_TYPE,COINCIDENCE,TOTPOT_1,TOTPOT_2,TOTPOT_3,TOTPOT_4,TOTPOT_5,TOTPOT_6,TOTPOT_7,TOTPOT_8,TOTPOT_9,TOTPOT_10,TOTPOT_11,TOTPOT_12,TOTPOT_13,TOTPOT_14,TOTPOT_15,TOTPOT_16,TOTPOT_17,TOTPOT_18,TOTPOT_19,TOTPOT_20
0,X,False,7.0148e+23,7.0773e+23,7.1436e+23,7.1369e+23,7.1821e+23,7.2632e+23,7.32e+23,7.3284e+23,7.3888e+23,7.4218e+23,7.425e+23,7.4504e+23,7.476e+23,7.5448e+23,7.5738e+23,7.6166e+23,7.6159e+23,7.6154e+23,7.624e+23,7.6599e+23
1,X,False,9.6413e+23,9.6309e+23,9.5874e+23,9.5569e+23,9.5794e+23,9.5562e+23,9.473e+23,9.5436e+23,9.5431e+23,9.5211e+23,9.5291e+23,9.5583e+23,9.5371e+23,9.5273e+23,9.4872e+23,9.464e+23,9.5173e+23,9.5362e+23,9.4972e+23,9.5144e+23
2,X,False,7.2083e+23,7.2274e+23,7.2759e+23,7.2767e+23,7.2356e+23,7.2246e+23,7.2238e+23,7.1335e+23,7.121e+23,7.0973e+23,7.027e+23,6.9916e+23,6.9743e+23,6.9335e+23,6.9323e+23,6.8993e+23,6.8803e+23,6.8861e+23,6.9178e+23,6.9048e+23
3,X,False,3.5987e+23,3.595e+23,3.6178e+23,3.6103e+23,3.6058e+23,3.5924e+23,3.5996e+23,3.6173e+23,3.6217e+23,3.6227e+23,3.6027e+23,3.5701e+23,3.5569e+23,3.5654e+23,3.5548e+23,3.5332e+23,3.5126e+23,3.5151e+23,3.5796e+23,3.6419e+23
4,X,True,3.3849e+23,3.3675e+23,3.3549e+23,3.3389e+23,3.3429e+23,3.3655e+23,3.3743e+23,3.3759e+23,3.3755e+23,3.3792e+23,3.3581e+23,3.38e+23,3.3859e+23,3.3708e+23,3.3837e+23,3.3809e+23,3.3694e+23,3.3743e+23,3.35e+23,3.3529e+23
5,X,False,1.9313e+24,1.9233e+24,1.9763e+24,1.9338e+24,1.991e+24,1.9804e+24,1.9756e+24,1.9737e+24,1.9766e+24,1.9772e+24,1.9925e+24,1.9916e+24,2.013e+24,2.0041e+24,2.0213e+24,2.0216e+24,2.0093e+24,2.0239e+24,2.0252e+24,2.0115e+24
6,X,True,9.1636e+23,9.2421e+23,9.3543e+23,9.1867e+23,9.2129e+23,9.1937e+23,9.0046e+23,9.0558e+23,8.8812e+23,8.8674e+23,8.9728e+23,9.0396e+23,8.8746e+23,8.7435e+23,8.6715e+23,8.5766e+23,8.3933e+23,8.3394e+23,8.3965e+23,8.2667e+23
7,X,False,1.5854e+24,1.5896e+24,1.6047e+24,1.611e+24,1.6061e+24,1.6094e+24,1.6094e+24,1.5924e+24,1.6102e+24,1.601e+24,1.6131e+24,1.6135e+24,1.6212e+24,1.6172e+24,1.6209e+24,1.6098e+24,1.6214e+24,1.6162e+24,1.6122e+24,1.6091e+24
8,X,False,1.6094e+24,1.6094e+24,1.5924e+24,1.6102e+24,1.601e+24,1.6131e+24,1.6135e+24,1.6212e+24,1.6172e+24,1.6209e+24,1.6098e+24,1.6214e+24,1.6162e+24,1.6122e+24,1.6091e+24,1.6004e+24,1.6008e+24,1.5983e+24,1.5952e+24,1.5981e+24
9,X,False,2.2752e+24,2.2737e+24,2.2776e+24,2.2806e+24,2.2771e+24,2.2789e+24,2.2796e+24,2.2843e+24,2.2805e+24,2.2782e+24,2.2766e+24,2.2823e+24,2.284e+24,2.2888e+24,2.2908e+24,2.2909e+24,2.2944e+24,2.2983e+24,2.3005e+24,2.2954e+24
10,X,False,4.735e+23,4.6397e+23,4.8446e+23,4.6443e+23,4.8654e+23,4.8888e+23,4.5907e+23,4.8956e+23,4.7374e+23,4.6631e+23,4.8461e+23,4.567e+23,4.7536e+23,4.5433e+23,4.6467e+23,4.534e+23,4.6423e+23,4.71e+23,4.8028e+23,4.5918e+23
11,X,True,5.6494e+22,5.5318e+22,6.0913e+22,6.3692e+22,6.5919e+22,6.7804e+22,7.4482e+22,6.9554e+22,7.1193e+22,7.2196e+22,7.337e+22,7.227e+22,7.3726e+22,7.391e+22,7.4304e+22,7.5005e+22,7.3375e+22,7.6405e+22,7.6868e+22,8.0321e+22
12,X,True,1.0194e+24,1.0184e+24,1.035e+24,1.0384e+24,1.0426e+24,1.0377e+24,1.0391e+24,1.0492e+24,1.0499e+24,1.0428e+24,1.0559e+24,1.0526e+24,1.0449e+24,1.0441e+24,1.0445e+24,1.0453e+24,1.0439e+24,1.0604e+24,1.0511e+24,1.0568e+24
13,X,False,1.6288e+24,1.6376e+24,1.6233e+24,1.6365e+24,1.6215e+24,1.6341e+24,1.6149e+24,1.6273e+24,1.6085e+24,1.6231e+24,1.6065e+24,1.6286e+24,1.5809e+24,1.5958e+24,1.6031e+24,1.6017e+24,1.6296e+24,1.5872e+24,1.5727e+24,1.581e+24
14,X,False,1.4556e+24,1.4684e+24,1.4646e+24,1.4728e+24,1.4514e+24,1.4518e+24,1.4649e+24,1.4611e+24,1.4831e+24,1.4825e+24,1.4482e+24,1.4543e+24,1.4499e+24,1.4611e+24,1.4403e+24,1.4584e+24,1.4119e+24,1.4401e+24,1.4559e+24,1.4545e+24
15,X,False,1.2009e+24,1.2019e+24,1.1992e+24,1.1993e+24,1.1989e+24,1.1963e+24,1.1914e+24,1.1936e+24,1.1916e+24,1.1885e+24,1.1881e+24,1.188e+24,1.1826e+24,1.1761e+24,1.1731e+24,1.1691e+24,1.1634e+24,1.1614e+24,1.1628e+24,1.1572e+24
