,FLARE_TYPE,COINCIDENCE,TOTPOT_1,TOTPOT_2,TOTPOT_3,TOTPOT_4,TOTPOT_5,TOTPOT_6,TOTPOT_7,TOTPOT_8,TOTPOT_9,TOTPOT_10,TOTPOT_11,TOTPOT_12,TOTPOT_13,TOTPOT_14,TOTPOT_15,TOTPOT_16,TOTPOT_17,TOTPOT_18,TOTPOT_19,TOTPOT_20
16,X,False,8.465e+23,8.4498e+23,8.4313e+23,8.4568e+23,8.46e+23,8.4639e+23,8.4748e+23,8.485e+23,8.502e+23,8.504e+23,8.4501e+23,8.4488e+23,8.4189e+23,8.4043e+23,8.3465e+23,8.3081e+23,8.3032e+23,8.3317e+23,8.2931e+23,8.2719e+23
17,X,False,7.1314e+23,7.0766e+23,7.0262e+23,7.2453e+23,7.1888e+23,7.1574e+23,7.1988e+23,7.1841e+23,7.2324e+23,7.121e+23,7.1564e+23,7.1321e+23,7.1863e+23,7.1486e+23,7.1347e+23,7.1288e+23,7.2308e+23,7.0913e+23,7.0989e+23,7.1703e+23
18,X,False,2.9396e+24,2.949e+24,2.9556e+24,2.9583e+24,2.9745e+24,2.9907e+24,2.9966e+24,3.0068e+24,3.0143e+24,3.0116e+24,3.0127e+24,3.0142e+24,3.0053e+24,3.0029e+24,3.0076e+24,2.995e+24,2.9922e+24,2.9882e+24,2.9792e+24,2.9698e+24
19,X,False,4.8227e+21,4.9845e+21,4.9578e+21,5.3309e+21,6.0864e+21,6.3988e+21,6.6792e+21,6.7159e+21,6.7551e+21,6.965e+21,8.8787e+21,1.0495e+22,1.1464e+22,1.2305e+22,1.5566e+22,1.9009e+22,2.0882e+22,1.7508e+22,1.926e+22,2.6866e+22
20,X,False,2.9392e+23,2.9229e+23,2.8638e+23,2.8466e+23,2.6829e+23,2.6319e+23,2.5966e+23,2.6581e+23,2.6179e+23,2.5375e+23,2.5631e+23,2.4907e+23,2.374e+23,2.434e+23,2.3351e+23,2.2642e+23,2.2087e+23,2.1227e+23,2.091e+23,2.1146e+23
21,X,False,3.0255e+23,2.9729e+23,2.9565e+23,3.0571e+23,3.0866e+23,3.0617e+23,3.1143e+23,3.1711e+23,3.1833e+23,3.1791e+23,3.1596e+23,3.2577e+23,3.1734e+23,3.2375e+23,3.0228e+23,3.2803e+23,3.1895e+23,2.9634e+23,2.9413e+23,3.0806e+23
22,X,False,2.8858e+24,3.0006e+24,2.8833e+24,3.0383e+24,2.8811e+24,2.8755e+24,2.8899e+24,2.9044e+24,3.0977e+24,3.1308e+24,2.8783e+24,2.9148e+24,2.8892e+24,2.8851e+24,2.8956e+24,2.8587e+24,2.8531e+24,2.8372e+24,2.8404e+24,2.7788e+24
23,X,True,4.3574e+24,4.3655e+24,4.3833e+24,4.3833e+24,4.4025e+24,4.4154e+24,4.4449e+24,4.4745e+24,4.4837e+24,4.4935e+24,4.5067e+24,4.5165e+24,4.5201e+24,4.5259e+24,4.5372e+24,4.5307e+24,4.5432e+24,4.5484e+24,4.5532e+24,4.5575e+24
24,X,True,5.1828e+24,5.1762e+24,5.1619e+24,5.1594e+24,5.1495e+24,5.1492e+24,5.1442e+24,5.1483e+24,5.1409e+24,5.1368e+24,5.1367e+24,5.138e+24,5.1462e+24,5.1488e+24,5.1518e+24,5.1418e+24,5.1485e+24,5.1478e+24,5.1508e+24,5.1504e+24
25,X,True,4.9624e+24,4.9571e+24,4.9609e+24,4.954e+24,4.9541e+24,4.9498e+24,4.9593e+24,4.9587e+24,4.9607e+24,4.973e+24,4.9835e+24,5.0131e+24,5.0303e+24,5.0566e+24,5.0595e+24,5.0824e+24,5.0999e+24,5.1202e+24,5.1271e+24,5.1282e+24
26,X,False,6.3181e+23,6.2278e+23,6.2518e+23,6.2533e+23,6.2294e+23,6.2071e+23,6.2181e+23,6.1668e+23,6.1523e+23,6.1558e+23,6.1417e+23,6.1658e+23,6.0602e+23,6.1175e+23,6.129e+23,6.1029e+23,6.1291e+23,6.163e+23,6.1287e+23,6.1581e+23
27,X,False,1.7783e+24,1.7677e+24,1.7592e+24,1.7542e+24,1.7502e+24,1.7549e+24,1.7505e+24,1.7494e+24,1.7531e+24,1.7499e+24,1.7497e+24,1.7474e+24,1.7453e+24,1.7408e+24,1.746e+24,1.7488e+24,1.7467e+24,1.7424e+24,1.7426e+24,1.7543e+24
28,X,True,5.7363e+23,5.7392e+23,5.7439e+23,5.7546e+23,5.7895e+23,5.7602e+23,5.769e+23,5.7737e+23,5.7899e+23,5.7807e+23,5.7718e+23,5.7834e+23,5.769e+23,5.7611e+23,5.8085e+23,5.818e+23,5.8711e+23,5.9177e+23,5.9937e+23,6.0215e+23
29,X,False,2.9759e+22,2.4281e+22,2.8313e+22,3.2876e+22,5.0683e+22,4.0811e+22,4.5731e+22,4.7466e+22,5.0695e+22,5.4475e+22,5.8625e+22,6.1957e+22,6.7259e+22,7.3495e+22,7.8899e+22,8.3998e+22,9.1179e+22,9.8965e+22,1.0713e+23,1.1799e+23
30,X,True,1.3522e+24,1.3529e+24,1.3423e+24,1.3472e+24,1.3548e+24,1.3526e+24,1.3724e+24,1.3669e+24,1.3644e+24,1.3476e+24,1.3748e+24,1.3772e+24,1.3781e+24,1.3695e+24,1.3794e+24,1.3884e+24,1.3836e+24,1.3917e+24,1.3994e+24,1.397e+24
31,X,True,1.3794e+24,1.3884e+24,1.3836e+24,1.3917e+24,1.3994e+24,1.397e+24,1.3965e+24,1.4037e+24,1.4099e+24,1.4218e+24,1.4089e+24,1.4018e+24,1.4064e+24,1.4089e+24,1.4047e+24,1.399e+24,1.4081e+24,1.4156e+24,1.4082e+24,1.3991e+24
32,X,False,1.6709e+24,1.6989e+24,1.7218e+24,1.6865e+24,1.7345e+24,1.6771e+24,1.6213e+24,1.5996e+24,1.7191e+24,1.7095e+24,1.6544e+24,1.6355e+24,1.6692e+24,1.6946e+24,1.6406e+24,1.6452e+24,1.6167e+24,1.6457e+24,1.6669e+24,1.7628e+24
33,X,False,7.8931e+23,7.7233e+23,7.6788e+23,6.897e+23,6.7648e+23,6.6127e+23,6.3984e+23,6.5694e+23,6.5641e+23,6.4378e+23,6.1289e+23,6.0473e+23,5.9557e+23,5.6164e+23,5.4958e+23,5.0973e+23,4.9658e+23,5.0831e+23,4.6436e+23,4.6256e+23
34,M,False,6.7848e+22,7.2655e+22,7.1673e+22,7.23e+22,7.2042e+22,7.4001e+22,7.1391e+22,7.0874e+22,7.1588e+22,7.3133e+22,7.2698e+22,7.2709e+22,7.0327e+22,7.1585e+22,7.0361e+22,7.1664e+22,7.3714e+22,7.3395e+22,7.3431e+22,7.3924e+22
35,M,False,1.5104e+22,1.4806e+22,1.4551e+22,2.1014e+22,1.5354e+22,2.1994e+22,2.4437e+22,1.8847e+22,1.8789e+22,1.9667e+22,2.1328e+22,2.6951e+22,2.4401e+22,2.9444e+22,3.3854e+22,3.4884e+22,3.1112e+22,2.6316e+22,3.1996e+22,3.4803e+22
36,M,False,2.2594e+23,2.2472e+23,2.2452e+23,2.2371e+23,2.2154e+23,2.2081e+23,2.2219e+23,2.1894e+23,2.1856e+23,2.2054e+23,2.2101e+23,2.2019e+23,2.2077e+23,2.2008e+23,2.2176e+23,2.2229e+23,2.2289e+23,2.2302e+23,2.2535e+23,2.2644e+23
37,M,True,3.5705e+22,2.3926e+22,3.28e+22,2.3689e+22,2.3765e+22,2.324e+22,2.3606e+22,2.3082e+22,2.359e+22,3.5554e+22,2.3459e+22,2.3293e+22,2.3234e+22,2.2828e+22,2.2438e+22,2.1146e+22,2.0551e+22,2.0307e+22,2.0678e+22,2.0488e+22
38,M,False,1.1185e+23,1.1311e+23,1.1631e+23,1.1432e+23,1.19e+23,1.2266e+23,1.1856e+23,1.1169e+23,1.1526e+23,1.1618e+23,1.1918e+23,1.2116e+23,1.1636e+23,1.1503e+23,1.1487e+23,1.1729e+23,1.1658e+23,1.1492e+23,1.1668e+23,1.1559e+23
39,M,False,2.6799e+23,2.6089e+23,2.6109e+23,2.625e+23,2.6198e+23,2.6176e+23,2.637e+23,2.5914e+23,2.6152e+23,2.596e+23,2.58e+23,2.5888e+23,2.5828e+23,2.5938e+23,2.6174e+23,2.7049e+23,2.5707e+23,2.586e+23,2.6243e+23,2.6255e+23
40,M,False,7.3411e+22,6.688e+22,7.4072e+22,7.5948e+22,7.9455e+22,7.7994e+22,7.7145e+22,7.9678e+22,8.1307e+22,8.3454e+22,8.2734e+22,8.2501e+22,8.6174e+22,8.962e+22,8.9993e+22,9.3493e+22,9.2551e+22,9.7356e+22,9.6493e+22,1.0771e+23
41,M,True,6.5669e+22,6.7625e+22,7.0547e+22,7.182e+22,7.3999e+22,7.5259e+22,7.7276e+22,8.0168e+22,8.2393e+22,8.5374e+22,8.6296e+22,8.7796e+22,9.1593e+22,9.6644e+22,1.0051e+23,1.0605e+23,1.1141e+23,1.1363e+23,1.1805e+23,1.212e+23
42,M,True,5.7933e+23,5.8498e+23,5.9083e+23,5.9686e+23,5.9855e+23,6.0333e+23,6.0751e+23,6.122e+23,6.1895e+23,6.2477e+23,6.2905e+23,6.3241e+23,6.3908e+23,6.4158e+23,6.438e+23,6.4805e+23,6.5282e+23,6.5244e+23,6.5182e+23,6.5592e+23
43,M,False,8.4854e+22,8.4031e+22,8.4298e+22,8.7733e+22,8.8711e+22,9.09e+22,9.5904e+22,1.0126e+23,1.0576e+23,1.0733e+23,1.0861e+23,1.0944e+23,1.1028e+23,1.144e+23,1.2163e+23,1.2228e+23,1.288e+23,1.2955e+23,1.254e+23,1.3186e+23
44,M,False,8.2927e+23,8.3214e+23,8.3164e+23,8.2763e+23,8.2678e+23,8.2698e+23,8.3216e+23,8.2786e+23,8.2681e+23,8.2759e+23,8.2873e+23,8.3464e+23,8.3246e+23,8.3098e+23,8.2791e+23,8.2811e+23,8.301e+23,8.2921e+23,8.3265e+23,8.2988e+23
45,M,True,6.4287e+23,6.4317e+23,6.4713e+23,6.4264e+23,6.4787e+23,6.5002e+23,6.5237e+23,6.5783e+23,6.5703e+23,6.601e+23,6.5898e+23,6.5732e+23,6.5613e+23,6.6157e+23,6.6379e+23,6.6325e+23,6.6023e+23,6.6639e+23,6.7002e+23,6.7299e+23
46,M,True,2.851e+23,2.859e+23,2.8711e+23,2.8385e+23,2.8425e+23,2.8336e+23,2.8362e+23,2.8552e+23,2.8482e+23,2.8545e+23,2.8453e+23,2.8139e+23,2.8153e+23,2.8267e+23,2.8328e+23,2.8435e+23,2.8266e+23,2.8179e+23,2.8184e+23,2.8037e+23
47,M,False,6.6325e+23,6.6023e+23,6.6639e+23,6.7002e+23,6.7299e+23,6.7422e+23,6.801e+23,6.8464e+23,6.8884e+23,6.9384e+23,6.9618e+23,6.9851e+23,6.9725e+23,6.9858e+23,7.0305e+23,7.1165e+23,7.1141e+23,7.1791e+23,7.1866e+23,7.2398e+23
48,M,False,2.8184e+23,2.8037e+23,2.8169e+23,2.8345e+23,2.8352e+23,2.8329e+23,2.8117e+23,2.8051e+23,2.7682e+23,2.7531e+23,2.7539e+23,2.766e+23,2.7672e+23,2.7645e+23,2.7421e+23,2.7053e+23,2.7207e+23,2.7188e+23,2.7245e+23,2.7418e+23
49,M,False,2.7891e+23,2.7992e+23,2.8117e+23,2.8052e+23,2.7963e+23,2.8007e+23,2.8223e+23,2.8686e+23,2.8503e+23,2.8697e+23,2.8717e+23,2.8994e+23,2.9348e+23,2.931e+23,2.9254e+23,2.935e+23,2.9596e+23,2.9245e+23,2.9404e+23,2.9508e+23
50,M,False,2.2654e+23,2.491e+23,2.2548e+23,2.2372e+23,2.2311e+23,2.2397e+23,2.2716e+23,2.251e+23,2.2344e+23,2.2429e+23,2.2642e+23,2.2687e+23,2.2884e+23,2.2827e+23,2.2978e+23,2.2935e+23,2.3029e+23,2.3206e+23,2.3181e+23,2.3306e+23
51,M,True,1.1827e+24,1.176e+24,1.1817e+24,1.1853e+24,1.1855e+24,1.1807e+24,1.1768e+24,1.177e+24,1.1794e+24,1.1919e+24,1.1881e+24,1.1801e+24,1.1848e+24,1.1822e+24,1.1916e+24,1.1845e+24,1.1889e+24,1.198e+24,1.2043e+24,1.1952e+24
52,M,True,2.8764e+23,2.9557e+23,3.0143e+23,2.9753e+23,3.0342e+23,3.073e+23,3.102e+23,3.0602e+23,3.1139e+23,3.1022e+23,3.0934e+23,3.0949e+23,3.1406e+23,3.1435e+23,3.1344e+23,3.0945e+23,3.0669e+23,3.0726e+23,3.1306e+23,3.1595e+23
53,M,False,1.1845e+24,1.1889e+24,1.198e+24,1.2043e+24,1.1952e+24,1.1865e+24,1.1851e+24,1.1663e+24,1.1692e+24,1.1738e+24,1.1523e+24,1.1526e+24,1.1406e+24,1.1508e+24,1.1524e+24,1.1469e+24,1.1438e+24,1.1326e+24,1.1296e+24,1.1276e+24
54,M,False,1.1851e+24,1.1663e+24,1.1692e+24,1.1738e+24,1.1523e+24,1.1526e+24,1.1406e+24,1.1508e+24,1.1524e+24,1.1469e+24,1.1438e+24,1.1326e+24,1.1296e+24,1.1276e+24,1.1246e+24,1.1327e+24,1.1429e+24,1.1436e+24,1.1335e+24,1.1335e+24
55,M,False,4.7042e+23,4.7587e+23,4.763e+23,4.7452e+23,4.7337e+23,4.7447e+23,4.731e+23,4.7244e+23,4.754e+23,4.7664e+23,4.7809e+23,4.7802e+23,4.7886e+23,4.7755e+23,4.7755e+23,4.7657e+23,4.7456e+23,4.727e+23,4.7178e+23,4.7474e+23
56,M,False,1.0915e+24,1.0943e+24,1.0744e+24,1.0726e+24,1.057e+24,1.0635e+24,1.0606e+24,1.0594e+24,1.0603e+24,1.051e+24,1.0527e+24,1.0685e+24,1.0757e+24,1.0565e+24,1.0627e+24,1.0518e+24,1.0437e+24,1.0301e+24,1.0474e+24,1.0424e+24
57,M,True,5.2801e+23,5.2965e+23,5.3261e+23,5.3337e+23,5.3718e+23,5.2847e+23,5.3263e+23,5.4229e+23,5.3753e+23,5.2992e+23,5.4831e+23,5.6296e+23,5.7013e+23,5.713e+23,5.6735e+23,5.7633e+23,5.7576e+23,5.7878e+23,5.7878e+23,5.9096e+23
58,M,False,6.1515e+23,6.1513e+23,6.2538e+23,6.4162e+23,6.2337e+23,6.341e+23,6.3899e+23,6.547e+23,6.5739e+23,6.7974e+23,6.7529e+23,6.7337e+23,6.828e+23,6.9328e+23,6.9698e+23,6.9677e+23,7.1594e+23,7.0369e+23,7.0193e+23,7.0237e+23
59,M,False,6.9865e+23,7.0958e+23,7.1314e+23,7.1498e+23,7.2134e+23,7.0762e+23,7.0346e+23,7.1197e+23,7.1207e+23,7.1328e+23,7.2281e+23,7.205e+23,7.3792e+23,7.2514e+23,7.3989e+23,7.0836e+23,7.1955e+23,7.2394e+23,7.2737e+23,7.2291e+23
60,M,False,8.1336e+23,8.1378e+23,8.1067e+23,8.0809e+23,7.799e+23,7.8714e+23,7.8691e+23,7.6653e+23,7.9035e+23,7.9476e+23,7.9019e+23,7.9024e+23,8.0968e+23,8.1469e+23,8.0485e+23,8.0927e+23,7.9267e+23,8.034e+23,7.9804e+23,8.2343e+23
61,M,False,7.9035e+23,7.9476e+23,7.9019e+23,7.9024e+23,8.0968e+23,8.1469e+23,8.0485e+23,8.0927e+23,7.9267e+23,8.034e+23,7.9804e+23,8.2343e+23,7.7986e+23,9.6132e+23,7.963e+23,7.9942e+23,7.7544e+23,7.8252e+23,7.7272e+23,7.9433e+23
62,M,True,8.6329e+23,8.6409e+23,8.7307e+23,8.7702e+23,8.8292e+23,8.848e+23,8.8587e+23,8.9054e+23,8.9251e+23,8.955e+23,8.9628e+23,8.9889e+23,8.9908e+23,8.9911e+23,8.9605e+23,8.9677e+23,8.953e+23,9.0027e+23,9.0229e+23,9.0493e+23
63,M,False,8.9911e+23,8.9605e+23,8.9677e+23,8.953e+23,9.0027e+23,9.0229e+23,9.0493e+23,9.0304e+23,9.0148e+23,9.0319e+23,9.0279e+23,9.0425e+23,9.0662e+23,9.0545e+23,8.9635e+23,8.9498e+23,8.9487e+23,8.9247e+23,8.9415e+23,8.9731e+23
64,M,True,3.8458e+23,3.8588e+23,3.8891e+23,3.8195e+23,3.8501e+23,3.8572e+23,3.858e+23,3.8765e+23,3.8943e+23,3.9144e+23,3.9062e+23,3.883e+23,3.8858e+23,3.89e+23,3.8982e+23,3.9135e+23,3.9252e+23,3.7083e+23,3.9212e+23,3.9362e+23
65,M,False,3.4942e+23,3.9862e+23,4.0513e+23,4.0138e+23,3.8371e+23,3.8316e+23,3.8032e+23,4.1271e+23,4.1132e+23,3.9188e+23,4.1591e+23,4.1548e+23,4.1322e+23,4.2044e+23,4.1798e+23,4.2439e+23,4.2781e+23,4.4486e+23,4.2793e+23,4.4668e+23
66,M,False,4.7353e+23,4.9189e+23,5.0196e+23,5.0553e+23,5.2001e+23,5.262e+23,5.3462e+23,5.4215e+23,5.5342e+23,5.6072e+23,5.5781e+23,5.6592e+23,5.6975e+23,5.8554e+23,5.8688e+23,5.7942e+23,5.9114e+23,5.8605e+23,5.8491e+23,5.8218e+23
67,M,False,5.4105e+23,5.3944e+23,5.3536e+23,5.4179e+23,5.3848e+23,5.4054e+23,5.3905e+23,5.34e+23,5.375e+23,5.4092e+23,5.4076e+23,5.4273e+23,5.4383e+23,5.4101e+23,5.4881e+23,5.4531e+23,5.4588e+23,5.4907e+23,5.5014e+23,5.6208e+23
68,M,False,6.9416e+23,6.9416e+23,6.9547e+23,6.9969e+23,7.0706e+23,7.1003e+23,7.0833e+23,7.0455e+23,7.0685e+23,7.0246e+23,7.0091e+23,6.9937e+23,6.9912e+23,6.9923e+23,6.9858e+23,6.9481e+23,6.959e+23,6.9239e+23,6.9175e+23,6.8696e+23
69,M,False,4.0457e+23,4.0965e+23,4.0917e+23,4.1535e+23,4.2114e+23,4.2694e+23,4.2755e+23,4.2635e+23,4.258e+23,4.2867e+23,4.3184e+23,4.3101e+23,4.2733e+23,4.3023e+23,4.3464e+23,4.3605e+23,4.3895e+23,4.3765e+23,4.3877e+23,4.4464e+23
70,M,True,3.5714e+23,3.4822e+23,3.5163e+23,3.4159e+23,3.4137e+23,3.3427e+23,3.3391e+23,3.3604e+23,3.2837e+23,3.3095e+23,3.2802e+23,3.3387e+23,3.3802e+23,3.408e+23,3.3946e+23,3.5165e+23,3.4342e+23,3.4457e+23,3.4857e+23,3.5116e+23
71,M,False,3.6157e+23,3.6048e+23,3.5815e+23,3.5996e+23,3.5526e+23,3.5821e+23,3.515e+23,3.5447e+23,3.5119e+23,3.5393e+23,3.5308e+23,3.5314e+23,3.6424e+23,3.6729e+23,3.6723e+23,3.7062e+23,3.8145e+23,3.9314e+23,4.0339e+23,4.0852e+23
72,M,True,3.019e+23,2.9148e+23,3.152e+23,3.3421e+23,3.3034e+23,3.4524e+23,3.3995e+23,3.3455e+23,3.4542e+23,3.4743e+23,3.5634e+23,3.6097e+23,3.614e+23,3.6967e+23,3.7112e+23,3.7894e+23,3.832e+23,3.9254e+23,3.968e+23,3.9664e+23
73,M,False,4.7557e+23,4.6925e+23,4.8384e+23,4.6282e+23,4.9258e+23,4.8128e+23,4.8201e+23,4.9944e+23,4.8781e+23,4.9461e+23,4.8379e+23,4.9246e+23,4.8151e+23,4.6584e+23,4.8023e+23,4.7733e+23,4.7795e+23,4.9327e+23,4.839e+23,4.7517e+23
74,M,False,1.8719e+23,1.8878e+23,1.8793e+23,1.9073e+23,1.9011e+23,1.9111e+23,1.8929e+23,1.903e+23,1.9003e+23,1.8958e+23,1.8756e+23,1.864e+23,1.8394e+23,1.8031e+23,1.778e+23,1.731e+23,1.726e+23,1.7059e+23,1.6774e+23,1.6774e+23
75,M,False,2.0986e+23,2.1581e+23,2.2509e+23,2.3896e+23,2.3642e+23,2.5131e+23,2.5316e+23,2.5756e+23,2.6138e+23,2.7101e+23,2.7393e+23,2.7205e+23,2.7416e+23,2.8857e+23,2.8399e+23,2.8162e+23,2.8105e+23,2.884e+23,2.9935e+23,3.0485e+23
76,M,False,1.4664e+23,1.4975e+23,1.5474e+23,1.572e+23,1.6068e+23,1.6265e+23,1.6321e+23,1.6467e+23,1.6669e+23,1.6796e+23,1.7203e+23,1.7164e+23,1.7254e+23,1.7293e+23,1.7413e+23,1.7212e+23,1.7384e+23,1.7433e+23,1.7483e+23,1.7805e+23
77,M,False,3.769e+23,3.7454e+23,3.7467e+23,3.7618e+23,3.7469e+23,3.7544e+23,3.7355e+23,3.749e+23,3.7489e+23,3.7285e+23,3.7157e+23,3.6944e+23,3.6959e+23,3.6388e+23,3.6028e+23,3.5784e+23,3.5526e+23,3.5285e+23,3.4809e+23,3.4831e+23
78,M,True,6.1012e+23,6.1461e+23,6.1845e+23,6.258e+23,6.3135e+23,6.3198e+23,6.3638e+23,6.3509e+23,6.3506e+23,6.368e+23,6.4204e+23,6.4283e+23,6.3782e+23,6.3728e+23,6.3616e+23,6.3516e+23,6.3129e+23,6.3104e+23,6.2691e+23,6.264e+23
79,M,True,5.9281e+23,5.8956e+23,5.8721e+23,5.8333e+23,5.8264e+23,5.8494e+23,5.8642e+23,5.8365e+23,5.8438e+23,5.8195e+23,5.795e+23,5.7918e+23,5.7985e+23,5.7159e+23,5.7046e+23,5.6878e+23,5.6945e+23,5.6838e+23,5.6711e+23,5.6731e+23
80,M,False,1.173e+24,1.1763e+24,1.1777e+24,1.176e+24,1.1755e+24,1.1748e+24,1.1752e+24,1.1744e+24,1.1723e+24,1.1715e+24,1.1709e+24,1.1714e+24,1.1712e+24,1.1712e+24,1.1686e+24,1.1666e+24,1.1638e+24,1.1644e+24,1.1624e+24,1.1683e+24
81,M,True,5.2697e+23,5.2457e+23,5.3046e+23,5.2695e+23,5.2307e+23,5.2264e+23,5.2045e+23,5.1989e+23,5.2199e+23,5.1635e+23,5.1705e+23,5.1802e+23,5.2125e+23,5.2122e+23,5.1645e+23,5.1646e+23,5.1549e+23,5.141e+23,5.2056e+23,5.2e+23
