,FLARE_TYPE,COINCIDENCE,TOTUSJH_1,TOTUSJH_2,TOTUSJH_3,TOTUSJH_4,TOTUSJH_5,TOTUSJH_6,TOTUSJH_7,TOTUSJH_8,TOTUSJH_9,TOTUSJH_10,TOTUSJH_11,TOTUSJH_12,TOTUSJH_13,TOTUSJH_14,TOTUSJH_15,TOTUSJH_16,TOTUSJH_17,TOTUSJH_18,TOTUSJH_19,TOTUSJH_20
0,X,False,2922.3,2975.1,2982.6,2959.0,2975.3,2962.9,2970.9,2954.4,2949.6,2922.5,2926.6,2902.5,2891.1,2869.3,2871.9,2894.2,2880.9,2878.2,2858.9,2869.3
1,X,False,3133.6,3067.6,3078.9,3041.2,3073.1,3055.1,3027.3,3024.3,3021.6,3009.1,2994.3,2984.0,2995.8,2983.6,2978.1,2964.8,2999.9,3001.1,2994.9,3002.2
2,X,False,2283.9,2283.0,2307.4,2299.2,2327.6,2307.4,2318.4,2254.9,2241.8,2208.7,2202.1,2195.4,2187.3,2160.8,2183.9,2174.2,2155.9,2154.9,2175.3,2178.7
3,X,False,1711.6,1710.0,1716.0,1724.4,1712.4,1712.8,1713.3,1714.3,1728.2,1708.9,1723.9,1715.5,1699.4,1679.8,1704.6,1695.0,1684.5,1703.6,1703.6,1718.8
4,X,True,1630.3,1687.8,1708.1,1706.9,1697.7,1679.6,1703.2,1691.3,1701.5,1675.4,1674.6,1687.7,1683.2,1700.2,1687.8,1658.1,1667.0,1645.0,1643.9,1650.8
5,X,False,4998.1,5003.2,5247.5,4992.9,5237.0,5020.8,5070.3,5108.0,5167.0,5230.7,5297.4,5286.1,5275.0,5258.7,5217.8,5218.2,5276.9,5257.2,5287.6,5278.0
6,X,True,2406.0,2403.8,2362.9,2391.4,2314.4,2365.3,2368.0,2339.7,2375.8,2354.6,2344.1,2323.8,2349.1,2343.4,2304.0,2304.4,2309.5,2270.6,2277.4,2270.3
7,X,False,5145.9,5139.9,5119.3,5097.1,5121.5,5188.1,5227.6,5217.8,5208.6,5221.8,5230.4,5246.7,5239.2,5264.6,5259.7,5242.6,5198.5,5215.2,5198.5,5196.2
8,X,False,5188.1,5227.6,5217.8,5208.6,5221.8,5230.4,5246.7,5239.2,5264.6,5259.7,5242.6,5198.5,5215.2,5198.5,5196.2,5268.5,5193.4,5186.8,5163.2,5196.9
9,X,False,6779.7,6764.0,6730.8,6754.6,6756.8,6813.0,6720.5,6784.4,6766.8,6784.7,6756.6,6827.3,6820.3,6873.9,6963.6,6983.7,6979.1,7038.3,7077.3,7132.8
10,X,False,1683.1,1716.6,1690.0,1634.7,1673.0,1710.5,1722.4,1690.7,1722.5,1760.7,1663.7,1731.4,1665.9,1665.4,1717.7,1689.2,1678.4,1667.6,1666.3,1672.2
11,X,True,242.74,217.88,217.6,215.1,209.23,207.4,199.44,198.17,200.12,199.25,202.51,198.84,199.57,204.3,199.0,206.38,205.37,197.87,195.24,201.18
12,X,True,3668.1,3689.6,3671.8,3660.7,3659.5,3635.0,3653.3,3649.7,3647.2,3650.4,3620.0,3671.7,3710.5,3690.0,3678.0,3646.0,3624.7,3580.2,3626.6,3635.1
13,X,False,4101.1,4048.7,3979.3,4014.3,4017.2,3975.6,3934.5,3873.6,3848.9,3836.9,3789.7,3745.0,3688.8,3698.5,3573.3,3656.6,3605.1,3600.4,3609.1,3582.1
14,X,False,5331.5,5382.8,5313.5,5325.6,5380.0,5428.1,5379.9,5415.7,5453.6,5448.1,5541.3,5476.1,5486.2,5570.3,5461.1,5648.4,5841.5,5608.0,5638.8,5722.3
15,X,False,4618.4,4604.8,4583.3,4579.3,4544.8,4511.3,4449.8,4416.7,4381.6,4354.8,4332.8,4298.0,4240.1,4228.2,4240.6,4224.6,4221.1,4214.2,4278.3,4310.5
16,X,False,3347.9,3358.8,3359.8,3395.7,3359.1,3356.8,3334.5,3308.9,3307.9,3278.6,3249.5,3262.6,3227.9,3194.2,3168.9,3146.0,3136.2,3149.0,3120.0,3146.7
