,FLARE_TYPE,COINCIDENCE,TOTUSJH_1,TOTUSJH_2,TOTUSJH_3,TOTUSJH_4,TOTUSJH_5,TOTUSJH_6,TOTUSJH_7,TOTUSJH_8,TOTUSJH_9,TOTUSJH_10,TOTUSJH_11,TOTUSJH_12,TOTUSJH_13,TOTUSJH_14,TOTUSJH_15,TOTUSJH_16,TOTUSJH_17,TOTUSJH_18,TOTUSJH_19,TOTUSJH_20
17,X,False,3243.1,3238.5,3268.1,3180.2,3173.1,3188.9,3186.4,3214.1,3177.6,3181.5,3148.4,3112.8,3169.2,3197.1,3250.4,3253.5,3250.3,3287.5,3282.7,3324.3
18,X,False,7149.5,7201.9,7269.5,7376.2,7431.7,7690.7,7667.9,7746.4,7724.5,7744.9,7817.3,7740.7,7747.7,7732.1,7592.7,7614.4,7619.8,7622.5,7493.9,7413.2
19,X,False,110.52,113.6,113.8,114.07,120.12,126.4,131.6,133.35,132.09,135.93,148.04,156.84,165.17,177.1,192.8,215.47,221.66,226.62,249.92,286.78
20,X,False,1745.6,1733.6,1743.8,1747.2,1717.4,1715.6,1709.3,1706.0,1713.3,1723.2,1746.7,1743.6,1742.7,1734.1,1766.3,1757.7,1731.8,1711.6,1676.2,1699.3
21,X,False,1100.0,1141.7,1175.4,1154.1,1173.2,1164.9,1183.9,1235.2,1270.4,1288.2,1285.4,1318.9,1327.5,1299.8,1168.1,1260.6,1392.6,1329.4,1327.9,1408.8
22,X,False,6151.7,6510.8,6166.4,6610.7,6295.4,6379.5,6349.8,6497.8,6731.9,6860.1,6551.1,6742.7,6682.2,6703.3,6729.6,6770.2,6704.1,6687.6,6619.0,6571.5
23,X,True,11696.0,11644.0,11688.0,11647.0,11665.0,11719.0,11612.0,11680.0,11456.0,11483.0,11533.0,11475.0,11515.0,11339.0,11227.0,11312.0,11200.0,11344.0,11381.0,11514.0
24,X,True,12716.0,12653.0,12651.0,12659.0,12678.0,12732.0,12712.0,12756.0,12698.0,12794.0,12835.0,12817.0,12934.0,12779.0,12842.0,12963.0,12956.0,12934.0,12950.0,13018.0
25,X,True,13208.0,13151.0,13202.0,13270.0,13336.0,13360.0,13373.0,13442.0,13416.0,13490.0,13514.0,13606.0,13664.0,13637.0,13622.0,13690.0,13778.0,13771.0,13779.0,13847.0
26,X,False,4091.2,4060.5,3993.0,4016.1,3983.4,3956.3,3981.7,3983.5,4020.4,4017.6,3992.9,4088.8,4044.0,4088.2,4142.5,4154.2,4153.6,4170.5,4274.2,4243.8
27,X,False,7543.4,7527.1,7496.5,7444.8,7471.2,7479.4,7474.9,7482.4,7434.7,7422.8,7437.9,7446.4,7411.2,7433.7,7414.9,7444.4,7455.0,7430.8,7386.6,7489.0
28,X,True,3051.9,3028.8,3009.9,3013.2,3026.3,3007.5,3022.2,2994.1,2997.9,3006.4,3040.0,2997.4,2988.7,2962.2,2989.5,3026.1,3026.1,3017.0,3046.8,3044.1
29,X,False,131.23,146.62,168.75,182.82,185.3,193.15,189.96,170.45,168.11,165.75,185.96,202.0,211.73,219.75,243.12,253.89,278.23,324.31,368.66,396.6
30,X,True,5905.7,5846.1,5791.9,5798.8,5755.5,5901.0,5916.4,5972.0,5925.8,5727.5,6022.5,6017.6,5994.5,5982.9,6084.5,6133.6,6040.2,6026.0,6071.5,6063.0
31,X,True,6084.5,6133.6,6040.2,6026.0,6071.5,6063.0,6084.2,6064.7,6058.6,6080.6,6087.7,6071.2,6144.4,6158.7,6161.8,6101.7,6180.4,6301.1,6161.3,6110.5
32,X,False,7473.3,7552.2,7554.7,7389.0,7460.5,7376.9,7436.3,7444.2,7294.0,7553.2,7683.4,7783.4,7710.4,7336.2,7718.7,7798.0,7643.8,7724.6,7649.9,7442.3
33,X,False,2785.2,2693.9,2683.8,2632.4,2570.6,2566.1,2524.5,2420.0,2453.7,2401.8,2198.9,2123.6,2109.3,2147.9,1987.2,1936.3,1796.2,1810.5,1729.6,1720.6
34,M,False,726.91,720.34,731.84,724.7,758.96,778.31,779.74,753.6,751.45,767.05,781.63,768.65,762.26,761.98,781.59,755.68,758.57,749.09,749.94,751.71
35,M,False,176.57,169.65,171.6,219.0,174.9,213.22,234.24,212.43,214.84,220.91,230.45,243.22,251.58,240.93,248.58,264.98,306.75,267.39,304.72,283.16
36,M,False,960.92,948.06,942.9,939.64,924.68,934.37,934.99,916.89,915.71,925.32,908.99,896.99,888.27,901.38,908.33,928.03,922.75,926.62,948.36,955.64
37,M,True,116.55,75.863,126.34,80.258,80.043,75.707,75.747,76.444,73.162,115.91,77.025,77.356,78.013,78.478,83.356,84.103,89.273,85.069,83.935,79.844
38,M,False,1105.3,1103.2,1089.4,1100.8,1125.2,1165.2,1140.6,1124.6,1134.7,1136.4,1139.9,1127.9,1127.4,1112.0,1108.4,1110.2,1135.4,1154.7,1177.3,1177.1
39,M,False,885.47,878.34,870.89,856.96,842.63,835.72,844.29,833.02,835.4,828.37,827.87,826.16,840.01,829.96,842.37,894.57,808.41,794.91,815.62,826.3
40,M,False,542.76,536.27,552.39,569.52,556.0,550.4,594.23,576.93,574.84,593.92,589.45,604.59,609.51,624.12,635.84,634.24,640.16,662.43,663.74,714.46
41,M,True,488.69,497.17,493.51,507.8,527.64,541.88,556.16,603.64,638.6,665.95,676.16,707.38,728.45,733.97,756.07,765.32,769.35,771.97,794.08,800.18
42,M,True,2627.3,2663.8,2800.0,2790.6,2778.0,2771.7,2810.6,2791.8,2828.2,2826.3,2862.3,2853.8,2877.7,2825.2,2781.4,2761.5,2794.0,2764.5,2726.1,2703.5
43,M,False,883.59,877.36,876.72,899.16,890.49,904.31,937.88,967.12,981.21,999.54,1018.2,1050.6,1087.7,1106.7,1139.3,1151.9,1151.5,1153.0,1167.7,1155.1
44,M,False,3013.3,3013.7,3025.3,3031.1,3050.1,3020.3,3032.8,3092.8,3102.1,3090.9,3131.7,3143.1,3149.4,3153.1,3152.6,3183.2,3212.2,3221.5,3201.3,3215.8
45,M,True,3013.4,3028.6,3003.6,3028.5,3093.4,3085.4,3092.9,3115.4,3143.7,3097.1,3104.8,3127.9,3115.4,3136.1,3138.5,3153.1,3177.6,3158.5,3161.4,3177.3
46,M,True,1263.0,1259.8,1267.8,1261.5,1306.5,1272.4,1285.6,1271.9,1266.5,1274.8,1264.0,1230.8,1253.7,1248.6,1249.8,1253.5,1240.7,1245.9,1245.9,1213.2
47,M,False,3153.1,3177.6,3158.5,3161.4,3177.3,3177.0,3187.2,3253.8,3272.5,3280.1,3289.7,3269.1,3316.4,3307.7,3311.9,3242.9,3281.4,3284.3,3270.3,3285.9
48,M,False,1245.9,1213.2,1229.2,1225.5,1237.0,1238.6,1224.5,1208.5,1196.3,1201.8,1182.8,1170.0,1140.7,1142.7,1126.6,1113.7,1112.8,1124.5,1119.8,1117.7
49,M,False,1236.8,1236.7,1243.3,1244.6,1237.6,1250.9,1287.3,1316.2,1340.3,1368.1,1375.5,1413.3,1432.6,1466.3,1447.6,1474.3,1496.6,1492.5,1489.9,1513.9
50,M,False,1558.3,1556.6,1529.7,1528.1,1511.7,1530.2,1531.2,1521.4,1517.0,1499.6,1517.0,1502.3,1509.7,1544.7,1549.3,1550.4,1575.6,1588.4,1573.5,1568.4
51,M,True,4446.9,4479.5,4414.5,4376.9,4337.5,4297.1,4298.1,4290.4,4221.0,4238.3,4251.0,4239.8,4224.1,4247.8,4272.7,4290.4,4354.5,4321.3,4235.4,4240.3
52,M,True,2109.9,2133.6,2124.4,2150.0,2157.5,2157.6,2158.6,2135.6,2125.6,2127.1,2128.3,2141.3,2154.9,2113.3,2106.4,2129.5,2122.7,2148.3,2172.2,2159.2
53,M,False,4290.4,4354.5,4321.3,4235.4,4240.3,4261.8,4223.1,4200.8,4151.0,4094.4,4144.0,4112.6,4094.7,4130.8,4109.3,4087.9,4095.3,4143.0,4159.3,4186.5
54,M,False,4223.1,4200.8,4151.0,4094.4,4144.0,4112.6,4094.7,4130.8,4109.3,4087.9,4095.3,4143.0,4159.3,4186.5,4141.0,4116.0,4097.5,4092.0,4064.0,4129.8
55,M,False,1571.8,1592.2,1605.4,1623.5,1636.7,1644.4,1625.2,1585.4,1608.0,1615.2,1613.4,1635.5,1622.7,1638.4,1654.4,1632.4,1619.2,1611.2,1590.8,1596.5
56,M,False,4169.7,4176.7,4229.1,4250.7,4328.8,4255.3,4289.5,4269.0,4239.9,4254.2,4229.9,4121.1,4053.8,4093.7,4072.1,4039.8,4043.4,4048.6,3985.7,3956.7
57,M,True,3085.5,3088.3,3108.4,3061.0,3053.3,2986.3,3144.4,3094.1,3122.9,3037.3,3180.5,3222.9,3200.8,3180.3,3143.0,3225.8,3238.0,3180.7,3118.8,3202.0
58,M,False,3341.9,3341.3,3380.8,3339.6,3418.6,3438.0,3402.8,3434.2,3472.1,3449.1,3440.3,3519.8,3531.2,3581.8,3578.2,3583.9,3640.0,3636.1,3525.4,3557.7
59,M,False,3417.3,3407.5,3440.9,3371.1,3336.7,3306.2,3302.0,3329.3,3324.6,3251.7,3201.1,3151.3,3214.3,3223.0,3211.6,3203.8,3232.5,3221.2,3209.1,3198.6
60,M,False,3252.8,3262.6,3286.4,3313.0,3257.2,3230.9,3220.1,3180.4,3234.8,3241.0,3321.6,3263.2,3341.2,3306.8,3308.3,3238.7,3245.6,3363.7,3389.6,3432.1
61,M,False,3234.8,3241.0,3321.6,3263.2,3341.2,3306.8,3308.3,3238.7,3245.6,3363.7,3389.6,3432.1,3167.2,3550.5,3135.3,3099.4,3004.3,2960.0,2951.3,2960.7
62,M,True,2826.8,2829.6,2879.5,2888.3,2938.7,2957.9,2952.1,2950.8,2949.9,2991.0,2975.5,2984.8,2997.3,2996.6,3016.3,3032.8,3056.3,3067.8,3036.3,3031.8
63,M,False,2996.6,3016.3,3032.8,3056.3,3067.8,3036.3,3031.8,3019.4,3022.8,3002.1,2984.7,2986.9,2934.9,2925.4,2929.5,2937.5,2952.1,2918.8,2944.6,2983.8
64,M,True,1826.6,1858.6,1869.4,1913.7,1905.2,1932.8,1959.5,1977.3,2000.7,2007.4,1992.1,1981.6,1969.4,1962.1,1927.1,1893.8,1885.1,1810.1,1868.7,1882.7
65,M,False,1833.5,1860.1,1862.5,1880.8,1828.8,1840.1,1859.6,1933.7,1950.5,1902.0,1970.1,1960.2,1980.4,1950.3,1958.7,1967.5,1947.8,1928.0,1985.0,1951.5
66,M,False,1128.6,1157.2,1198.4,1199.1,1217.7,1221.8,1270.3,1302.4,1310.5,1334.2,1353.3,1377.5,1411.4,1461.1,1450.1,1361.7,1457.0,1446.3,1415.1,1404.5
67,M,False,1899.3,1886.9,1913.2,1902.9,1910.4,1892.0,1904.8,1920.9,1948.5,1962.4,1951.4,1990.6,1981.4,2010.7,2003.6,2038.9,2032.8,2078.0,2101.5,2144.0
68,M,False,3238.7,3242.1,3244.8,3243.6,3320.0,3335.3,3329.7,3356.2,3349.6,3352.8,3374.1,3438.5,3434.4,3415.2,3410.3,3398.6,3413.9,3403.4,3356.4,3344.8
69,M,False,2651.0,2711.8,2652.3,2691.0,2672.5,2696.1,2697.5,2669.3,2613.6,2578.2,2578.8,2572.7,2543.5,2559.2,2617.7,2614.7,2649.4,2672.1,2702.1,2713.6
70,M,True,2653.8,2707.1,2674.4,2691.0,2642.6,2686.2,2695.5,2634.3,2705.6,2698.7,2705.4,2685.0,2707.9,2706.5,2758.4,2740.1,2756.6,2800.3,2821.6,2833.6
71,M,False,2991.6,3027.0,3017.3,3024.6,3015.5,3018.9,2962.5,2929.7,2991.9,3030.4,3066.6,3067.9,3088.0,3130.8,3129.2,3160.5,3154.2,3170.7,3247.4,3268.1
72,M,True,1045.2,1123.0,1128.6,1194.9,1193.9,1201.9,1175.9,1156.9,1151.8,1194.8,1219.6,1220.7,1236.8,1290.4,1302.0,1338.1,1369.8,1379.8,1451.6,1452.7
73,M,False,1703.2,1695.0,1753.8,1695.6,1755.3,1868.9,1907.1,1966.1,1899.3,1889.3,1870.9,1855.1,1752.0,1897.2,1811.2,1812.7,1891.2,1882.0,1913.3,1899.7
74,M,False,1527.2,1526.3,1505.3,1517.9,1534.0,1546.4,1552.0,1573.2,1568.9,1563.3,1532.4,1537.9,1514.9,1491.4,1477.2,1482.3,1468.2,1453.5,1460.3,1454.6
75,M,False,731.24,756.51,744.41,763.5,757.47,793.19,813.47,812.06,864.17,896.52,907.59,894.4,912.33,911.2,892.95,878.37,892.22,875.38,872.65,894.67
76,M,False,1362.7,1365.6,1376.6,1364.9,1369.0,1399.3,1409.7,1435.4,1410.2,1424.9,1406.2,1398.2,1413.2,1422.0,1420.9,1426.1,1417.3,1407.4,1426.1,1461.2
77,M,False,1751.1,1762.1,1787.3,1763.9,1758.5,1773.4,1773.0,1772.0,1788.7,1795.5,1790.5,1784.7,1776.6,1802.9,1789.0,1777.9,1764.0,1767.5,1746.3,1744.2
78,M,True,3057.5,3110.1,3150.9,3180.0,3228.1,3236.7,3214.2,3189.2,3162.0,3182.6,3177.7,3176.5,3153.4,3157.0,3131.5,3100.1,3063.6,3042.5,3002.5,2993.4
79,M,True,2822.9,2826.9,2773.3,2786.0,2783.6,2767.6,2785.6,2782.9,2789.5,2786.9,2781.3,2797.3,2834.0,2847.0,2836.9,2839.6,2876.0,2918.6,2921.5,2922.4
80,M,False,2520.7,2492.9,2523.9,2542.3,2541.7,2579.2,2638.3,2646.9,2700.3,2696.2,2691.3,2710.7,2727.3,2718.0,2736.3,2717.4,2701.0,2646.6,2618.5,2610.8
81,M,True,2538.9,2553.3,2570.6,2547.1,2506.7,2528.2,2536.7,2516.2,2524.8,2507.6,2511.7,2506.6,2525.5,2485.6,2484.2,2501.6,2469.9,2481.2,2513.3,2533.7
82,M,False,2783.5,2823.9,2862.2,2839.4,2838.0,2841.7,2796.5,2786.1,2751.9,2718.4,2703.5,2716.5,2695.8,2701.5,2722.6,2785.3,2752.3,2785.4,2836.5,2834.6
83,M,True,2647.2,2701.7,2725.0,2703.8,2653.8,2668.6,2663.7,2694.6,2673.3,2615.9,2622.3,2610.8,2604.1,2599.4,2587.0,2585.0,2556.6,2553.9,2593.9,2541.8
84,M,False,2556.3,2548.9,2552.6,2570.8,2529.2,2529.7,2491.0,2472.8,2481.0,2458.0,2425.8,2381.3,2393.2,2366.1,2347.8,2321.3,2311.0,2329.0,2302.9,2297.1
85,M,True,1036.3,1030.7,1037.8,1054.9,1060.1,1046.8,1043.4,1028.2,1039.7,1038.4,1045.8,1037.2,1029.7,1036.5,1031.4,1042.1,1033.7,1011.1,988.94,999.55
86,M,False,1002.7,995.54,973.42,951.52,943.2,923.28,911.55,914.58,953.24,939.51,943.71,923.85,933.78,946.4,967.51,969.49,1000.2,993.79,999.15,1004.3
87,M,False,1000.2,993.79,999.15,1004.3,985.63,971.13,934.86,919.05,910.35,912.41,900.69,890.44,881.04,886.43,864.45,848.44,867.61,848.22,848.06,869.37
88,M,True,1897.4,1899.9,1877.7,1873.6,1888.5,1856.0,1843.8,1842.3,1828.4,1812.8,1821.6,1795.5,1769.3,1783.5,1829.3,1845.1,1885.8,1903.8,1987.0,1989.7
89,M,True,1434.5,1406.4,1399.9,1386.0,1381.7,1335.8,1350.3,1369.5,1383.4,1369.3,1407.6,1406.5,1396.3,1398.5,1436.6,1435.0,1464.6,1542.1,1566.4,1825.8
90,M,False,1553.8,1551.9,1571.5,1581.5,1615.6,1601.4,1569.4,1558.8,1504.9,1494.7,1460.2,1469.4,1445.7,1440.3,1440.3,1418.2,1429.6,1444.6,1442.0,1448.1
91,M,True,1536.7,1525.3,1515.5,1501.8,1505.5,1540.9,1528.7,1557.0,1562.2,1569.4,1575.6,1615.2,1589.6,1584.8,1575.5,1545.2,1526.0,1520.7,1541.2,1524.5
92,M,False,2062.7,2034.5,2009.5,2009.0,2036.4,2023.4,1972.1,1953.2,1953.7,1956.7,1961.9,1938.1,1931.6,1937.0,1894.0,1876.1,1901.4,1914.4,1873.9,1849.5
93,M,False,1882.1,1875.1,1876.8,1899.0,1898.5,1932.9,1946.3,1934.5,1923.9,1970.4,1942.9,1940.9,1932.9,1946.8,1930.5,1922.2,1908.6,1945.1,1977.0,1984.1
94,M,True,3627.7,3612.4,3618.2,3585.7,3621.5,3621.3,3542.7,3574.7,3605.8,3577.6,3524.8,3495.3,3516.2,3438.6,3430.6,3430.5,3420.2,3399.8,3433.0,3391.3
95,M,True,3549.5,3519.0,3502.8,3533.5,3526.6,3506.9,3492.1,3438.6,3423.0,3424.3,3418.9,3432.6,3434.0,3431.6,3444.9,3469.2,3446.1,3432.9,3556.7,3550.9
96,M,True,4617.7,4642.4,4649.5,4745.3,4615.6,4713.0,4605.6,4671.5,4677.8,4728.4,4518.9,4633.2,4591.2,4611.4,4639.7,4601.1,4568.7,4620.8,4599.9,4633.2
97,M,False,4816.3,4889.1,4898.3,4647.3,4858.5,4769.5,4838.5,4893.6,4845.9,4662.5,4854.2,4781.4,4683.6,4879.0,4907.2,4649.9,4780.4,4745.9,4630.7,4658.2
98,M,False,3519.0,3552.1,3553.6,3603.3,3642.5,3691.8,3765.6,3688.3,3577.5,3539.6,3557.6,3606.0,3523.0,3492.3,3500.5,3518.6,3526.1,3532.2,3583.3,3622.7
99,M,True,5038.6,5124.7,5022.9,5102.3,5101.0,5168.6,5076.3,5179.8,5124.3,4755.6,4794.7,4828.3,5306.6,4844.8,5405.8,5342.2,5378.9,5020.6,4951.2,5336.4
100,M,False,5102.3,5101.0,5168.6,5076.3,5179.8,5124.3,4755.6,4794.7,4828.3,5306.6,4844.8,5405.8,5342.2,5378.9,5020.6,4951.2,5336.4,5434.2,5439.1,5359.4
101,M,False,4755.6,4794.7,4828.3,5306.6,4844.8,5405.8,5342.2,5378.9,5020.6,4951.2,5336.4,5434.2,5439.1,5359.4,5170.2,5113.6,5211.5,5136.9,5444.8,5216.1
102,M,False,5342.2,5378.9,5020.6,4951.2,5336.4,5434.2,5439.1,5359.4,5170.2,5113.6,5211.5,5136.9,5444.8,5216.1,5247.7,5352.6,5209.2,5264.2,5395.3,5159.2
103,M,True,4961.9,4941.3,4777.9,5157.5,5152.4,5165.6,4854.5,4951.4,5219.6,5248.6,5210.0,5279.1,5408.8,5426.8,5402.2,5420.2,5482.2,5408.3,5163.9,5348.9
104,M,False,579.43,531.29,561.04,664.19,685.38,672.86,687.41,705.75,712.83,691.46,685.08,644.4,663.98,660.31,680.11,701.22,702.46,713.04,696.35,709.96
105,M,False,5254.6,5152.3,5162.3,5176.4,5190.8,5183.4,5247.7,5137.4,5131.8,5057.5,5091.3,5132.9,5151.3,5212.2,5181.1,5209.8,5227.9,5273.6,5257.0,5222.0
106,M,False,3509.9,3521.6,3481.7,3485.5,3496.9,3508.4,3539.0,3541.4,3554.6,3587.5,3641.2,3670.7,3632.3,3666.0,3684.7,3680.5,3697.6,3667.4,3660.5,3625.4
107,M,True,809.57,820.56,830.65,848.98,869.01,890.32,924.47,922.7,917.11,925.35,926.01,928.99,909.99,901.87,896.51,892.3,882.21,895.78,905.9,890.83
108,M,True,1009.5,781.8,761.8,1002.8,785.37,761.57,915.75,738.72,733.56,730.53,722.76,733.66,733.78,729.05,728.58,731.68,723.01,739.71,746.02,750.74
109,M,False,983.94,998.34,1014.7,995.55,1008.5,1009.0,1006.0,1004.3,1003.9,994.88,1006.6,1030.7,1029.5,1037.5,1034.3,1038.4,1019.1,1061.8,1059.1,1067.2
110,M,False,2810.6,2772.8,2819.8,2816.6,2878.4,2905.8,2865.4,2861.3,2892.6,2854.7,2844.9,2846.9,2851.1,2830.7,2793.4,2816.2,2817.5,2823.8,2837.4,2873.2
111,M,False,3163.5,3131.8,3115.9,3144.6,3147.6,3151.3,3098.6,3073.2,3077.0,3078.4,3099.8,3096.5,3076.1,3078.9,3102.4,3109.7,3109.3,3241.6,3277.6,3351.1
112,M,False,2517.5,2532.3,2583.6,2557.2,2530.1,2530.0,2538.1,2524.2,2534.8,2506.5,2467.9,2450.7,2470.8,2466.8,2440.4,2424.9,2433.2,2403.5,2369.3,2382.0
113,M,True,1581.7,1669.1,1696.2,1764.8,1802.2,1975.8,1995.8,2089.0,2101.9,2128.5,2227.7,2276.1,2342.4,2328.6,2360.2,2341.0,2373.9,2510.9,2556.6,2567.0
114,M,True,3832.0,3894.9,3960.8,3940.8,3956.6,4065.3,4100.7,4023.4,4123.2,4215.8,4095.5,4203.0,4202.4,4199.2,4185.6,4252.8,4311.8,4247.0,4263.9,4336.3
115,M,True,5276.9,5257.2,5287.6,5278.0,5361.5,5298.4,5366.3,5398.1,5409.4,5347.4,5331.4,5371.2,5336.2,5329.0,5397.6,5291.4,5359.6,5295.4,5345.3,5285.0
116,M,True,5555.4,5560.7,5662.6,5625.3,5615.8,5587.5,5566.2,5534.7,5568.6,5672.0,5683.4,5735.1,5708.1,5679.9,5649.6,5724.5,5687.2,5687.4,5709.8,5740.4
117,M,True,5673.6,5625.2,5605.1,5647.9,5613.1,5600.9,5650.6,5598.4,5582.9,5634.9,5651.8,5631.5,5607.5,5629.4,5626.7,5620.1,5641.6,5725.7,5709.2,5703.5
118,M,True,5509.3,5457.4,5452.3,5479.3,5533.7,5506.1,5446.0,5497.0,5478.6,5484.4,5514.2,5579.5,5561.7,5578.7,5609.5,5663.9,5674.2,5679.0,5644.0,5646.4
119,M,False,5924.9,6000.0,6011.8,6030.8,5995.8,5985.1,5957.5,5951.9,5958.5,5921.0,5912.5,5945.8,5905.2,5887.8,5866.5,5872.9,5869.6,5869.2,5853.8,5861.6
120,M,False,5900.8,5890.5,5878.9,5938.5,5920.7,5925.1,5930.5,5954.0,5985.3,5989.3,6027.4,6000.8,5963.8,5929.0,5920.0,5909.6,5876.3,5857.7,5838.2,5766.8
121,M,False,5629.8,5643.7,5657.9,5662.6,5656.4,5686.6,5721.2,5717.9,5701.5,5661.1,5632.6,5579.4,5577.1,5581.0,5530.2,5498.9,5518.7,5489.0,5471.2,5488.0
122,M,False,2292.2,2291.2,2284.4,2294.7,2322.2,2339.1,2359.3,2384.4,2389.8,2375.8,2411.8,2415.9,2455.2,2461.3,2567.2,2569.2,2540.5,2497.1,2487.6,2438.6
123,M,True,2022.9,2057.9,2031.7,2014.0,2046.4,2117.0,1996.0,2018.5,2018.4,1989.7,2051.4,1997.5,2075.3,1938.7,1919.3,1928.8,1875.9,1838.1,1797.0,1777.9
124,M,False,1206.7,1207.4,1210.1,1209.9,1230.6,1215.6,1226.4,1254.6,1258.9,1258.0,1276.1,1309.6,1329.2,1350.6,1371.7,1400.6,1393.3,1399.4,1396.6,1375.0
125,M,False,1766.4,1884.3,1808.0,1793.1,1762.4,1756.2,1739.2,1768.4,1797.3,1750.6,1731.5,1718.9,1697.1,1738.9,1747.7,1743.4,1744.9,1734.5,1803.5,1726.7
126,M,True,294.65,303.83,302.55,313.88,305.56,321.44,333.71,332.01,336.18,338.87,335.86,349.24,356.24,369.49,386.52,394.57,403.34,408.28,435.47,441.82
127,M,False,1359.1,1356.8,1353.7,1360.3,1335.6,1340.6,1353.4,1338.2,1312.9,1320.8,1340.6,1353.0,1361.1,1344.4,1360.8,1363.7,1369.1,1359.3,1349.6,1349.8
128,M,True,2231.6,2222.7,2247.3,2199.5,2237.1,2309.9,2361.0,2405.1,2419.8,2402.5,2407.4,2423.8,2469.5,2480.9,2523.1,2578.9,2510.7,2489.1,2480.7,2523.2
129,M,False,2877.7,2896.5,2903.7,2928.1,2944.7,2979.0,3010.9,2940.3,2937.8,2940.6,2976.9,3016.2,3034.8,3024.1,3063.5,3072.0,3070.8,3112.2,3078.8,3100.2
130,M,False,3294.9,3365.4,3327.4,3325.9,3343.5,3328.9,3393.3,3400.3,3359.8,3346.2,3359.9,3328.9,3345.4,3383.9,3394.6,3371.3,3446.7,3424.5,3466.8,3449.3
