,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,ABSNJZH_2,ABSNJZH_3,ABSNJZH_4,ABSNJZH_5,ABSNJZH_6,ABSNJZH_7,ABSNJZH_8,ABSNJZH_9,ABSNJZH_10,ABSNJZH_11,ABSNJZH_12,ABSNJZH_13,ABSNJZH_14,ABSNJZH_15,ABSNJZH_16,ABSNJZH_17,ABSNJZH_18,ABSNJZH_19,ABSNJZH_20
0,X,False,764.14,745.29,769.27,796.42,833.26,807.49,823.0,838.58,848.0,829.88,866.7,872.58,860.06,867.4,848.23,841.44,848.64,828.53,818.45,828.21
1,X,False,170.57,177.31,175.42,145.16,127.4,150.63,165.21,161.44,156.94,172.37,170.26,186.81,181.56,174.99,204.02,259.95,238.31,227.57,257.53,246.01
2,X,False,817.87,813.65,792.8,796.06,799.03,802.45,795.17,802.91,789.0,783.48,781.65,788.88,774.86,768.46,780.87,775.61,776.4,791.26,801.02,802.05
3,X,False,223.28,196.5,192.04,198.23,207.29,183.63,184.9,173.73,181.85,153.82,160.85,216.65,178.23,212.77,167.86,147.77,151.0,180.93,157.45,207.03
4,X,True,360.82,397.61,404.05,398.52,402.7,390.82,403.82,407.98,421.46,423.6,434.72,428.12,428.1,422.22,408.79,408.51,391.21,385.47,384.81,382.53
5,X,False,123.83,227.95,40.131,122.73,117.55,59.184,26.548,85.885,79.975,54.714,135.23,83.837,91.206,141.23,168.51,185.34,171.4,181.27,275.81,214.47
6,X,True,925.63,901.3,929.44,923.21,977.85,925.81,981.07,952.25,947.59,1029.6,990.87,965.98,951.94,975.69,991.37,948.7,962.29,972.98,955.2,958.45
7,X,False,2231.5,2201.3,2130.6,2168.5,2161.5,2109.0,2198.9,2163.0,2135.2,2154.6,2132.3,2157.2,2193.5,2167.7,2135.3,2133.0,2113.0,2120.2,2139.6,2063.4
8,X,False,2109.0,2198.9,2163.0,2135.2,2154.6,2132.3,2157.2,2193.5,2167.7,2135.3,2133.0,2113.0,2120.2,2139.6,2063.4,2058.7,2102.5,2155.7,2078.4,2106.8
9,X,False,1375.0,1362.7,1361.6,1395.0,1349.4,1370.0,1364.1,1385.6,1396.0,1373.6,1347.6,1423.1,1409.3,1437.9,1462.0,1444.3,1486.7,1484.5,1476.6,1511.6
10,X,False,156.65,301.92,274.58,237.84,306.6,326.54,680.34,344.43,349.04,694.7,346.9,688.25,357.72,302.69,237.61,255.74,238.3,247.93,346.2,254.98
11,X,True,2.4958,7.2854,10.847,4.6126,8.082,0.10891,10.55,7.0675,14.025,11.522,9.0299,7.4504,7.6512,7.9312,10.805,5.0005,3.553,7.965,1.3707,5.9232
12,X,True,798.16,793.8,822.06,818.54,848.69,788.07,769.68,759.26,766.73,747.13,877.12,812.89,753.7,771.78,728.36,743.33,775.05,760.68,768.62,797.3
13,X,False,417.83,384.62,189.77,261.9,167.13,240.92,132.32,170.56,162.45,263.54,339.79,322.42,167.27,233.91,283.18,278.02,26.974,185.98,98.737,64.504
14,X,False,1034.8,1055.9,1052.0,1064.9,1171.9,1173.2,1211.2,1251.4,1164.4,1128.3,1223.9,1181.3,1192.2,1187.8,1213.8,1232.6,1089.5,1265.9,1303.7,1289.3
15,X,False,591.78,574.67,550.5,646.47,593.43,552.39,555.89,590.58,563.66,567.94,573.59,569.0,551.51,552.29,556.45,550.39,541.24,556.06,537.02,529.94
16,X,False,523.13,596.73,610.09,598.4,631.2,637.59,630.4,618.89,609.97,618.33,613.96,606.51,628.78,606.33,603.16,639.54,624.14,618.29,571.12,594.86
17,X,False,605.94,621.78,643.87,618.71,617.49,613.3,593.58,610.37,607.19,619.83,607.9,565.59,588.46,616.28,622.16,638.08,653.13,626.68,665.91,654.91
18,X,False,1934.9,1954.5,1955.7,1990.9,2021.4,2073.7,2087.5,2072.9,2061.6,2055.7,2094.2,2030.4,2039.8,1973.9,2007.2,2037.2,2013.0,2012.4,1989.2,1966.5
19,X,False,1.6745,0.1672,0.21835,3.0554,1.8223,1.2221,3.3764,2.6865,0.35711,1.2024,5.9404,3.8301,3.5387,3.8804,6.9579,10.325,6.5677,14.939,15.173,4.3119
20,X,False,232.47,189.32,254.52,239.4,254.84,258.24,250.96,229.34,215.96,237.73,126.94,209.78,189.72,155.13,80.459,152.18,152.97,122.23,52.436,45.524
21,X,False,422.15,442.4,522.0,480.06,462.69,487.05,483.14,537.68,531.85,514.13,458.2,499.19,484.99,531.28,502.7,429.82,555.37,671.23,627.89,542.71
