,FLARE_TYPE,COINCIDENCE,MEANSHR_1,MEANSHR_2,MEANSHR_3,MEANSHR_4,MEANSHR_5,MEANSHR_6,MEANSHR_7,MEANSHR_8,MEANSHR_9,MEANSHR_10,MEANSHR_11,MEANSHR_12,MEANSHR_13,MEANSHR_14,MEANSHR_15,MEANSHR_16,MEANSHR_17,MEANSHR_18,MEANSHR_19,MEANSHR_20,MEANSHR_21,MEANSHR_22,MEANSHR_23,MEANSHR_24,MEANSHR_25,MEANSHR_26,MEANSHR_27,MEANSHR_28,MEANSHR_29,MEANSHR_30
1199,B,False,33.961,33.637,33.841,33.728,33.324,33.254,33.004,32.934,33.086,33.317,33.122,33.636,33.824,33.778,34.159,33.99,34.004,34.045,33.924,33.749,33.685,33.939,34.357,34.547,34.005,33.318,33.138,33.181,32.952,32.732
1200,B,False,39.855,37.627,40.612,44.916,44.181,44.533,43.147,41.846,40.401,39.215,37.771,36.078,35.539,36.397,37.47,39.082,37.116,37.348,36.735,35.59,35.617,35.864,34.592,32.419,33.487,33.807,32.196,33.254,32.923,32.645
1201,B,False,34.181,34.641,34.045,34.016,33.427,32.98,33.529,33.801,33.88,32.432,32.262,33.31,33.884,33.249,32.574,32.731,33.589,32.806,32.592,32.589,32.484,32.96,32.927,32.621,32.905,32.703,32.781,33.154,32.301,31.912
1202,B,False,36.901,35.865,36.176,36.843,36.228,36.593,36.189,36.605,36.956,37.009,37.087,36.118,37.073,37.757,38.18,38.097,37.521,36.985,37.638,38.05,38.961,39.011,37.303,37.686,37.82,37.888,37.752,38.25,38.711,38.873
1203,B,False,26.388,26.159,25.87,26.608,26.967,26.963,26.66,26.71,26.755,26.671,26.661,26.384,26.811,27.156,27.393,27.599,27.405,27.262,28.028,27.869,27.782,27.38,27.366,26.937,27.333,27.637,27.225,27.287,26.788,26.234
1204,B,False,46.694,47.108,48.154,47.732,48.628,49.143,49.661,48.613,47.907,48.859,48.929,49.386,48.572,48.782,48.49,49.395,49.75,49.719,49.325,49.153,48.541,47.313,46.236,46.539,46.033,46.852,46.549,47.01,47.419,47.317
1205,B,False,20.698,20.171,20.079,20.948,20.697,21.18,20.569,20.213,21.161,20.378,20.338,19.293,19.989,19.436,21.184,20.759,21.716,20.6,19.825,19.48,20.96,21.664,20.17,20.262,20.254,20.404,21.104,22.815,22.083,21.348
1206,B,True,28.821,28.102,27.814,27.284,27.452,27.441,27.334,27.349,27.208,27.213,27.121,27.168,27.227,27.209,26.909,27.049,27.383,27.613,27.385,27.223,26.607,26.662,26.861,26.585,26.297,26.553,26.712,26.358,26.274,26.516
1207,B,True,25.679,25.125,24.907,25.142,25.082,24.717,24.472,25.031,24.976,24.612,24.399,24.974,25.114,24.931,25.29,25.019,24.778,25.258,25.101,24.724,25.294,25.385,25.286,25.95,25.471,25.602,25.014,24.783,24.381,24.798
1208,B,True,16.135,11.796,12.495,19.776,15.622,16.037,22.147,22.107,23.305,27.707,28.425,25.295,26.401,26.464,34.547,31.492,34.987,31.508,36.785,37.561,37.29,31.877,31.79,38.68,36.956,35.259,31.218,29.908,31.58,30.574
1209,B,False,44.725,44.788,44.175,44.041,44.006,44.336,44.622,45.344,45.553,44.112,45.336,45.272,46.083,46.127,46.203,46.136,46.119,46.042,45.747,45.69,45.811,45.341,45.401,45.026,45.15,44.951,44.899,44.442,44.678,44.982
1210,B,False,24.986,25.02,25.011,24.819,24.606,24.462,24.866,24.788,24.751,24.789,24.75,24.69,24.594,24.659,24.615,25.096,24.803,24.691,24.817,24.588,24.464,24.531,24.606,24.521,24.62,24.467,24.561,24.227,24.513,24.348
1211,B,False,28.45,27.816,28.311,27.805,28.635,29.255,28.188,28.342,29.059,29.559,29.429,29.487,30.189,29.96,29.179,30.112,29.185,28.593,29.29,29.197,29.649,29.463,29.413,29.322,29.035,29.893,29.616,29.952,30.216,30.689
1212,B,False,40.606,40.32,40.248,40.237,40.194,39.793,39.422,39.22,39.122,38.987,38.502,38.412,37.963,37.801,37.577,37.083,37.029,36.781,37.187,37.24,37.219,37.158,37.298,37.381,36.907,36.886,37.342,37.018,36.883,36.458
1213,B,False,43.235,42.232,41.933,41.76,41.714,41.676,41.723,41.637,42.388,42.272,43.242,43.277,42.701,42.457,43.217,42.776,42.097,41.19,40.924,41.344,40.837,41.123,41.128,41.122,41.436,41.136,41.155,41.325,41.944,41.004
1214,B,False,37.035,36.889,38.879,38.317,39.343,37.29,37.848,39.616,37.263,35.612,39.009,36.128,36.985,36.497,36.715,34.791,36.144,35.539,35.289,35.429,34.886,35.15,35.605,35.26,35.868,35.913,36.32,35.495,36.165,36.572
