,FLARE_TYPE,COINCIDENCE,TOTUSJZ_1,TOTUSJZ_2,TOTUSJZ_3,TOTUSJZ_4,TOTUSJZ_5,TOTUSJZ_6,TOTUSJZ_7,TOTUSJZ_8,TOTUSJZ_9,TOTUSJZ_10,TOTUSJZ_11,TOTUSJZ_12,TOTUSJZ_13,TOTUSJZ_14,TOTUSJZ_15,TOTUSJZ_16,TOTUSJZ_17,TOTUSJZ_18,TOTUSJZ_19,TOTUSJZ_20,TOTUSJZ_21,TOTUSJZ_22,TOTUSJZ_23,TOTUSJZ_24,TOTUSJZ_25,TOTUSJZ_26,TOTUSJZ_27,TOTUSJZ_28,TOTUSJZ_29,TOTUSJZ_30
10,X,False,23656000000000.0,23585000000000.0,23836000000000.0,23698000000000.0,23614000000000.0,24062000000000.0,24083000000000.0,23827000000000.0,23767000000000.0,24350000000000.0,23599000000000.0,24428000000000.0,24126000000000.0,24137000000000.0,24651000000000.0,24182000000000.0,24463000000000.0,24961000000000.0,25035000000000.0,24618000000000.0,24699000000000.0,25006000000000.0,24917000000000.0,24816000000000.0,25060000000000.0,25069000000000.0,25700000000000.0,26601000000000.0,26748000000000.0,26912000000000.0
11,X,True,71239000000000.0,70460000000000.0,69888000000000.0,69884000000000.0,70080000000000.0,69678000000000.0,69982000000000.0,69079000000000.0,69033000000000.0,68690000000000.0,69133000000000.0,69276000000000.0,69803000000000.0,69375000000000.0,69822000000000.0,69292000000000.0,68325000000000.0,68867000000000.0,69250000000000.0,69551000000000.0,69382000000000.0,70494000000000.0,69705000000000.0,70116000000000.0,71512000000000.0,71517000000000.0,71649000000000.0,71110000000000.0,70026000000000.0,68910000000000.0
12,X,False,65433000000000.0,64448000000000.0,63143000000000.0,64089000000000.0,63393000000000.0,61806000000000.0,62613000000000.0,61620000000000.0,59112000000000.0,59545000000000.0,58417000000000.0,57755000000000.0,56658000000000.0,56463000000000.0,55517000000000.0,56000000000000.0,55554000000000.0,55244000000000.0,54133000000000.0,54622000000000.0,53238000000000.0,52917000000000.0,51816000000000.0,50158000000000.0,51356000000000.0,49183000000000.0,50503000000000.0,48709000000000.0,47758000000000.0,45884000000000.0
13,X,False,93272000000000.0,93831000000000.0,93295000000000.0,94041000000000.0,93858000000000.0,93922000000000.0,93002000000000.0,93676000000000.0,94797000000000.0,95137000000000.0,95466000000000.0,94278000000000.0,94688000000000.0,95933000000000.0,94658000000000.0,96528000000000.0,97341000000000.0,95571000000000.0,96096000000000.0,97035000000000.0,97602000000000.0,95890000000000.0,95653000000000.0,95764000000000.0,95159000000000.0,95665000000000.0,94059000000000.0,94859000000000.0,93991000000000.0,94151000000000.0
14,X,False,84623000000000.0,84824000000000.0,84991000000000.0,85015000000000.0,84970000000000.0,84765000000000.0,83690000000000.0,83620000000000.0,83344000000000.0,83254000000000.0,83287000000000.0,83042000000000.0,82427000000000.0,82397000000000.0,82651000000000.0,83512000000000.0,82977000000000.0,82679000000000.0,84620000000000.0,85379000000000.0,85677000000000.0,86099000000000.0,86303000000000.0,85769000000000.0,85180000000000.0,84437000000000.0,84159000000000.0,85202000000000.0,84918000000000.0,84398000000000.0
15,X,False,64394000000000.0,64189000000000.0,63461000000000.0,63958000000000.0,63323000000000.0,63652000000000.0,63480000000000.0,62928000000000.0,63355000000000.0,62951000000000.0,62544000000000.0,63039000000000.0,62235000000000.0,62103000000000.0,61687000000000.0,61068000000000.0,61004000000000.0,61409000000000.0,61067000000000.0,61591000000000.0,61858000000000.0,62914000000000.0,62165000000000.0,62956000000000.0,64330000000000.0,63605000000000.0,64177000000000.0,64427000000000.0,64769000000000.0,65036000000000.0
16,X,False,56665000000000.0,57062000000000.0,57488000000000.0,56582000000000.0,55657000000000.0,55671000000000.0,56107000000000.0,56219000000000.0,56126000000000.0,56198000000000.0,55719000000000.0,54785000000000.0,55866000000000.0,56353000000000.0,57606000000000.0,57317000000000.0,57383000000000.0,57265000000000.0,56530000000000.0,57226000000000.0,56970000000000.0,57419000000000.0,57407000000000.0,57000000000000.0,56912000000000.0,57863000000000.0,57242000000000.0,58073000000000.0,57649000000000.0,58298000000000.0
17,X,False,147390000000000.0,147620000000000.0,148030000000000.0,147540000000000.0,146660000000000.0,149390000000000.0,147710000000000.0,148640000000000.0,147650000000000.0,147240000000000.0,147460000000000.0,146950000000000.0,147890000000000.0,148740000000000.0,147860000000000.0,148210000000000.0,148020000000000.0,148830000000000.0,147220000000000.0,146080000000000.0,145660000000000.0,143550000000000.0,143380000000000.0,142050000000000.0,141580000000000.0,141280000000000.0,140090000000000.0,140990000000000.0,141350000000000.0,139900000000000.0
18,X,False,2493500000000.0,2532300000000.0,2529200000000.0,2542700000000.0,2730600000000.0,2952400000000.0,3021100000000.0,3029100000000.0,3056500000000.0,3203700000000.0,3487500000000.0,3661000000000.0,3939500000000.0,4170300000000.0,4645500000000.0,5147700000000.0,5338200000000.0,5164900000000.0,5823000000000.0,6491100000000.0,6770000000000.0,7112700000000.0,6600900000000.0,6915400000000.0,7176200000000.0,7470100000000.0,7146100000000.0,7182800000000.0,6908700000000.0,6922200000000.0
19,X,False,34943000000000.0,34333000000000.0,34220000000000.0,34072000000000.0,33697000000000.0,33488000000000.0,33331000000000.0,33124000000000.0,33545000000000.0,33764000000000.0,34520000000000.0,35044000000000.0,34259000000000.0,34801000000000.0,34599000000000.0,34927000000000.0,34111000000000.0,33438000000000.0,32986000000000.0,33542000000000.0,32962000000000.0,30318000000000.0,29953000000000.0,30279000000000.0,27435000000000.0,27459000000000.0,26078000000000.0,24889000000000.0,24868000000000.0,23940000000000.0
20,X,False,15700000000000.0,15896000000000.0,16638000000000.0,16549000000000.0,17290000000000.0,17115000000000.0,17558000000000.0,18021000000000.0,18926000000000.0,19495000000000.0,19636000000000.0,20181000000000.0,19608000000000.0,19862000000000.0,18800000000000.0,19439000000000.0,20083000000000.0,19363000000000.0,19278000000000.0,20842000000000.0,19233000000000.0,19201000000000.0,19656000000000.0,19077000000000.0,19903000000000.0,20076000000000.0,19352000000000.0,19552000000000.0,20467000000000.0,19849000000000.0
21,X,False,98157000000000.0,103340000000000.0,99194000000000.0,105470000000000.0,100640000000000.0,103280000000000.0,103800000000000.0,106440000000000.0,109820000000000.0,112270000000000.0,108440000000000.0,112340000000000.0,111690000000000.0,111880000000000.0,112160000000000.0,113290000000000.0,111830000000000.0,112640000000000.0,109890000000000.0,108700000000000.0,106260000000000.0,111140000000000.0,106310000000000.0,105280000000000.0,106880000000000.0,104510000000000.0,105530000000000.0,105820000000000.0,105570000000000.0,106820000000000.0
22,X,True,235730000000000.0,236250000000000.0,235700000000000.0,235010000000000.0,236520000000000.0,238180000000000.0,237810000000000.0,239220000000000.0,238240000000000.0,239120000000000.0,239190000000000.0,239900000000000.0,242340000000000.0,240230000000000.0,239730000000000.0,240540000000000.0,240040000000000.0,238170000000000.0,238400000000000.0,239190000000000.0,238270000000000.0,238310000000000.0,238300000000000.0,236420000000000.0,235820000000000.0,235340000000000.0,235030000000000.0,233750000000000.0,233940000000000.0,234030000000000.0
23,X,True,229980000000000.0,229180000000000.0,229780000000000.0,229390000000000.0,229360000000000.0,228850000000000.0,227230000000000.0,227370000000000.0,225920000000000.0,226540000000000.0,227690000000000.0,227900000000000.0,228280000000000.0,229270000000000.0,229530000000000.0,231000000000000.0,231350000000000.0,232000000000000.0,233970000000000.0,234180000000000.0,235210000000000.0,234620000000000.0,234890000000000.0,235010000000000.0,235460000000000.0,234930000000000.0,233900000000000.0,233670000000000.0,235170000000000.0,235530000000000.0
24,X,False,73913000000000.0,73094000000000.0,72386000000000.0,71981000000000.0,70748000000000.0,69316000000000.0,69961000000000.0,69190000000000.0,68950000000000.0,68193000000000.0,67618000000000.0,68054000000000.0,67331000000000.0,67280000000000.0,67382000000000.0,67547000000000.0,67411000000000.0,67822000000000.0,68453000000000.0,68029000000000.0,68564000000000.0,68083000000000.0,68297000000000.0,69476000000000.0,69703000000000.0,69140000000000.0,69865000000000.0,70805000000000.0,70087000000000.0,70725000000000.0
25,X,True,51874000000000.0,51750000000000.0,51438000000000.0,51322000000000.0,51030000000000.0,50499000000000.0,49847000000000.0,48887000000000.0,48101000000000.0,48117000000000.0,47866000000000.0,47367000000000.0,46957000000000.0,46471000000000.0,46569000000000.0,46977000000000.0,46846000000000.0,46588000000000.0,47660000000000.0,48229000000000.0,47740000000000.0,48322000000000.0,48881000000000.0,48022000000000.0,48125000000000.0,48547000000000.0,47568000000000.0,47584000000000.0,47886000000000.0,48011000000000.0
26,X,False,1589900000000.0,1620600000000.0,2069600000000.0,2232500000000.0,3192800000000.0,2418400000000.0,2422000000000.0,2061700000000.0,2105800000000.0,2212600000000.0,2485200000000.0,2741200000000.0,3018700000000.0,3306600000000.0,3665600000000.0,3673400000000.0,4031700000000.0,4843500000000.0,5520100000000.0,5983700000000.0,6241000000000.0,7495300000000.0,6902000000000.0,6930700000000.0,7253000000000.0,7404400000000.0,7580300000000.0,8034300000000.0,7529500000000.0,7485700000000.0
27,X,True,83022000000000.0,80732000000000.0,79908000000000.0,79695000000000.0,79693000000000.0,80766000000000.0,81477000000000.0,82386000000000.0,82312000000000.0,82458000000000.0,83244000000000.0,83221000000000.0,81851000000000.0,82042000000000.0,83544000000000.0,82895000000000.0,81509000000000.0,81882000000000.0,82898000000000.0,82816000000000.0,83316000000000.0,83058000000000.0,83771000000000.0,83938000000000.0,83665000000000.0,83718000000000.0,83671000000000.0,83877000000000.0,83575000000000.0,83195000000000.0
28,X,True,83544000000000.0,82895000000000.0,81509000000000.0,81882000000000.0,82898000000000.0,82816000000000.0,83316000000000.0,83058000000000.0,83771000000000.0,83938000000000.0,83665000000000.0,83718000000000.0,83671000000000.0,83877000000000.0,83575000000000.0,83195000000000.0,83671000000000.0,84411000000000.0,83379000000000.0,82980000000000.0,81646000000000.0,83104000000000.0,82735000000000.0,82587000000000.0,82639000000000.0,82993000000000.0,81600000000000.0,81504000000000.0,81388000000000.0,80913000000000.0
29,X,False,41858000000000.0,41911000000000.0,41804000000000.0,39742000000000.0,39668000000000.0,39051000000000.0,38807000000000.0,38711000000000.0,38579000000000.0,38300000000000.0,35136000000000.0,34915000000000.0,35438000000000.0,34932000000000.0,33414000000000.0,31383000000000.0,29943000000000.0,29966000000000.0,28252000000000.0,28244000000000.0,27261000000000.0,26844000000000.0,25833000000000.0,26461000000000.0,25231000000000.0,24285000000000.0,23801000000000.0,24116000000000.0,23203000000000.0,21695000000000.0
30,M,False,12649000000000.0,13373000000000.0,13292000000000.0,13027000000000.0,13225000000000.0,13733000000000.0,13383000000000.0,12590000000000.0,12624000000000.0,12455000000000.0,12453000000000.0,12191000000000.0,11823000000000.0,11880000000000.0,12386000000000.0,11868000000000.0,12038000000000.0,11639000000000.0,11420000000000.0,11286000000000.0,11349000000000.0,10814000000000.0,11385000000000.0,7551100000000.0,12463000000000.0,12021000000000.0,12281000000000.0,11983000000000.0,12355000000000.0,12164000000000.0
31,M,False,3090500000000.0,2990900000000.0,3006800000000.0,3806200000000.0,3278800000000.0,3845900000000.0,4191500000000.0,3759700000000.0,3732700000000.0,3847200000000.0,4206600000000.0,4795100000000.0,4564700000000.0,4634700000000.0,4862800000000.0,5079700000000.0,5450300000000.0,4710300000000.0,5234400000000.0,5212500000000.0,6057500000000.0,5909000000000.0,6306900000000.0,5751100000000.0,6194700000000.0,6284600000000.0,6131800000000.0,6376600000000.0,6235600000000.0,6434200000000.0
32,M,False,20182000000000.0,19911000000000.0,19542000000000.0,19321000000000.0,18939000000000.0,18982000000000.0,18793000000000.0,18387000000000.0,18213000000000.0,18370000000000.0,18026000000000.0,17622000000000.0,17516000000000.0,17516000000000.0,17344000000000.0,17647000000000.0,17641000000000.0,17566000000000.0,18006000000000.0,18250000000000.0,18631000000000.0,18807000000000.0,19087000000000.0,18751000000000.0,18962000000000.0,19122000000000.0,19650000000000.0,19432000000000.0,19775000000000.0,19292000000000.0
33,M,True,1852200000000.0,1187700000000.0,2064500000000.0,1280000000000.0,1221300000000.0,1158700000000.0,1200600000000.0,1245200000000.0,1224100000000.0,1931700000000.0,1237600000000.0,1202900000000.0,1282700000000.0,1333500000000.0,1352900000000.0,1234800000000.0,1362400000000.0,1279800000000.0,1322900000000.0,1236700000000.0,1366700000000.0,1264700000000.0,1345400000000.0,1330500000000.0,1391300000000.0,1409200000000.0,1381900000000.0,1361100000000.0,1420100000000.0,1470400000000.0
34,M,False,20272000000000.0,20246000000000.0,20418000000000.0,20799000000000.0,21334000000000.0,22735000000000.0,21714000000000.0,21335000000000.0,22036000000000.0,21834000000000.0,22130000000000.0,22051000000000.0,21744000000000.0,21219000000000.0,20799000000000.0,20927000000000.0,21433000000000.0,21729000000000.0,22040000000000.0,21723000000000.0,21451000000000.0,22141000000000.0,22433000000000.0,22066000000000.0,22968000000000.0,22574000000000.0,23572000000000.0,23244000000000.0,23774000000000.0,24495000000000.0
35,M,False,14874000000000.0,14402000000000.0,13859000000000.0,13648000000000.0,13366000000000.0,13259000000000.0,13376000000000.0,12990000000000.0,13252000000000.0,13105000000000.0,13019000000000.0,13161000000000.0,13125000000000.0,13013000000000.0,13305000000000.0,14237000000000.0,12540000000000.0,12209000000000.0,12627000000000.0,12863000000000.0,13017000000000.0,13119000000000.0,13166000000000.0,14771000000000.0,13387000000000.0,13160000000000.0,12747000000000.0,12732000000000.0,12181000000000.0,12209000000000.0
36,M,False,10419000000000.0,10166000000000.0,10618000000000.0,11173000000000.0,11409000000000.0,10534000000000.0,11162000000000.0,11053000000000.0,11111000000000.0,11591000000000.0,11618000000000.0,11784000000000.0,12038000000000.0,12275000000000.0,12620000000000.0,12679000000000.0,12545000000000.0,13533000000000.0,13233000000000.0,14158000000000.0,14360000000000.0,14450000000000.0,14906000000000.0,14547000000000.0,14255000000000.0,14253000000000.0,14186000000000.0,14568000000000.0,14592000000000.0,14436000000000.0
37,M,True,10972000000000.0,11105000000000.0,11257000000000.0,11503000000000.0,11928000000000.0,12378000000000.0,12554000000000.0,13458000000000.0,14027000000000.0,14180000000000.0,13986000000000.0,14478000000000.0,15333000000000.0,15645000000000.0,16397000000000.0,16772000000000.0,16914000000000.0,17050000000000.0,17226000000000.0,17394000000000.0,17581000000000.0,17834000000000.0,17852000000000.0,17549000000000.0,17606000000000.0,17787000000000.0,18318000000000.0,18752000000000.0,18971000000000.0,19682000000000.0
38,M,True,45529000000000.0,46110000000000.0,46762000000000.0,46767000000000.0,46812000000000.0,46783000000000.0,47303000000000.0,47846000000000.0,48099000000000.0,47524000000000.0,48168000000000.0,47928000000000.0,48664000000000.0,48218000000000.0,48045000000000.0,47392000000000.0,47953000000000.0,47334000000000.0,46673000000000.0,46440000000000.0,46331000000000.0,46198000000000.0,46657000000000.0,46652000000000.0,47236000000000.0,47250000000000.0,47150000000000.0,47666000000000.0,48521000000000.0,48347000000000.0
39,M,False,16550000000000.0,16512000000000.0,16523000000000.0,16911000000000.0,17080000000000.0,17492000000000.0,18186000000000.0,19097000000000.0,19842000000000.0,20333000000000.0,20471000000000.0,20851000000000.0,21408000000000.0,21707000000000.0,22623000000000.0,22435000000000.0,22363000000000.0,22186000000000.0,21703000000000.0,21281000000000.0,22145000000000.0,21727000000000.0,21877000000000.0,21999000000000.0,21246000000000.0,21139000000000.0,20916000000000.0,21408000000000.0,21435000000000.0,21733000000000.0
40,M,False,52287000000000.0,52627000000000.0,52573000000000.0,53283000000000.0,53552000000000.0,52458000000000.0,52527000000000.0,53231000000000.0,53593000000000.0,53380000000000.0,53562000000000.0,53651000000000.0,53823000000000.0,53487000000000.0,53208000000000.0,53647000000000.0,53618000000000.0,54017000000000.0,54219000000000.0,54442000000000.0,54523000000000.0,54647000000000.0,55170000000000.0,54697000000000.0,55289000000000.0,54724000000000.0,54782000000000.0,54941000000000.0,55459000000000.0,55548000000000.0
41,M,True,52740000000000.0,52986000000000.0,52431000000000.0,52779000000000.0,53718000000000.0,53873000000000.0,53193000000000.0,53478000000000.0,53553000000000.0,53533000000000.0,53340000000000.0,53243000000000.0,53396000000000.0,53583000000000.0,53824000000000.0,53410000000000.0,52912000000000.0,52828000000000.0,52999000000000.0,53251000000000.0,53236000000000.0,53320000000000.0,54079000000000.0,53939000000000.0,53547000000000.0,54157000000000.0,53564000000000.0,53758000000000.0,53850000000000.0,53393000000000.0
42,M,True,25572000000000.0,25485000000000.0,26309000000000.0,25965000000000.0,26829000000000.0,26199000000000.0,26551000000000.0,26598000000000.0,26222000000000.0,26258000000000.0,26320000000000.0,25500000000000.0,25963000000000.0,25705000000000.0,25911000000000.0,25710000000000.0,25491000000000.0,25628000000000.0,25696000000000.0,24988000000000.0,25218000000000.0,25361000000000.0,25683000000000.0,25824000000000.0,25637000000000.0,25428000000000.0,25084000000000.0,25034000000000.0,24610000000000.0,24626000000000.0
43,M,False,53410000000000.0,52912000000000.0,52828000000000.0,52999000000000.0,53251000000000.0,53236000000000.0,53320000000000.0,54079000000000.0,53939000000000.0,53547000000000.0,54157000000000.0,53564000000000.0,53758000000000.0,53850000000000.0,53393000000000.0,53227000000000.0,53490000000000.0,53711000000000.0,53292000000000.0,53850000000000.0,53672000000000.0,54037000000000.0,54946000000000.0,54597000000000.0,52908000000000.0,54355000000000.0,54033000000000.0,54111000000000.0,54253000000000.0,53774000000000.0
44,M,False,25696000000000.0,24988000000000.0,25218000000000.0,25361000000000.0,25683000000000.0,25824000000000.0,25637000000000.0,25428000000000.0,25084000000000.0,25034000000000.0,24610000000000.0,24626000000000.0,24192000000000.0,23895000000000.0,23510000000000.0,23234000000000.0,23259000000000.0,22971000000000.0,23058000000000.0,22434000000000.0,22317000000000.0,22177000000000.0,21840000000000.0,21397000000000.0,21256000000000.0,21380000000000.0,21317000000000.0,21563000000000.0,22214000000000.0,23421000000000.0
45,M,False,26975000000000.0,27252000000000.0,27772000000000.0,27503000000000.0,27398000000000.0,27146000000000.0,27753000000000.0,28280000000000.0,28653000000000.0,28920000000000.0,28966000000000.0,29290000000000.0,29592000000000.0,29897000000000.0,29883000000000.0,30141000000000.0,30944000000000.0,30282000000000.0,30525000000000.0,31033000000000.0,31511000000000.0,32360000000000.0,32168000000000.0,32799000000000.0,33822000000000.0,33279000000000.0,33247000000000.0,33764000000000.0,33535000000000.0,35206000000000.0
46,M,False,28260000000000.0,28500000000000.0,27762000000000.0,27543000000000.0,27255000000000.0,27569000000000.0,27575000000000.0,27836000000000.0,27563000000000.0,27485000000000.0,27578000000000.0,27473000000000.0,27848000000000.0,28487000000000.0,28406000000000.0,28403000000000.0,28803000000000.0,28843000000000.0,29028000000000.0,28903000000000.0,29633000000000.0,29234000000000.0,29755000000000.0,29242000000000.0,29030000000000.0,28286000000000.0,28322000000000.0,27690000000000.0,27809000000000.0,27647000000000.0
47,M,True,83914000000000.0,83478000000000.0,82040000000000.0,81623000000000.0,80613000000000.0,79183000000000.0,80073000000000.0,79789000000000.0,78904000000000.0,79832000000000.0,80225000000000.0,80297000000000.0,80237000000000.0,81342000000000.0,81988000000000.0,82055000000000.0,82943000000000.0,83035000000000.0,81572000000000.0,80844000000000.0,80136000000000.0,79376000000000.0,78223000000000.0,77596000000000.0,77178000000000.0,77004000000000.0,76652000000000.0,76501000000000.0,77227000000000.0,76356000000000.0
48,M,True,38076000000000.0,39062000000000.0,38640000000000.0,38903000000000.0,38950000000000.0,38669000000000.0,38258000000000.0,37975000000000.0,37678000000000.0,37738000000000.0,37274000000000.0,36856000000000.0,37374000000000.0,37546000000000.0,36999000000000.0,37322000000000.0,36851000000000.0,36887000000000.0,37331000000000.0,37656000000000.0,37534000000000.0,37831000000000.0,38487000000000.0,39114000000000.0,39169000000000.0,38842000000000.0,38643000000000.0,38722000000000.0,40079000000000.0,39229000000000.0
49,M,False,82055000000000.0,82943000000000.0,83035000000000.0,81572000000000.0,80844000000000.0,80136000000000.0,79376000000000.0,78223000000000.0,77596000000000.0,77178000000000.0,77004000000000.0,76652000000000.0,76501000000000.0,77227000000000.0,76356000000000.0,76792000000000.0,76761000000000.0,77000000000000.0,76839000000000.0,76942000000000.0,76400000000000.0,76986000000000.0,77169000000000.0,77295000000000.0,76334000000000.0,77119000000000.0,76200000000000.0,76998000000000.0,76979000000000.0,77018000000000.0
50,M,False,79376000000000.0,78223000000000.0,77596000000000.0,77178000000000.0,77004000000000.0,76652000000000.0,76501000000000.0,77227000000000.0,76356000000000.0,76792000000000.0,76761000000000.0,77000000000000.0,76839000000000.0,76942000000000.0,76400000000000.0,76986000000000.0,77169000000000.0,77295000000000.0,76334000000000.0,77119000000000.0,76200000000000.0,76998000000000.0,76979000000000.0,77018000000000.0,77563000000000.0,76617000000000.0,76082000000000.0,75510000000000.0,76691000000000.0,76575000000000.0
51,M,False,32173000000000.0,33241000000000.0,33435000000000.0,33514000000000.0,33449000000000.0,33871000000000.0,33671000000000.0,33057000000000.0,33863000000000.0,34410000000000.0,35182000000000.0,35944000000000.0,35932000000000.0,35516000000000.0,35524000000000.0,35297000000000.0,34829000000000.0,34369000000000.0,33789000000000.0,33613000000000.0,33322000000000.0,33174000000000.0,32590000000000.0,32701000000000.0,32050000000000.0,32471000000000.0,32506000000000.0,32332000000000.0,31964000000000.0,32180000000000.0
52,M,False,75109000000000.0,75903000000000.0,76312000000000.0,76503000000000.0,77012000000000.0,76457000000000.0,77343000000000.0,77691000000000.0,77803000000000.0,78285000000000.0,78187000000000.0,77854000000000.0,77395000000000.0,76857000000000.0,76356000000000.0,74982000000000.0,74441000000000.0,73506000000000.0,73509000000000.0,72428000000000.0,73392000000000.0,73790000000000.0,72994000000000.0,72333000000000.0,72186000000000.0,71914000000000.0,72149000000000.0,73000000000000.0,72830000000000.0,73716000000000.0
53,M,True,54608000000000.0,53821000000000.0,53736000000000.0,53337000000000.0,53025000000000.0,55179000000000.0,53370000000000.0,52250000000000.0,52504000000000.0,53752000000000.0,53919000000000.0,53520000000000.0,54052000000000.0,53040000000000.0,54403000000000.0,53238000000000.0,53112000000000.0,52605000000000.0,51837000000000.0,52357000000000.0,52653000000000.0,54848000000000.0,55152000000000.0,54288000000000.0,53846000000000.0,53721000000000.0,54599000000000.0,54052000000000.0,54381000000000.0,54157000000000.0
