,FLARE_TYPE,COINCIDENCE,TOTUSJZ_1,TOTUSJZ_2,TOTUSJZ_3,TOTUSJZ_4,TOTUSJZ_5,TOTUSJZ_6,TOTUSJZ_7,TOTUSJZ_8,TOTUSJZ_9,TOTUSJZ_10,TOTUSJZ_11,TOTUSJZ_12,TOTUSJZ_13,TOTUSJZ_14,TOTUSJZ_15,TOTUSJZ_16,TOTUSJZ_17,TOTUSJZ_18,TOTUSJZ_19,TOTUSJZ_20,TOTUSJZ_21,TOTUSJZ_22,TOTUSJZ_23,TOTUSJZ_24,TOTUSJZ_25,TOTUSJZ_26,TOTUSJZ_27,TOTUSJZ_28,TOTUSJZ_29,TOTUSJZ_30
0,X,False,49798000000000.0,50329000000000.0,50637000000000.0,49921000000000.0,50534000000000.0,50522000000000.0,50492000000000.0,49582000000000.0,49678000000000.0,49648000000000.0,50103000000000.0,49338000000000.0,49572000000000.0,49211000000000.0,49586000000000.0,50519000000000.0,50319000000000.0,49752000000000.0,49966000000000.0,50085000000000.0,50922000000000.0,50942000000000.0,50376000000000.0,49654000000000.0,50547000000000.0,51145000000000.0,50856000000000.0,51043000000000.0,51550000000000.0,51609000000000.0
1,X,False,62324000000000.0,61686000000000.0,62797000000000.0,61799000000000.0,62366000000000.0,61484000000000.0,60860000000000.0,61379000000000.0,60785000000000.0,60778000000000.0,60279000000000.0,60809000000000.0,60777000000000.0,60657000000000.0,59731000000000.0,59688000000000.0,60548000000000.0,61117000000000.0,59936000000000.0,59512000000000.0,59792000000000.0,59305000000000.0,59386000000000.0,59493000000000.0,58784000000000.0,58263000000000.0,58137000000000.0,57350000000000.0,57628000000000.0,57292000000000.0
2,X,False,41675000000000.0,42121000000000.0,42426000000000.0,42106000000000.0,42148000000000.0,42000000000000.0,41958000000000.0,40262000000000.0,40524000000000.0,39574000000000.0,39596000000000.0,39292000000000.0,39103000000000.0,38603000000000.0,39214000000000.0,38895000000000.0,38787000000000.0,39039000000000.0,39549000000000.0,39744000000000.0,39425000000000.0,38616000000000.0,38239000000000.0,37830000000000.0,37811000000000.0,38404000000000.0,38543000000000.0,38092000000000.0,38112000000000.0,39008000000000.0
3,X,False,35737000000000.0,35971000000000.0,36350000000000.0,36574000000000.0,35810000000000.0,35741000000000.0,35486000000000.0,35319000000000.0,35563000000000.0,34874000000000.0,34928000000000.0,34605000000000.0,34093000000000.0,33953000000000.0,34239000000000.0,34121000000000.0,34036000000000.0,34649000000000.0,34651000000000.0,34397000000000.0,34067000000000.0,34070000000000.0,33867000000000.0,33687000000000.0,33657000000000.0,33521000000000.0,34301000000000.0,33574000000000.0,33596000000000.0,33557000000000.0
4,X,True,29136000000000.0,29650000000000.0,29585000000000.0,28928000000000.0,28517000000000.0,28694000000000.0,28929000000000.0,28712000000000.0,28745000000000.0,28643000000000.0,28832000000000.0,28881000000000.0,29159000000000.0,29415000000000.0,29388000000000.0,28688000000000.0,28982000000000.0,28940000000000.0,28652000000000.0,28987000000000.0,28034000000000.0,28444000000000.0,28777000000000.0,28852000000000.0,28806000000000.0,28572000000000.0,28149000000000.0,28830000000000.0,28234000000000.0,28646000000000.0
5,X,False,78539000000000.0,78771000000000.0,82272000000000.0,77766000000000.0,81167000000000.0,78763000000000.0,79547000000000.0,79900000000000.0,80598000000000.0,82043000000000.0,83969000000000.0,83841000000000.0,83459000000000.0,82580000000000.0,81985000000000.0,82788000000000.0,83135000000000.0,83071000000000.0,83102000000000.0,82754000000000.0,84481000000000.0,83994000000000.0,85342000000000.0,85888000000000.0,86079000000000.0,85656000000000.0,85732000000000.0,85878000000000.0,86054000000000.0,86844000000000.0
6,X,True,35637000000000.0,35277000000000.0,35231000000000.0,35187000000000.0,34494000000000.0,35486000000000.0,35745000000000.0,34954000000000.0,35664000000000.0,35150000000000.0,35298000000000.0,35427000000000.0,35830000000000.0,35629000000000.0,35063000000000.0,35089000000000.0,35074000000000.0,34410000000000.0,34692000000000.0,34358000000000.0,34832000000000.0,34486000000000.0,34935000000000.0,35926000000000.0,36230000000000.0,36648000000000.0,36953000000000.0,35907000000000.0,37985000000000.0,37839000000000.0
7,X,False,77702000000000.0,77863000000000.0,77800000000000.0,78175000000000.0,78052000000000.0,78670000000000.0,79465000000000.0,78572000000000.0,79060000000000.0,79653000000000.0,80122000000000.0,79865000000000.0,79792000000000.0,80505000000000.0,80526000000000.0,80186000000000.0,80548000000000.0,81235000000000.0,80636000000000.0,80776000000000.0,82137000000000.0,82106000000000.0,82018000000000.0,81282000000000.0,81931000000000.0,82606000000000.0,83601000000000.0,83647000000000.0,83670000000000.0,83672000000000.0
8,X,False,78670000000000.0,79465000000000.0,78572000000000.0,79060000000000.0,79653000000000.0,80122000000000.0,79865000000000.0,79792000000000.0,80505000000000.0,80526000000000.0,80186000000000.0,80548000000000.0,81235000000000.0,80636000000000.0,80776000000000.0,82137000000000.0,82106000000000.0,82018000000000.0,81282000000000.0,81931000000000.0,82606000000000.0,83601000000000.0,83647000000000.0,83670000000000.0,83672000000000.0,82904000000000.0,82760000000000.0,82205000000000.0,81549000000000.0,81448000000000.0
9,X,False,139290000000000.0,138110000000000.0,137690000000000.0,137290000000000.0,137280000000000.0,137530000000000.0,135440000000000.0,135610000000000.0,135170000000000.0,134840000000000.0,134080000000000.0,134870000000000.0,132480000000000.0,133520000000000.0,134020000000000.0,133980000000000.0,133980000000000.0,133640000000000.0,135160000000000.0,134830000000000.0,135230000000000.0,137770000000000.0,139250000000000.0,140580000000000.0,211280000000000.0,146670000000000.0,147240000000000.0,147410000000000.0,147250000000000.0,148100000000000.0
