,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5,SHRGT45_6,SHRGT45_7,SHRGT45_8,SHRGT45_9,SHRGT45_10,SHRGT45_11,SHRGT45_12,SHRGT45_13,SHRGT45_14,SHRGT45_15,SHRGT45_16,SHRGT45_17,SHRGT45_18,SHRGT45_19,SHRGT45_20,SHRGT45_21,SHRGT45_22,SHRGT45_23,SHRGT45_24,SHRGT45_25,SHRGT45_26,SHRGT45_27,SHRGT45_28,SHRGT45_29,SHRGT45_30
0,X,False,55.174,54.882,54.821,55.433,55.593,55.865,55.842,56.092,56.363,56.608,57.108,57.33,57.33,57.984,57.877,57.703,57.08,57.582,57.868,57.882,57.787,57.982,58.175,57.644,57.536,57.342,57.369,57.894,57.337,57.739
1,X,False,55.66,55.631,55.423,54.975,55.123,54.939,55.317,55.289,55.08,55.157,55.215,54.815,54.922,54.555,54.627,54.437,54.739,54.938,54.914,55.002,54.894,55.09,55.211,55.44,55.794,55.683,55.776,55.993,56.06,56.28
2,X,False,33.172,33.547,33.902,33.937,33.86,33.437,33.668,33.601,33.763,33.974,34.052,34.195,34.383,33.8,34.208,34.382,34.054,34.113,34.276,34.157,33.556,33.7,33.492,33.389,33.09,33.337,33.561,33.74,33.8,33.777
3,X,False,42.602,42.655,43.072,42.583,43.507,43.313,42.822,42.849,43.0,43.551,43.551,43.058,43.096,42.792,43.301,43.262,43.694,43.59,43.644,43.348,43.704,43.566,43.727,43.451,42.64,42.254,41.901,42.555,41.923,41.997
4,X,True,37.082,36.709,36.529,36.374,35.829,35.829,35.423,35.682,35.441,35.921,36.032,36.088,36.198,35.607,35.698,36.071,35.588,35.772,35.14,35.871,35.895,36.246,36.085,36.061,36.169,35.583,35.536,35.792,35.468,36.003
5,X,False,40.261,39.492,39.747,39.218,39.299,39.356,39.193,38.573,38.697,38.477,38.547,38.144,38.115,37.942,38.05,37.978,37.556,37.604,38.235,37.296,37.653,37.292,37.363,37.49,37.935,37.758,38.256,37.648,37.634,37.753
6,X,True,44.289,44.744,45.286,44.338,44.448,43.944,43.299,43.667,42.289,42.537,42.738,43.604,43.185,41.978,41.848,41.807,41.379,41.363,41.539,41.023,41.309,41.62,41.604,41.229,41.396,40.852,41.27,40.434,39.818,39.362
7,X,False,45.871,45.651,45.66,46.562,46.167,46.158,46.386,45.643,46.15,46.067,46.381,46.257,46.581,46.288,46.072,45.94,46.541,46.268,45.855,46.197,45.638,45.919,46.119,46.016,46.124,46.594,46.316,46.207,45.814,46.169
8,X,False,46.158,46.386,45.643,46.15,46.067,46.381,46.257,46.581,46.288,46.072,45.94,46.541,46.268,45.855,46.197,45.638,45.919,46.119,46.016,46.124,46.594,46.316,46.207,45.814,46.169,46.05,45.879,46.489,46.469,46.244
9,X,False,45.404,45.809,45.863,46.051,46.246,46.403,46.49,46.402,46.328,46.496,46.72,46.903,46.669,46.543,46.347,46.315,46.047,46.074,45.821,45.87,45.451,45.232,44.835,44.815,47.08,44.837,45.216,45.344,45.589,45.626
10,X,False,37.485,35.289,35.719,34.736,35.351,35.752,34.946,34.66,33.601,33.855,34.81,34.154,34.008,33.174,33.682,32.344,34.562,35.119,34.966,32.92,34.439,33.881,34.633,34.035,34.317,33.69,33.271,33.178,30.515,32.532
11,X,True,31.767,31.243,31.072,31.775,32.037,31.914,31.395,31.34,31.194,31.031,31.215,30.904,29.961,29.924,29.665,29.521,28.936,30.107,29.261,29.487,28.709,28.771,28.978,28.47,28.881,28.963,28.662,29.202,28.882,29.085
12,X,False,30.339,30.642,30.539,30.485,30.813,30.886,31.44,31.333,31.04,31.332,31.569,31.692,31.53,31.292,31.77,32.157,32.841,32.44,32.122,32.159,30.912,32.098,31.349,31.838,31.917,31.624,31.389,31.77,31.916,31.569
13,X,False,33.748,33.614,33.657,33.645,33.508,33.26,33.296,33.302,33.088,33.128,32.782,32.832,32.855,32.789,32.956,32.56,32.014,32.896,33.378,33.185,33.143,33.348,33.473,33.595,33.696,33.993,33.881,33.923,33.889,34.19
14,X,False,44.852,44.917,44.772,44.838,45.2,45.298,45.443,45.747,45.538,45.716,46.05,46.001,45.865,45.702,45.929,46.03,45.922,45.623,45.649,45.489,45.477,45.529,45.188,45.498,45.36,45.196,45.407,45.181,45.405,45.644
15,X,False,44.647,44.663,45.096,45.138,44.961,45.399,45.482,45.68,45.696,45.924,45.721,45.826,46.038,46.483,46.19,46.254,46.289,46.22,46.023,45.85,45.974,45.758,45.559,45.496,45.217,44.91,44.451,44.587,44.596,44.464
16,X,False,23.587,23.6,23.446,24.2,23.524,23.339,24.044,23.918,24.178,23.834,23.925,23.825,23.938,23.641,23.979,23.599,24.204,23.118,23.116,23.136,23.413,23.45,22.81,23.236,22.992,23.098,22.982,22.149,21.922,22.018
17,X,False,50.851,51.036,50.854,50.73,51.009,50.864,51.182,51.234,51.4,51.063,50.62,50.546,50.315,50.409,50.824,50.701,51.437,51.257,51.377,51.536,51.531,51.374,51.411,51.385,51.38,51.296,51.368,51.488,51.487,51.796
18,X,False,1.0121,1.2916,0.58131,0.80114,1.2225,2.5651,1.7765,1.0789,2.3818,1.9309,3.3277,3.7696,4.4556,4.8141,6.5926,7.235,8.2157,4.7334,6.432,7.0845,7.3428,6.871,5.2197,5.5007,5.7223,5.3242,4.4551,4.2481,4.2911,2.991
19,X,False,14.163,13.513,13.64,13.809,13.199,12.693,12.45,13.395,13.968,13.161,13.425,13.425,13.046,13.485,12.275,12.877,12.139,12.237,11.598,12.11,11.759,10.617,10.841,11.294,10.146,10.689,9.564,8.7068,8.9216,8.3078
20,X,False,47.12,44.666,43.844,43.835,43.838,42.868,41.108,41.957,41.336,40.662,40.325,41.241,39.062,40.287,37.637,38.744,36.844,35.938,34.482,37.857,37.402,36.312,36.66,36.004,37.206,36.77,35.605,36.295,37.664,35.865
21,X,False,35.096,35.57,34.604,35.646,34.051,33.743,33.896,33.602,34.773,34.403,32.78,32.516,32.107,31.698,32.067,32.133,31.746,31.956,32.283,32.28,32.494,34.275,32.761,32.906,33.093,32.996,32.461,32.433,31.578,31.712
22,X,True,44.723,44.62,44.48,44.267,44.155,44.031,44.07,43.922,43.883,43.762,43.567,43.541,43.6,43.311,43.304,43.144,43.058,43.169,43.02,42.751,43.065,43.08,43.074,43.043,43.113,43.082,43.34,43.48,43.322,43.282
23,X,True,34.747,34.955,35.126,35.011,35.148,35.191,35.205,35.11,35.194,35.078,34.834,34.948,34.873,34.744,34.496,34.182,33.975,33.938,33.81,33.723,33.463,33.443,33.332,33.242,33.252,33.333,33.234,33.271,33.33,33.18
24,X,False,23.116,22.964,23.207,22.757,23.192,23.232,23.282,23.125,23.127,23.272,23.32,23.225,23.278,23.164,23.415,23.609,23.61,24.201,23.407,23.467,22.87,22.83,23.532,23.334,23.555,23.595,23.481,23.3,23.282,23.554
25,X,True,33.907,33.951,34.274,34.568,34.749,34.213,34.374,34.529,35.134,34.809,34.837,34.778,34.751,35.149,34.886,34.793,34.745,34.266,34.473,34.261,34.667,35.261,35.46,35.208,35.756,35.241,35.876,36.644,36.867,37.534
26,X,False,42.26,38.209,41.84,47.754,54.876,47.31,50.521,51.386,49.922,51.503,50.485,48.805,48.437,46.653,46.499,45.269,44.598,44.428,43.027,43.855,44.119,44.577,42.883,42.209,41.546,42.51,40.022,40.861,38.135,36.977
