,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5,SHRGT45_6,SHRGT45_7,SHRGT45_8,SHRGT45_9,SHRGT45_10,SHRGT45_11,SHRGT45_12,SHRGT45_13,SHRGT45_14,SHRGT45_15,SHRGT45_16,SHRGT45_17,SHRGT45_18,SHRGT45_19,SHRGT45_20,SHRGT45_21,SHRGT45_22,SHRGT45_23,SHRGT45_24,SHRGT45_25,SHRGT45_26,SHRGT45_27,SHRGT45_28,SHRGT45_29,SHRGT45_30
27,X,True,55.835,55.088,54.914,54.337,54.181,54.078,54.562,54.059,54.48,54.246,54.17,54.374,54.492,53.876,53.726,54.154,53.413,53.681,53.638,53.472,53.307,53.911,53.764,53.962,53.55,53.461,53.69,53.805,53.414,53.219
28,X,True,53.726,54.154,53.413,53.681,53.638,53.472,53.307,53.911,53.764,53.962,53.55,53.461,53.69,53.805,53.414,53.219,53.025,53.011,52.867,52.703,52.829,52.719,52.501,52.272,52.234,51.816,51.505,51.156,51.096,50.767
29,X,False,32.038,33.538,34.234,32.676,32.697,31.106,31.311,32.364,31.546,32.302,30.703,32.73,33.542,32.232,32.681,32.053,32.513,32.308,30.857,31.643,30.6,31.114,32.155,30.2,30.92,30.582,32.717,30.761,30.882,30.324
30,M,False,22.29,25.269,22.848,23.368,22.147,23.874,22.316,21.853,21.17,21.294,22.077,20.848,18.653,19.432,21.6,21.651,22.981,20.635,20.147,20.618,21.086,19.026,21.139,13.209,19.611,19.004,19.345,19.044,18.396,18.637
31,M,False,11.591,10.192,8.1388,13.021,9.4622,16.41,18.049,12.219,9.8171,8.7544,11.502,19.412,10.584,19.237,20.076,19.675,13.819,11.043,13.616,17.663,16.769,20.015,16.226,11.537,17.306,18.637,15.711,15.695,16.283,15.814
32,M,False,20.048,19.783,19.619,19.28,19.492,19.895,19.564,19.959,20.414,20.13,20.792,20.998,20.996,21.159,21.506,21.418,21.7,21.91,22.376,22.566,22.433,22.152,22.03,21.843,21.699,21.285,20.533,20.863,20.873,20.553
33,M,True,35.195,27.637,29.011,28.275,24.941,22.352,24.429,26.357,25.977,32.979,24.97,24.667,26.944,26.223,22.743,21.873,19.017,19.546,22.631,20.093,23.7,20.219,21.149,19.443,21.408,19.262,17.148,19.178,20.062,20.639
34,M,False,7.0934,7.4926,8.1988,7.9103,8.0957,8.3324,8.0957,7.2933,7.946,7.424,7.7249,8.3034,8.0588,7.8195,7.6059,8.1641,7.8631,7.5063,7.7301,7.0555,8.3179,8.1778,7.9031,7.879,7.7102,7.5533,8.3426,7.493,7.1154,7.4567
35,M,False,25.151,24.858,24.645,25.798,25.852,26.467,27.352,26.635,27.409,27.024,27.556,28.109,27.516,27.827,28.113,28.367,28.228,29.184,29.459,29.787,29.561,31.412,30.538,32.523,32.2,32.415,31.853,31.797,32.163,31.49
36,M,False,12.052,11.46,12.067,13.419,14.185,12.707,12.738,12.859,13.074,13.879,13.483,13.056,14.243,15.591,16.251,16.218,14.881,15.976,15.199,14.842,15.823,15.879,16.964,15.734,16.647,16.916,17.014,17.448,18.14,18.03
37,M,True,34.527,34.474,36.696,36.821,38.027,37.107,37.428,38.467,39.017,39.216,37.703,36.783,37.624,38.47,40.217,40.002,41.089,41.168,41.676,41.174,42.413,42.521,42.55,41.977,42.538,43.026,42.925,41.977,41.935,42.538
38,M,True,55.601,55.719,54.749,54.281,54.276,54.881,54.415,54.522,54.16,54.229,54.158,54.029,54.532,54.864,55.391,55.937,56.167,55.824,56.141,56.563,56.414,56.534,56.857,56.868,57.01,56.891,57.032,56.506,56.963,56.086
39,M,False,15.743,14.595,14.093,14.531,14.733,14.893,16.979,17.42,18.476,18.489,17.787,17.427,17.566,18.562,20.499,19.821,20.965,21.036,19.992,21.135,21.261,21.187,21.886,20.917,20.146,19.886,18.89,20.254,19.985,20.819
40,M,False,57.563,57.33,57.385,57.301,57.33,57.099,57.334,57.027,56.911,57.21,57.151,57.1,56.896,56.693,56.396,56.541,56.275,56.243,56.043,55.571,55.814,55.419,55.573,55.721,55.822,56.398,55.924,55.551,55.523,55.006
41,M,True,38.989,38.628,39.09,39.034,39.064,38.951,38.624,38.517,38.131,38.503,38.144,37.905,37.609,37.265,37.535,37.211,36.295,36.641,37.011,36.946,36.416,36.521,36.576,36.297,36.585,37.052,36.929,36.382,36.328,36.619
42,M,True,38.75,38.807,39.064,38.913,39.295,38.858,39.049,38.52,38.254,38.279,38.78,38.977,39.299,39.45,38.858,39.369,39.165,39.499,39.516,39.289,38.967,39.311,39.518,39.637,39.299,39.206,38.077,37.729,38.75,38.401
43,M,False,37.211,36.295,36.641,37.011,36.946,36.416,36.521,36.576,36.297,36.585,37.052,36.929,36.382,36.328,36.619,37.158,36.561,36.682,36.947,37.187,36.21,36.364,35.984,36.494,36.267,36.279,36.439,36.29,36.2,36.563
44,M,False,39.516,39.289,38.967,39.311,39.518,39.637,39.299,39.206,38.077,37.729,38.75,38.401,38.76,38.493,38.646,38.11,38.611,37.771,38.409,38.319,38.375,38.355,38.288,38.017,37.644,37.726,37.397,37.347,37.718,39.126
45,M,False,40.173,40.602,40.599,40.283,40.47,40.515,40.234,40.993,40.874,41.347,41.296,40.037,40.517,40.745,40.557,40.607,40.806,39.537,39.795,39.595,39.448,39.826,40.652,39.434,39.818,39.735,39.148,40.169,39.958,40.074
46,M,False,13.978,14.615,14.168,13.856,14.508,14.092,14.449,13.854,13.718,14.031,13.827,14.055,14.426,14.052,14.213,14.707,14.23,14.409,14.38,14.27,14.478,13.832,13.753,13.682,13.628,13.83,13.993,14.6,13.552,13.705
47,M,True,36.735,36.279,36.342,35.838,35.669,34.951,34.573,34.306,34.17,34.306,34.341,33.733,33.67,33.55,33.9,33.897,34.062,34.693,35.3,35.568,35.793,35.893,35.443,35.709,35.875,35.01,34.78,34.513,34.71,34.584
48,M,True,21.731,21.506,22.722,21.15,21.388,22.071,22.013,21.221,21.908,21.558,20.786,20.397,21.028,22.217,21.921,21.245,21.666,21.315,21.943,21.908,20.361,20.583,20.855,22.387,21.841,22.3,21.857,21.784,22.235,20.478
49,M,False,33.897,34.062,34.693,35.3,35.568,35.793,35.893,35.443,35.709,35.875,35.01,34.78,34.513,34.71,34.584,34.201,33.936,32.931,32.572,31.988,31.702,32.061,32.609,32.6,32.393,32.073,31.936,32.296,32.158,31.685
50,M,False,35.893,35.443,35.709,35.875,35.01,34.78,34.513,34.71,34.584,34.201,33.936,32.931,32.572,31.988,31.702,32.061,32.609,32.6,32.393,32.073,31.936,32.296,32.158,31.685,31.413,31.714,31.402,31.401,31.189,31.684
51,M,False,43.795,44.674,44.805,44.451,44.178,43.837,43.734,44.104,43.538,43.954,43.935,43.844,44.246,43.484,43.469,43.647,43.818,43.659,44.027,44.108,44.135,44.675,45.328,44.684,44.263,44.401,44.32,44.396,43.649,43.524
52,M,False,29.368,29.634,29.044,29.303,28.823,29.252,29.406,29.736,29.818,29.461,29.503,29.939,29.885,28.789,28.424,27.84,27.816,26.688,27.443,27.306,26.681,26.72,26.287,27.091,26.249,26.084,25.782,26.244,25.542,25.8
53,M,True,24.927,24.723,24.283,24.092,24.801,25.066,23.678,24.193,23.708,23.942,23.231,24.062,24.207,24.613,24.88,24.71,24.257,24.066,24.356,24.139,24.359,24.592,23.534,24.023,23.689,23.87,23.973,23.309,23.482,23.582
54,M,False,24.023,23.689,23.87,23.973,23.309,23.482,23.582,23.479,23.529,24.797,24.169,23.878,24.354,24.475,24.479,24.499,24.811,23.898,24.4,24.856,25.017,24.004,24.884,24.571,24.099,23.324,23.582,23.749,22.903,23.798
55,M,False,25.453,25.815,26.466,26.56,26.678,26.423,26.003,26.254,26.002,26.603,27.085,26.923,27.62,27.514,27.687,26.181,26.669,26.81,27.21,26.298,27.036,26.8,26.986,28.1,28.27,28.613,28.39,27.893,27.308,27.793
56,M,False,28.427,28.858,28.257,28.391,27.402,28.035,28.12,27.794,28.468,28.519,28.924,29.024,29.517,29.93,29.651,29.328,27.868,28.433,28.005,28.651,28.382,33.576,28.282,29.58,28.779,29.234,28.318,29.766,29.229,28.132
57,M,False,28.468,28.519,28.924,29.024,29.517,29.93,29.651,29.328,27.868,28.433,28.005,28.651,28.382,33.576,28.282,29.58,28.779,29.234,28.318,29.766,29.229,28.132,27.934,29.168,28.65,27.432,27.869,27.815,30.237,30.074
58,M,True,57.592,57.191,57.057,57.023,57.026,57.278,56.756,56.885,56.742,56.765,57.009,57.03,57.019,57.129,56.861,56.632,56.759,56.932,57.094,57.573,57.419,57.324,57.489,57.495,57.553,57.862,57.895,57.807,57.687,57.708
59,M,False,57.129,56.861,56.632,56.759,56.932,57.094,57.573,57.419,57.324,57.489,57.495,57.553,57.862,57.895,57.807,57.687,57.708,57.775,57.705,58.03,57.91,57.416,57.826,57.334,57.071,57.315,57.386,57.018,57.286,56.958
60,M,True,29.177,28.782,29.286,27.923,28.802,28.96,29.159,28.754,28.768,29.094,28.013,28.381,27.501,27.431,27.586,26.986,26.96,25.373,26.008,25.882,25.323,26.185,25.678,25.546,23.992,25.226,25.672,24.903,24.903,24.79
61,M,False,23.992,25.226,25.672,24.903,24.903,24.79,24.545,25.92,25.712,25.588,25.837,25.785,25.569,26.533,26.416,26.487,27.641,29.341,27.84,30.163,30.816,30.337,31.47,31.794,30.636,31.374,30.538,30.958,30.38,29.507
62,M,False,29.237,29.2,28.227,29.499,29.202,28.512,28.687,27.835,28.272,28.14,27.999,28.098,28.519,28.186,28.939,27.978,28.129,28.207,27.447,27.695,28.085,27.492,26.836,27.207,27.095,27.323,27.343,27.03,27.152,27.411
63,M,False,23.449,23.367,23.347,23.408,23.701,23.605,23.608,23.332,23.624,23.282,23.261,23.061,22.601,22.683,22.893,22.637,22.777,22.665,22.703,22.471,22.913,22.815,22.706,22.583,22.793,22.62,22.792,22.832,23.067,23.287
64,M,False,34.375,34.563,34.417,34.446,34.702,35.104,35.013,35.08,35.121,34.68,34.677,34.557,34.471,34.708,35.311,35.199,35.639,35.215,34.81,35.3,34.463,33.945,32.819,32.573,32.915,32.742,32.552,32.98,32.894,32.556
65,M,True,14.127,13.48,13.954,13.069,14.144,13.762,13.641,14.248,13.204,13.383,13.419,13.368,13.474,13.833,13.257,14.147,13.549,13.153,13.497,13.766,13.686,13.54,13.851,13.878,13.883,13.855,13.503,13.396,13.416,13.558
66,M,False,14.331,14.141,13.846,14.432,14.031,14.435,13.843,14.367,13.845,14.245,14.061,14.005,14.742,14.609,14.308,14.325,15.059,15.755,15.433,15.751,15.614,15.578,15.552,15.485,15.442,15.218,15.378,15.331,15.021,14.946
67,M,True,44.718,41.239,42.572,44.536,41.929,43.585,41.738,41.124,41.329,42.393,42.828,43.052,42.071,41.588,39.791,39.476,39.0,39.963,38.942,37.144,38.852,37.67,37.862,38.1,37.144,38.34,36.143,35.871,37.833,36.295
68,M,False,35.492,35.308,34.993,33.899,35.992,33.542,32.896,32.958,33.517,33.641,33.56,34.001,33.719,33.234,33.117,34.191,33.587,33.394,32.824,33.578,32.954,33.307,33.546,33.919,34.631,34.875,34.688,35.376,35.084,37.278
69,M,False,13.395,13.725,13.5,13.888,13.498,13.823,13.184,13.184,13.409,13.175,13.467,13.485,12.966,12.881,12.951,12.974,12.907,12.678,12.541,12.719,12.774,12.558,12.338,12.083,11.606,11.965,11.522,11.426,11.531,11.395
70,M,False,41.327,41.247,40.395,40.394,40.201,40.752,41.396,39.789,39.063,39.118,37.635,38.487,36.179,38.05,37.913,35.883,34.764,36.898,38.455,37.144,39.236,38.143,38.35,37.752,37.438,39.684,39.626,38.576,39.993,39.153
71,M,False,16.154,17.486,18.86,18.834,19.248,19.452,19.122,18.721,19.872,19.846,20.162,20.187,19.99,19.997,19.767,19.276,19.749,20.605,19.975,19.646,20.548,19.882,19.887,20.523,20.364,20.688,21.423,20.945,21.011,21.357
72,M,False,31.104,30.995,30.893,31.471,31.356,31.307,31.847,31.567,31.791,31.944,32.38,33.202,32.682,32.649,32.494,33.168,33.102,32.688,32.187,32.662,32.915,33.399,33.017,32.968,32.145,32.456,32.172,32.87,31.79,31.806
73,M,True,46.348,45.972,45.259,45.283,45.302,45.186,45.652,45.945,46.174,46.593,47.154,46.656,45.876,46.54,46.422,46.715,46.633,47.54,47.654,47.903,48.156,47.696,48.221,47.893,47.443,47.375,47.233,46.754,46.026,45.937
74,M,True,47.058,46.949,46.953,46.677,46.457,45.89,46.389,46.336,46.112,45.95,45.774,45.894,45.354,44.879,44.805,44.33,44.237,43.552,43.873,43.607,43.881,44.14,44.501,44.971,44.916,44.865,45.483,45.287,44.986,45.097
75,M,False,61.867,62.052,62.381,62.093,62.0,62.264,62.262,62.689,62.762,63.021,63.156,63.839,63.753,64.089,64.043,64.148,64.249,64.148,64.251,64.4,64.401,64.038,64.243,64.341,64.049,63.95,64.239,63.979,64.106,63.607
76,M,True,43.818,43.996,44.035,44.09,43.594,44.055,43.821,44.221,44.489,44.102,44.062,44.826,45.191,45.832,45.542,45.71,46.285,46.931,47.426,47.177,46.74,46.789,46.939,47.128,47.23,47.007,47.047,47.082,47.272,46.533
77,M,False,43.641,43.817,43.44,43.036,42.988,42.922,42.542,42.228,42.385,42.592,41.84,41.608,41.556,41.487,40.387,40.364,41.32,41.588,40.609,40.628,41.594,41.95,41.741,41.891,41.686,42.261,41.502,41.548,41.264,40.802
78,M,True,40.606,40.28,39.695,39.279,39.412,39.013,38.767,38.44,37.875,38.232,38.582,37.921,38.562,38.268,38.405,38.215,38.499,38.871,38.529,38.277,38.54,38.302,38.013,37.545,37.81,37.227,38.279,38.334,37.685,37.678
79,M,False,34.915,34.585,34.444,34.492,34.844,34.649,34.865,35.033,34.5,34.532,34.152,34.093,33.825,33.816,33.18,33.005,33.351,32.57,32.77,32.379,32.949,33.224,33.172,33.547,33.902,33.937,33.86,33.437,33.668,33.601
80,M,True,15.185,15.325,15.745,15.902,16.32,16.351,15.835,16.378,16.215,16.178,15.833,15.374,14.76,14.964,15.038,14.784,14.55,15.161,14.247,14.395,14.297,14.317,13.748,14.318,14.289,14.653,14.649,15.485,15.8,15.806
81,M,False,13.368,12.767,12.367,12.359,11.968,12.052,11.947,11.862,11.655,11.567,11.075,11.597,11.402,11.277,11.476,11.53,11.42,11.89,12.029,11.891,11.798,11.976,12.092,12.148,12.306,11.951,12.136,11.956,11.896,11.763
82,M,False,11.42,11.89,12.029,11.891,11.798,11.976,12.092,12.148,12.306,11.951,12.136,11.956,11.896,11.763,11.497,11.871,11.662,11.116,11.292,11.445,11.328,11.421,11.079,10.909,10.986,10.894,11.237,11.297,11.371,11.605
83,M,True,39.436,39.801,38.619,38.633,38.687,38.477,38.566,38.559,38.337,38.737,38.395,38.542,38.342,37.892,38.147,37.428,37.223,37.066,37.109,36.614,36.335,36.086,36.793,37.518,38.067,38.699,39.21,38.979,39.66,39.785
84,M,True,33.217,33.466,33.379,33.879,34.24,34.604,34.187,33.726,33.684,33.594,33.709,34.283,33.884,33.627,33.448,33.82,33.372,32.653,32.11,36.199,31.495,31.525,30.913,30.564,31.166,31.632,31.141,31.101,31.433,31.768
85,M,False,26.34,26.502,26.466,26.53,27.088,26.955,27.788,27.467,28.205,28.132,28.082,28.407,28.785,28.796,28.744,28.848,28.487,28.815,27.844,28.005,28.032,28.472,28.947,28.654,29.016,28.995,28.685,29.021,28.897,28.924
86,M,False,20.911,20.833,21.734,21.243,22.081,21.302,21.73,21.785,21.021,21.195,20.931,20.634,21.225,21.275,21.556,20.474,20.022,19.889,20.532,20.297,20.403,19.993,19.448,19.597,19.722,19.34,19.253,19.833,19.198,18.939
87,M,False,11.756,11.97,12.092,11.646,11.428,11.213,11.176,11.37,11.336,11.408,11.602,11.54,10.822,11.031,11.099,11.308,11.15,10.999,11.146,11.003,10.399,10.063,10.62,11.126,10.706,10.993,11.266,11.433,12.087,11.724
88,M,True,17.739,17.386,17.542,17.348,17.08,16.82,17.205,17.099,17.272,17.214,16.993,17.037,17.151,17.198,16.791,17.027,16.968,17.31,17.196,17.311,17.537,17.632,18.758,19.012,18.463,18.49,19.999,19.356,19.044,19.045
89,M,True,40.957,40.676,40.377,40.695,40.498,41.187,40.288,40.442,39.796,39.85,40.575,40.242,40.42,40.768,40.593,40.195,40.003,40.01,39.38,39.593,39.986,39.895,40.058,40.841,41.134,40.824,40.337,40.448,40.086,40.107
90,M,False,37.378,37.541,37.14,37.674,37.655,38.16,38.438,37.787,38.296,37.071,37.846,38.148,37.632,37.459,38.065,38.016,38.627,39.108,38.55,38.777,38.821,38.526,38.748,38.69,38.473,37.955,37.797,38.799,38.689,38.66
91,M,False,20.504,20.932,20.995,21.016,20.364,20.224,20.474,19.708,19.662,19.796,20.092,19.444,20.114,20.311,20.226,20.19,20.361,20.009,20.235,20.376,20.31,20.82,20.671,21.053,20.606,21.019,22.035,22.242,22.565,22.013
92,M,True,38.473,37.955,37.797,38.799,38.689,38.66,39.305,40.22,38.758,40.652,39.968,40.284,39.735,41.079,39.747,40.485,40.319,41.335,42.259,41.286,41.252,40.594,40.482,41.035,41.089,40.495,40.603,40.223,41.107,40.512
93,M,False,38.799,38.689,38.66,39.305,40.22,38.758,40.652,39.968,40.284,39.735,41.079,39.747,40.485,40.319,41.335,42.259,41.286,41.252,40.594,40.482,41.035,41.089,40.495,40.603,40.223,41.107,40.512,40.567,40.751,40.948
94,M,False,40.652,39.968,40.284,39.735,41.079,39.747,40.485,40.319,41.335,42.259,41.286,41.252,40.594,40.482,41.035,41.089,40.495,40.603,40.223,41.107,40.512,40.567,40.751,40.948,40.533,41.706,41.115,40.584,41.857,42.294
95,M,False,40.485,40.319,41.335,42.259,41.286,41.252,40.594,40.482,41.035,41.089,40.495,40.603,40.223,41.107,40.512,40.567,40.751,40.948,40.533,41.706,41.115,40.584,41.857,42.294,41.997,41.827,41.366,41.301,41.603,41.421
96,M,True,46.38,46.783,47.414,46.131,46.488,46.506,47.5,46.685,45.398,45.953,46.148,46.148,45.736,45.658,45.292,45.188,45.858,45.905,46.605,46.183,46.45,46.03,46.137,46.503,47.314,46.877,47.385,47.377,46.765,46.707
97,M,False,23.885,23.09,23.033,24.564,22.876,22.923,24.712,25.336,25.484,27.047,28.469,27.705,28.521,28.365,27.971,28.183,27.793,28.718,29.074,30.265,29.932,29.89,30.315,29.924,29.464,29.988,30.313,30.362,29.662,30.248
98,M,False,51.636,52.174,51.95,52.377,52.61,52.423,52.584,52.474,52.476,51.648,51.768,51.237,50.861,51.049,51.159,51.055,51.232,51.212,51.623,51.815,51.583,51.639,51.771,51.972,52.183,52.269,52.59,52.569,52.493,52.658
99,M,False,62.384,62.593,62.681,62.454,62.568,62.448,62.309,62.136,61.685,61.546,61.204,61.119,60.717,60.277,59.949,60.478,60.536,60.995,61.051,61.404,62.074,62.397,62.758,62.786,62.819,62.695,62.515,62.514,62.155,62.596
100,M,True,51.554,52.168,52.255,52.366,51.579,51.591,50.626,49.741,49.06,49.089,49.692,49.161,48.921,49.014,48.717,48.73,48.794,49.131,48.384,49.584,50.999,50.201,50.632,49.578,50.085,49.361,49.586,49.502,50.023,50.766
101,M,True,54.687,53.683,54.744,56.382,55.511,55.774,56.343,56.657,56.976,57.004,57.81,57.989,58.282,57.316,57.55,57.256,58.153,57.393,57.483,57.8,57.583,57.371,57.233,58.141,58.012,58.005,59.201,58.955,58.095,58.503
102,M,False,40.447,40.675,41.29,40.842,40.785,39.901,39.301,38.88,38.606,39.312,38.743,39.508,39.802,39.628,39.588,40.202,39.513,39.868,40.236,40.274,40.407,40.066,40.494,40.568,40.163,40.856,40.078,40.595,40.086,39.675
103,M,False,18.132,18.294,18.142,17.991,18.209,18.141,17.897,18.112,18.264,18.229,18.423,18.543,18.497,18.731,18.821,19.197,18.779,18.723,18.462,18.329,18.371,18.115,17.832,17.743,17.561,17.328,16.975,17.207,17.487,17.061
104,M,False,20.053,20.142,19.907,19.791,19.727,19.947,20.02,19.902,20.039,20.271,20.2,20.638,20.529,20.642,20.819,21.018,21.097,21.017,21.216,21.556,21.709,21.982,22.202,22.628,22.456,22.708,22.786,22.655,22.563,22.877
105,M,True,51.965,51.177,51.504,50.197,49.99,48.929,49.695,48.532,49.131,48.924,48.931,48.171,48.53,48.4,48.447,48.665,49.954,48.649,48.43,47.74,49.284,48.682,47.706,48.737,49.628,48.739,49.845,50.462,49.406,49.488
