,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5,MEANPOT_6,MEANPOT_7,MEANPOT_8,MEANPOT_9,MEANPOT_10,MEANPOT_11,MEANPOT_12,MEANPOT_13,MEANPOT_14,MEANPOT_15,MEANPOT_16,MEANPOT_17,MEANPOT_18,MEANPOT_19,MEANPOT_20,MEANPOT_21,MEANPOT_22,MEANPOT_23,MEANPOT_24,MEANPOT_25,MEANPOT_26,MEANPOT_27,MEANPOT_28,MEANPOT_29,MEANPOT_30
958,B,False,1795.4,1803.3,1865.5,1902.6,1878.1,1864.8,1913.3,1905.1,1898.8,1903.8,1920.1,1902.7,1923.2,1920.7,1932.9,1923.0,1980.0,1959.2,1935.0,1893.6,1912.7,1926.2,1923.4,1891.9,1865.9,1874.2,1846.9,1875.8,1840.4,1870.4
959,B,False,3810.9,3705.8,3941.4,3792.7,3683.2,3831.4,3761.6,3869.9,3707.1,3763.9,3823.8,3853.0,3947.5,4010.2,3866.7,3890.7,4091.6,4151.8,4175.6,4339.3,4332.7,4392.8,4494.9,4502.8,4592.7,4379.5,4342.5,4180.1,3874.1,4084.3
960,B,False,2776.4,2714.2,2723.4,2684.3,2724.3,2665.9,2687.6,2654.5,2641.3,2635.6,2629.4,2658.7,2701.9,2731.6,2698.0,2733.6,2737.8,2716.1,2741.2,2770.1,2760.4,2826.3,2862.1,2877.0,2867.5,2888.3,2848.5,2825.1,2765.9,2648.2
961,B,False,7259.4,7363.6,7734.3,7666.8,7495.3,7484.7,7345.4,7402.5,7310.8,7638.0,6907.4,7087.2,7164.6,7281.0,7439.5,7431.2,7476.0,7603.7,7467.0,7075.1,7060.1,6938.0,6839.5,7034.8,6889.6,7041.3,7310.0,7388.7,7361.6,7433.7
962,B,False,4407.0,4341.1,4372.7,4347.8,4217.2,4165.7,4148.5,4091.8,3996.7,3939.4,3907.9,3913.8,3905.3,3966.3,3904.5,3884.5,3959.6,4041.1,4083.4,4042.2,4004.3,4186.0,4213.2,4187.0,4224.6,4202.9,4338.9,4284.5,4312.0,4262.0
963,B,False,3251.1,3215.0,3177.5,3233.1,3168.9,3142.3,3132.4,3095.6,3096.0,3071.8,3108.8,3047.5,2950.9,2922.7,2900.9,2941.8,2918.8,2933.9,2976.7,3003.6,2956.0,2960.7,2955.7,2961.1,2958.0,2973.4,3024.9,3039.9,3080.7,3091.1
964,B,False,2735.2,2586.5,2511.6,2856.8,2902.1,2767.7,2798.5,2680.1,2629.4,2672.3,2617.6,2691.0,2628.0,2692.1,2626.6,2754.0,2793.1,2761.6,2936.9,2575.2,2691.2,2870.4,2696.1,2715.7,2677.7,2697.4,2808.5,2619.0,2662.8,2639.3
965,B,False,3404.5,3434.2,3334.0,3274.4,3224.2,3321.2,3147.0,3053.6,3045.1,3003.3,2955.1,2946.7,2904.4,2964.6,3050.6,3184.1,3409.4,3523.2,3680.4,3740.4,3745.8,3771.8,3769.0,3654.9,3613.1,3515.4,3432.3,3316.9,3302.0,3173.1
966,B,False,3149.4,3172.6,3236.3,3231.2,3243.1,3200.9,3309.3,3310.6,3279.1,3251.1,3215.0,3177.5,3233.1,3168.9,3142.3,3132.4,3095.6,3096.0,3071.8,3108.8,3047.5,2950.9,2922.7,2900.9,2941.8,2918.8,2933.9,2976.7,3003.6,2956.0
967,B,True,1888.4,1906.4,1933.6,1971.0,2012.9,2026.1,2026.8,2094.6,2143.8,2162.8,2162.1,2157.3,2168.4,2198.1,2200.1,2225.8,2193.8,2181.1,2177.8,2242.3,2272.6,2259.7,2279.3,2270.8,2318.3,2343.7,2396.7,2301.2,2331.6,2279.8
