,total,singular,multiple,singular_all,singular_coincident,singular_noncoincident,multiple_all,multiple_coincident,multiple_noncoincident
B,69,55,14,55,9,46,14,0,14
N,214,135,79,135,0,135,79,0,79
M,206,111,95,111,70,41,95,41,54
X,15,11,4,11,10,1,4,3,1
