,FLARE_TYPE,COINCIDENCE,TOTPOT_1,TOTPOT_2,TOTPOT_3,TOTPOT_4,TOTPOT_5,TOTPOT_6,TOTPOT_7,TOTPOT_8,TOTPOT_9,TOTPOT_10
0,X,False,7.0148e+23,7.0773e+23,7.1436e+23,7.1369e+23,7.1821e+23,7.2632e+23,7.32e+23,7.3284e+23,7.3888e+23,7.4218e+23
1,X,False,9.6413e+23,9.6309e+23,9.5874e+23,9.5569e+23,9.5794e+23,9.5562e+23,9.473e+23,9.5436e+23,9.5431e+23,9.5211e+23
2,X,False,7.2083e+23,7.2274e+23,7.2759e+23,7.2767e+23,7.2356e+23,7.2246e+23,7.2238e+23,7.1335e+23,7.121e+23,7.0973e+23
3,X,False,3.5987e+23,3.595e+23,3.6178e+23,3.6103e+23,3.6058e+23,3.5924e+23,3.5996e+23,3.6173e+23,3.6217e+23,3.6227e+23
4,X,True,3.3849e+23,3.3675e+23,3.3549e+23,3.3389e+23,3.3429e+23,3.3655e+23,3.3743e+23,3.3759e+23,3.3755e+23,3.3792e+23
5,X,False,1.9313e+24,1.9233e+24,1.9763e+24,1.9338e+24,1.991e+24,1.9804e+24,1.9756e+24,1.9737e+24,1.9766e+24,1.9772e+24
6,X,False,3.8239e+23,3.793e+23,3.8346e+23,3.8326e+23,3.7628e+23,3.7838e+23,3.7518e+23,3.7504e+23,3.7903e+23,3.706e+23
7,X,True,9.1636e+23,9.2421e+23,9.3543e+23,9.1867e+23,9.2129e+23,9.1937e+23,9.0046e+23,9.0558e+23,8.8812e+23,8.8674e+23
8,X,False,1.5854e+24,1.5896e+24,1.6047e+24,1.611e+24,1.6061e+24,1.6094e+24,1.6094e+24,1.5924e+24,1.6102e+24,1.601e+24
9,X,False,1.6094e+24,1.6094e+24,1.5924e+24,1.6102e+24,1.601e+24,1.6131e+24,1.6135e+24,1.6212e+24,1.6172e+24,1.6209e+24
10,X,False,1.4684e+24,1.476e+24,1.475e+24,1.4804e+24,1.4797e+24,1.4695e+24,1.4731e+24,1.4781e+24,1.4924e+24,1.4823e+24
11,X,False,2.2752e+24,2.2737e+24,2.2776e+24,2.2806e+24,2.2771e+24,2.2789e+24,2.2796e+24,2.2843e+24,2.2805e+24,2.2782e+24
12,X,False,4.735e+23,4.6397e+23,4.8446e+23,4.6443e+23,4.8654e+23,4.8888e+23,4.5907e+23,4.8956e+23,4.7374e+23,4.6631e+23
13,X,True,5.6494e+22,5.5318e+22,6.0913e+22,6.3692e+22,6.5919e+22,6.7804e+22,7.4482e+22,6.9554e+22,7.1193e+22,7.2196e+22
14,X,True,1.0194e+24,1.0184e+24,1.035e+24,1.0384e+24,1.0426e+24,1.0377e+24,1.0391e+24,1.0492e+24,1.0499e+24,1.0428e+24
15,X,False,1.6288e+24,1.6376e+24,1.6233e+24,1.6365e+24,1.6215e+24,1.6341e+24,1.6149e+24,1.6273e+24,1.6085e+24,1.6231e+24
16,X,False,1.4556e+24,1.4684e+24,1.4646e+24,1.4728e+24,1.4514e+24,1.4518e+24,1.4649e+24,1.4611e+24,1.4831e+24,1.4825e+24
17,X,False,1.2009e+24,1.2019e+24,1.1992e+24,1.1993e+24,1.1989e+24,1.1963e+24,1.1914e+24,1.1936e+24,1.1916e+24,1.1885e+24
18,X,False,8.465e+23,8.4498e+23,8.4313e+23,8.4568e+23,8.46e+23,8.4639e+23,8.4748e+23,8.485e+23,8.502e+23,8.504e+23
19,X,False,7.1314e+23,7.0766e+23,7.0262e+23,7.2453e+23,7.1888e+23,7.1574e+23,7.1988e+23,7.1841e+23,7.2324e+23,7.121e+23
20,X,False,2.9396e+24,2.949e+24,2.9556e+24,2.9583e+24,2.9745e+24,2.9907e+24,2.9966e+24,3.0068e+24,3.0143e+24,3.0116e+24
21,X,False,4.8227e+21,4.9845e+21,4.9578e+21,5.3309e+21,6.0864e+21,6.3988e+21,6.6792e+21,6.7159e+21,6.7551e+21,6.965e+21
22,X,False,2.9392e+23,2.9229e+23,2.8638e+23,2.8466e+23,2.6829e+23,2.6319e+23,2.5966e+23,2.6581e+23,2.6179e+23,2.5375e+23
23,X,False,3.0255e+23,2.9729e+23,2.9565e+23,3.0571e+23,3.0866e+23,3.0617e+23,3.1143e+23,3.1711e+23,3.1833e+23,3.1791e+23
24,X,False,2.8858e+24,3.0006e+24,2.8833e+24,3.0383e+24,2.8811e+24,2.8755e+24,2.8899e+24,2.9044e+24,3.0977e+24,3.1308e+24
25,X,True,4.3574e+24,4.3655e+24,4.3833e+24,4.3833e+24,4.4025e+24,4.4154e+24,4.4449e+24,4.4745e+24,4.4837e+24,4.4935e+24
26,X,True,5.2649e+24,5.2707e+24,5.2764e+24,5.2689e+24,5.2771e+24,5.2723e+24,5.2775e+24,5.2826e+24,5.2753e+24,5.2715e+24
27,X,True,5.1828e+24,5.1762e+24,5.1619e+24,5.1594e+24,5.1495e+24,5.1492e+24,5.1442e+24,5.1483e+24,5.1409e+24,5.1368e+24
28,X,True,4.9624e+24,4.9571e+24,4.9609e+24,4.954e+24,4.9541e+24,4.9498e+24,4.9593e+24,4.9587e+24,4.9607e+24,4.973e+24
29,X,False,6.3181e+23,6.2278e+23,6.2518e+23,6.2533e+23,6.2294e+23,6.2071e+23,6.2181e+23,6.1668e+23,6.1523e+23,6.1558e+23
