,FLARE_TYPE,COINCIDENCE,MEANJZH_1,MEANJZH_2,MEANJZH_3,MEANJZH_4,MEANJZH_5,MEANJZH_6,MEANJZH_7,MEANJZH_8,MEANJZH_9,MEANJZH_10
1168,B,False,0.0097374,0.010269,0.0095328,0.0092362,0.008912,0.009072,0.0091621,0.0082556,0.0084978,0.0083373
1169,B,False,0.0067324,0.0071364,0.0079825,0.0059917,0.0060076,0.0069597,0.0047376,0.0055072,0.0043356,0.0036088
1170,B,False,0.0038548,0.003594,0.0034924,0.0031928,0.0034756,0.0033331,0.0035625,0.002926,0.0029103,0.0031855
1171,B,True,0.007487,0.0067736,0.0075197,0.0084232,0.0079351,0.0080893,0.0088391,0.0083377,0.00811,0.0085458
1172,B,False,0.001796,0.0012467,0.0014423,0.0022947,0.0011844,0.0017468,0.0013295,0.0010527,0.00056872,0.0013766
1173,B,False,0.021442,0.021745,0.021128,0.021033,0.021823,0.020682,0.020631,0.020361,0.021744,0.021579
1174,B,True,0.00075543,0.00049332,0.00078417,0.00081092,0.00099935,0.00099736,0.00093256,0.00069335,0.00074183,0.00089209
1175,B,False,-0.0017774,-0.0015898,-0.0014119,-0.0015204,-0.00080494,-0.00085745,-0.00062817,-0.00068202,-0.0011643,-0.0005426
1176,B,False,-0.0025121,-0.0021859,-0.0023998,-0.0024561,-0.0030517,-0.00283,-0.0030649,-0.0030943,-0.0036289,-0.0033
1177,B,False,0.0038856,0.0049925,0.0048207,0.0048413,0.0052315,0.0049623,0.0049851,0.005131,0.0050833,0.0045805
1178,B,False,-0.012793,-0.011991,-0.012409,-0.01039,-0.011205,-0.011549,-0.011987,-0.011891,-0.012013,-0.011241
1179,B,False,-0.00092115,-0.0011358,-0.0012028,-0.00047078,-0.00044185,-0.00016734,0.00032143,0.00079541,0.00089191,-0.00098209
1180,B,False,-0.011711,-0.012107,-0.011865,-0.01188,-0.010011,-0.011425,-0.011376,-0.011958,-0.011535,-0.012652
1181,B,True,-0.0023851,-0.0016607,-0.0026231,-0.002267,-0.0029025,-0.0032601,-0.0026606,-0.0026603,-0.003525,-0.003216
1182,B,True,0.0045057,0.0031321,0.004224,0.0040064,0.0048692,0.0078264,0.0060002,0.0060426,0.0058825,0.0043776
1183,B,True,0.0033687,0.0042874,0.004485,0.005533,0.0054293,0.0047688,0.0058331,0.0053804,0.0055529,0.0046049
