,FLARE_TYPE,COINCIDENCE,MEANJZD_1,MEANJZD_2,MEANJZD_3,MEANJZD_4,MEANJZD_5,MEANJZD_6,MEANJZD_7,MEANJZD_8,MEANJZD_9,MEANJZD_10
1424,B,False,0.39074,0.31834,0.36944,0.41522,0.30955,0.44079,0.52319,0.41592,0.53025,0.60508
1425,B,False,0.16378,0.16634,0.19414,0.20366,0.19392,0.20997,0.12287,0.19779,0.19289,0.22303
1426,B,False,0.00094521,-0.065519,-0.012444,0.039168,-0.068307,0.066857,-0.014424,-0.034302,0.056214,0.019509
1427,B,False,0.80958,0.96081,0.86963,0.71429,0.85289,0.80213,0.79583,0.80619,0.91903,0.45014
1428,B,False,-0.044354,-0.070788,0.10426,-0.0021635,-0.057845,-0.018212,-0.12474,0.0016028,0.015745,-0.060519
1429,B,False,0.46912,0.45964,0.49098,0.49368,0.47362,0.53589,0.55735,0.57219,0.52231,0.56274
1430,B,False,-0.0021635,-0.057845,-0.018212,-0.12474,0.0016028,0.015745,-0.060519,-0.063149,-0.056484,-0.17601
1431,B,False,0.18855,0.39809,0.23881,0.38292,0.42804,0.10829,0.1702,0.1436,0.15686,0.24079
1432,B,False,-0.21777,-0.18792,-0.11343,-0.13341,-0.21233,-0.14498,-0.18646,-0.17453,-0.0874,-0.067774
1433,B,False,-0.23361,-0.1661,-0.25007,-0.26957,-0.029028,-0.13394,-0.3054,-0.057783,-0.124,-0.16421
1434,B,False,-0.1272,-0.24418,-0.045722,-0.221,-0.06494,0.10385,0.014248,-0.20125,-0.099697,-0.39602
1435,B,False,-0.60826,-0.19553,-0.39415,-0.91527,-1.0281,-0.60327,-0.41196,-0.71668,-0.99081,-0.65268
1436,B,False,-0.01215,-0.081882,-0.12408,-0.07514,-0.036307,-0.067687,-0.094064,-0.062668,-0.12884,-0.13693
1437,B,False,0.06177,0.1487,0.041722,-0.084399,-0.063366,-0.12073,-0.029852,-0.0033473,0.02858,-0.014324
1438,B,False,-0.016956,-0.1552,-0.049288,-0.035558,-0.1268,-0.0077869,-0.14713,-0.2943,-0.31588,-0.030465
1439,B,False,1.21,2.1593,1.6079,0.95671,0.76616,1.0967,0.56501,0.64812,0.59997,0.60203
1440,B,False,0.036417,0.0030171,0.11954,-0.1277,-0.14066,-0.019249,-0.025774,-0.059817,-0.14163,-0.14361
1441,B,False,0.27326,0.23265,0.19313,0.22127,0.2568,0.30048,0.33121,0.23272,0.17592,0.26763
1442,B,False,-0.091266,-0.067998,-0.093217,-0.067344,-0.096239,-0.026026,-0.039358,-0.018568,0.0012619,-0.070384
1443,B,False,-0.19238,-0.27612,-0.18711,-0.15242,-0.17741,-0.12954,-0.17351,-0.2199,-0.20015,-0.16433
1444,B,False,-0.32503,-0.28124,-0.20898,-0.26744,-0.24164,-0.24845,-0.2504,-0.25786,-0.17098,-0.20711
1445,B,True,0.41793,0.25061,0.35503,0.32174,0.2331,0.33677,0.35923,0.37366,0.5542,0.34114
1446,B,False,0.28567,0.22414,0.35532,0.32175,0.25344,0.29697,0.26165,0.51715,0.21021,0.31365
1447,B,False,-0.069511,0.46256,-0.054196,-0.094178,-0.14874,-0.1353,-0.26971,-0.088828,-0.14871,-0.15048
1448,B,True,-0.33057,-0.11084,-0.076633,0.037373,0.012323,-0.22612,-0.21562,-0.1332,-0.22691,-0.15656
1449,B,False,0.23404,0.11077,0.0016065,-0.04222,0.036019,-0.23162,-0.10715,-0.036194,-0.15534,-0.043381
1450,B,False,-0.18467,-0.04374,0.059486,0.10619,0.25068,0.28891,0.33364,0.21159,0.20388,0.28992
1451,B,False,0.19199,-0.062292,-0.010706,0.11862,0.3037,0.15293,0.084972,0.23155,0.14164,-0.044773
1452,B,True,0.13119,0.22641,0.37961,0.25183,0.37142,0.34538,0.16681,0.041455,0.059423,-0.074814
1453,B,False,-0.72793,-0.63478,-0.71422,-0.80184,-0.38992,0.057478,0.33655,0.28768,0.31579,0.8807
1454,B,False,0.13395,0.035793,0.13264,0.18285,0.19927,0.264,0.22947,0.25659,0.28812,0.20398
1455,B,False,0.053374,0.1241,-0.12617,-0.057838,-0.15027,0.0090298,-0.039488,-0.15642,-0.26377,-0.096327
1456,B,False,0.25853,0.17612,0.048986,-0.085338,0.10551,0.020654,0.07752,0.16556,0.25483,0.26925
1457,B,False,0.31149,0.27467,0.30944,0.40113,0.21821,0.32624,0.30431,0.3053,0.33697,0.2471
1458,B,False,0.18559,0.27732,0.22413,0.15844,0.15829,0.15558,0.24947,0.20842,0.22158,0.25181
1459,B,True,1.463,1.2116,1.2146,1.3932,1.0792,1.0235,1.2929,1.016,1.0803,0.75275
1460,B,False,0.26724,0.51114,0.32577,0.46269,0.15739,0.25265,0.18767,0.22505,0.36851,0.16981
1461,B,False,0.058025,0.042061,0.047263,0.027863,0.016444,-0.029253,0.049115,0.074989,0.073967,0.11494
1462,B,False,0.41473,0.35423,0.35614,0.33237,0.32321,-0.080723,0.4679,-0.043296,0.14309,-0.0066598
1463,B,False,0.0034824,0.041972,0.0074215,0.060343,0.048719,0.053912,0.063626,0.01983,0.056168,0.082137
1464,B,False,0.20494,0.12628,0.18044,0.1726,0.45112,1.0678,1.2356,0.98922,1.4772,1.3484
1465,B,False,-0.26067,-0.70596,-0.64053,-1.2801,-0.98878,-1.3774,-1.3639,-1.3024,-1.6197,-1.3806
1466,B,True,-0.1019,-0.054761,0.0068102,-0.082214,-0.13594,-0.11136,-0.13638,-0.15393,-0.13002,-0.31416
1467,B,False,-0.25005,-0.25601,-0.24153,-0.29358,-0.33059,-0.34422,-0.42892,-0.45086,-0.51479,-0.46972
1468,B,False,-0.069388,-0.24704,-0.21488,-0.15142,-0.28785,-0.26549,-0.21612,-0.19811,-0.3036,-0.32195
1469,B,False,0.34195,0.22811,0.45119,0.36536,0.2492,0.20637,0.28343,0.28913,0.19547,0.17405
1470,B,False,0.25371,0.17683,0.20581,0.071535,0.096668,-0.025097,-0.23151,-0.35084,-0.19861,-0.44213
1471,B,False,0.071622,0.013406,0.24417,0.038031,0.016157,0.12388,-0.020698,0.073273,0.075344,0.1703
