,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5,slf_6,slf_7,slf_8,slf_9,slf_10
81,M,False,10.012,10.087,10.09,10.144,10.291,10.325,10.275,10.482,10.403,10.37
82,M,True,5.7594,5.7868,5.7414,5.7667,5.8638,5.9869,6.0734,5.9143,5.9567,5.8201
83,M,True,7.786,7.7585,7.7883,7.835,7.9131,7.9536,7.8063,7.9366,7.9547,7.8969
84,M,False,7.5436,7.5547,7.3891,7.418,7.4909,7.4441,7.4321,7.3996,7.4212,7.4845
85,M,True,9.1894,9.2375,9.4031,9.3245,9.2291,9.1114,9.1605,9.1785,9.2493,9.3081
86,M,False,10.381,10.444,10.398,10.322,10.356,10.37,10.435,10.338,10.411,10.436
87,M,True,13.159,13.266,13.477,13.568,13.467,13.633,13.742,13.756,13.773,13.663
88,M,False,15.685,15.696,15.736,15.771,15.739,15.931,15.845,15.741,15.82,15.983
89,M,True,28.267,28.095,28.298,28.505,29.082,28.659,28.228,29.371,30.185,29.596
90,M,False,29.059,28.996,29.229,29.246,28.934,28.891,29.069,29.433,29.213,29.626
91,M,False,30.744,30.574,30.351,30.462,30.705,30.963,30.762,30.791,30.877,31.214
92,M,True,9.7386,9.8354,9.724,9.5174,9.7205,9.9127,9.8721,9.9216,10.387,10.613
93,M,True,3.8018,3.801,3.7647,4.192,4.3946,3.8529,4.2407,3.8498,3.8393,4.4287
94,M,False,5.6424,5.4722,6.1612,6.5162,6.0014,5.8006,5.4272,5.7873,6.3193,6.1763
95,M,True,6.3688,6.2362,6.8847,7.4715,7.5741,7.9131,7.368,6.5342,6.8649,6.7937
96,M,False,7.1292,7.3991,7.3827,7.5906,7.4904,7.3719,7.3532,7.5667,7.7327,7.5703
97,M,False,28.386,28.736,28.284,28.496,28.346,27.793,28.498,28.144,28.936,28.604
98,M,True,10.411,10.316,10.259,10.251,10.499,10.058,10.045,10.112,9.9044,10.145
99,M,True,14.039,13.777,14.111,14.172,14.115,14.297,14.365,14.461,14.524,14.8
100,M,True,12.541,12.744,13.599,12.662,13.701,13.247,13.205,12.98,12.316,13.262
101,M,False,13.183,13.234,13.045,13.15,13.275,13.239,13.099,12.942,12.838,12.625
102,M,False,12.175,12.549,12.555,12.744,13.233,13.007,13.196,12.976,13.667,13.863
103,M,True,11.422,11.236,11.241,11.192,11.043,10.991,10.934,11.064,10.951,10.878
104,M,False,11.192,11.043,10.991,10.934,11.064,10.951,10.878,10.764,10.758,10.571
105,M,False,10.878,10.764,10.758,10.571,10.597,10.503,10.491,10.613,10.571,10.55
106,M,False,10.491,10.613,10.571,10.55,10.362,10.38,10.306,10.319,10.534,10.48
107,M,False,10.195,10.118,10.079,10.206,10.25,10.252,10.335,10.203,10.156,10.144
108,M,True,9.9501,9.8424,9.7812,9.6957,9.5757,9.5201,9.4551,9.3582,9.3731,9.2963
109,M,False,0.0,0.0,0.0,0.0,36.499,0.0,0.0,0.0,0.0,0.0
110,M,False,9.1731,9.1087,9.1185,9.1545,9.0935,9.0093,9.1338,9.046,9.0003,8.954
111,M,False,10.523,10.481,10.332,10.458,10.493,10.476,10.48,10.51,10.387,10.383
112,M,True,8.9996,10.453,10.577,10.676,9.6628,9.6559,10.905,11.137,11.232,11.335
113,M,True,3.92,4.926,6.3952,5.173,5.8129,5.0275,5.5183,4.9976,5.6907,3.632
114,M,False,5.7101,5.4487,5.5984,5.3577,5.4731,5.2934,4.9779,5.0977,5.1964,5.2918
115,M,False,8.8405,8.8088,8.7186,8.7024,8.8822,8.876,8.7939,8.8775,9.0092,8.9864
116,M,False,27.339,27.735,27.667,28.819,28.355,28.66,29.065,28.304,28.093,27.179
117,M,False,29.435,29.331,29.947,28.818,28.767,30.015,30.129,30.981,31.209,29.964
