,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5,MEANPOT_6,MEANPOT_7,MEANPOT_8,MEANPOT_9,MEANPOT_10
2047,N,False,9510.7,9599.8,9472.8,9196.9,9472.4,9510.2,9345.9,9255.7,9256.7,9290.4
2048,N,False,1692.4,1681.7,1578.8,1658.3,1556.7,1625.3,1663.9,1641.4,1606.1,1621.2
2049,N,False,1977.0,2015.8,1970.7,1875.4,1899.4,1876.2,1864.9,1857.1,1875.2,1913.4
2050,N,False,8059.5,8055.8,8068.6,7990.3,7998.1,7968.4,8015.6,8037.5,8020.3,8026.8
2051,N,False,2527.4,2565.7,2433.6,2436.3,2405.5,2440.0,2464.7,2467.6,2380.1,2319.3
2052,N,False,1765.2,1777.0,1754.9,1834.8,1838.8,1755.7,1790.9,1787.6,1854.3,1802.5
2053,N,False,3259.3,3269.3,3193.0,3044.0,3043.2,2978.2,3055.3,2966.0,3087.8,3074.6
2054,N,False,2109.1,2152.4,2054.3,2046.0,2045.8,2084.3,2007.2,1935.1,1950.7,2007.1
2055,N,False,1458.1,1537.5,1516.9,1497.2,1502.4,1609.4,1535.6,1577.3,1594.8,1496.8
2056,N,False,3369.5,3383.0,3312.9,3285.0,3259.9,3092.8,3122.7,3088.0,3089.9,3125.8
2057,N,False,1666.3,1655.7,1636.8,1630.3,1614.5,1635.5,1610.7,1622.1,1604.1,1585.5
2058,N,False,1679.4,1695.2,1698.6,1692.4,1377.4,1686.9,1676.7,1690.0,1677.6,1684.1
2059,N,False,1151.3,1190.9,1106.4,1080.1,1186.1,1226.2,1324.4,1238.4,1405.7,1467.4
2060,N,False,7379.1,7425.4,7366.6,7285.8,7347.6,7388.9,7335.8,7385.5,7525.7,7647.2
2061,N,False,1532.3,1460.1,1438.7,1429.1,1365.3,1340.6,1261.3,1334.4,1376.2,1395.3
2062,N,False,6827.8,6715.1,6698.7,6606.1,6593.7,6551.6,6586.2,6652.4,6696.6,6732.7
2063,N,False,2983.5,3056.5,3087.2,3084.2,3034.5,3033.2,2922.1,2898.0,2851.5,2877.8
2064,N,False,1939.8,1927.9,1908.7,1875.2,1855.6,1920.6,1884.5,1929.9,1954.5,1985.3
2065,N,False,5569.1,5616.8,5633.5,5736.9,6025.0,6080.6,6019.1,5803.4,6077.7,5995.3
2066,N,False,5996.1,5921.9,5969.9,6013.4,6009.4,6062.6,6101.5,6202.5,6239.4,6210.2
2067,N,False,2696.4,2622.1,2646.2,2627.6,2589.5,2564.3,2527.6,2501.4,2531.5,2533.6
2068,N,False,2405.6,2457.3,2493.9,2618.0,2464.6,2621.7,2508.0,2704.9,2719.0,2485.6
2069,N,False,9362.5,9385.8,9412.9,9216.2,9186.5,8883.4,8565.2,8554.1,8606.6,8658.9
2070,N,False,4344.0,4566.9,4540.5,4446.6,4320.4,4405.2,4578.6,4576.1,4631.1,4736.9
2071,N,False,3206.5,3035.1,2943.8,2867.9,2930.5,3095.6,3041.4,2933.2,3095.4,2925.5
2072,N,False,5474.6,5663.5,5585.8,5614.0,5820.4,5921.0,5778.3,5694.4,5815.3,5772.3
2073,N,False,1640.8,1637.0,1649.9,1688.5,1723.4,1751.2,1793.1,1836.2,1922.3,1960.2
2074,N,False,3483.9,3634.8,3574.5,3507.7,3661.6,3514.8,3489.6,3526.6,3436.0,3524.8
2075,N,False,3564.4,3605.3,3660.8,3763.6,4053.7,4052.7,4172.2,4252.0,4430.0,4382.4
2076,N,False,1600.5,1594.4,1562.6,1542.1,1570.1,1593.3,1647.7,1654.3,1634.0,1628.6
2077,N,False,2653.9,2633.8,2699.1,2607.6,2495.2,2702.5,2569.9,2502.2,2445.2,2425.0
2078,N,False,1683.2,1762.5,1738.7,1811.9,1778.1,1851.4,1879.6,1945.7,1965.6,1894.1
2079,N,False,2684.3,2793.5,2848.3,2874.2,2852.3,2837.6,2897.0,3024.2,2855.6,2876.6
2080,N,False,3131.0,3137.2,3066.1,3143.9,3185.4,3120.4,2965.9,2940.4,2846.2,2835.5
2081,N,False,8091.0,8114.3,8050.8,8017.7,8016.5,8042.3,7988.8,7998.5,8075.5,8067.8
2082,N,False,2747.3,2658.7,2713.8,2709.7,2783.7,2782.4,2803.9,2820.7,2806.8,2811.0
2083,N,False,12703.0,12899.0,12978.0,13048.0,13178.0,13264.0,13528.0,13151.0,12932.0,13359.0
2084,N,False,3599.7,3581.8,3481.5,3422.4,3388.4,3354.2,3265.3,3237.8,3192.8,3296.2
2085,N,False,4371.4,4485.2,4295.0,4518.7,4505.8,4365.3,4341.5,4435.8,4345.1,4361.9
2086,N,False,12723.0,12694.0,12755.0,12834.0,12703.0,12761.0,12869.0,12858.0,12863.0,12786.0
2087,N,False,2479.4,2454.5,2510.9,2447.3,2443.2,2411.4,2388.2,2378.5,2443.5,2391.0
2088,N,False,2435.7,2479.6,2499.5,2435.8,2467.5,2580.8,2445.2,2465.4,2471.7,2538.3
2089,N,False,1877.7,1813.0,1782.3,1754.6,1767.2,1793.2,1853.4,1768.2,1710.4,1718.1
2090,N,False,5577.6,5637.0,5659.2,5517.8,5415.0,5363.3,5422.9,5481.7,5508.2,5841.7
2091,N,False,3728.3,3523.4,3386.0,3339.1,3277.3,3213.7,3162.1,3034.1,3003.9,3117.0
2092,N,False,2344.2,2372.1,2508.7,2501.3,2560.7,2429.0,2395.6,2334.6,2273.8,2225.7
2093,N,False,12079.0,11912.0,11841.0,11657.0,11566.0,11475.0,11416.0,11545.0,11591.0,11866.0
2094,N,False,3526.8,3705.8,3731.7,3643.2,3574.3,3547.6,3438.5,3470.9,3472.9,3614.7
2095,N,False,2445.5,2510.6,2503.9,2497.2,2423.1,2444.0,2535.1,2586.7,2560.2,2624.9
2096,N,False,3534.5,3338.4,3458.3,3554.0,3579.0,3503.0,3479.2,3493.3,3615.6,3637.6
2097,N,False,6104.9,6007.0,6055.9,5983.4,5802.6,5784.4,5765.3,5762.8,5725.8,5753.8
2098,N,False,3389.3,3349.5,3538.1,3241.1,3171.8,3340.2,3304.7,3342.3,3394.4,3345.9
2099,N,False,5577.1,5630.9,5655.4,5626.7,5485.2,5719.9,5693.6,5568.4,5434.3,5583.6
2100,N,False,3443.8,3528.0,3345.8,3344.4,3273.1,3240.1,3216.4,3235.3,3189.0,3184.8
2101,N,False,3706.0,3713.5,3662.7,3613.9,3625.4,3580.6,3578.1,3608.6,3613.7,3521.3
2102,N,False,7283.8,7311.3,7346.9,7357.5,7357.3,7328.0,7309.8,7385.7,7431.3,7460.7
2103,N,False,4541.6,4592.0,4611.9,4701.7,4609.3,4533.5,4304.0,4316.5,4272.6,4374.1
2104,N,False,8794.0,8691.2,8580.2,8475.1,8534.9,8499.1,8477.9,8421.4,8324.8,7991.8
2105,N,False,4044.2,4111.7,4101.4,4160.1,4212.8,4197.3,4219.3,4158.1,4113.3,4063.9
2106,N,False,3426.1,3434.1,3428.2,3480.8,3418.3,3441.2,3237.5,3208.8,3258.2,3194.1
2107,N,False,2378.3,2283.9,2441.1,2553.2,2641.7,2919.5,3088.7,3151.5,3191.2,3316.9
2108,N,False,2294.7,2345.9,2329.9,2287.7,2305.2,2276.5,2286.7,2281.8,2327.9,2363.4
2109,N,False,4883.2,4875.1,4931.1,5451.1,5147.8,5051.9,5205.2,4984.6,5146.2,5116.7
2110,N,False,8934.9,8884.4,8856.5,8864.2,8789.9,8782.6,8677.4,8662.8,8768.9,8725.9
2111,N,False,9990.9,10003.0,10191.0,10207.0,10117.0,10258.0,10151.0,10108.0,10040.0,9794.6
2112,N,False,6478.9,6384.3,6473.0,6394.4,6339.6,6341.9,6351.9,6332.0,6353.7,6398.1
2113,N,False,4021.0,4180.8,4226.0,4214.2,4373.9,4471.6,4535.6,4706.8,4917.4,4888.0
2114,N,False,15296.0,15364.0,15424.0,15465.0,15490.0,15644.0,15737.0,15905.0,16111.0,16349.0
2115,N,False,2308.4,2366.4,2384.4,2367.1,2207.5,2179.7,2314.5,2225.1,2321.3,2486.7
2116,N,False,11762.0,11658.0,11452.0,11635.0,11622.0,11405.0,11615.0,11577.0,11528.0,11563.0
2117,N,False,6915.7,7018.9,7139.7,7219.1,7303.9,7336.5,7481.7,7662.1,7785.8,7931.3
2118,N,False,6663.0,6701.9,6868.3,6844.1,6874.5,6529.1,6386.4,6088.7,6128.9,6186.1
2119,N,False,6000.2,6046.8,6202.2,6087.8,6296.9,6233.6,6241.0,6252.8,6295.8,6350.0
2120,N,False,2046.8,1996.3,1940.2,2028.1,2050.3,2010.1,2031.9,1983.8,2123.3,2066.9
2121,N,False,7216.7,7221.0,7248.5,7201.8,7232.1,7215.0,7164.5,7114.2,7026.8,6928.8
2122,N,False,2427.3,2416.1,2419.3,2317.7,2327.4,2223.1,2289.6,2218.6,2179.2,2102.6
2123,N,False,8859.1,8658.7,8611.7,8545.6,8551.5,8611.8,8674.3,8557.3,8574.9,8727.8
2124,N,False,1553.9,1469.2,1453.9,1456.1,1433.9,1436.5,1379.7,1427.0,1422.3,1409.3
2125,N,False,2588.3,2630.8,2539.6,2749.4,2959.8,3116.9,3146.1,3152.3,2917.5,3025.2
2126,N,False,1867.6,1920.4,1946.1,2011.3,2107.4,2036.5,2066.1,2130.1,2144.4,2194.3
2127,N,False,2606.8,2594.5,2687.9,2618.2,2603.9,2610.6,2672.3,2580.9,2487.0,2471.9
2128,N,False,5345.2,5371.9,5331.1,5225.6,5165.1,5057.5,4935.8,4676.4,4569.1,4607.1
2129,N,False,9057.5,9003.6,8963.1,8866.0,8910.3,8967.6,8927.8,8885.8,8928.1,9093.1
2130,N,False,9363.5,9165.4,9106.1,9057.5,9003.6,8963.1,8866.0,8910.3,8967.6,8927.8
2131,N,False,2499.1,2568.0,2664.7,2772.0,2868.4,3116.6,3143.3,3047.7,2836.5,3006.5
2132,N,False,8346.7,8318.5,8257.2,8102.0,8316.7,8031.0,7886.6,7974.3,7894.1,7829.2
2133,N,False,4082.4,4099.3,4015.0,3935.3,3752.1,3678.4,4135.0,3834.3,3739.2,3909.6
2134,N,False,1696.8,1705.4,1701.0,1699.5,1687.8,1693.4,1696.1,1761.2,1813.2,1803.7
2135,N,False,1613.1,1683.6,1715.5,1805.9,1792.6,1762.2,1779.5,1755.0,1774.1,1756.9
2136,N,False,9503.9,9751.8,10025.0,10174.0,10422.0,10439.0,10516.0,10505.0,10606.0,10540.0
2137,N,False,1855.4,2034.2,2059.0,2186.5,2190.4,2120.7,2150.9,2130.2,2167.4,2163.2
2138,N,False,6747.0,6708.9,6599.2,6450.6,6413.5,6343.1,6182.2,6135.2,6005.8,6083.7
2139,N,False,5468.9,5363.8,5306.5,5339.5,5380.7,5452.6,5480.4,5534.3,5549.3,5582.2
2140,N,False,1833.4,1813.2,1857.0,1830.2,1864.9,1902.6,1897.8,1895.6,1913.2,1941.3
2141,N,False,4180.5,4165.0,4133.8,4194.6,3911.2,3935.9,4000.1,4018.9,4021.8,4053.0
2142,N,False,2458.9,2498.8,2395.6,2365.4,2336.4,2203.7,2216.1,2182.2,2116.8,2103.5
2143,N,False,5472.3,5441.5,5413.4,5422.7,5391.7,5337.5,5282.3,5271.1,5222.5,5230.4
2144,N,False,11255.0,11223.0,11322.0,11301.0,11312.0,11357.0,11441.0,11392.0,11480.0,11613.0
2145,N,False,6629.6,6453.1,6485.9,6454.2,6749.3,6625.5,6736.6,6875.6,7226.5,7292.6
2146,N,False,2535.3,2433.7,2445.0,2359.2,2326.8,2232.6,2219.9,2078.9,2094.3,2145.6
2147,N,False,5037.0,5046.2,5010.2,5018.1,4987.0,5012.8,4926.7,4951.5,4928.6,4927.5
2148,N,False,3413.0,3744.1,3549.6,3574.9,3640.1,3682.5,3783.3,3796.5,3816.5,3773.3
2149,N,False,3100.0,3084.0,3095.5,3072.0,3045.8,2995.1,3017.7,2993.8,2892.0,2860.3
2150,N,False,8603.2,8720.8,8761.2,8942.5,8928.9,9025.4,9087.0,9127.6,9089.3,9043.5
2151,N,False,4601.0,4580.8,4550.6,4546.9,4786.4,4803.2,4668.6,4651.8,4752.3,4687.8
2152,N,False,9070.6,9243.9,9273.9,9354.8,9387.1,9341.9,9414.8,9284.6,9324.9,9360.7
2153,N,False,3141.7,3008.9,2980.5,2903.8,2889.9,2820.8,2817.2,2723.3,2760.2,2725.9
2154,N,False,10022.0,9928.2,9861.7,9945.0,9915.1,9930.4,9897.9,9922.9,9991.6,10135.0
2155,N,False,11184.0,11335.0,11367.0,11338.0,11359.0,11395.0,11253.0,11343.0,11234.0,11062.0
2156,N,False,6800.8,6995.8,6878.9,6902.1,6862.8,7116.5,7179.5,7134.5,6898.4,7074.5
2157,N,False,5838.3,5836.2,5894.7,5821.6,5862.2,5890.1,5908.1,5906.7,5941.3,5941.2
2158,N,False,5055.3,5184.9,5043.4,4956.7,4979.3,4898.1,4948.8,4948.1,4897.2,4916.8
2159,N,False,3205.9,3534.2,3265.2,3472.1,3450.9,3145.1,3439.2,3303.1,3396.3,3537.2
2160,N,False,5184.9,5043.4,4956.7,4979.3,4898.1,4948.8,4948.1,4897.2,4916.8,5007.9
2161,N,False,1407.1,1371.6,1425.6,1270.7,1258.9,1339.5,1227.0,1294.3,1178.0,1175.2
2162,N,False,2670.5,2763.3,2547.8,2555.1,2629.2,2651.6,2616.6,2559.0,2546.2,2410.9
2163,N,False,13059.0,13110.0,13089.0,13239.0,13300.0,13358.0,13389.0,13297.0,13355.0,13409.0
2164,N,False,7033.5,6990.3,7068.0,7141.6,7168.7,7170.8,7265.8,7140.8,7259.7,7284.4
