,FLARE_TYPE,COINCIDENCE,R_VALUE_1,R_VALUE_2,R_VALUE_3,R_VALUE_4,R_VALUE_5,R_VALUE_6,R_VALUE_7,R_VALUE_8,R_VALUE_9,R_VALUE_10
569,M,False,4.8797,4.8572,4.8672,4.887,4.8985,4.9226,4.9116,4.9042,4.8947,4.9139
570,M,False,5.038,5.0001,4.9039,4.9248,4.8726,4.9157,4.9579,5.0297,5.0746,5.0921
571,M,True,4.0945,4.1351,4.1194,4.1834,4.1827,4.2,4.1888,4.2002,4.1643,4.1249
572,M,False,4.2092,4.2533,4.293,4.3236,4.3294,4.3113,4.3328,4.2992,4.2376,4.2689
573,M,True,4.3903,4.2877,4.4302,4.526,4.4374,4.082,3.8717,3.9094,4.3661,4.1484
574,M,False,4.4302,4.526,4.4374,4.082,3.8717,3.9094,4.3661,4.1484,4.2422,3.9907
575,M,False,4.6448,4.6878,4.7025,4.7111,4.7138,4.6896,4.7054,4.6862,4.7259,4.7292
576,M,True,4.4707,4.4872,4.4915,4.5188,4.5207,4.5392,4.532,4.5346,4.56,4.536
577,M,False,4.5234,4.5024,4.5104,4.4876,4.4546,4.4826,4.4764,4.5291,4.5456,4.5036
578,M,False,4.5571,4.5397,4.5753,4.5543,4.4765,4.4982,4.5161,4.5118,4.5256,4.5379
579,M,False,4.2004,4.0829,4.1312,4.1295,4.0722,4.1557,4.1072,4.1621,4.1339,4.1708
580,M,False,4.309,4.3424,4.2949,4.3264,4.3125,4.3723,4.3499,4.3482,4.3374,4.3456
581,M,False,4.6977,4.6803,4.7024,4.7112,4.7138,4.718,4.7043,4.6868,4.7081,4.7104
582,M,False,3.9675,4.0133,4.0235,3.9589,4.0354,4.0245,4.0292,4.046,4.0894,4.0745
583,M,False,4.1102,4.1305,4.027,4.0328,4.0089,4.0887,4.1156,4.1685,4.1552,4.0124
584,M,False,4.5414,4.6175,4.5996,4.615,4.6044,4.5954,4.5879,4.5908,4.5967,4.5787
585,M,True,4.8239,4.8159,4.7884,4.8075,4.7856,4.7992,4.8093,4.8013,4.8234,4.838
586,M,False,4.9078,4.9189,4.9078,4.9067,4.9057,4.9113,4.9175,4.9118,4.8984,4.9189
587,M,False,4.3393,4.3532,4.345,4.345,4.4634,4.3697,4.2763,4.3149,4.3993,4.2941
588,M,True,4.6503,4.6853,4.6765,4.6652,4.6716,4.6215,4.6958,4.7441,4.673,4.7686
589,M,False,4.6716,4.6215,4.6958,4.7441,4.673,4.7686,4.7335,4.7617,4.7472,4.7617
590,M,True,4.5404,4.5397,4.5821,4.5427,4.4558,4.4567,4.4846,4.493,4.5048,4.5336
591,M,False,4.4961,4.4888,4.5228,4.5444,4.4678,4.4713,4.4933,4.494,4.5457,4.5524
592,M,False,4.5228,4.5444,4.4678,4.4713,4.4933,4.494,4.5457,4.5524,4.5673,4.5752
593,M,True,4.5316,4.557,4.5429,4.5559,4.5668,4.5787,4.5728,4.5816,4.5932,4.6411
594,M,False,4.5198,4.5203,4.5419,4.5433,4.5501,4.5571,4.5055,4.5216,4.5092,4.4917
595,M,True,3.2851,3.2291,3.3563,3.3974,3.4248,3.4102,3.1151,3.1371,3.0977,3.365
596,M,False,3.488,3.4039,3.3771,3.4754,3.5003,3.5025,3.492,3.5192,3.4328,3.4647
597,M,True,3.4867,3.4782,3.5089,3.5749,3.4335,3.8265,3.7106,3.7782,3.8392,3.9227
598,M,True,4.2843,4.2488,4.3105,4.3059,4.2698,4.2939,4.3729,4.3213,4.2795,4.2969
599,M,False,4.2626,4.3222,4.3273,4.3113,4.377,4.3588,4.3361,4.3315,4.3293,4.3059
600,M,True,4.4536,4.4556,4.4651,4.4226,4.4861,4.3751,4.4519,4.4712,4.41,4.4735
601,M,False,4.441,4.523,4.4976,4.4646,4.5185,4.4984,4.5091,4.5251,4.4902,4.5252
602,M,False,4.5487,4.5866,4.4696,4.5121,4.5253,4.5233,4.5139,4.5551,4.5956,4.6084
603,M,False,4.8772,4.8687,4.8578,4.9163,4.8787,4.8894,4.8819,4.9158,4.9158,4.8927
604,M,False,4.6404,4.6238,4.6792,4.6988,4.6626,4.6573,4.7057,4.7222,4.7174,4.6413
605,M,False,4.1825,4.2068,4.2761,4.2902,4.2394,4.3226,4.2917,4.257,4.2691,4.3221
606,M,True,4.6439,4.5879,4.5466,4.6229,4.6392,4.6812,4.6705,4.6274,4.6233,4.6314
607,M,True,4.7021,4.7367,4.7216,4.6061,4.6047,4.5801,4.6777,4.7114,4.6797,4.6503
608,M,False,4.6047,4.5801,4.6777,4.7114,4.6797,4.6503,4.7701,4.7978,4.7632,4.752
609,M,False,4.7701,4.7978,4.7632,4.752,4.7674,4.7346,4.8092,4.8411,4.7932,4.8353
610,M,False,4.7632,4.752,4.7674,4.7346,4.8092,4.8411,4.7932,4.8353,4.8147,4.8397
611,M,False,4.8397,4.8878,4.8606,4.8345,4.8866,4.8604,4.8901,4.8786,4.8789,4.9118
612,M,False,4.9259,4.9194,4.928,4.9318,4.9343,4.9384,4.9423,4.9608,4.9739,4.9566
613,M,False,4.9573,4.9779,5.0042,5.0576,5.0405,5.0159,5.0321,5.0285,5.0275,5.0701
614,M,True,5.2254,5.2075,5.2093,5.2182,5.2271,5.2091,5.2117,5.1958,5.1854,5.2002
615,M,True,5.2549,5.2634,5.2713,5.2689,5.2562,5.2554,5.2572,5.2576,5.2795,5.2551
616,M,False,5.2512,5.2481,5.2238,5.2255,5.2233,5.2346,5.2348,5.2346,5.2415,5.2403
617,M,True,5.2448,5.2617,5.2657,5.278,5.2753,5.2514,5.2334,5.2454,5.2604,5.2557
618,M,False,5.2657,5.278,5.2753,5.2514,5.2334,5.2454,5.2604,5.2557,5.2501,5.3052
619,M,True,5.1083,5.0966,5.129,5.1112,5.113,5.112,5.1229,5.1139,5.1323,5.117
620,M,False,5.1344,5.121,5.1081,5.1461,5.1342,5.1273,5.1236,5.124,5.1739,5.1385
621,M,False,5.1236,5.124,5.1739,5.1385,5.1209,5.1177,5.1528,5.1598,5.137,5.1362
622,M,True,5.0538,5.0383,5.0253,5.0477,5.0117,4.9937,4.9675,4.9668,4.9448,4.9592
623,M,True,4.8957,4.9142,4.9089,4.8863,4.8717,4.8394,4.862,4.8751,4.8427,4.8674
624,M,False,4.8538,4.874,4.897,4.8908,4.9041,4.896,4.8847,4.8786,4.8849,4.9133
625,M,False,4.8311,4.8738,4.8839,4.916,4.8643,4.8855,4.8737,4.8694,4.8754,4.8753
626,M,True,4.6891,4.6687,4.6438,4.6291,4.5803,4.5686,4.6247,4.5929,4.5559,4.5113
627,M,False,3.5929,3.6243,3.913,3.8181,3.7696,3.7395,3.7372,3.632,3.6125,3.8838
628,M,True,3.8208,3.8778,3.9256,3.9745,4.0115,4.0732,4.088,4.1553,4.0757,4.0631
629,M,False,3.9142,3.9042,3.8948,3.9569,3.8315,3.8131,3.9778,3.9808,3.933,3.9953
630,M,False,4.1534,4.2136,4.2124,4.1608,4.2577,4.2136,4.1456,4.2544,4.3166,4.2922
631,M,False,2.877,2.8587,3.0454,3.0348,3.0409,2.8959,2.8614,3.0687,3.1554,3.1444
632,M,False,3.7455,3.7072,3.6875,3.7818,3.7532,3.8082,3.7668,3.77,3.8007,3.7445
633,M,False,4.5973,4.5923,4.5979,4.5873,4.6055,4.6114,4.5507,4.5601,4.5335,4.565
634,M,False,4.3568,4.3604,4.3647,4.3255,4.3112,4.2784,4.2776,4.286,4.3051,4.2985
635,M,False,4.2884,4.2871,4.3224,4.1842,4.3226,4.3355,4.3449,4.3376,4.298,4.3198
636,M,False,4.3573,4.4026,4.4239,4.4933,4.4913,4.4457,4.415,4.3789,4.4233,4.419
637,C,True,3.7258,3.7141,3.7434,3.7218,3.7415,3.7247,3.7402,3.6994,3.7285,3.7347
638,C,True,3.0881,3.2017,3.1193,3.1277,3.0306,3.0736,3.1298,2.9869,2.8232,2.599
639,C,False,2.5962,2.8464,2.8066,0.0,2.7799,2.9812,2.9246,2.9263,2.9643,3.0033
640,C,False,4.2764,4.409,4.4,4.4722,4.4371,4.443,4.4917,4.3551,4.3532,4.5004
641,C,False,3.7827,3.7921,3.8489,3.863,3.8909,3.8972,3.8542,3.8488,3.8015,3.786
642,C,False,4.6687,4.5346,4.7324,4.746,4.7561,4.6788,4.7788,4.7409,4.7351,4.5451
643,C,False,4.1345,4.2429,4.1124,4.1447,4.132,4.1157,4.1496,4.1687,4.1409,4.0559
644,C,False,3.0211,2.6659,3.1379,3.0458,3.063,3.1237,3.168,3.2811,3.2149,3.229
645,C,False,4.5168,4.4924,4.499,4.5071,4.481,4.4522,4.4611,4.3717,4.49,4.511
646,C,True,4.905,4.8856,4.8501,4.8586,4.8589,4.8608,4.8435,4.8599,4.8335,4.8444
647,C,False,4.2766,4.2652,4.3201,4.348,4.3427,4.3168,4.2598,4.3139,4.3253,4.334
648,C,False,3.2216,3.4249,3.2346,3.0498,3.0747,3.2469,3.2014,3.2292,3.3997,3.0725
649,C,False,0.0,2.1166,2.1061,0.0,0.0,2.1081,0.0,0.0,2.1038,2.5552
650,C,False,4.2667,4.3088,4.2432,4.2983,4.2798,4.2836,4.2666,4.2355,4.2895,4.2398
651,C,True,2.8649,2.7864,2.7813,2.8761,2.6832,2.8211,2.175,1.8682,0.0,0.0
652,C,True,4.2375,4.2881,4.2859,4.2945,4.301,4.2991,4.3118,4.3049,4.3109,4.3452
653,C,False,4.5441,4.4982,4.4879,4.4997,4.4835,4.4584,4.4537,4.4598,4.4809,4.4991
654,C,False,3.4369,3.1173,3.0758,2.9959,3.2116,3.1208,3.5219,3.2998,3.1984,3.3255
655,C,False,3.6509,3.6019,3.4807,3.4984,3.532,3.7069,3.7091,3.6622,3.5139,3.4777
656,C,True,3.8443,3.8173,3.8684,3.8154,3.8091,3.8283,3.8305,3.8217,3.8507,3.8949
657,C,False,3.776,3.686,3.7693,3.7092,3.7662,3.6503,3.5869,3.6046,3.6282,3.5999
658,C,False,4.7005,4.7052,4.724,4.648,4.6836,4.6809,4.7027,4.7182,4.6939,4.6805
659,C,False,3.7654,3.7352,3.6962,3.475,3.4624,3.3927,3.5637,3.7321,3.7411,3.7912
660,C,False,0.0,0.0,0.0,1.8764,2.1879,2.2007,0.0,0.0,0.0,0.0
661,C,False,4.3369,4.3759,4.3126,4.3233,4.3878,4.3494,4.3314,4.3355,4.2656,4.3348
662,C,False,4.513,4.5321,4.4683,4.4557,4.5046,4.4712,4.4523,4.509,4.4674,4.5007
663,C,True,3.5426,3.5884,3.6192,3.7012,3.6475,3.894,3.6738,3.7436,3.8385,3.6328
664,C,False,4.2707,4.2492,4.204,4.2043,4.1766,4.1925,4.1892,4.1489,4.2609,4.3019
665,C,False,0.0,0.0,1.9315,0.0,0.0,0.0,0.0,2.0219,2.2155,1.9915
666,C,False,4.3831,4.5278,4.5219,4.6057,4.4809,4.5036,4.4708,4.4533,4.3921,4.5167
667,C,False,3.752,3.752,3.7582,3.7482,3.8232,3.8081,3.8044,3.7857,3.8562,3.8451
668,C,True,3.6347,3.498,3.4779,3.5842,3.6551,3.5655,3.5953,3.5666,3.585,3.6679
669,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
670,C,False,4.8502,4.8311,4.7966,4.8017,4.8398,4.8283,4.8235,4.796,4.7506,4.7352
671,C,False,3.8443,3.8173,3.8684,3.8154,3.8091,3.8283,3.8305,3.8217,3.8507,3.8949
672,C,False,4.1369,4.173,3.9133,3.8644,3.5012,3.8356,3.7166,3.9099,4.0336,4.1803
673,C,True,4.9785,4.9814,4.9801,4.9866,4.9832,4.973,4.9684,4.9645,4.9699,4.9603
674,C,False,2.8504,3.2376,3.2432,3.0963,2.9756,3.0804,2.8259,3.3214,2.9937,2.6562
675,C,False,4.6918,4.6386,4.6697,4.7908,4.6753,4.5953,4.5162,4.6508,4.6765,4.7791
676,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677,C,False,3.2622,3.2783,3.2606,3.3201,3.3001,3.2775,3.3035,3.3708,3.3695,3.3447
678,C,True,4.2559,3.8878,4.0119,3.9236,3.5834,3.2192,3.6332,3.8067,3.4591,3.8224
679,C,False,3.9229,3.9679,3.9953,3.9144,3.8507,3.9493,3.8748,3.862,3.9773,3.9942
680,C,False,4.3954,4.4481,4.4354,4.4546,4.4858,4.4334,4.4499,4.5039,4.5344,4.4777
681,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
682,C,False,4.8439,4.8534,4.8517,4.8544,4.8299,4.8168,4.7918,4.7686,4.8404,4.8005
683,C,False,3.6096,3.0186,2.9288,3.2268,3.2492,3.5994,3.5702,3.2304,3.2165,3.2962
684,C,False,3.5282,3.4734,3.5402,3.4343,3.4661,3.5046,3.4938,3.5353,3.4511,3.5012
685,C,False,3.9931,4.067,3.9348,3.9202,4.0117,4.0059,4.0155,4.0219,3.9831,3.9934
686,C,False,2.3849,2.3756,2.0879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
687,C,False,4.5078,4.5274,4.6028,4.5833,4.5779,4.6612,4.6503,4.7428,4.695,4.6839
688,C,True,4.3931,4.4597,4.4299,4.4935,4.5322,4.302,4.4842,4.3189,4.5142,4.281
689,C,False,4.4453,4.4527,4.5044,4.4418,4.3925,4.4203,4.4591,4.4829,4.4842,4.5358
690,C,False,3.4625,3.4705,3.5093,3.5513,3.4923,3.4898,3.4354,3.4728,3.3981,3.4521
691,C,False,4.6707,4.658,4.6851,4.7102,4.7338,4.7508,4.7461,4.7311,4.7622,4.7271
692,C,False,4.4745,4.4731,4.4839,4.5195,4.5112,4.4357,4.4937,4.5086,4.4974,4.5492
693,C,False,3.2978,3.4028,3.3024,3.3043,3.3074,3.3433,3.1644,2.9408,2.974,3.2804
694,C,False,3.8408,3.8697,3.9052,3.9662,3.93,3.9268,3.9034,3.9352,3.8671,3.9198
695,C,False,1.92,2.8425,2.7826,2.7718,2.695,2.6298,2.5499,2.5485,2.5392,2.694
696,C,True,4.3441,4.3393,4.391,4.4073,4.4314,4.4954,4.504,4.47,4.5021,4.5379
697,C,False,2.8306,3.0837,2.9014,2.9601,2.6628,2.7662,2.5034,2.5701,2.6527,3.2095
698,C,False,4.8,4.7812,4.74,4.7625,4.7653,4.7792,4.7634,4.7917,4.7709,4.7862
699,C,False,4.5847,4.5501,4.6413,4.6342,4.6282,4.6189,4.5949,4.5847,4.5747,4.5741
700,C,False,3.702,3.864,3.8086,3.757,3.6927,3.7437,3.6023,3.6864,3.8475,3.8283
701,C,False,3.9482,3.9067,4.0033,4.0762,4.0286,4.0394,3.9205,3.9895,4.1172,3.9926
702,C,False,4.3576,4.3868,4.3871,4.4453,4.4277,4.4283,4.4457,4.4406,4.4714,4.5062
703,C,False,3.9287,3.965,4.0254,4.0354,4.0359,4.0201,4.0188,4.0026,3.9283,3.9287
704,C,True,2.4879,2.3565,2.1688,2.1624,1.8281,2.4985,3.0222,2.6478,2.4757,2.3666
705,C,False,3.9329,4.0197,3.9336,3.9404,3.9512,3.932,3.967,3.9596,3.9439,3.9159
706,C,False,0.0,2.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
707,C,False,2.7595,3.0236,2.8143,3.0278,2.9392,2.9173,2.9381,2.8484,2.7047,2.7269
708,C,False,4.3866,4.3147,4.3711,4.4895,4.5033,4.4858,4.7562,4.7775,4.8211,4.7784
709,C,False,4.1878,4.1997,4.2763,4.2089,4.2194,4.2416,4.1796,4.1738,4.1983,4.217
710,C,False,2.7595,2.6197,2.354,2.2202,2.7386,2.1666,2.7825,2.5898,2.5817,2.497
711,C,True,3.845,3.7783,3.9099,3.8984,3.7368,4.0799,4.089,4.1272,4.2361,4.1974
712,C,False,4.3728,4.3587,4.3398,4.3175,4.3333,4.3771,4.3358,4.3398,4.3391,4.3762
713,C,False,4.5952,4.5809,4.608,4.5964,4.5995,4.5586,4.5177,4.5093,4.5544,4.5771
714,C,False,3.8905,3.924,3.9336,3.9339,3.8997,3.8689,3.8795,3.9297,3.9187,3.8993
715,C,False,3.7467,3.7724,4.0021,3.9123,3.9873,3.9131,3.8903,3.9851,4.0013,4.0153
716,C,False,3.8337,3.7364,3.7346,3.7028,3.7705,3.7428,3.8049,3.7771,3.776,3.7846
717,C,False,3.902,3.9675,4.0672,3.9962,3.9785,3.9727,4.0417,4.0347,4.0346,4.0916
718,C,False,4.3015,4.3059,4.3291,4.284,4.312,4.3315,4.3059,4.3171,4.3025,4.3024
719,C,False,4.7935,4.7561,4.7091,4.7436,4.7105,4.691,4.6923,4.6627,4.6345,4.6404
720,C,False,2.3996,2.5416,2.3959,2.3961,2.3881,0.0,0.0,0.0,0.0,0.0
721,C,False,3.7258,3.7141,3.7434,3.7218,3.7415,3.7247,3.7402,3.6994,3.7285,3.7347
722,C,False,4.3118,4.3049,4.3109,4.3452,4.3383,4.3225,4.3152,4.3042,4.2923,4.3216
723,C,False,4.7367,4.7617,4.8211,4.8248,4.7979,4.7854,4.6824,4.7313,4.7059,4.7758
724,C,False,3.9382,3.8399,3.9618,3.9507,4.0151,4.0342,3.9638,3.9654,3.9289,3.9844
725,C,False,2.7675,2.7408,2.8614,2.782,2.7142,2.8246,2.6228,2.748,2.7645,2.7085
726,C,False,3.8506,3.923,3.9601,3.9875,3.8539,3.8338,3.854,3.8278,3.8227,3.8465
727,C,False,4.8603,4.8437,4.8619,4.8546,4.8555,4.837,4.8706,4.8388,4.8317,4.8342
728,C,False,4.6192,4.5382,4.5531,4.5798,4.6193,4.615,4.6431,4.6009,4.6073,4.609
729,C,False,4.8087,4.8145,4.8388,4.8508,4.8614,4.8787,4.8839,4.898,4.8632,4.8659
730,C,False,3.971,3.9799,4.0133,4.0316,4.0127,4.0028,4.0439,4.0411,4.0849,4.0574
731,C,False,3.7012,3.7535,3.7,3.7744,3.8134,3.7576,3.9066,3.9535,4.0832,3.9628
732,C,False,4.905,4.8856,4.8501,4.8586,4.8589,4.8608,4.8435,4.8599,4.8335,4.8444
733,C,False,4.5586,4.5848,4.5716,4.5088,4.5108,4.53,4.5322,4.4784,4.4445,4.481
734,C,False,4.4218,4.3208,4.3191,4.3418,4.2921,4.2718,4.2451,4.2759,4.3212,4.378
735,C,False,2.8632,2.866,2.6222,2.6978,2.0716,2.0643,2.0474,2.1769,2.1792,2.8448
736,C,False,4.0568,4.0823,4.0041,3.9844,4.0118,3.9784,3.9827,3.9648,3.9333,3.9437
737,C,False,3.2275,3.1397,3.0033,2.9838,2.9506,2.682,2.9038,2.9602,2.7757,2.644
738,C,False,4.611,4.5938,4.7298,4.6091,4.5884,4.6558,4.6315,4.6109,4.6793,4.7368
739,C,False,4.3139,4.5178,4.3988,4.5528,4.6191,4.7601,4.6189,4.5033,4.5125,4.6392
740,C,False,3.9343,4.0572,4.038,4.0012,3.9018,3.908,3.9892,3.9739,4.0168,3.961
741,C,False,4.452,4.5042,4.473,4.4984,4.4632,4.4816,4.5403,4.4954,4.4262,4.4123
742,C,False,4.3654,4.334,4.3002,4.2877,4.3075,4.3385,4.3457,4.3536,4.3972,4.4312
743,C,False,4.4219,4.4075,4.4573,4.4147,4.3982,4.5067,4.443,4.4235,4.4856,4.4058
744,C,False,4.8809,4.8106,4.7468,4.7997,4.8101,4.7242,4.7633,4.693,4.7763,4.8122
745,C,False,2.8649,2.7864,2.7813,2.8761,2.6832,2.8211,2.175,1.8682,0.0,0.0
746,C,False,4.2011,4.1859,4.2251,4.2142,4.2487,4.1981,4.2834,4.3697,4.3806,4.29
747,C,False,3.6934,3.6526,4.0891,3.892,4.0445,3.8629,4.1312,4.3537,4.2021,4.2356
748,C,False,4.0918,4.0919,4.0926,4.1132,4.1742,4.1098,4.1518,4.1363,4.2364,4.0622
749,C,False,3.7393,3.7572,3.7092,3.8122,3.7767,3.7824,3.7816,3.7283,3.7819,3.7146
750,C,False,3.4523,3.3264,3.6275,3.5068,3.3987,2.6218,2.6786,2.526,2.9337,3.2474
751,C,False,3.6347,3.498,3.4779,3.5842,3.6551,3.5655,3.5953,3.5666,3.585,3.6679
752,C,False,2.3483,2.1818,1.8813,1.8726,1.8792,1.8925,0.0,2.6723,2.1857,2.8149
753,C,False,3.5286,3.3307,3.4558,3.6533,3.6587,3.6342,3.4084,3.599,3.5815,3.7128
754,C,False,4.5981,4.5999,4.5891,4.6947,4.6064,4.6131,4.5433,4.5229,4.6076,4.6175
755,C,False,3.845,3.7783,3.9099,3.8984,3.7368,4.0799,4.089,4.1272,4.2361,4.1974
756,C,False,4.1944,4.2158,4.1481,4.3041,4.2551,4.3003,4.2729,4.2224,4.2556,4.1939
757,C,False,4.1713,4.0574,4.06,4.1485,4.1476,4.1265,4.0317,4.1581,4.172,4.0374
758,C,False,4.0924,3.6994,3.945,4.2645,3.7401,3.9225,3.6467,2.849,3.0346,3.4422
759,C,False,5.0509,5.0591,5.0485,5.043,5.0482,5.048,5.0314,5.0259,5.0297,5.0172
760,C,False,3.3421,3.2005,3.2288,3.3593,3.5315,3.6125,3.6577,3.6565,3.646,3.651
761,C,False,3.6494,3.905,3.8315,3.7318,3.7201,3.3147,3.7975,2.9407,3.2918,3.3961
762,C,False,3.342,3.4321,3.5454,3.477,3.4842,3.5386,3.4922,3.5391,3.6636,3.5979
763,C,False,4.5791,4.5076,4.5258,4.5405,4.4987,4.4766,4.4733,4.4446,4.465,4.4124
764,C,False,4.0149,3.9401,3.9267,3.93,3.9274,3.947,3.9553,3.8958,3.8817,3.8542
765,C,False,3.3714,3.3555,3.3287,3.3732,3.4301,3.4944,3.3801,3.3572,3.3249,3.3936
766,C,False,3.5777,3.744,3.6564,3.6684,3.7389,3.6634,3.6553,3.7505,3.6832,3.6483
767,C,False,3.4919,3.4944,3.494,3.5859,3.5326,3.4911,3.4498,3.5184,3.5442,3.5475
768,C,False,3.6747,3.6991,3.7113,3.7159,3.7722,3.8215,3.7631,3.762,3.764,3.7793
769,C,False,3.9349,4.0222,3.9322,3.9397,3.8617,4.0019,3.9683,4.0197,3.9008,4.0887
770,C,False,3.9798,3.9735,4.0203,3.9627,4.0003,4.0224,4.041,4.04,4.0042,4.0312
771,C,False,4.2907,4.2641,4.2759,4.2414,4.2564,4.235,4.3295,4.3209,4.2988,4.2581
772,C,True,3.8052,3.7874,3.8361,3.8379,3.8759,3.8421,3.8568,3.9899,3.9295,3.9827
773,C,False,3.3113,3.31,3.0032,3.1025,3.2038,3.1004,3.1049,3.4007,3.4874,3.4421
774,C,False,4.2562,4.2188,4.2171,4.1945,4.2229,4.2396,4.2627,4.2606,4.2997,4.3308
775,C,False,4.3514,4.2448,4.2699,4.3059,4.3208,4.3177,4.3434,4.3201,4.3233,4.3646
776,C,False,4.3375,4.3339,4.3151,4.3477,4.3501,4.3574,4.3703,4.3776,4.3961,4.3832
777,C,False,2.4879,2.3565,2.1688,2.1624,1.8281,2.4985,3.0222,2.6478,2.4757,2.3666
778,C,False,4.4363,4.4343,4.4688,4.4661,4.472,4.4591,4.3977,4.3811,4.3574,4.2235
779,C,False,4.285,4.2786,4.2769,4.2991,4.3223,4.3548,4.2709,4.292,4.2555,4.2609
780,C,False,4.5065,4.5368,4.5337,4.5582,4.5293,4.5086,4.4765,4.4823,4.4426,4.4827
781,C,False,4.0995,4.1695,4.1547,4.1984,4.1273,4.1137,4.1206,4.1767,4.1158,4.1138
782,C,False,3.6741,3.6143,3.3679,3.5059,3.4261,3.4055,3.4846,3.5367,3.55,3.53
783,C,False,4.2547,4.2496,4.3479,4.3419,4.2707,4.186,4.2402,4.2767,4.1895,4.2085
784,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
785,C,False,2.9903,3.4706,3.6238,3.6937,3.6602,3.2696,3.3319,3.3348,3.3396,3.4058
786,C,False,3.9935,4.0243,3.9866,3.8924,4.0814,4.1079,4.0902,4.1111,4.1334,4.1671
787,C,False,2.7799,2.7706,2.6279,2.6974,2.4154,2.5419,2.6297,2.6396,2.6263,2.6894
788,C,False,4.4299,4.4935,4.5322,4.302,4.4842,4.3189,4.5142,4.281,4.5499,4.2963
789,C,False,4.1995,4.1633,4.1903,4.1618,4.2073,4.1322,4.0944,4.126,4.1111,4.0628
790,C,True,3.9566,4.0107,4.0203,4.07,4.0503,4.0407,4.0361,4.0293,4.0254,4.056
791,C,False,3.8735,3.7388,3.7788,3.7673,3.7624,3.6864,3.5026,3.5709,3.6712,3.7439
792,C,True,4.2652,4.1502,4.108,4.0954,4.0198,4.0041,4.0368,3.9076,4.0692,3.9972
793,C,False,3.7877,3.768,3.7024,3.7573,3.7672,3.6467,3.8152,3.7879,3.8562,3.7465
794,C,False,4.4448,4.5969,4.4315,4.4596,4.5297,4.5156,4.6676,4.5213,4.4608,4.4361
795,C,False,3.0881,3.2017,3.1193,3.1277,3.0306,3.0736,3.1298,2.9869,2.8232,2.599
796,C,False,3.7614,3.8402,3.7603,3.7272,3.6085,3.7236,3.7937,3.738,3.7598,3.8734
797,C,False,3.8184,3.7598,3.7533,3.8031,3.8138,3.8265,3.7733,3.758,3.7641,3.7211
798,C,False,3.852,3.7463,3.7478,3.6901,3.688,3.6959,3.6169,3.6977,3.7441,3.5868
799,C,False,3.9566,4.0107,4.0203,4.07,4.0503,4.0407,4.0361,4.0293,4.0254,4.056
800,C,False,4.0958,4.0801,4.0592,4.1097,4.0866,4.1122,4.0815,4.1004,4.0621,4.071
801,C,False,4.7298,4.6966,4.7067,4.7575,4.677,4.6977,4.7122,4.6919,4.6606,4.6885
802,C,False,2.7904,2.4335,2.6561,2.8155,2.8109,2.9114,2.8771,2.7799,2.7776,2.8515
803,C,False,4.6408,4.7777,4.7445,4.7313,4.7204,4.7149,4.7345,4.7359,4.6769,4.6988
804,C,False,4.7549,4.7457,4.7555,4.7329,4.7709,4.7552,4.752,4.7121,4.7256,4.7119
805,C,False,4.1999,4.4152,4.2838,4.176,4.3221,4.5311,4.4512,4.6247,4.66,4.588
806,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
807,C,False,3.2321,3.2566,3.1761,3.4064,3.2664,3.1393,3.264,3.1877,3.0792,3.199
808,C,False,4.7217,4.6436,4.5883,4.6154,4.608,4.6514,4.6457,4.6607,4.6693,4.6729
809,C,False,3.6546,3.558,3.5813,3.5588,3.6119,3.6113,3.6236,3.6162,3.5887,3.604
810,C,False,4.0118,4.0501,4.0343,4.0497,4.0774,4.002,4.1398,4.1629,4.0199,3.9915
811,C,False,4.378,4.3739,4.3673,4.3557,4.4084,4.2963,4.3314,4.4622,4.5029,4.4793
812,C,False,3.8752,4.071,4.0068,4.02,3.9863,3.9638,4.0022,3.9623,3.8376,3.8897
813,C,False,2.9712,2.2522,2.5775,2.5919,2.9788,3.246,3.1193,2.5926,3.0865,3.2161
814,C,False,4.8088,4.7711,4.7438,4.6997,4.7009,4.7283,4.687,4.6849,4.6858,4.6739
815,C,False,3.1237,3.2743,3.4237,3.3102,3.2699,3.2126,3.1448,2.5965,2.598,2.6994
816,C,False,3.5489,3.7831,3.9029,3.899,3.857,3.8778,3.9144,3.766,3.6754,3.481
817,C,False,4.2652,4.1502,4.108,4.0954,4.0198,4.0041,4.0368,3.9076,4.0692,3.9972
818,C,False,3.5583,3.5824,3.5916,3.6416,3.6584,3.6821,3.6862,3.7543,3.722,3.7467
819,C,False,3.5628,3.613,3.6001,3.3627,3.4716,3.5005,3.4998,3.2506,2.8685,3.2395
820,C,False,3.5426,3.5884,3.6192,3.7012,3.6475,3.894,3.6738,3.7436,3.8385,3.6328
821,C,False,3.1966,3.37,3.4285,3.3308,3.2093,3.2268,3.2815,3.2973,3.244,3.3
822,C,False,4.2989,4.2868,4.3198,4.3378,4.3771,4.4132,4.444,4.4291,4.445,4.4774
