,FLARE_TYPE,COINCIDENCE,R_VALUE_1,R_VALUE_2,R_VALUE_3,R_VALUE_4,R_VALUE_5,R_VALUE_6,R_VALUE_7,R_VALUE_8,R_VALUE_9,R_VALUE_10
22,X,False,4.655,4.6328,4.6703,4.6256,4.6137,4.6971,4.566,4.8088,4.7707,4.8239
23,X,False,4.1281,4.1034,4.0748,0.0,4.0117,3.9536,0.0,4.0477,0.0,0.0
24,X,False,4.8983,4.8676,4.8707,4.869,4.8959,4.9401,4.9482,4.9682,4.9652,4.9803
25,X,True,5.3603,5.3791,5.3823,5.3917,5.3946,5.3904,5.372,5.3736,5.3714,5.3906
26,X,True,5.4404,5.435,5.4172,5.4058,5.3859,5.3821,5.3951,5.3891,5.3876,5.3878
27,X,True,5.4455,5.4351,5.4274,5.4319,5.4472,5.459,5.4629,5.4576,5.4383,5.4328
28,X,True,5.4792,5.4756,5.4767,5.4859,5.4759,5.4628,5.46,5.4416,5.4321,5.451
29,X,False,4.7915,4.8086,4.7738,4.8145,4.8319,4.8228,4.8296,4.8119,4.8107,4.8235
30,X,False,5.1689,5.1692,5.1099,5.1266,5.1297,5.1031,5.1048,5.1304,5.1281,5.1263
31,X,True,4.8709,4.8632,4.8607,4.8922,4.9164,4.9366,4.9173,4.9159,4.9378,4.9176
32,X,False,4.5529,4.4898,4.5288,4.6744,4.643,4.5753,4.5679,4.6755,4.5133,4.5613
33,X,True,5.2362,5.2347,5.2497,5.2513,5.2351,5.2453,5.2535,5.2598,5.2731,5.2592
34,X,True,5.2356,5.2472,5.2599,5.2342,5.2461,5.2402,5.2715,5.2825,5.2636,5.2452
35,X,False,5.2961,5.3061,5.2912,5.289,5.2763,5.3059,5.2828,5.2944,5.2978,5.3035
36,X,False,4.6972,4.7484,4.7692,4.8526,4.7954,4.8703,4.8404,4.936,4.9852,4.977
37,M,False,3.9748,4.0721,4.0393,3.9291,3.9731,4.0436,4.0094,3.9663,4.0689,4.0876
38,M,False,3.192,3.1597,3.3161,3.3,3.2914,3.2558,3.3085,3.4318,3.4217,3.2906
39,M,False,3.8124,3.7767,3.8181,3.8437,3.884,3.8391,3.9077,3.8733,3.735,3.7892
40,M,True,4.3478,4.5047,4.2709,4.2392,4.2875,4.1141,4.1113,4.0676,4.1708,4.1715
41,M,False,4.004,4.0255,3.9825,3.9626,3.9211,4.153,4.077,4.0082,4.1175,4.3267
42,M,False,4.0148,4.0152,3.9593,3.971,3.9807,3.9806,4.03,4.0496,4.0473,4.0317
