,FLARE_TYPE,COINCIDENCE,d_l_f_1,d_l_f_2,d_l_f_3,d_l_f_4,d_l_f_5,d_l_f_6,d_l_f_7,d_l_f_8,d_l_f_9,d_l_f_10
48,M,True,204.58,206.6,205.69,206.23,205.49,205.34,204.75,205.11,206.06,207.13
49,M,True,197.27,197.82,199.16,200.5,200.06,200.71,200.58,199.2,199.03,199.43
50,M,False,206.27,205.78,207.38,207.55,207.25,208.17,207.07,204.86,204.33,205.01
51,M,False,204.07,205.18,207.01,207.39,208.76,206.2,206.55,205.51,206.45,206.08
52,M,False,225.76,226.22,224.04,224.92,226.53,229.82,231.18,230.69,228.47,229.13
53,M,False,210.22,130.55,127.88,210.25,210.15,210.96,210.53,210.24,127.53,210.56
54,M,True,185.32,186.77,187.48,187.18,188.06,187.43,185.94,185.92,185.58,183.88
55,M,True,197.25,201.65,201.05,202.98,205.6,203.77,208.31,204.07,204.61,199.22
56,M,False,185.55,184.62,184.52,186.05,185.39,185.97,185.11,185.94,185.41,185.17
57,M,False,185.11,185.94,185.41,185.17,187.54,187.62,187.37,186.28,187.0,188.49
58,M,False,264.46,262.7,261.85,261.75,261.15,261.64,263.25,261.57,262.23,261.4
59,M,False,192.84,193.34,192.98,192.43,193.55,193.63,192.35,193.43,193.38,193.9
60,M,True,203.3,207.4,212.06,213.07,216.62,220.01,224.44,219.74,226.82,231.41
61,M,False,211.96,219.33,216.65,226.55,219.41,224.32,226.23,237.13,230.72,236.5
62,M,False,179.79,176.54,173.97,161.67,157.93,161.35,168.81,175.42,160.15,154.94
63,M,False,129.73,289.92,243.12,186.48,113.52,180.46,526.23,522.36,519.75,513.85
64,M,False,519.75,513.85,450.06,514.18,521.04,515.01,513.82,511.43,510.15,503.47
65,M,True,212.23,211.56,211.6,212.06,212.45,215.14,214.77,219.09,217.54,218.2
66,M,False,221.34,221.07,221.17,219.56,217.99,216.51,215.91,215.83,216.99,215.52
67,M,False,253.4,251.92,253.86,253.2,254.29,253.29,253.49,253.52,252.31,253.33
68,M,True,80.205,56.25,55.677,53.763,56.304,56.615,55.702,55.696,56.365,56.202
69,M,False,58.525,53.642,56.634,53.718,54.727,54.398,52.737,52.618,53.659,53.735
70,M,False,326.43,322.56,337.86,318.27,244.75,243.83,230.31,208.18,166.2,337.04
71,M,False,231.27,367.58,389.98,298.88,247.18,308.71,308.61,278.54,295.66,250.33
72,M,False,284.43,283.64,287.67,294.49,289.52,300.61,297.61,297.27,297.9,297.14
73,M,False,240.56,240.55,237.03,237.11,235.08,233.31,234.02,232.09,232.8,228.1
74,M,True,231.34,221.65,211.95,159.7,172.13,173.12,166.3,240.03,268.13,272.63
75,M,False,343.48,358.18,371.87,380.63,403.79,415.75,406.63,428.13,427.53,412.74
76,M,True,328.46,326.46,320.99,314.95,333.96,338.77,343.77,371.21,377.97,369.12
77,M,False,525.68,539.06,538.83,536.01,540.8,540.74,544.19,547.78,550.6,546.69
78,M,False,492.88,492.3,496.28,499.11,498.46,507.41,504.84,502.07,494.21,497.32
79,M,False,224.42,226.28,232.35,224.19,241.17,237.21,247.3,239.16,248.24,256.54
80,M,False,176.06,171.87,174.54,176.18,174.71,172.4,173.11,171.29,171.67,171.32
81,M,False,132.58,133.96,134.51,133.68,134.23,134.63,134.76,135.55,134.57,134.95
82,M,True,105.1,106.25,107.81,107.75,109.81,111.67,114.14,111.39,112.01,109.15
83,M,True,143.59,143.76,144.53,144.66,145.84,146.35,144.56,146.71,146.58,145.35
84,M,False,175.64,175.61,175.84,176.44,176.92,176.62,177.26,177.38,177.8,177.97
85,M,True,162.8,163.47,163.96,163.42,163.12,162.61,162.43,163.15,163.59,164.52
86,M,False,183.19,182.64,183.72,183.57,183.29,183.13,183.39,182.95,182.26,182.71
87,M,True,262.69,262.23,264.17,265.85,265.5,266.66,266.75,266.18,265.67,264.93
88,M,False,277.28,277.91,278.18,278.39,277.87,279.41,279.95,279.95,280.86,282.34
89,M,True,269.51,266.73,265.14,267.76,272.84,268.36,263.14,270.08,278.85,276.07
90,M,False,231.37,231.88,232.72,232.65,233.38,233.63,233.27,234.75,235.03,234.84
91,M,False,237.8,237.8,237.8,237.8,238.6,238.6,238.6,238.6,238.6,239.4
92,M,True,130.27,132.38,130.88,129.39,129.98,131.81,131.23,132.26,136.36,137.7
93,M,True,46.9,46.736,46.882,51.675,53.934,47.251,52.333,47.231,47.656,54.853
94,M,False,72.55,71.468,78.47,82.991,77.555,75.011,70.275,74.789,80.759,78.365
95,M,True,80.528,79.261,87.353,94.337,95.701,99.459,92.019,82.446,85.274,84.054
96,M,False,89.89,93.848,93.672,96.342,93.947,91.274,90.711,94.601,95.985,94.477
97,M,False,231.89,228.39,227.36,228.67,230.4,231.36,229.28,229.53,228.76,228.34
98,M,True,163.33,162.85,161.52,160.41,161.96,157.43,155.17,159.14,156.74,159.62
99,M,True,186.26,187.58,188.98,186.71,184.83,185.31,186.74,187.56,188.69,191.32
100,M,True,289.81,292.43,310.48,299.86,310.4,295.66,313.4,302.7,288.96,304.6
101,M,False,265.07,265.14,263.42,263.71,264.26,266.38,265.08,266.14,267.02,265.75
102,M,False,161.48,162.92,163.0,166.49,171.75,170.37,171.32,170.9,176.38,174.49
103,M,True,266.29,266.35,265.36,265.62,265.2,265.92,267.16,268.27,268.48,268.07
104,M,False,265.62,265.2,265.92,267.16,268.27,268.48,268.07,266.98,266.3,266.53
105,M,False,268.07,266.98,266.3,266.53,266.25,266.97,267.61,268.62,268.49,268.65
106,M,False,267.61,268.62,268.49,268.65,267.7,267.31,267.16,267.74,268.69,268.26
107,M,False,271.23,270.52,270.71,271.34,272.32,272.56,272.77,272.94,272.64,271.47
108,M,True,264.74,264.68,263.7,262.67,261.66,262.05,262.3,260.8,261.17,260.74
109,M,False,0.0,0.0,0.0,0.0,42.202,0.0,0.0,0.0,0.0,0.0
110,M,False,261.62,260.31,261.07,262.28,262.81,262.95,264.89,264.26,263.2,263.81
111,M,False,294.62,294.99,292.28,292.98,294.77,294.7,294.86,295.77,293.42,292.38
112,M,True,106.41,123.7,125.42,127.39,114.58,114.4,128.84,130.16,130.95,131.55
113,M,True,46.315,58.479,76.578,62.015,70.198,60.434,66.308,60.559,67.903,43.151
114,M,False,72.45,69.157,71.449,68.143,69.969,68.178,64.157,65.192,66.906,68.272
115,M,False,194.93,192.82,192.18,192.72,193.87,194.79,193.97,193.94,195.83,194.18
116,M,False,499.9,499.13,503.19,515.5,509.32,509.79,519.99,506.2,496.7,488.62
117,M,False,468.31,468.59,478.23,460.39,457.47,479.63,480.4,497.55,500.66,466.01
118,M,True,227.17,234.65,242.69,245.89,254.78,260.86,256.79,274.86,280.24,277.56
119,M,True,312.78,280.35,333.42,297.67,274.54,269.7,313.14,314.66,323.5,321.05
120,M,True,333.82,312.09,288.05,284.66,349.1,291.65,267.97,278.98,283.29,323.5
121,M,True,262.31,260.66,259.84,256.89,260.18,252.67,255.76,257.45,258.08,254.78
122,M,True,254.29,248.08,249.14,256.59,258.01,253.23,258.21,253.88,252.94,255.64
123,M,True,268.1,265.47,270.52,269.68,271.81,270.45,269.93,270.64,270.32,268.61
124,M,False,283.19,281.91,283.38,284.26,286.76,287.27,282.5,287.6,282.97,287.48
125,M,False,286.62,286.14,284.27,282.77,285.21,288.38,288.15,290.44,288.99,286.01
126,M,False,285.64,285.88,284.81,286.61,287.16,287.18,291.01,290.0,285.54,293.35
127,M,False,340.93,340.6,342.11,341.07,343.44,343.41,343.15,346.65,349.31,347.73
128,M,True,728.57,714.26,707.85,685.32,690.42,663.3,688.44,694.97,682.89,655.36
129,M,False,112.8,107.19,132.8,135.18,131.12,125.13,132.96,98.056,111.16,119.68
130,M,False,587.33,570.8,577.55,566.09,557.65,550.26,549.61,543.96,536.51,515.66
131,M,True,70.091,69.245,68.486,70.129,64.655,65.251,65.276,65.442,65.156,65.183
132,M,False,79.467,79.355,76.727,72.963,81.607,79.409,80.173,83.213,83.176,81.674
133,M,True,609.27,604.67,598.71,604.83,613.88,594.62,579.01,611.93,612.36,592.11
134,M,False,684.68,691.56,689.56,531.23,521.17,708.93,482.79,523.7,534.47,531.11
135,M,False,477.32,519.73,475.16,600.64,622.82,632.45,499.82,629.07,594.47,514.0
136,M,True,556.89,558.93,557.42,559.51,560.8,562.87,563.18,562.3,562.44,564.47
137,M,False,559.62,561.48,560.48,560.18,559.86,560.06,558.46,558.88,558.73,557.87
138,M,False,226.29,299.67,297.62,294.96,303.57,294.84,293.12,292.18,291.89,293.29
139,M,False,294.64,294.34,294.06,294.08,296.01,296.38,292.27,291.82,295.83,299.3
140,M,False,525.98,525.9,526.72,526.27,526.08,526.91,526.94,526.35,527.85,528.47
141,M,False,318.53,318.85,317.8,318.37,319.39,319.6,319.94,320.35,320.97,321.12
142,M,True,98.248,104.47,103.44,104.97,103.84,108.71,104.69,105.8,105.41,103.26
143,M,True,281.01,280.53,276.42,280.65,278.75,277.21,284.14,274.03,270.37,246.49
144,M,False,280.53,276.42,280.65,278.75,277.21,284.14,274.03,270.37,246.49,270.94
145,M,False,283.62,279.94,280.06,268.16,273.43,308.15,314.51,272.35,267.29,269.83
146,M,True,267.94,266.3,262.95,329.35,263.61,258.85,250.65,247.73,239.83,237.72
147,M,False,250.65,247.73,239.83,237.72,238.56,232.74,240.94,239.89,238.1,238.14
148,M,False,233.84,239.19,241.59,236.13,234.52,231.11,224.24,228.4,238.24,227.14
149,M,False,248.05,245.79,240.65,245.79,245.84,244.27,247.25,240.83,242.29,243.29
150,M,False,222.65,212.07,207.21,204.63,206.37,210.38,204.43,212.16,214.23,209.19
151,M,False,198.25,199.99,195.21,193.8,194.32,199.65,203.94,201.7,167.05,214.25
152,M,False,317.27,317.41,314.6,312.42,312.16,314.31,311.95,310.58,306.36,308.04
153,M,False,314.48,312.35,311.03,309.76,309.32,310.48,312.31,311.36,311.94,310.09
154,M,False,291.51,292.97,294.02,293.05,292.04,289.14,289.08,289.54,290.16,289.02
155,M,True,182.74,185.42,188.37,190.68,190.23,190.38,195.1,196.95,196.94,202.21
156,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,M,False,398.09,401.76,400.8,402.11,407.76,408.4,408.01,410.39,409.71,407.86
158,M,True,65.3,69.146,41.75,21.835,23.672,13.539,17.187,40.251,34.225,46.848
159,M,False,85.801,197.5,186.55,193.45,192.35,192.21,89.407,89.574,87.491,86.4
160,M,True,355.68,353.97,356.29,354.87,350.92,338.74,355.3,342.69,357.73,360.21
161,M,True,344.23,338.13,339.08,342.83,331.77,330.74,330.58,313.83,337.71,337.59
162,M,False,337.71,337.59,335.89,343.77,347.9,340.87,341.27,340.16,340.68,340.29
163,M,True,329.41,328.4,329.38,331.0,327.25,328.23,330.46,331.45,328.95,327.34
164,M,False,316.33,312.26,316.64,314.57,314.25,312.12,315.19,313.37,314.28,312.88
165,M,False,310.65,307.86,310.29,312.38,305.94,305.82,303.97,305.44,304.82,301.93
166,M,False,120.93,111.06,107.87,76.663,79.473,80.75,92.772,80.865,81.491,76.698
167,M,False,555.78,565.36,570.24,567.31,558.19,569.79,564.5,553.97,555.68,566.89
168,M,True,13.737,32.798,15.024,16.271,10.071,6.7019,8.8433,10.648,28.015,8.586
169,M,False,0.0,0.0,0.0,0.0,0.0,135.92,0.0,12.691,0.0,0.0
170,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,M,False,209.85,210.46,211.38,211.02,212.44,213.17,212.69,213.71,213.39,212.91
172,M,True,905.32,528.75,75.538,645.18,76.531,75.425,313.13,66.328,62.801,66.462
173,M,False,102.61,99.284,99.708,96.13,97.898,97.0,99.922,100.77,101.72,100.86
174,M,True,308.86,314.88,310.13,322.4,327.33,315.66,315.44,323.52,316.42,317.12
175,M,False,440.34,439.3,438.66,436.12,436.94,437.01,441.14,443.01,445.46,443.96
176,M,True,365.53,367.48,378.01,380.15,379.31,378.26,388.37,392.63,396.55,401.82
177,M,False,503.42,506.38,509.55,510.72,510.59,508.01,516.01,517.12,523.23,535.29
178,M,True,223.61,222.38,219.23,219.62,221.26,221.65,221.31,221.97,220.29,219.18
179,M,False,211.34,212.11,211.91,211.63,210.74,210.66,210.81,208.73,208.33,209.93
180,M,False,207.76,210.1,210.1,207.89,207.26,209.03,209.61,209.16,209.09,207.82
181,M,True,265.19,265.92,264.66,263.55,264.54,265.37,265.08,265.73,266.76,266.15
182,M,True,268.28,263.26,262.69,263.8,264.08,262.87,261.71,259.74,258.33,257.73
183,M,True,260.79,261.5,262.43,261.98,263.44,262.58,262.0,263.56,263.64,262.7
184,M,True,263.17,263.46,263.95,264.82,264.99,265.62,263.27,264.71,265.67,267.4
185,M,False,758.86,758.08,756.86,755.88,750.47,748.49,749.63,753.7,753.13,753.27
186,M,True,260.87,261.61,262.81,263.46,262.28,265.02,265.02,264.3,263.44,263.17
187,M,False,263.17,263.7,263.0,264.12,263.55,265.4,265.82,264.16,265.19,264.8
188,M,False,265.82,264.16,265.19,264.8,264.4,265.77,263.71,264.49,264.96,264.41
189,M,True,264.96,264.41,265.29,253.5,264.59,264.7,254.8,267.36,266.04,264.79
190,M,True,264.59,264.7,254.8,267.36,266.04,264.79,252.26,251.7,253.91,249.28
191,M,False,249.57,249.07,249.87,252.08,250.68,251.34,250.26,250.68,253.73,253.81
192,M,False,159.77,180.03,31.016,173.91,169.7,189.72,215.98,220.06,214.41,0.0
193,M,True,247.38,250.23,251.66,251.37,250.46,248.79,250.13,251.15,249.62,250.18
194,M,False,250.46,248.79,250.13,251.15,249.62,250.18,251.41,251.91,250.63,250.33
195,M,False,251.91,250.63,250.33,250.95,250.9,251.25,249.77,251.68,251.5,253.7
196,M,True,245.6,244.85,243.53,241.28,240.71,240.57,239.9,242.76,244.4,245.72
197,M,False,242.76,244.4,245.72,247.24,245.65,246.19,247.17,247.98,247.27,248.52
198,M,True,257.74,257.01,256.69,259.28,260.77,258.8,260.47,261.94,260.87,261.27
199,M,False,260.47,261.94,260.87,261.27,261.92,259.4,260.44,259.46,259.58,261.26
200,M,True,272.26,273.0,273.54,273.36,272.79,272.19,272.88,273.09,272.56,272.31
201,M,False,274.03,273.6,276.05,276.07,274.43,276.46,276.35,277.51,276.19,275.21
202,M,True,275.92,277.67,275.16,276.57,279.96,278.23,279.53,277.76,280.66,278.92
203,M,False,278.52,279.4,279.85,281.97,283.54,284.89,286.74,287.79,290.42,290.89
204,M,False,304.5,304.6,303.69,302.46,302.84,303.14,303.43,304.29,308.95,306.09
205,M,False,234.5,231.79,230.7,218.14,209.58,228.49,234.56,229.09,432.27,588.81
206,M,True,306.49,305.54,306.24,305.35,303.41,303.48,302.7,303.46,304.41,304.03
207,M,True,322.54,324.4,323.89,324.63,326.58,327.12,327.14,328.33,327.13,328.35
208,M,False,329.84,330.06,331.72,328.94,332.05,333.19,336.52,336.45,336.58,336.22
209,M,False,337.71,336.2,338.02,336.47,340.48,339.86,336.11,336.3,338.43,338.99
210,M,False,333.29,327.99,329.39,326.93,327.12,328.87,324.32,321.25,324.75,320.44
211,M,True,347.76,352.12,351.87,349.39,345.31,345.24,345.2,349.32,349.14,351.16
212,M,False,344.41,344.52,340.85,340.99,342.76,345.05,348.21,346.46,343.75,342.07
213,M,False,345.05,348.21,346.46,343.75,342.07,341.34,337.97,337.28,339.61,340.8
214,M,False,571.54,569.95,568.67,566.27,564.54,564.17,563.98,566.22,564.87,564.43
215,M,False,572.52,573.19,575.42,575.76,573.01,598.87,582.4,580.18,575.72,573.33
216,M,False,471.08,458.54,437.71,432.9,426.05,420.05,415.78,389.07,401.95,379.33
217,M,True,1087.7,1082.4,1085.2,1092.4,1099.1,1098.9,1099.4,1102.8,1100.6,1102.3
218,M,False,1104.4,1102.5,1094.7,1091.5,1091.4,1092.9,1092.9,1090.5,1092.0,1091.2
219,M,False,1067.1,1068.6,1066.1,1064.1,1061.9,1064.7,1065.6,1064.0,1065.5,1065.5
220,M,False,1021.8,1025.1,1025.1,1020.1,1022.5,1032.4,1022.6,1016.1,1016.7,1016.0
221,M,False,52.746,44.263,52.909,58.933,57.785,54.365,81.888,71.448,38.435,61.22
222,M,False,52.909,58.933,57.785,54.365,81.888,71.448,38.435,61.22,96.174,62.592
223,M,False,188.61,186.47,183.97,184.75,187.89,184.46,176.53,186.76,184.59,179.82
224,M,False,272.0,273.1,275.82,266.68,270.02,268.53,268.9,267.07,273.44,272.25
225,M,False,202.17,205.01,204.83,201.73,207.26,204.54,202.1,204.28,206.98,206.23
226,M,False,557.52,558.26,562.19,559.07,560.54,560.18,560.19,562.62,562.9,561.63
227,M,True,143.78,151.49,146.8,150.45,151.07,166.91,173.91,171.87,185.57,197.25
228,M,True,178.73,181.75,182.34,182.12,182.59,184.11,186.05,185.24,185.13,185.93
229,M,True,899.53,904.21,0.0,0.0,917.13,0.0,0.0,923.7,0.0,924.07
230,M,False,69.065,69.34,69.065,70.456,69.893,69.635,70.214,70.214,70.0,69.814
231,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,M,False,78.802,78.622,77.904,76.964,77.017,77.324,76.813,77.581,77.259,76.804
233,M,False,86.262,85.82,85.653,85.463,85.248,85.522,85.315,84.946,86.291,84.549
234,M,True,241.3,246.21,245.74,244.48,238.92,243.84,242.69,244.34,247.61,250.06
235,M,False,212.65,213.4,215.2,215.05,211.41,207.73,205.25,208.45,206.58,206.96
236,M,False,191.31,189.11,187.87,187.75,190.35,193.27,190.32,189.05,188.91,192.51
237,M,False,223.15,229.43,221.58,221.24,221.4,228.25,223.66,217.41,218.9,222.77
238,M,False,233.35,232.67,230.7,229.99,230.48,230.8,230.4,231.16,231.47,232.48
239,M,False,248.02,247.23,246.63,244.96,246.84,246.74,250.29,249.24,249.0,247.67
240,M,True,362.81,364.1,363.14,365.1,364.56,365.95,366.56,368.18,368.06,366.33
241,M,False,356.5,356.85,359.74,361.21,361.0,359.64,361.14,358.01,356.37,354.96
242,M,True,54.143,65.402,67.469,64.474,65.566,79.408,74.239,68.047,67.461,62.372
243,M,False,52.526,46.119,43.136,49.445,48.585,46.624,46.023,48.787,52.133,50.893
244,M,False,111.88,112.76,113.92,114.75,113.09,112.82,112.63,108.85,108.85,118.89
245,M,False,129.79,128.3,127.1,128.24,133.3,127.67,122.22,126.73,124.95,130.12
246,M,False,166.84,166.62,167.4,166.34,164.39,165.97,167.06,166.63,168.5,167.88
247,M,False,222.06,220.87,220.92,219.53,218.25,217.07,218.67,217.92,217.69,221.29
248,M,False,195.43,196.99,201.06,199.9,201.4,202.35,201.24,203.26,204.02,204.62
249,M,False,222.64,220.64,223.85,224.83,223.9,226.2,226.04,224.35,226.67,223.68
250,M,False,241.7,236.71,240.96,231.1,237.89,243.19,247.82,253.39,252.93,249.1
251,M,True,213.43,214.88,216.93,216.22,219.53,217.63,216.66,219.27,219.28,214.9
252,M,False,217.67,215.35,212.37,213.46,214.22,218.75,217.87,218.22,216.0,216.13
253,M,False,26.369,26.643,26.688,27.144,27.143,27.095,26.94,27.233,27.506,27.351
254,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,M,False,232.68,233.35,233.63,233.05,232.82,233.6,233.84,233.97,149.31,152.25
256,M,False,122.8,122.53,122.53,122.8,123.49,123.49,122.53,122.26,122.8,122.8
257,M,False,282.71,352.35,406.68,413.41,397.94,367.34,355.93,347.42,322.1,321.75
258,M,False,396.32,0.0,0.0,0.0,417.9,442.42,442.94,461.07,467.26,0.0
259,M,False,536.11,541.09,545.3,551.0,557.18,557.47,562.15,557.87,566.07,573.79
260,M,False,325.96,332.45,338.86,345.32,345.32,342.71,340.09,331.82,322.3,335.14
261,M,True,84.604,80.51,79.136,76.788,77.841,76.803,57.704,59.408,78.105,72.8
262,M,False,76.788,77.841,76.803,57.704,59.408,78.105,72.8,71.876,72.312,76.118
263,M,False,280.84,284.08,260.42,270.51,276.68,270.53,262.38,263.39,310.62,330.0
264,M,False,340.83,355.51,360.86,358.19,358.27,363.11,364.97,371.43,371.96,369.1
265,M,True,331.49,330.77,331.72,332.47,333.37,334.37,334.77,335.48,336.98,332.74
266,M,False,307.2,307.94,309.33,316.11,317.55,317.77,319.63,329.31,332.25,331.28
267,M,True,196.53,193.69,205.52,202.07,237.02,239.07,232.45,229.04,225.2,222.66
268,M,False,170.93,171.81,172.45,175.59,172.77,172.67,172.33,172.44,172.08,169.13
269,M,True,173.1,173.0,172.36,173.64,171.19,173.91,174.2,176.04,176.6,176.91
270,M,True,205.62,204.41,204.17,205.03,203.86,205.42,205.21,205.55,205.69,206.92
271,M,False,206.69,207.26,207.35,207.41,207.32,207.2,207.87,208.6,208.38,206.29
272,M,False,207.35,207.41,207.32,207.2,207.87,208.6,208.38,206.29,207.19,208.71
273,M,False,361.85,365.66,373.31,383.47,386.84,402.84,403.08,402.16,407.9,410.77
274,M,False,219.91,221.51,222.0,222.13,222.61,223.34,223.26,223.15,224.63,225.13
275,M,False,222.13,222.61,223.34,223.26,223.15,224.63,225.13,224.85,224.87,226.45
276,M,True,84.89,79.289,33.271,30.623,58.741,23.343,19.978,26.712,22.013,22.493
277,M,True,161.36,182.04,175.23,212.86,205.08,196.02,205.56,187.04,190.28,215.39
278,M,True,142.05,142.05,141.09,141.76,142.11,141.04,141.93,142.17,142.15,141.41
279,M,False,70.343,68.212,72.025,70.362,72.535,75.237,78.883,79.771,81.091,118.92
280,M,False,78.376,76.254,75.166,79.797,80.546,75.43,107.83,109.09,75.026,104.33
281,M,False,75.026,104.33,103.86,107.18,111.5,116.48,113.59,114.3,110.55,112.96
282,M,False,71.597,73.352,72.613,71.727,72.103,71.986,71.945,71.657,73.153,73.608
283,M,True,297.07,298.84,298.54,298.51,298.02,297.67,296.21,300.27,298.86,299.17
284,M,False,249.63,250.01,251.24,248.52,253.4,252.33,254.31,258.78,255.1,252.11
285,M,False,466.16,465.79,468.01,468.31,467.43,466.8,468.68,468.49,468.56,467.66
286,M,False,261.71,259.12,259.29,256.27,262.58,263.56,263.36,259.86,262.57,253.42
287,M,True,141.08,140.52,140.57,140.75,141.43,141.32,141.68,142.45,142.58,144.19
288,M,False,140.57,140.75,141.43,141.32,141.68,142.45,142.58,144.19,143.96,144.49
289,M,False,259.7,260.68,260.48,263.46,259.14,252.1,252.86,252.18,249.95,252.36
290,M,False,534.87,747.78,621.01,647.03,750.52,699.97,761.56,738.28,756.52,756.48
291,M,False,221.37,222.33,222.03,221.46,220.36,219.73,221.83,221.42,221.81,220.88
292,M,True,229.59,227.4,227.99,227.92,229.12,229.75,230.02,228.87,229.09,228.14
293,M,False,225.64,226.24,227.36,225.96,225.27,225.41,226.94,228.12,230.63,231.14
294,M,True,278.38,277.51,275.18,275.4,274.55,276.55,277.18,276.09,276.82,277.85
295,M,True,270.86,270.88,269.73,270.21,269.08,268.1,269.25,271.57,270.89,271.0
296,M,True,273.42,273.73,274.46,275.36,273.63,274.33,274.03,274.73,275.66,275.09
297,M,True,271.59,272.23,271.62,271.4,271.21,271.64,271.19,272.08,272.18,271.24
