,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5,SHRGT45_6,SHRGT45_7,SHRGT45_8,SHRGT45_9,SHRGT45_10
0,X,False,55.174,54.882,54.821,55.433,55.593,55.865,55.842,56.092,56.363,56.608
1,X,False,55.66,55.631,55.423,54.975,55.123,54.939,55.317,55.289,55.08,55.157
2,X,False,33.172,33.547,33.902,33.937,33.86,33.437,33.668,33.601,33.763,33.974
3,X,False,42.602,42.655,43.072,42.583,43.507,43.313,42.822,42.849,43.0,43.551
4,X,True,37.082,36.709,36.529,36.374,35.829,35.829,35.423,35.682,35.441,35.921
5,X,False,40.261,39.492,39.747,39.218,39.299,39.356,39.193,38.573,38.697,38.477
6,X,False,15.206,14.909,15.235,15.068,15.199,15.393,15.533,15.266,15.93,15.951
7,X,True,44.289,44.744,45.286,44.338,44.448,43.944,43.299,43.667,42.289,42.537
8,X,False,45.871,45.651,45.66,46.562,46.167,46.158,46.386,45.643,46.15,46.067
9,X,False,46.158,46.386,45.643,46.15,46.067,46.381,46.257,46.581,46.288,46.072
10,X,False,35.976,36.217,36.195,36.963,37.059,35.946,36.081,36.618,36.616,35.984
11,X,False,45.404,45.809,45.863,46.051,46.246,46.403,46.49,46.402,46.328,46.496
12,X,False,37.485,35.289,35.719,34.736,35.351,35.752,34.946,34.66,33.601,33.855
13,X,True,50.854,47.141,47.0,46.791,47.992,48.562,49.866,44.943,45.671,45.296
14,X,True,31.767,31.243,31.072,31.775,32.037,31.914,31.395,31.34,31.194,31.031
15,X,False,30.339,30.642,30.539,30.485,30.813,30.886,31.44,31.333,31.04,31.332
16,X,False,33.748,33.614,33.657,33.645,33.508,33.26,33.296,33.302,33.088,33.128
17,X,False,44.852,44.917,44.772,44.838,45.2,45.298,45.443,45.747,45.538,45.716
18,X,False,44.647,44.663,45.096,45.138,44.961,45.399,45.482,45.68,45.696,45.924
19,X,False,23.587,23.6,23.446,24.2,23.524,23.339,24.044,23.918,24.178,23.834
20,X,False,50.851,51.036,50.854,50.73,51.009,50.864,51.182,51.234,51.4,51.063
21,X,False,1.0121,1.2916,0.58131,0.80114,1.2225,2.5651,1.7765,1.0789,2.3818,1.9309
22,X,False,14.163,13.513,13.64,13.809,13.199,12.693,12.45,13.395,13.968,13.161
23,X,False,47.12,44.666,43.844,43.835,43.838,42.868,41.108,41.957,41.336,40.662
24,X,False,35.096,35.57,34.604,35.646,34.051,33.743,33.896,33.602,34.773,34.403
25,X,True,46.875,46.827,46.814,46.684,46.632,46.63,46.579,46.249,46.154,46.197
26,X,True,52.998,53.15,53.128,53.204,53.436,53.412,53.45,53.482,53.383,53.297
27,X,True,44.723,44.62,44.48,44.267,44.155,44.031,44.07,43.922,43.883,43.762
28,X,True,34.747,34.955,35.126,35.011,35.148,35.191,35.205,35.11,35.194,35.078
29,X,False,23.116,22.964,23.207,22.757,23.192,23.232,23.282,23.125,23.127,23.272
30,X,False,30.249,29.926,29.763,29.865,29.581,29.743,29.452,29.492,29.559,29.412
31,X,True,33.907,33.951,34.274,34.568,34.749,34.213,34.374,34.529,35.134,34.809
32,X,False,42.26,38.209,41.84,47.754,54.876,47.31,50.521,51.386,49.922,51.503
33,X,True,55.835,55.088,54.914,54.337,54.181,54.078,54.562,54.059,54.48,54.246
34,X,True,53.726,54.154,53.413,53.681,53.638,53.472,53.307,53.911,53.764,53.962
35,X,False,43.227,42.628,42.851,43.142,43.171,42.672,42.476,42.577,42.978,42.394
36,X,False,32.038,33.538,34.234,32.676,32.697,31.106,31.311,32.364,31.546,32.302
37,M,False,22.29,25.269,22.848,23.368,22.147,23.874,22.316,21.853,21.17,21.294
38,M,False,11.591,10.192,8.1388,13.021,9.4622,16.41,18.049,12.219,9.8171,8.7544
39,M,False,20.048,19.783,19.619,19.28,19.492,19.895,19.564,19.959,20.414,20.13
40,M,True,35.195,27.637,29.011,28.275,24.941,22.352,24.429,26.357,25.977,32.979
41,M,False,7.0934,7.4926,8.1988,7.9103,8.0957,8.3324,8.0957,7.2933,7.946,7.424
42,M,False,25.151,24.858,24.645,25.798,25.852,26.467,27.352,26.635,27.409,27.024
43,M,False,12.052,11.46,12.067,13.419,14.185,12.707,12.738,12.859,13.074,13.879
44,M,True,34.527,34.474,36.696,36.821,38.027,37.107,37.428,38.467,39.017,39.216
45,M,True,55.601,55.719,54.749,54.281,54.276,54.881,54.415,54.522,54.16,54.229
46,M,False,15.743,14.595,14.093,14.531,14.733,14.893,16.979,17.42,18.476,18.489
47,M,False,57.563,57.33,57.385,57.301,57.33,57.099,57.334,57.027,56.911,57.21
48,M,True,38.989,38.628,39.09,39.034,39.064,38.951,38.624,38.517,38.131,38.503
49,M,True,38.75,38.807,39.064,38.913,39.295,38.858,39.049,38.52,38.254,38.279
50,M,False,37.211,36.295,36.641,37.011,36.946,36.416,36.521,36.576,36.297,36.585
51,M,False,39.516,39.289,38.967,39.311,39.518,39.637,39.299,39.206,38.077,37.729
52,M,False,40.173,40.602,40.599,40.283,40.47,40.515,40.234,40.993,40.874,41.347
53,M,False,13.978,14.615,14.168,13.856,14.508,14.092,14.449,13.854,13.718,14.031
54,M,True,36.735,36.279,36.342,35.838,35.669,34.951,34.573,34.306,34.17,34.306
55,M,True,21.731,21.506,22.722,21.15,21.388,22.071,22.013,21.221,21.908,21.558
56,M,False,33.897,34.062,34.693,35.3,35.568,35.793,35.893,35.443,35.709,35.875
57,M,False,35.893,35.443,35.709,35.875,35.01,34.78,34.513,34.71,34.584,34.201
58,M,False,43.795,44.674,44.805,44.451,44.178,43.837,43.734,44.104,43.538,43.954
59,M,False,29.368,29.634,29.044,29.303,28.823,29.252,29.406,29.736,29.818,29.461
60,M,True,24.927,24.723,24.283,24.092,24.801,25.066,23.678,24.193,23.708,23.942
61,M,False,24.023,23.689,23.87,23.973,23.309,23.482,23.582,23.479,23.529,24.797
62,M,False,25.453,25.815,26.466,26.56,26.678,26.423,26.003,26.254,26.002,26.603
63,M,False,28.427,28.858,28.257,28.391,27.402,28.035,28.12,27.794,28.468,28.519
64,M,False,28.468,28.519,28.924,29.024,29.517,29.93,29.651,29.328,27.868,28.433
65,M,True,57.592,57.191,57.057,57.023,57.026,57.278,56.756,56.885,56.742,56.765
66,M,False,57.129,56.861,56.632,56.759,56.932,57.094,57.573,57.419,57.324,57.489
67,M,False,51.08,50.835,50.75,50.904,50.885,50.756,50.556,50.839,50.561,50.452
68,M,True,29.177,28.782,29.286,27.923,28.802,28.96,29.159,28.754,28.768,29.094
69,M,False,23.992,25.226,25.672,24.903,24.903,24.79,24.545,25.92,25.712,25.588
70,M,False,51.984,52.135,53.131,52.662,51.958,51.952,51.619,52.449,52.103,51.496
71,M,False,29.237,29.2,28.227,29.499,29.202,28.512,28.687,27.835,28.272,28.14
72,M,False,23.449,23.367,23.347,23.408,23.701,23.605,23.608,23.332,23.624,23.282
73,M,False,34.375,34.563,34.417,34.446,34.702,35.104,35.013,35.08,35.121,34.68
74,M,True,14.127,13.48,13.954,13.069,14.144,13.762,13.641,14.248,13.204,13.383
75,M,False,14.331,14.141,13.846,14.432,14.031,14.435,13.843,14.367,13.845,14.245
76,M,True,44.718,41.239,42.572,44.536,41.929,43.585,41.738,41.124,41.329,42.393
77,M,False,35.492,35.308,34.993,33.899,35.992,33.542,32.896,32.958,33.517,33.641
78,M,False,13.395,13.725,13.5,13.888,13.498,13.823,13.184,13.184,13.409,13.175
79,M,False,41.327,41.247,40.395,40.394,40.201,40.752,41.396,39.789,39.063,39.118
80,M,False,16.154,17.486,18.86,18.834,19.248,19.452,19.122,18.721,19.872,19.846
81,M,False,31.104,30.995,30.893,31.471,31.356,31.307,31.847,31.567,31.791,31.944
82,M,True,46.348,45.972,45.259,45.283,45.302,45.186,45.652,45.945,46.174,46.593
83,M,True,47.058,46.949,46.953,46.677,46.457,45.89,46.389,46.336,46.112,45.95
84,M,False,61.867,62.052,62.381,62.093,62.0,62.264,62.262,62.689,62.762,63.021
85,M,True,43.818,43.996,44.035,44.09,43.594,44.055,43.821,44.221,44.489,44.102
86,M,False,43.641,43.817,43.44,43.036,42.988,42.922,42.542,42.228,42.385,42.592
87,M,True,40.606,40.28,39.695,39.279,39.412,39.013,38.767,38.44,37.875,38.232
88,M,False,34.915,34.585,34.444,34.492,34.844,34.649,34.865,35.033,34.5,34.532
89,M,True,15.185,15.325,15.745,15.902,16.32,16.351,15.835,16.378,16.215,16.178
90,M,False,13.368,12.767,12.367,12.359,11.968,12.052,11.947,11.862,11.655,11.567
91,M,False,11.42,11.89,12.029,11.891,11.798,11.976,12.092,12.148,12.306,11.951
92,M,True,39.436,39.801,38.619,38.633,38.687,38.477,38.566,38.559,38.337,38.737
93,M,True,33.217,33.466,33.379,33.879,34.24,34.604,34.187,33.726,33.684,33.594
94,M,False,26.34,26.502,26.466,26.53,27.088,26.955,27.788,27.467,28.205,28.132
95,M,True,29.406,29.197,28.767,28.729,28.614,28.532,28.731,28.341,28.381,28.147
96,M,False,20.911,20.833,21.734,21.243,22.081,21.302,21.73,21.785,21.021,21.195
97,M,False,11.756,11.97,12.092,11.646,11.428,11.213,11.176,11.37,11.336,11.408
98,M,True,21.83,22.444,22.433,22.247,21.886,22.212,22.192,22.556,22.19,21.867
99,M,True,17.739,17.386,17.542,17.348,17.08,16.82,17.205,17.099,17.272,17.214
100,M,True,40.957,40.676,40.377,40.695,40.498,41.187,40.288,40.442,39.796,39.85
101,M,False,37.378,37.541,37.14,37.674,37.655,38.16,38.438,37.787,38.296,37.071
102,M,False,20.504,20.932,20.995,21.016,20.364,20.224,20.474,19.708,19.662,19.796
103,M,True,38.473,37.955,37.797,38.799,38.689,38.66,39.305,40.22,38.758,40.652
104,M,False,38.799,38.689,38.66,39.305,40.22,38.758,40.652,39.968,40.284,39.735
105,M,False,40.652,39.968,40.284,39.735,41.079,39.747,40.485,40.319,41.335,42.259
106,M,False,40.485,40.319,41.335,42.259,41.286,41.252,40.594,40.482,41.035,41.089
107,M,False,41.027,41.137,41.7,41.479,41.685,41.833,42.361,42.368,42.206,42.277
108,M,True,46.38,46.783,47.414,46.131,46.488,46.506,47.5,46.685,45.398,45.953
109,M,False,23.885,23.09,23.033,24.564,22.876,22.923,24.712,25.336,25.484,27.047
110,M,False,51.636,52.174,51.95,52.377,52.61,52.423,52.584,52.474,52.476,51.648
111,M,False,62.384,62.593,62.681,62.454,62.568,62.448,62.309,62.136,61.685,61.546
112,M,True,51.554,52.168,52.255,52.366,51.579,51.591,50.626,49.741,49.06,49.089
113,M,True,54.687,53.683,54.744,56.382,55.511,55.774,56.343,56.657,56.976,57.004
114,M,False,57.218,56.169,55.896,55.541,56.136,56.497,56.452,56.91,56.89,56.983
115,M,False,40.447,40.675,41.29,40.842,40.785,39.901,39.301,38.88,38.606,39.312
116,M,False,18.132,18.294,18.142,17.991,18.209,18.141,17.897,18.112,18.264,18.229
117,M,False,20.053,20.142,19.907,19.791,19.727,19.947,20.02,19.902,20.039,20.271
118,M,True,51.965,51.177,51.504,50.197,49.99,48.929,49.695,48.532,49.131,48.924
119,M,True,45.328,44.591,44.868,44.735,42.94,43.452,42.842,42.446,42.269,43.26
120,M,True,37.556,37.604,38.235,37.296,37.653,37.292,37.363,37.49,37.935,37.758
121,M,True,38.202,38.016,38.301,37.586,37.239,37.396,37.057,37.941,37.044,37.628
122,M,True,37.111,37.286,37.69,37.582,37.748,37.614,37.587,37.646,37.56,37.667
123,M,True,37.023,36.926,37.237,37.235,37.186,37.106,37.15,36.888,37.033,37.044
124,M,False,37.55,37.571,37.57,37.837,37.76,37.668,37.393,37.513,37.692,37.591
125,M,False,37.718,38.093,38.082,38.504,38.691,38.813,38.751,38.768,38.737,38.669
126,M,False,39.212,39.45,39.621,39.725,39.693,39.322,39.693,39.571,39.848,39.579
127,M,False,23.12,22.802,22.589,22.821,22.847,22.886,22.417,22.367,21.932,22.278
128,M,True,21.848,21.775,21.354,20.895,21.237,21.827,20.969,21.352,20.926,20.599
129,M,False,11.27,11.203,11.289,11.22,11.208,11.176,11.202,12.069,11.51,11.707
130,M,False,17.579,17.135,16.194,16.484,16.728,16.946,17.203,16.523,16.129,16.398
131,M,True,24.022,23.374,22.738,24.158,24.879,23.68,24.289,25.406,27.071,26.585
132,M,False,39.103,39.655,38.888,38.669,38.873,38.727,37.898,39.481,38.775,39.078
133,M,True,20.292,20.185,19.097,19.644,19.248,19.473,18.606,18.3,17.973,18.987
134,M,False,17.853,17.934,18.241,17.827,18.839,18.464,18.009,17.007,17.748,17.927
135,M,False,17.612,18.347,17.915,17.852,17.642,17.836,17.846,17.518,17.726,17.916
136,M,True,20.541,20.532,20.861,20.547,20.575,20.576,20.437,20.774,20.633,20.552
137,M,False,21.419,21.223,21.059,21.156,20.836,21.051,20.547,20.609,21.143,20.948
138,M,False,28.528,28.313,28.655,28.603,28.821,28.563,28.648,28.058,28.628,28.338
139,M,False,30.166,34.403,34.105,30.526,30.264,30.755,30.805,31.124,30.839,31.205
140,M,False,32.191,31.963,31.68,31.38,31.586,31.539,31.329,31.261,31.109,31.236
141,M,False,16.039,16.571,16.696,17.192,17.698,17.112,17.556,18.219,17.839,18.216
142,M,True,48.208,51.374,48.12,48.826,49.392,48.249,48.452,48.99,48.909,47.958
143,M,True,37.518,38.485,38.211,37.003,37.491,37.118,37.869,37.507,38.702,38.577
144,M,False,38.485,38.211,37.003,37.491,37.118,37.869,37.507,38.702,38.577,38.793
145,M,False,38.966,38.83,38.425,39.355,39.443,39.493,39.864,39.838,39.711,39.925
146,M,True,39.271,39.041,38.998,38.614,38.865,39.485,39.212,39.294,39.66,40.032
147,M,False,39.212,39.294,39.66,40.032,40.406,40.295,40.067,40.534,40.078,40.128
148,M,False,39.695,39.883,40.296,39.412,39.648,40.39,40.088,39.064,39.802,40.417
149,M,False,40.611,41.143,40.581,41.654,41.745,41.71,41.998,40.649,40.227,40.134
150,M,False,41.305,41.601,41.422,41.046,40.728,41.529,41.376,40.984,41.722,42.365
151,M,False,44.474,44.821,44.729,45.559,45.503,45.937,45.871,45.651,45.66,46.562
152,M,False,51.411,51.709,51.824,52.052,52.326,52.154,52.362,51.982,51.799,51.758
153,M,False,46.644,45.953,45.753,45.79,44.967,45.41,45.077,45.044,45.063,45.148
154,M,False,26.248,25.919,25.599,25.653,25.496,25.105,25.665,25.491,25.816,25.831
155,M,True,21.203,21.286,22.093,22.025,23.044,21.752,20.87,20.612,20.978,20.982
156,M,False,18.16,19.128,19.432,19.569,20.15,19.611,18.279,18.348,18.18,18.586
157,M,False,41.266,40.546,40.76,40.683,40.568,40.886,40.146,40.472,40.921,41.72
158,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,M,False,29.871,29.501,29.546,29.219,29.756,29.726,29.187,29.02,28.668,28.417
160,M,True,35.746,35.431,35.415,35.956,34.955,34.539,35.525,35.547,35.416,35.835
161,M,True,39.603,39.496,39.753,39.556,39.181,39.452,39.157,39.317,39.115,39.596
162,M,False,39.115,39.596,38.558,39.057,38.933,39.019,39.344,39.304,39.129,39.423
163,M,True,40.453,40.242,40.143,39.883,39.691,39.691,40.039,40.307,40.028,40.309
164,M,False,41.413,41.434,41.312,41.756,42.156,42.391,42.493,42.313,42.428,42.311
165,M,False,44.767,44.488,44.667,44.932,45.342,44.824,44.975,45.071,45.195,45.353
166,M,False,18.045,18.507,18.227,17.934,18.407,17.812,17.869,18.449,18.261,18.459
167,M,False,11.633,11.537,11.687,11.494,11.303,11.465,11.765,11.857,11.699,11.578
168,M,True,0.0,0.0,0.0,0.0,0.0,0.0,35.417,34.694,17.021,15.06
169,M,False,29.139,33.133,33.102,25.945,25.712,24.424,22.48,23.632,25.976,23.546
170,M,False,23.883,24.511,23.321,25.243,23.272,23.378,24.066,24.762,25.763,24.618
171,M,False,43.042,43.464,43.753,44.162,44.076,43.412,44.082,44.63,43.825,44.486
172,M,True,23.374,23.7,23.817,23.659,23.056,24.942,23.506,23.648,25.468,24.455
173,M,False,22.152,22.975,22.682,22.543,22.317,21.741,21.949,21.808,21.974,21.816
174,M,True,17.272,17.195,17.313,17.359,17.691,17.95,17.815,17.441,17.974,18.176
175,M,False,19.177,18.954,19.586,19.389,19.515,19.934,20.39,21.114,20.733,20.081
176,M,True,24.634,24.947,24.964,25.286,25.772,26.208,26.956,26.198,26.928,27.75
177,M,False,28.654,28.645,28.557,29.161,29.576,29.064,28.617,28.225,29.497,28.865
178,M,True,45.962,46.48,46.465,46.182,46.707,46.714,46.634,46.625,46.591,46.549
179,M,False,47.818,47.854,47.841,47.786,47.727,47.893,48.065,48.556,48.459,48.286
180,M,False,48.463,48.665,49.073,49.181,49.239,48.894,48.525,48.714,48.795,48.729
181,M,True,50.942,50.846,50.742,50.735,51.073,50.858,50.853,50.667,50.472,50.201
182,M,True,50.835,50.904,50.817,50.734,50.908,50.621,50.806,51.009,51.121,50.902
183,M,True,51.501,51.147,51.376,51.3,50.998,50.781,50.825,51.214,51.311,50.92
184,M,True,50.782,50.99,51.27,50.944,50.727,50.615,50.802,50.712,50.616,50.496
185,M,False,40.196,40.805,40.361,40.315,40.854,40.057,39.961,40.087,39.6,40.023
186,M,True,51.104,50.609,50.58,50.936,50.795,50.524,50.476,49.965,50.329,50.507
187,M,False,50.507,50.173,50.204,50.199,50.214,50.422,50.434,50.045,50.645,50.238
188,M,False,50.434,50.045,50.645,50.238,50.153,49.954,50.037,49.567,49.708,49.952
189,M,True,49.708,49.952,50.099,49.915,49.824,50.34,49.985,49.693,49.885,49.692
190,M,True,49.824,50.34,49.985,49.693,49.885,49.692,49.59,49.246,49.024,48.867
191,M,False,49.365,49.08,49.004,48.818,48.612,48.399,48.47,48.909,48.72,48.774
192,M,False,14.272,15.19,17.783,18.885,25.186,22.863,23.227,24.222,23.866,23.873
193,M,True,49.106,49.251,48.558,48.94,49.056,48.73,48.76,48.616,48.152,48.208
194,M,False,49.056,48.73,48.76,48.616,48.152,48.208,47.774,47.613,47.804,47.923
195,M,False,47.613,47.804,47.923,47.655,48.198,47.954,48.284,48.227,48.221,47.978
196,M,True,46.329,46.097,46.541,46.215,46.278,46.223,46.315,45.683,45.943,46.263
197,M,False,45.683,45.943,46.263,46.028,45.923,45.577,45.39,45.401,45.633,45.207
198,M,True,45.281,44.844,44.434,44.358,44.019,44.196,44.112,44.021,44.34,43.985
199,M,False,44.112,44.021,44.34,43.985,43.782,44.195,44.193,43.751,43.716,43.307
200,M,True,41.256,41.454,41.778,41.402,41.663,41.084,40.772,41.3,41.217,41.364
201,M,False,41.254,41.66,41.921,41.657,41.249,40.788,40.847,40.593,40.359,40.114
202,M,True,39.172,38.981,38.649,38.979,38.663,38.242,38.018,38.219,38.066,38.071
203,M,False,36.58,36.525,36.215,36.298,35.742,35.736,35.397,35.354,35.181,35.231
204,M,False,35.515,36.427,36.345,36.036,35.671,36.0,36.762,36.248,36.479,35.771
205,M,False,25.42,24.506,25.256,26.752,25.495,27.268,26.361,26.112,27.197,26.618
206,M,True,34.381,34.164,33.794,33.972,34.178,33.838,34.186,33.873,34.016,33.471
207,M,True,30.431,29.451,29.615,29.193,29.531,29.194,28.956,29.63,29.839,29.024
208,M,False,29.037,29.0,28.493,28.862,29.281,28.181,29.26,29.6,28.51,28.185
209,M,False,29.263,28.884,28.874,28.9,29.122,29.449,29.609,29.387,29.309,29.134
210,M,False,28.237,28.037,28.146,27.902,27.665,27.274,27.662,27.593,27.386,27.07
211,M,True,33.049,32.956,33.499,33.159,33.664,33.285,33.606,33.501,33.577,33.362
212,M,False,36.867,36.708,37.05,36.988,37.221,37.184,37.098,37.378,37.524,37.838
213,M,False,37.184,37.098,37.378,37.524,37.838,37.561,37.71,37.778,37.412,37.448
214,M,False,43.259,42.995,42.74,42.682,42.45,42.315,42.424,42.402,41.627,41.744
215,M,False,25.014,25.248,25.458,25.261,25.128,25.139,24.857,24.87,24.836,24.844
216,M,False,24.238,23.22,23.665,24.104,23.265,23.36,23.644,23.305,23.426,23.866
217,M,True,17.628,17.86,17.903,18.256,18.624,18.29,18.439,18.717,18.547,18.411
218,M,False,20.105,20.017,20.412,20.004,19.736,19.947,19.464,19.87,19.846,19.73
219,M,False,25.287,25.241,25.312,25.159,24.768,24.685,24.644,24.411,24.515,24.757
220,M,False,14.013,13.953,13.774,13.441,13.748,13.202,13.321,13.388,13.385,13.399
221,M,False,1.2853,12.577,14.167,14.3,11.957,19.922,25.667,18.885,21.895,16.148
222,M,False,14.167,14.3,11.957,19.922,25.667,18.885,21.895,16.148,20.256,20.077
223,M,False,24.242,24.414,23.686,23.639,23.324,23.406,23.643,23.99,22.998,23.165
224,M,False,20.125,19.762,34.899,19.311,19.311,18.966,18.837,19.124,19.482,20.054
225,M,False,15.62,15.231,15.277,15.464,15.706,15.868,15.508,15.484,15.633,15.027
226,M,False,15.046,14.4,14.185,13.808,14.276,14.753,14.906,15.166,14.406,14.771
227,M,True,77.6,80.376,81.16,77.275,76.503,73.113,72.994,71.516,69.439,70.951
228,M,True,36.237,35.915,33.158,34.201,32.622,33.181,34.046,35.469,34.43,33.217
229,M,True,31.963,31.87,32.481,30.783,29.793,30.585,31.063,30.329,29.84,30.894
230,M,False,29.456,29.161,30.186,30.722,28.258,28.234,27.984,28.762,29.44,28.617
231,M,True,27.22,24.603,25.674,23.846,22.644,23.146,22.752,22.171,22.637,22.636
232,M,False,21.585,22.28,21.414,21.41,21.554,21.251,21.442,20.78,20.915,21.397
233,M,False,23.148,23.286,23.456,23.053,23.411,23.004,23.164,22.796,23.22,22.442
234,M,True,26.12,25.959,26.423,26.546,27.034,27.269,27.697,29.26,30.043,30.239
235,M,False,34.723,35.011,35.747,34.907,35.076,36.044,35.647,35.914,35.33,35.633
236,M,False,39.565,39.615,40.045,40.174,39.478,39.506,39.438,39.772,39.784,38.873
237,M,False,10.532,10.534,10.438,10.132,10.236,10.598,10.187,10.198,9.8562,9.6766
238,M,False,46.677,46.957,46.373,46.233,46.118,47.476,46.49,46.052,45.818,45.986
239,M,False,37.73,37.247,37.344,37.999,37.539,37.109,36.538,36.649,36.821,35.323
240,M,True,39.348,39.599,39.904,39.32,39.513,39.917,39.908,39.891,39.798,40.045
241,M,False,40.681,40.987,40.149,40.333,40.381,40.458,40.26,40.117,40.443,39.78
242,M,True,25.159,25.135,25.349,25.165,25.611,25.34,24.96,24.892,25.589,25.214
243,M,False,22.482,22.384,22.173,22.239,21.968,22.812,22.441,22.349,22.108,22.65
244,M,False,23.521,21.519,31.606,31.386,30.421,33.28,35.116,37.029,37.17,36.079
245,M,False,31.576,31.317,31.223,30.877,30.839,30.902,30.459,30.696,31.223,30.315
246,M,False,40.153,39.772,39.32,39.238,39.673,38.917,38.73,39.178,39.301,38.764
247,M,False,49.221,48.805,49.057,49.024,49.331,49.678,49.624,49.633,50.317,49.868
248,M,False,39.377,39.068,39.173,38.67,38.727,38.562,38.765,39.096,38.914,39.074
249,M,False,25.175,25.227,24.625,25.152,25.003,24.961,25.128,24.816,24.79,24.214
250,M,False,12.461,12.09,12.013,12.064,12.143,12.409,12.435,12.434,12.578,12.531
251,M,True,20.189,20.556,20.355,21.012,20.71,20.685,21.412,20.586,20.908,20.481
252,M,False,24.344,24.543,24.136,24.538,25.092,24.028,24.645,24.012,23.574,23.783
253,M,False,9.8831,9.7288,9.6832,9.6567,9.483,9.8295,9.992,9.5714,9.5386,9.2876
254,M,False,4.3091,6.0089,5.5082,4.8265,4.2764,4.5292,5.1727,4.3009,5.4191,5.0366
255,M,False,30.366,30.398,30.131,30.482,30.472,30.346,30.38,29.826,29.769,29.737
256,M,False,22.305,22.612,22.669,22.385,22.342,22.816,23.882,23.804,23.572,24.727
257,M,False,58.271,57.698,57.807,56.057,55.618,55.676,55.097,50.855,52.415,53.191
258,M,False,20.72,19.974,18.884,19.346,19.994,19.894,20.181,19.327,18.988,19.98
259,M,False,28.707,28.396,27.774,28.129,29.488,27.386,29.128,28.009,28.097,27.421
260,M,False,21.048,21.23,21.408,21.483,21.516,21.501,21.801,22.5,22.46,22.119
261,M,True,52.528,52.123,51.565,51.075,50.989,51.24,51.539,52.216,51.102,50.844
262,M,False,51.075,50.989,51.24,51.539,52.216,51.102,50.844,51.395,51.216,50.967
263,M,False,17.438,17.019,17.134,16.584,17.289,17.079,17.814,18.871,18.95,17.349
264,M,False,23.344,23.891,23.364,23.752,23.229,23.098,23.807,23.624,23.745,23.391
265,M,True,25.832,25.929,26.137,26.086,25.566,25.966,25.515,25.824,24.908,25.556
266,M,False,23.263,23.095,22.882,23.784,23.35,23.212,23.259,23.083,23.159,23.434
267,M,True,23.672,23.882,24.7,24.614,24.531,24.59,25.224,26.137,25.938,25.494
268,M,False,33.163,33.622,34.087,33.957,33.937,33.801,33.391,33.667,33.248,33.503
269,M,True,36.574,36.259,36.459,36.424,36.363,35.891,36.144,36.667,36.913,36.591
270,M,True,47.587,47.906,48.276,48.093,48.256,48.704,48.559,48.955,49.341,49.139
271,M,False,50.383,50.242,50.526,50.778,50.63,51.021,50.772,50.567,50.433,50.722
272,M,False,50.526,50.778,50.63,51.021,50.772,50.567,50.433,50.722,50.947,50.828
273,M,False,36.044,35.946,36.344,36.242,36.424,36.622,36.68,37.075,37.233,36.948
274,M,False,50.232,50.431,50.581,50.948,50.894,51.303,51.313,51.065,51.312,51.163
275,M,False,50.948,50.894,51.303,51.313,51.065,51.312,51.163,51.534,51.498,51.354
276,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.879,3.6765,28.492
277,M,True,44.792,44.444,47.658,43.574,43.114,43.154,42.309,42.371,43.77,40.956
278,M,True,35.952,35.079,35.698,34.902,34.739,33.477,33.282,33.816,34.229,34.503
279,M,False,33.516,33.958,33.328,34.347,34.723,33.418,34.976,33.833,34.238,34.176
280,M,False,34.093,33.166,33.771,33.485,32.205,32.366,31.935,33.076,32.542,32.073
281,M,False,32.542,32.073,32.687,33.742,33.023,32.507,33.205,33.92,32.9,33.912
282,M,False,34.111,35.155,36.348,35.885,35.517,35.292,35.32,36.144,35.437,35.603
283,M,True,34.347,34.208,34.167,33.881,34.265,34.486,34.616,34.083,34.322,34.421
284,M,False,29.521,28.936,30.107,29.261,29.487,28.709,28.771,28.978,28.47,28.881
285,M,False,34.909,34.387,34.201,34.149,33.723,33.558,33.505,33.119,33.251,33.024
286,M,False,28.226,28.843,29.463,29.253,28.886,29.535,30.357,29.942,29.548,29.318
287,M,True,49.375,49.214,49.339,49.608,49.907,50.176,50.041,50.139,49.512,49.634
288,M,False,49.339,49.608,49.907,50.176,50.041,50.139,49.512,49.634,49.403,49.233
289,M,False,28.445,28.689,28.53,28.253,28.852,27.96,29.02,28.671,28.641,28.588
290,M,False,23.711,24.055,23.825,24.215,23.776,24.227,25.708,25.202,27.058,27.544
291,M,False,43.318,43.842,43.51,43.507,43.597,43.769,44.068,43.744,43.532,43.538
292,M,True,44.762,44.741,44.629,44.935,44.805,44.998,44.447,44.564,44.738,43.788
293,M,False,41.897,42.101,42.589,42.903,43.685,44.16,44.067,44.162,44.128,44.436
294,M,True,31.336,31.515,31.776,31.75,31.973,31.442,31.268,31.404,31.647,31.714
295,M,True,32.096,32.084,32.084,32.726,32.418,32.25,32.78,32.882,32.556,33.131
296,M,True,34.515,34.737,34.91,35.243,35.388,34.913,35.2,35.17,35.442,35.094
297,M,True,38.583,38.79,38.387,38.291,38.284,38.641,38.867,38.79,38.675,38.789
298,M,True,42.566,42.4,42.137,41.905,41.996,41.952,42.362,42.139,42.038,42.281
299,M,False,37.628,38.352,39.22,38.013,38.327,38.309,38.072,38.729,38.133,39.765
300,M,False,23.381,24.121,24.396,24.575,24.988,25.169,25.206,24.333,23.685,24.134
