,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5,SHRGT45_6,SHRGT45_7,SHRGT45_8,SHRGT45_9,SHRGT45_10
2107,N,False,15.798,11.433,13.577,15.513,15.747,13.609,18.831,21.093,21.661,24.199
2108,N,False,7.1676,6.8568,6.523,6.7797,6.7602,6.5117,6.1174,5.5448,6.4085,5.5489
2109,N,False,5.2101,6.3604,2.9514,3.1311,6.1303,2.4482,1.5748,5.3407,8.0235,6.4449
2110,N,False,32.743,32.346,32.355,32.278,32.215,32.039,32.33,32.378,32.434,31.945
2111,N,False,35.438,35.311,35.989,35.885,35.414,35.019,34.959,34.989,34.603,34.604
2112,N,False,32.735,32.186,32.843,33.515,33.097,33.266,33.05,33.331,32.915,33.168
2113,N,False,19.55,20.089,20.637,21.29,21.694,22.265,22.736,21.689,22.866,22.905
2114,N,False,50.704,50.926,51.129,50.973,51.134,51.025,50.851,51.036,50.854,50.73
2115,N,False,2.6657,2.9664,4.4636,2.5812,3.2233,3.3871,3.3011,4.0738,3.9167,3.8361
2116,N,False,44.356,43.71,44.396,43.873,44.437,44.494,43.97,43.763,43.368,43.014
2117,N,False,25.467,25.775,26.157,26.282,26.713,26.814,26.978,27.428,27.518,27.829
2118,N,False,36.32,33.346,32.009,31.434,31.529,30.086,30.624,31.185,31.028,31.435
2119,N,False,22.897,22.488,22.796,23.168,24.273,23.924,24.186,24.293,23.949,23.859
2120,N,False,12.582,14.678,12.672,13.624,15.041,16.882,12.0,9.9692,12.297,13.12
2121,N,False,23.14,23.18,23.262,23.494,23.451,23.294,23.204,23.304,23.346,23.656
2122,N,False,4.886,5.6394,5.5786,4.749,5.9859,5.8447,5.8231,6.3713,7.2697,7.2225
2123,N,False,31.443,31.425,31.097,30.993,30.808,31.281,31.365,31.397,31.206,31.177
2124,N,False,1.5838,1.7241,0.63058,0.5641,1.2612,1.0903,0.51706,1.9837,1.6658,1.5385
2125,N,False,19.32,19.612,18.463,18.45,19.37,19.293,19.488,18.391,16.682,16.946
2126,N,False,6.3439,7.3859,6.7257,5.3004,7.3084,7.2934,8.2474,7.9796,6.5461,7.554
2127,N,False,7.1907,8.152,11.234,7.5712,7.4223,8.6475,10.446,8.6755,8.8612,7.9326
2128,N,False,22.628,21.49,21.6,21.631,21.57,21.733,21.676,20.992,21.576,22.215
2129,N,False,49.542,49.703,49.577,49.534,49.246,48.996,48.742,48.793,48.347,48.01
2130,N,False,49.596,49.588,49.471,49.542,49.703,49.577,49.534,49.246,48.996,48.742
2131,N,False,13.308,12.241,14.781,14.37,14.93,12.817,12.595,11.565,11.718,11.612
2132,N,False,30.719,29.621,30.101,30.548,32.486,30.342,29.552,28.276,29.342,28.838
2133,N,False,10.355,10.326,11.06,10.606,10.219,9.1209,10.836,10.078,8.5711,10.265
2134,N,False,5.404,6.8002,4.8094,4.3842,4.1416,4.6295,3.9617,4.4857,4.082,4.5428
2135,N,False,5.4664,6.7971,5.3925,6.4573,5.4988,6.2528,6.4124,6.0841,6.1324,5.5228
2136,N,False,30.633,30.677,30.818,31.711,31.148,31.975,32.387,32.515,32.09,31.788
2137,N,False,6.1692,5.1639,5.7956,5.1459,4.7115,3.9153,3.3067,4.3478,3.9891,3.9636
2138,N,False,28.869,29.286,28.848,28.183,27.773,27.832,27.337,27.134,26.991,26.449
