,FLARE_TYPE,COINCIDENCE,MEANGAM_1,MEANGAM_2,MEANGAM_3,MEANGAM_4,MEANGAM_5,MEANGAM_6,MEANGAM_7,MEANGAM_8,MEANGAM_9,MEANGAM_10
0,X,False,59.703,59.541,59.598,59.828,59.809,59.849,59.948,59.983,60.104,60.195
1,X,False,58.046,58.109,57.919,57.67,57.611,57.61,57.571,57.417,57.358,57.464
2,X,False,44.545,44.628,44.86,44.816,44.704,44.465,44.52,44.492,44.475,44.515
3,X,False,54.46,54.615,54.686,54.626,55.074,55.023,54.843,54.796,54.992,55.318
4,X,True,49.86,49.305,49.1,49.004,48.641,48.787,48.444,48.42,48.437,48.631
5,X,False,46.821,46.47,46.395,46.265,46.05,46.16,46.006,45.749,45.698,45.753
6,X,False,32.961,32.84,33.085,33.268,33.186,33.442,33.488,33.531,33.77,33.678
7,X,True,49.695,50.19,50.4,49.849,50.084,50.055,49.934,49.769,49.339,49.118
8,X,False,51.12,51.085,51.177,51.43,51.252,51.237,51.243,51.013,51.202,51.129
9,X,False,51.237,51.243,51.013,51.202,51.129,51.182,51.151,51.26,51.149,51.051
10,X,False,46.774,47.028,47.02,47.338,47.357,46.976,47.042,47.26,47.418,46.92
11,X,False,52.792,53.062,52.998,53.146,53.166,53.263,53.253,53.224,53.128,53.224
12,X,False,45.346,44.391,44.611,44.45,44.264,44.239,44.1,43.61,43.268,43.326
13,X,True,53.922,52.433,51.169,52.966,52.654,52.599,53.075,51.024,51.031,51.261
14,X,True,43.291,43.003,43.1,43.349,43.461,43.526,43.214,43.36,43.347,43.205
15,X,False,42.289,42.369,42.153,42.335,42.515,42.589,43.007,43.055,42.878,43.038
16,X,False,43.912,44.001,43.915,43.899,43.817,43.677,43.751,43.731,43.522,43.633
17,X,False,51.549,51.619,51.623,51.616,51.797,51.89,52.017,52.11,52.162,52.164
18,X,False,53.168,53.227,53.247,53.475,53.408,53.75,53.964,54.011,54.063,54.341
19,X,False,38.64,38.59,38.486,39.387,38.915,38.617,38.943,38.909,39.232,39.104
20,X,False,55.159,55.197,55.187,55.09,55.206,55.077,55.165,55.109,55.101,54.975
21,X,False,18.296,18.394,18.375,18.403,18.75,19.213,19.015,18.764,19.357,20.364
22,X,False,33.175,32.857,33.109,32.89,32.79,32.512,32.453,32.8,33.116,32.912
23,X,False,50.411,50.534,49.523,49.536,48.845,48.471,48.165,48.245,47.691,47.001
24,X,False,44.472,44.318,44.351,44.328,44.101,43.988,44.186,43.985,44.345,44.06
25,X,True,51.552,51.49,51.38,51.368,51.35,51.335,51.272,51.242,51.16,51.15
26,X,True,54.602,54.66,54.666,54.708,54.799,54.802,54.808,54.87,54.803,54.81
27,X,True,49.983,49.909,49.839,49.72,49.636,49.566,49.565,49.503,49.476,49.414
28,X,True,44.4,44.465,44.492,44.46,44.427,44.427,44.431,44.356,44.338,44.299
29,X,False,38.634,38.421,38.679,38.426,38.669,38.614,38.595,38.414,38.364,38.525
30,X,False,42.777,42.605,42.598,42.655,42.503,42.597,42.443,42.446,42.463,42.437
31,X,True,45.869,46.022,46.047,46.133,46.319,46.081,46.094,46.194,46.464,46.415
32,X,False,48.097,47.294,48.095,51.416,55.766,52.51,53.774,53.785,53.779,54.022
33,X,True,56.951,56.723,56.637,56.445,56.431,56.605,56.556,56.46,56.562,56.532
34,X,True,56.076,56.122,55.901,56.02,56.014,55.895,55.854,56.153,56.122,56.081
35,X,False,49.883,49.661,49.75,49.842,49.83,49.525,49.381,49.545,49.853,49.59
36,X,False,43.448,43.76,44.034,43.021,42.637,42.219,42.13,42.616,42.209,42.596
37,M,False,42.369,43.847,42.395,42.381,41.93,42.306,41.574,40.541,40.701,40.495
38,M,False,33.674,33.349,31.421,32.828,32.827,34.778,34.507,33.51,32.115,31.753
39,M,False,37.383,37.251,37.157,36.977,36.986,37.012,36.879,37.008,36.877,36.824
40,M,True,43.799,42.844,41.779,42.907,42.411,41.739,41.884,41.99,41.81,42.733
41,M,False,27.084,27.317,27.79,27.825,27.895,28.404,28.503,28.082,28.371,28.274
42,M,False,40.286,40.577,40.539,41.007,40.88,41.358,41.974,41.934,42.581,42.433
43,M,False,33.293,32.987,33.238,33.934,34.209,33.54,33.83,33.837,34.175,34.411
44,M,True,53.933,53.747,54.303,54.794,54.908,54.669,55.438,55.02,55.843,55.611
45,M,True,60.309,60.268,59.885,59.714,59.757,59.917,59.829,59.765,59.688,59.497
46,M,False,37.464,36.63,36.257,36.637,36.888,36.942,37.745,38.222,38.565,38.36
47,M,False,58.373,58.245,58.199,58.322,58.267,58.299,58.314,58.088,58.08,58.212
48,M,True,48.681,48.513,48.811,48.917,48.908,48.792,48.663,48.464,48.328,48.587
49,M,True,49.773,49.745,49.937,50.09,49.96,49.831,49.951,49.885,49.747,49.968
50,M,False,47.826,47.382,47.578,47.534,47.714,47.378,47.612,47.51,47.345,47.393
51,M,False,49.881,49.839,49.923,50.292,50.117,49.925,50.019,49.997,49.841,49.606
52,M,False,51.099,51.352,51.328,51.48,51.867,51.523,51.845,52.291,51.99,52.046
53,M,False,33.122,33.477,33.123,32.884,33.072,33.072,33.178,32.924,32.684,32.921
54,M,True,45.936,45.657,45.57,45.5,45.436,45.053,44.775,44.488,44.447,44.472
55,M,True,38.926,39.073,39.178,38.213,38.453,38.793,38.578,38.219,38.263,38.103
56,M,False,44.17,44.227,44.696,45.012,45.175,45.218,45.245,44.993,45.042,45.15
57,M,False,45.245,44.993,45.042,45.15,44.547,44.484,44.299,44.458,44.534,44.27
58,M,False,50.546,51.21,51.382,50.902,50.68,50.716,50.829,50.961,50.756,50.928
59,M,False,41.114,41.421,41.15,41.265,40.926,41.176,41.233,41.281,41.442,41.191
60,M,True,40.311,40.336,40.144,40.107,40.56,40.652,39.985,40.389,40.278,40.364
61,M,False,40.08,39.965,40.206,40.339,39.892,40.036,39.993,40.075,39.975,40.631
62,M,False,39.664,40.123,40.187,40.546,40.661,40.394,40.271,40.617,40.482,40.955
63,M,False,42.305,42.459,42.074,42.005,41.767,41.976,41.968,41.491,41.645,41.682
64,M,False,41.645,41.682,41.698,41.965,42.15,42.231,42.475,42.212,41.727,41.943
65,M,True,59.577,59.57,59.598,59.543,59.529,59.589,59.59,59.591,59.468,59.507
66,M,False,59.309,59.361,59.34,59.424,59.343,59.456,59.594,59.495,59.482,59.358
67,M,False,54.222,54.108,54.058,54.031,54.129,54.14,53.987,53.914,53.763,53.711
68,M,True,42.88,42.555,43.035,42.134,42.585,42.663,42.767,42.381,42.267,42.361
69,M,False,39.471,40.358,40.72,40.184,39.986,39.827,39.882,40.46,40.148,40.08
70,M,False,54.36,54.635,54.978,54.861,54.552,54.839,54.779,54.513,54.464,54.174
71,M,False,42.129,42.256,41.721,42.471,42.311,42.249,42.17,41.64,41.869,41.837
72,M,False,39.352,39.25,39.285,39.316,39.535,39.523,39.473,39.199,39.524,39.363
73,M,False,49.193,49.075,49.098,49.031,49.129,49.411,49.522,49.428,49.325,49.251
74,M,True,33.589,33.399,33.588,33.128,33.594,33.265,33.415,33.792,33.343,33.459
75,M,False,34.824,34.689,34.498,34.909,34.663,34.9,34.406,34.684,34.271,34.489
76,M,True,49.661,47.919,48.805,49.695,48.788,49.312,48.606,48.437,48.386,48.778
77,M,False,45.326,44.924,44.871,44.245,45.065,44.194,44.113,44.242,44.789,44.819
78,M,False,34.192,34.427,34.321,34.57,34.349,34.417,33.925,33.971,34.189,34.118
79,M,False,49.287,49.602,49.523,49.624,48.931,48.732,48.944,47.994,48.449,47.487
80,M,False,35.805,36.651,37.072,37.025,37.509,37.798,37.606,37.777,38.201,38.226
81,M,False,43.83,43.806,43.694,44.065,44.065,44.085,44.38,44.112,44.344,44.318
82,M,True,56.186,56.121,55.634,55.534,55.305,55.351,55.431,55.577,55.877,56.309
83,M,True,55.807,55.585,55.568,55.304,55.234,55.161,55.123,55.08,54.794,54.561
84,M,False,60.484,60.727,60.807,60.711,60.611,60.455,60.42,60.698,60.707,60.917
85,M,True,53.338,53.361,53.284,53.27,53.22,53.326,53.171,53.212,53.29,53.283
86,M,False,52.036,51.903,51.866,51.731,51.624,51.639,51.61,51.216,51.299,51.406
87,M,True,48.468,48.422,48.145,47.881,48.004,47.78,47.677,47.498,47.321,47.468
88,M,False,45.531,45.418,45.377,45.401,45.359,45.227,45.387,45.525,45.265,44.96
89,M,True,36.01,36.149,36.467,36.338,36.675,36.349,36.094,36.517,36.284,36.129
90,M,False,32.979,32.828,32.682,32.516,32.371,32.387,32.267,32.033,32.178,32.025
91,M,False,31.837,32.042,31.945,31.975,32.057,31.824,31.755,31.734,31.844,31.769
92,M,True,51.963,51.928,51.528,51.599,51.545,51.572,51.553,51.56,51.358,51.641
93,M,True,45.942,46.092,46.089,46.421,46.576,46.883,46.733,46.467,46.405,46.547
94,M,False,42.316,42.584,42.255,42.152,42.407,42.26,42.823,42.643,42.894,42.783
95,M,True,43.404,43.323,43.064,43.302,43.297,43.247,43.098,43.154,43.17,43.072
96,M,False,37.786,37.664,38.11,37.735,38.083,37.565,37.72,37.916,37.518,37.615
97,M,False,32.005,32.137,32.019,31.814,31.637,31.592,31.466,31.466,31.663,31.552
98,M,True,38.528,38.796,38.946,38.895,38.665,38.744,38.905,39.028,38.82,38.741
99,M,True,35.368,35.158,35.379,35.236,35.181,35.072,35.191,35.215,35.391,35.251
100,M,True,47.028,46.732,46.851,47.086,47.098,47.233,47.04,46.966,46.701,46.746
101,M,False,45.934,46.099,45.54,46.268,45.926,46.362,46.601,46.287,46.708,45.782
102,M,False,36.031,36.027,35.995,36.181,35.821,35.907,36.024,35.868,35.891,35.927
103,M,True,46.368,46.281,46.438,46.882,46.803,46.707,46.968,47.419,46.675,47.797
104,M,False,46.882,46.803,46.707,46.968,47.419,46.675,47.797,47.427,47.45,47.169
105,M,False,47.797,47.427,47.45,47.169,47.877,46.922,47.115,47.018,47.739,48.149
