,FLARE_TYPE,COINCIDENCE,MEANGAM_1,MEANGAM_2,MEANGAM_3,MEANGAM_4,MEANGAM_5,MEANGAM_6,MEANGAM_7,MEANGAM_8,MEANGAM_9,MEANGAM_10
106,M,False,47.115,47.018,47.739,48.149,47.64,47.688,47.388,47.411,47.811,47.922
107,M,False,48.136,48.162,48.535,48.471,48.559,48.658,48.837,48.855,48.575,48.759
108,M,True,50.893,51.209,51.397,50.78,50.883,51.053,51.443,51.065,50.458,50.81
109,M,False,43.36,42.913,42.745,42.767,42.142,41.987,42.949,43.491,43.848,44.891
110,M,False,53.643,53.875,53.91,54.091,54.186,54.143,54.255,54.097,54.13,53.834
111,M,False,60.933,60.929,60.984,60.86,60.993,60.837,60.786,60.729,60.764,60.561
112,M,True,57.483,57.782,57.671,57.68,57.315,57.248,56.726,56.454,56.624,56.692
113,M,True,59.46,58.952,59.368,60.357,59.745,59.849,60.711,60.709,60.831,61.072
114,M,False,62.474,61.987,61.532,61.656,61.663,61.788,61.766,61.746,62.048,62.298
115,M,False,48.278,48.188,48.562,48.455,48.403,47.921,47.745,47.804,47.598,47.897
116,M,False,35.618,35.683,35.601,35.462,35.668,35.494,35.303,35.489,35.474,35.528
117,M,False,36.614,36.515,36.409,36.577,36.611,36.665,36.735,36.729,36.797,36.993
118,M,True,53.589,53.32,52.993,52.756,52.455,52.397,52.102,51.728,51.646,51.407
119,M,True,49.381,49.047,49.279,49.267,48.357,48.246,48.498,48.533,48.274,48.508
120,M,True,45.55,45.584,45.863,45.376,45.488,45.396,45.349,45.495,45.6,45.55
121,M,True,45.834,45.775,45.975,45.534,45.407,45.518,45.407,45.863,45.368,45.701
122,M,True,45.251,45.3,45.512,45.598,45.743,45.763,45.773,45.837,45.828,45.861
123,M,True,45.561,45.544,45.612,45.569,45.479,45.4,45.523,45.391,45.419,45.492
124,M,False,45.751,45.819,45.807,45.888,45.892,45.924,45.814,46.03,46.085,46.045
125,M,False,46.177,46.266,46.325,46.59,46.599,46.602,46.607,46.617,46.553,46.54
126,M,False,47.295,47.39,47.554,47.627,47.627,47.543,47.718,47.674,47.705,47.56
127,M,False,39.153,38.903,38.793,38.892,38.842,38.729,38.728,38.888,38.725,38.916
128,M,True,37.444,37.326,37.053,37.155,37.331,37.495,37.367,37.399,37.436,37.337
129,M,False,32.263,32.026,32.208,32.156,32.172,32.096,31.993,32.485,32.251,32.343
130,M,False,35.159,34.922,34.847,34.65,34.711,34.587,34.813,34.104,34.544,34.89
131,M,True,46.647,45.797,45.613,46.207,46.309,46.173,45.962,47.1,47.289,47.117
132,M,False,50.728,51.252,51.244,50.549,50.843,50.819,50.353,51.062,50.674,50.908
133,M,True,34.888,35.13,34.7,35.176,35.209,35.124,34.7,34.718,34.834,34.882
134,M,False,34.077,34.067,34.039,33.879,34.131,34.282,33.962,33.643,33.952,34.148
135,M,False,34.085,34.518,34.313,34.111,34.027,34.191,34.388,34.174,34.142,34.322
136,M,True,37.342,37.439,37.552,37.533,37.562,37.605,37.528,37.72,37.693,37.622
137,M,False,38.16,38.058,38.046,38.119,37.925,38.092,37.687,37.727,37.957,37.798
138,M,False,41.561,41.453,41.635,41.501,41.544,41.652,41.716,41.641,41.929,41.954
139,M,False,42.736,44.622,44.269,42.778,42.501,42.811,42.834,42.94,42.732,42.847
140,M,False,45.159,45.054,44.904,44.813,44.839,44.828,44.736,44.635,44.671,44.715
141,M,False,34.555,34.745,34.745,35.067,35.429,35.079,35.435,35.869,35.757,35.99
142,M,True,50.642,51.378,50.347,50.716,50.883,50.312,50.383,50.689,50.343,50.161
143,M,True,47.384,47.801,47.572,47.288,47.356,47.145,47.44,47.192,47.986,47.91
144,M,False,47.801,47.572,47.288,47.356,47.145,47.44,47.192,47.986,47.91,48.093
145,M,False,48.097,47.98,47.923,48.432,48.401,48.528,48.849,48.77,48.81,48.865
146,M,True,48.274,48.157,48.213,47.945,48.086,48.512,48.236,48.312,48.62,48.768
147,M,False,48.236,48.312,48.62,48.768,48.916,48.853,48.798,49.159,48.858,48.927
148,M,False,48.857,49.148,49.204,48.864,48.779,49.232,49.04,48.601,48.819,49.215
149,M,False,49.187,49.604,49.225,49.833,49.844,49.821,50.068,49.342,49.039,48.95
150,M,False,49.304,49.36,49.362,49.132,49.068,49.402,49.227,49.076,49.363,49.797
151,M,False,50.295,50.47,50.425,50.997,51.005,51.238,51.12,51.085,51.177,51.43
152,M,False,53.907,54.076,54.025,54.171,54.326,54.249,54.343,54.27,54.215,54.177
153,M,False,51.613,51.184,51.168,51.09,50.695,50.891,50.737,50.77,50.964,51.124
154,M,False,39.927,39.857,39.74,39.758,39.729,39.598,39.799,39.657,39.766,39.699
155,M,True,41.636,41.745,42.19,42.139,43.019,42.036,41.676,41.638,42.11,42.076
156,M,False,42.442,42.58,43.343,43.885,43.538,43.696,43.226,42.407,41.867,42.176
157,M,False,52.975,52.722,52.764,52.787,52.767,52.83,52.582,52.42,52.816,53.378
158,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,M,False,44.463,44.458,44.441,44.329,44.276,44.163,43.905,43.741,43.814,43.332
160,M,True,45.479,45.203,45.395,45.564,45.111,44.682,45.437,45.423,45.514,45.778
161,M,True,48.195,48.303,48.397,48.223,48.082,48.123,47.968,48.058,47.978,48.221
162,M,False,47.978,48.221,47.73,47.99,48.104,48.082,48.246,48.159,48.014,48.29
163,M,True,48.401,48.22,48.436,48.449,48.208,48.205,48.173,48.321,48.311,48.428
164,M,False,49.155,49.07,49.05,49.115,49.28,49.438,49.526,49.564,49.634,49.675
165,M,False,51.514,51.454,51.486,51.522,51.529,51.465,51.538,51.517,51.426,51.47
166,M,False,35.325,35.567,35.465,35.28,35.431,35.251,34.949,35.254,35.031,35.246
167,M,False,32.372,32.349,32.341,32.143,31.925,32.118,32.126,32.194,32.013,31.907
168,M,True,0.0,0.0,0.0,0.0,0.0,16.085,22.555,15.382,27.826,17.709
169,M,False,44.587,45.916,44.744,42.091,41.817,42.291,41.322,40.104,41.354,42.039
170,M,False,40.14,39.706,39.149,40.537,39.839,39.973,40.589,40.959,41.749,41.234
171,M,False,50.856,51.044,51.285,51.582,51.487,51.168,51.543,52.027,51.158,51.61
172,M,True,39.219,39.147,39.406,39.211,39.03,39.779,39.353,39.439,40.238,40.112
173,M,False,39.507,39.905,39.653,39.592,39.345,38.895,38.849,38.534,38.615,38.474
174,M,True,35.629,35.655,35.635,35.804,35.847,36.09,36.146,35.997,36.339,36.534
175,M,False,37.003,36.809,36.89,36.771,36.687,36.706,37.007,37.309,37.307,37.018
176,M,True,41.013,41.006,41.227,41.343,41.652,41.741,42.189,41.924,42.202,43.061
177,M,False,43.98,44.073,44.028,44.452,44.589,44.491,44.245,44.165,44.678,44.453
178,M,True,53.24,53.693,53.787,53.792,53.677,53.813,53.736,53.702,53.638,53.827
179,M,False,54.122,53.938,53.915,54.088,53.949,54.087,54.102,54.324,54.267,54.198
180,M,False,54.346,54.431,54.564,54.599,54.703,54.579,54.474,54.512,54.566,54.575
181,M,True,57.069,57.127,57.142,57.2,57.213,57.166,57.06,56.974,56.959,56.876
182,M,True,57.243,57.182,57.239,57.203,57.245,57.173,57.216,57.211,57.165,57.161
183,M,True,57.358,57.068,57.085,57.332,57.115,57.163,57.192,57.222,57.162,57.144
184,M,True,56.933,57.047,57.042,56.993,56.921,56.837,57.001,56.913,56.822,56.87
185,M,False,51.959,52.103,51.735,51.753,51.665,51.354,51.224,51.195,50.702,51.044
186,M,True,56.672,56.555,56.622,56.651,56.609,56.458,56.523,56.296,56.39,56.519
187,M,False,56.519,56.335,56.271,56.183,56.433,56.562,56.441,56.351,56.435,56.342
188,M,False,56.441,56.351,56.435,56.342,56.125,56.013,56.076,55.99,56.097,56.058
189,M,True,56.097,56.058,56.081,56.001,55.998,56.028,55.876,55.75,55.689,55.717
190,M,True,55.998,56.028,55.876,55.75,55.689,55.717,55.59,55.62,55.439,55.347
191,M,False,55.314,55.102,55.059,54.942,54.781,54.717,54.794,54.976,54.906,54.976
192,M,False,30.633,31.599,34.03,35.25,36.432,36.816,36.93,38.309,38.951,38.705
193,M,True,54.996,55.163,54.978,55.149,55.308,55.11,55.134,54.909,54.747,54.79
194,M,False,55.308,55.11,55.134,54.909,54.747,54.79,54.709,54.524,54.513,54.553
195,M,False,54.524,54.513,54.553,54.441,54.488,54.26,54.504,54.334,54.409,54.383
196,M,True,52.913,52.86,52.864,52.755,52.688,52.647,52.665,52.443,52.511,52.683
197,M,False,52.443,52.511,52.683,52.738,52.604,52.546,52.441,52.319,52.463,52.294
198,M,True,51.92,51.787,51.563,51.571,51.454,51.513,51.479,51.337,51.558,51.409
199,M,False,51.479,51.337,51.558,51.409,51.317,51.539,51.585,51.425,51.292,51.13
200,M,True,50.135,50.216,50.177,50.104,50.151,49.916,49.741,49.892,49.975,50.143
201,M,False,50.141,50.269,50.456,50.346,50.274,50.021,49.963,49.882,49.717,49.502
202,M,True,48.934,48.807,48.781,48.916,48.726,48.565,48.26,48.494,48.437,48.391
203,M,False,47.515,47.362,47.192,47.054,46.746,46.717,46.494,46.353,46.435,46.535
204,M,False,46.497,47.022,46.862,46.63,46.459,46.655,47.093,46.921,46.887,46.407
205,M,False,39.613,39.442,40.0,40.629,39.987,40.757,40.627,40.599,40.667,40.281
206,M,True,45.251,45.158,45.108,45.14,45.362,45.063,45.24,45.143,45.18,44.979
207,M,True,42.969,42.502,42.407,42.285,42.474,42.356,42.101,42.555,42.7,42.188
208,M,False,41.769,41.597,41.368,41.606,41.816,41.27,41.818,42.039,41.616,41.36
209,M,False,41.89,41.712,41.715,41.672,41.679,41.889,41.984,41.865,41.757,41.496
210,M,False,40.977,40.918,40.965,41.017,40.805,40.655,40.809,40.848,40.662,40.737
211,M,True,44.785,44.88,45.231,44.964,45.24,44.958,45.265,45.168,45.018,45.035
212,M,False,46.715,46.794,46.914,46.941,46.884,46.924,46.943,47.119,47.245,47.332
213,M,False,46.924,46.943,47.119,47.245,47.332,47.243,47.34,47.369,47.204,47.336
214,M,False,50.885,50.717,50.678,50.619,50.541,50.509,50.447,50.553,50.148,50.195
215,M,False,39.227,39.404,39.536,39.511,39.446,39.418,39.217,39.335,39.284,39.158
216,M,False,39.526,38.699,39.017,38.78,38.622,38.446,38.88,38.725,39.128,39.836
217,M,True,35.731,35.661,35.704,35.816,36.073,35.833,35.961,36.069,35.998,36.005
218,M,False,36.937,37.054,37.118,36.869,36.906,37.047,36.846,36.986,37.003,37.042
219,M,False,40.379,40.359,40.408,40.472,40.283,40.261,40.321,40.206,40.262,40.376
220,M,False,33.757,33.729,33.592,33.556,33.576,33.255,33.339,33.359,33.357,33.283
221,M,False,27.773,29.379,26.929,31.64,28.868,33.537,36.007,33.498,35.544,34.19
222,M,False,26.929,31.64,28.868,33.537,36.007,33.498,35.544,34.19,37.574,36.14
223,M,False,40.34,40.61,40.198,40.154,40.159,40.224,40.07,40.61,40.068,40.075
224,M,False,39.89,39.585,45.381,39.254,38.846,38.566,38.452,38.619,38.731,39.148
225,M,False,35.292,35.054,35.213,35.058,35.11,35.289,35.129,35.064,35.237,34.764
226,M,False,34.899,34.365,34.333,34.167,33.925,34.385,34.564,34.955,34.418,34.609
227,M,True,64.332,61.928,64.548,62.856,62.667,61.207,61.299,62.006,59.766,61.199
228,M,True,45.233,44.98,43.761,44.1,43.526,43.853,44.079,44.682,44.249,43.292
229,M,True,42.604,42.65,42.312,41.735,41.245,41.588,41.552,41.125,41.254,41.126
230,M,False,40.715,40.73,40.725,40.837,39.853,39.886,39.57,40.083,40.556,40.279
231,M,True,39.917,39.186,39.135,38.889,37.973,37.544,37.337,36.923,37.533,37.174
232,M,False,36.989,37.081,36.766,36.847,36.752,36.544,36.795,36.366,36.416,36.709
233,M,False,37.014,37.159,37.411,37.184,37.552,37.301,37.645,37.4,37.79,37.396
234,M,True,45.236,45.287,45.353,45.35,45.646,45.887,46.075,47.059,47.281,47.294
235,M,False,50.491,50.742,51.064,50.673,51.054,51.441,51.317,51.149,51.019,51.296
236,M,False,53.394,53.288,53.481,53.568,53.469,53.528,53.52,53.469,53.29,52.926
237,M,False,30.852,31.054,30.923,30.765,30.973,31.093,30.83,30.895,30.676,30.632
238,M,False,54.045,54.438,53.925,53.738,53.616,54.566,54.108,53.55,53.433,53.706
239,M,False,48.441,48.019,48.103,48.323,48.167,48.036,47.721,47.88,47.772,46.912
240,M,True,47.673,47.949,47.881,47.71,47.857,48.025,47.896,47.834,47.627,47.866
241,M,False,47.617,47.803,47.319,47.45,47.519,47.709,47.574,47.563,47.723,47.542
242,M,True,41.6,41.685,41.781,41.529,41.713,41.67,41.536,41.628,41.999,41.888
243,M,False,40.55,40.497,40.382,40.544,40.466,41.003,40.886,41.041,40.861,41.076
244,M,False,42.763,42.467,49.054,49.985,48.457,51.422,51.876,52.771,53.133,52.045
245,M,False,45.446,45.315,45.661,45.456,45.492,45.689,45.51,45.578,45.923,45.894
246,M,False,48.196,47.989,48.053,47.779,48.034,47.657,47.699,47.654,47.7,47.329
247,M,False,57.786,57.687,57.911,57.867,57.976,58.093,58.057,57.987,58.156,58.003
248,M,False,52.009,51.94,52.044,51.7,51.714,51.684,51.527,51.606,51.629,51.705
249,M,False,42.21,42.106,41.852,42.084,42.085,41.966,42.173,42.002,41.988,41.965
250,M,False,32.212,31.741,31.936,31.946,31.778,31.82,31.647,31.542,31.583,31.632
251,M,True,37.165,37.414,37.188,37.953,37.795,37.603,38.011,37.531,37.75,37.448
252,M,False,40.078,40.089,40.014,40.17,40.472,39.778,40.11,39.832,39.549,39.593
253,M,False,28.27,28.224,28.326,28.301,28.278,28.359,28.381,28.186,28.221,28.17
254,M,False,26.725,27.649,27.479,27.131,26.928,27.055,27.385,27.093,27.564,27.576
255,M,False,42.504,42.47,42.335,42.532,42.4,42.368,42.396,42.317,42.268,42.13
256,M,False,38.753,39.133,39.094,39.434,39.253,39.151,40.074,40.013,39.926,40.37
257,M,False,57.295,56.473,55.585,55.942,55.408,54.497,54.693,52.961,53.77,53.878
258,M,False,36.899,36.177,35.69,35.924,35.956,35.88,35.876,35.481,35.393,35.079
259,M,False,41.684,41.537,41.51,41.188,41.328,41.291,41.773,41.423,41.323,40.928
260,M,False,40.955,40.708,40.837,41.323,41.314,41.159,41.455,41.517,41.61,41.685
261,M,True,56.107,56.111,55.988,55.671,55.482,55.491,55.449,55.713,55.407,55.49
262,M,False,55.671,55.482,55.491,55.449,55.713,55.407,55.49,55.572,55.588,55.702
263,M,False,34.356,34.431,33.857,33.125,34.173,33.811,33.915,35.03,34.183,34.457
264,M,False,40.394,40.785,40.507,40.534,40.525,40.495,40.73,40.554,40.686,40.511
265,M,True,44.003,43.99,43.905,44.036,43.684,43.745,43.318,43.169,42.893,43.221
266,M,False,41.701,41.51,41.554,41.942,41.794,41.712,41.673,41.278,41.485,41.562
267,M,True,42.115,42.37,42.869,42.628,42.556,42.43,42.827,43.243,43.138,43.154
268,M,False,47.603,47.745,47.96,47.941,48.023,47.95,47.844,48.071,48.031,48.256
269,M,True,49.618,49.641,49.691,49.655,49.597,49.517,49.589,49.649,49.795,49.816
270,M,True,56.743,56.796,57.066,56.958,56.951,57.164,57.249,57.442,57.445,57.335
271,M,False,57.826,57.799,57.882,57.877,57.951,57.975,57.904,57.808,57.785,57.764
272,M,False,57.882,57.877,57.951,57.975,57.904,57.808,57.785,57.764,57.717,57.742
273,M,False,46.562,46.57,46.764,46.703,46.678,46.812,46.874,46.99,46.928,47.043
274,M,False,56.711,56.854,56.713,56.877,56.953,56.929,56.879,57.034,57.156,56.929
275,M,False,56.877,56.953,56.929,56.879,57.034,57.156,56.929,57.095,57.253,57.02
276,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.82,28.95,37.619
277,M,True,50.738,50.659,51.338,50.7,50.451,50.018,49.485,49.849,49.581,49.635
278,M,True,44.681,44.261,44.511,44.15,44.213,44.141,43.749,44.035,44.232,44.494
279,M,False,44.823,44.947,44.676,44.786,45.109,44.403,45.143,44.705,44.71,45.073
280,M,False,44.285,44.106,44.325,43.81,43.572,43.621,43.387,43.731,43.524,43.265
281,M,False,43.524,43.265,43.572,44.023,43.692,43.614,44.056,44.639,44.103,44.712
282,M,False,44.524,44.956,45.619,45.304,45.167,44.952,44.652,44.925,44.483,44.819
283,M,True,45.68,45.485,45.554,45.482,45.694,45.872,45.849,45.513,45.651,45.619
284,M,False,42.435,42.189,42.833,42.379,42.338,41.89,41.933,42.015,41.796,41.949
285,M,False,46.174,45.924,45.929,45.794,45.59,45.564,45.506,45.209,45.27,45.159
286,M,False,41.669,41.913,42.214,42.036,42.003,42.002,42.327,42.101,41.972,41.716
287,M,True,53.828,53.699,53.907,54.07,54.246,54.189,54.252,54.339,53.95,54.012
288,M,False,53.907,54.07,54.246,54.189,54.252,54.339,53.95,54.012,54.103,53.99
289,M,False,41.281,41.327,41.342,41.147,41.373,40.927,41.563,41.304,41.414,41.417
290,M,False,38.611,38.96,38.929,38.783,38.442,38.592,39.432,38.847,39.454,39.891
291,M,False,50.948,51.258,51.032,51.138,51.295,51.253,51.41,51.207,51.206,51.22
292,M,True,52.882,52.838,52.828,52.953,52.997,52.959,52.883,52.826,52.951,52.718
293,M,False,51.32,51.425,51.746,52.185,52.522,52.699,52.751,52.729,52.722,52.721
294,M,True,42.652,42.753,42.871,42.924,42.92,42.791,42.653,42.726,42.969,42.927
295,M,True,43.39,43.482,43.493,43.683,43.394,43.145,43.459,43.681,43.32,43.582
296,M,True,45.061,45.022,45.114,45.168,45.523,45.33,45.564,45.573,45.767,45.569
297,M,True,47.164,47.403,47.195,47.23,47.232,47.367,47.561,47.446,47.401,47.57
298,M,True,49.826,49.788,49.668,49.62,49.643,49.713,49.998,49.878,49.821,49.814
