,FLARE_TYPE,COINCIDENCE,MEANGBZ_1,MEANGBZ_2,MEANGBZ_3,MEANGBZ_4,MEANGBZ_5,MEANGBZ_6,MEANGBZ_7,MEANGBZ_8,MEANGBZ_9,MEANGBZ_10
2310,N,False,147.93,160.59,148.03,135.76,140.81,141.2,138.48,134.93,125.96,129.93
2311,N,False,148.85,145.36,146.24,148.37,152.48,152.32,155.11,155.92,150.09,142.97
2312,N,False,128.53,126.47,127.96,131.28,134.73,136.05,138.63,136.85,133.58,132.73
2313,N,False,132.57,140.2,144.81,148.45,150.77,142.72,140.86,141.91,143.6,142.08
2314,N,False,164.19,169.59,175.49,157.71,141.49,144.71,162.77,158.98,154.93,140.12
2315,N,False,142.25,141.21,138.98,137.24,133.65,142.24,143.78,144.58,144.51,148.43
2316,N,False,179.55,191.85,194.23,184.07,182.08,163.61,157.65,129.42,109.49,111.87
2317,N,False,137.62,137.5,138.46,137.12,136.49,140.82,138.38,131.94,126.82,132.77
2318,N,False,108.55,110.39,111.38,113.38,115.42,113.07,112.59,111.39,109.05,108.93
2319,N,False,149.69,148.52,144.16,137.81,134.25,133.52,130.99,132.98,132.38,133.01
2320,N,False,175.78,169.3,168.95,182.63,183.86,183.65,182.81,186.29,181.4,171.11
2321,N,False,192.88,190.12,188.99,174.16,180.09,188.27,183.27,195.76,198.94,196.69
2322,N,False,107.63,107.82,107.97,107.9,106.7,106.4,107.32,106.46,106.82,106.87
2323,N,False,89.653,88.678,88.137,87.591,88.366,87.261,88.515,87.45,86.67,87.549
2324,N,False,114.67,115.0,113.75,114.4,115.18,113.93,116.21,119.03,120.42,120.65
2325,N,False,137.89,135.13,137.51,139.59,138.52,132.95,128.07,128.33,122.64,123.73
2326,N,False,142.71,140.14,142.03,143.66,142.86,141.72,142.59,144.62,149.56,153.25
2327,N,False,132.26,144.05,140.76,140.42,144.0,144.08,147.82,143.54,147.2,146.22
2328,N,False,131.52,129.02,126.17,124.27,123.68,122.41,123.37,122.59,120.09,119.72
2329,N,False,169.52,176.58,173.29,172.55,174.03,180.39,177.18,174.64,175.5,175.03
2330,N,False,149.09,141.76,140.55,140.87,143.99,143.44,135.55,137.77,130.17,125.95
2331,N,False,153.64,152.96,149.26,152.26,151.6,152.27,152.54,155.28,148.35,152.99
2332,N,False,122.56,121.68,123.68,121.36,119.26,121.07,122.6,121.45,121.47,122.18
2333,N,False,154.28,153.71,156.36,153.42,158.24,155.64,153.64,156.39,157.32,159.31
2334,N,False,120.66,120.11,123.0,124.52,125.74,125.85,123.46,127.25,130.61,130.43
2335,N,False,29.705,89.514,100.08,101.58,120.33,126.88,126.66,140.19,148.7,146.8
2336,N,False,140.1,137.93,135.72,136.98,138.23,140.75,141.7,145.97,143.37,140.66
2337,N,False,88.454,87.544,83.181,83.815,83.729,84.292,83.712,86.849,88.266,87.979
2338,N,False,150.69,153.42,151.5,153.85,155.65,155.89,152.55,152.2,155.94,158.47
2339,N,False,132.96,134.97,133.88,135.16,136.55,138.96,138.15,138.63,137.14,138.74
2340,N,False,146.19,138.21,143.78,146.13,147.97,148.57,147.4,158.8,153.09,150.73
2341,N,False,103.05,105.36,104.95,106.37,106.32,106.72,107.5,106.97,106.86,110.49
2342,N,False,76.071,77.107,78.223,77.629,79.274,77.593,78.67,77.837,79.856,79.534
2343,N,False,141.57,139.89,141.42,142.14,141.83,140.58,143.76,143.93,144.62,142.22
2344,N,False,133.28,134.07,132.22,129.61,127.69,130.53,129.59,129.35,127.83,125.41
2345,N,False,91.868,81.199,81.008,82.257,94.171,96.773,110.26,99.119,101.27,106.35
2346,N,False,158.66,154.35,142.11,138.84,139.56,135.55,130.81,131.59,133.62,131.31
2347,N,False,24.052,169.87,62.568,80.566,71.583,46.005,38.98,46.487,62.204,54.904
2348,N,False,142.83,129.75,136.27,110.56,112.07,111.68,110.2,120.12,143.76,148.4
