,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10
0,X,False,77.032,77.983,78.456,77.285,77.846,77.209,76.979,75.615,75.668,75.677
1,X,False,72.767,72.836,72.742,72.625,72.476,71.903,71.951,71.819,71.611,70.733
2,X,False,43.583,43.314,43.31,43.411,43.413,44.212,44.314,44.205,44.153,44.346
3,X,False,68.637,69.47,69.624,69.945,69.497,70.11,71.31,70.927,70.188,70.1
4,X,True,69.928,69.586,70.441,70.751,70.922,70.149,70.51,69.82,69.844,69.147
5,X,False,39.934,40.32,41.281,40.263,41.194,40.751,40.811,40.672,40.577,40.507
6,X,False,30.516,30.638,30.314,30.553,30.206,30.392,29.809,29.788,31.052,30.18
7,X,True,43.407,42.791,42.537,42.434,41.737,41.973,42.245,42.072,42.751,42.476
8,X,False,59.814,60.255,59.904,60.302,59.895,60.067,60.44,60.837,60.315,60.779
9,X,False,60.067,60.44,60.837,60.315,60.779,60.331,60.482,60.682,60.807,60.313
10,X,False,68.735,68.888,68.293,67.824,68.046,68.422,67.824,67.799,68.236,67.639
11,X,False,56.958,56.773,57.003,57.085,57.313,57.702,57.943,58.21,58.573,59.076
12,X,False,39.573,39.463,39.73,39.197,39.719,39.464,39.49,40.768,40.963,41.242
13,X,True,49.429,45.02,42.869,38.761,35.353,35.481,33.626,30.971,30.886,31.346
14,X,True,50.418,50.548,50.835,50.851,50.882,50.874,51.241,50.841,50.822,50.957
15,X,False,35.407,34.687,34.5,34.861,34.72,34.37,34.753,34.359,34.195,33.888
16,X,False,49.664,49.558,49.519,49.283,49.522,49.588,49.233,49.592,49.435,49.498
17,X,False,65.067,64.835,65.433,65.911,66.286,65.857,65.549,65.149,64.817,64.593
18,X,False,66.801,67.613,67.692,67.809,68.519,68.463,68.679,68.908,69.229,69.543
19,X,False,45.517,45.372,45.092,44.697,44.45,44.875,44.8,45.0,44.784,44.252
20,X,False,57.091,57.434,57.763,58.229,58.611,59.005,59.11,59.437,59.077,59.391
21,X,False,21.894,22.405,22.366,22.389,22.851,22.67,22.886,22.887,22.363,21.824
22,X,False,34.002,33.589,33.961,34.578,34.815,35.071,35.225,35.254,35.599,35.821
23,X,False,35.537,35.819,35.407,36.21,36.717,35.913,37.365,36.743,37.661,38.608
