,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10
24,X,False,35.53,36.956,35.529,37.085,35.66,35.633,35.436,35.715,36.464,36.837
25,X,True,59.806,59.724,59.802,59.927,59.76,59.798,59.568,59.549,59.143,58.998
26,X,True,59.764,59.807,59.935,60.118,60.146,60.318,60.388,60.599,60.419,60.424
27,X,True,54.653,54.574,54.571,54.396,54.151,53.888,53.916,53.864,53.833,53.819
28,X,True,49.835,50.002,50.147,50.314,50.554,50.721,50.862,51.038,50.91,50.925
29,X,False,47.999,47.512,47.682,47.83,47.714,47.685,48.317,48.467,48.996,49.521
30,X,False,54.681,54.694,54.308,54.097,54.124,53.877,53.801,53.757,53.821,53.712
31,X,True,57.209,56.84,56.312,56.113,56.536,57.481,57.781,58.074,58.883,59.933
32,X,False,42.29,41.744,44.034,42.796,53.705,40.268,36.808,33.895,32.327,30.482
33,X,True,74.477,75.662,74.949,74.852,74.526,74.188,74.256,74.826,74.013,74.403
34,X,True,75.674,75.092,74.88,74.591,74.171,74.436,74.477,74.116,73.992,73.054
35,X,False,73.185,74.428,74.397,73.623,74.297,74.668,73.863,73.292,73.713,75.045
36,X,False,38.984,39.558,39.402,39.114,38.879,40.53,40.141,39.554,39.588,38.472
37,M,False,62.333,62.781,62.429,61.171,61.188,60.876,61.378,60.703,61.127,61.566
38,M,False,48.468,46.638,48.74,50.162,49.295,48.858,47.116,44.778,44.561,44.841
39,M,False,39.771,39.371,39.346,39.4,38.819,38.981,38.73,38.951,39.222,39.686
40,M,True,31.663,27.586,32.655,27.728,27.39,26.325,26.289,27.866,27.997,32.253
41,M,False,35.611,35.276,35.262,35.234,35.137,35.972,34.607,34.601,34.346,34.363
42,M,False,32.576,32.508,32.791,32.557,32.028,31.855,32.802,32.411,32.232,32.527
43,M,False,41.403,40.112,41.637,41.425,42.028,41.0,41.307,41.305,41.734,41.526
44,M,True,77.349,78.803,77.425,77.272,78.757,80.294,79.92,79.739,79.204,80.134
45,M,True,79.392,79.369,80.432,81.244,81.344,80.51,80.711,81.11,80.477,79.913
46,M,False,56.309,55.372,54.719,53.708,52.797,52.653,52.612,52.571,52.513,52.754
47,M,False,66.699,67.047,67.005,66.912,67.524,67.046,67.374,68.005,68.578,68.185
48,M,True,62.152,62.466,62.375,62.339,62.707,63.362,62.834,62.584,62.283,62.172
49,M,True,63.688,63.421,62.902,62.298,62.505,62.774,63.024,63.073,63.821,64.161
50,M,False,61.964,62.105,61.72,61.582,62.038,62.147,62.105,62.46,62.859,63.065
51,M,False,65.197,64.636,65.396,63.986,64.453,64.584,64.458,64.088,64.111,64.557
52,M,False,62.953,63.62,63.837,62.918,63.672,63.77,64.882,65.845,66.595,67.024
53,M,False,40.81,41.467,40.617,40.498,40.555,40.582,40.483,40.519,40.64,41.042
54,M,True,58.381,58.377,58.353,57.709,57.163,56.742,56.282,55.802,54.327,53.719
55,M,True,53.601,53.991,53.007,52.795,53.512,53.511,53.311,53.388,53.36,53.226
56,M,False,53.212,53.287,54.009,54.095,54.194,54.689,55.299,55.727,55.546,55.596
57,M,False,55.299,55.727,55.546,55.596,55.213,54.808,54.951,54.613,54.339,53.798
58,M,False,56.12,55.63,56.066,56.175,56.639,56.684,56.422,56.267,56.551,56.646
59,M,False,49.002,49.61,49.56,50.059,50.584,50.701,50.727,50.964,51.101,50.208
60,M,True,48.882,48.953,48.58,47.992,48.213,49.05,48.252,47.356,48.323,48.921
61,M,False,49.24,49.423,48.655,49.525,48.399,48.608,48.68,48.356,48.629,48.257
62,M,False,45.721,45.168,45.989,44.738,44.329,44.317,43.493,43.344,43.798,43.741
63,M,False,39.887,39.968,40.336,40.651,41.178,41.362,41.752,41.174,42.716,42.511
64,M,False,42.716,42.511,42.381,42.051,43.252,42.099,40.789,41.842,41.86,42.795
65,M,True,66.752,66.171,66.813,67.189,67.211,67.309,67.822,68.063,68.543,68.483
66,M,False,69.533,69.15,69.265,69.293,69.121,69.127,69.017,68.944,68.928,68.818
67,M,False,64.673,65.069,65.155,64.93,64.669,64.285,63.653,63.268,62.699,61.99
68,M,True,54.884,56.21,56.834,57.645,58.39,58.393,59.422,59.134,58.864,58.243
69,M,False,52.923,53.445,53.682,53.27,53.736,53.016,52.883,53.336,54.174,53.905
70,M,False,34.666,35.098,34.674,35.091,35.13,34.889,35.636,35.141,34.696,34.512
71,M,False,39.082,39.608,39.802,39.553,39.605,39.483,39.848,39.962,39.668,39.765
72,M,False,44.471,44.778,45.017,45.34,45.985,46.337,46.234,46.309,46.22,46.176
73,M,False,76.203,74.988,73.113,72.58,71.47,70.113,69.024,69.128,69.075,69.83
74,M,True,41.942,42.685,42.902,42.76,42.918,43.491,43.485,43.323,42.778,42.243
75,M,False,42.222,42.439,42.227,42.635,42.627,42.558,42.918,43.002,43.376,43.813
76,M,True,38.789,37.78,39.433,39.576,38.806,38.85,38.517,38.261,38.393,38.595
77,M,False,43.441,44.001,44.055,43.668,45.278,44.069,43.907,44.684,43.979,44.374
78,M,False,48.554,47.727,47.602,47.451,47.489,47.538,47.758,47.898,48.205,47.945
79,M,False,31.306,31.335,32.025,33.04,30.953,30.628,31.143,30.992,32.024,32.569
80,M,False,55.614,55.13,54.856,54.615,54.343,54.476,54.372,54.358,53.993,54.158
81,M,False,51.269,51.558,51.381,51.44,51.776,52.552,52.697,53.037,53.197,53.617
82,M,True,73.832,74.298,74.687,74.506,75.313,75.841,76.459,76.988,78.133,78.211
83,M,True,77.924,77.945,77.961,78.314,78.209,78.106,77.68,77.048,76.742,76.5
84,M,False,60.225,60.248,60.402,60.717,61.059,61.745,62.146,62.535,63.217,63.07
85,M,True,74.135,73.404,74.002,73.681,73.728,73.488,73.414,72.888,72.884,72.953
86,M,False,69.93,69.95,70.452,70.121,70.016,69.854,68.949,68.767,68.404,67.849
87,M,True,50.525,50.639,50.356,49.371,48.843,48.852,48.424,48.426,48.589,48.263
88,M,False,47.48,47.537,47.517,47.91,48.033,48.091,48.184,48.367,47.561,47.454
89,M,True,49.7,49.248,49.233,49.161,49.001,49.074,49.102,48.409,48.256,48.512
90,M,False,44.825,44.476,44.33,43.576,43.162,42.024,41.201,40.524,39.695,39.361
91,M,False,38.913,38.887,39.45,39.606,40.002,40.536,40.683,40.544,41.061,40.614
92,M,True,71.121,70.128,70.5,70.65,70.639,70.373,70.378,69.98,69.486,68.836
93,M,True,58.443,58.61,58.822,59.118,59.479,59.873,60.913,61.891,62.502,62.667
94,M,False,55.99,54.985,54.43,54.152,54.049,54.368,54.407,54.762,56.327,57.212
95,M,True,52.731,52.758,52.759,52.844,52.662,52.748,53.115,53.203,52.934,52.837
96,M,False,47.916,48.074,48.829,49.313,49.871,49.226,49.617,49.517,49.659,49.634
97,M,False,34.612,34.931,35.071,35.037,34.881,34.956,35.33,35.438,34.8,35.214
98,M,True,49.17,49.265,49.497,49.688,49.778,50.503,50.793,50.951,50.93,51.114
99,M,True,43.348,42.944,42.551,42.028,41.234,41.152,40.397,40.407,40.234,40.413
100,M,True,41.803,42.515,41.743,42.124,41.974,42.471,42.05,42.733,42.481,42.789
101,M,False,45.558,45.349,45.268,45.328,45.043,45.127,44.792,45.795,45.659,45.779
102,M,False,38.275,38.455,38.545,38.384,38.048,37.998,37.891,37.029,36.303,35.681
103,M,True,48.531,48.485,48.14,48.1,47.65,47.361,48.102,49.242,48.016,48.673
104,M,False,48.1,47.65,47.361,48.102,49.242,48.016,48.673,48.663,49.091,49.39
105,M,False,48.673,48.663,49.091,49.39,50.037,50.658,52.199,51.487,51.972,51.518
106,M,False,52.199,51.487,51.972,51.518,52.192,51.156,51.146,50.822,51.687,50.668
107,M,False,50.305,50.603,50.535,51.13,51.477,51.298,51.723,51.843,52.328,52.232
108,M,True,51.686,51.718,51.414,51.62,51.769,51.652,52.013,51.775,51.963,52.102
109,M,False,53.489,49.761,49.641,52.657,52.787,51.306,50.973,50.974,51.681,53.053
110,M,False,57.884,57.725,57.605,57.863,57.654,57.672,58.415,57.801,57.924,58.058
111,M,False,60.3,60.454,60.958,61.199,60.973,61.004,60.858,60.828,60.856,61.054
112,M,True,63.951,62.95,62.923,62.476,62.615,63.113,63.142,61.632,60.575,61.176
113,M,True,60.247,62.166,62.594,60.744,64.852,64.169,61.556,64.231,63.894,63.683
114,M,False,68.465,68.731,68.392,67.464,67.499,67.538,66.863,65.786,65.091,65.266
115,M,False,54.41,54.148,53.453,52.729,51.912,51.375,51.185,51.147,50.866,51.274
116,M,False,34.934,35.181,35.287,35.316,35.333,35.476,35.403,35.497,35.654,36.031
117,M,False,31.361,31.16,31.296,31.237,30.969,31.085,31.284,31.008,31.133,30.912
118,M,True,31.52,32.194,31.997,31.779,32.251,32.462,32.605,33.72,33.594,33.355
119,M,True,36.698,36.447,37.155,37.364,36.514,36.576,36.306,36.275,36.215,36.49
120,M,True,40.915,40.802,40.843,41.037,41.237,41.491,41.348,41.786,41.538,41.381
121,M,True,46.693,45.953,46.505,45.861,45.637,45.573,45.307,45.847,45.143,45.862
122,M,True,47.046,47.154,47.231,47.797,47.355,47.162,47.206,46.93,46.734,46.527
123,M,True,46.49,46.336,46.529,46.548,46.51,46.585,46.465,46.629,46.922,46.906
124,M,False,50.517,50.458,50.209,50.198,49.698,49.649,49.469,49.622,49.453,49.273
125,M,False,49.543,49.796,50.09,50.448,50.436,50.55,50.801,51.153,51.277,51.553
126,M,False,50.609,50.544,50.762,51.11,51.425,51.433,51.756,52.083,52.165,52.793
127,M,False,44.715,44.678,44.52,44.593,45.039,45.338,45.766,45.659,45.791,45.959
128,M,True,31.571,32.177,32.251,31.736,32.385,33.15,32.105,33.145,32.711,32.943
129,M,False,41.191,41.782,42.215,42.614,43.042,43.241,43.562,43.623,43.483,43.698
130,M,False,37.073,38.556,37.685,37.703,38.554,38.433,38.29,38.491,38.278,37.899
131,M,True,70.828,71.533,71.964,71.401,71.677,70.609,69.908,69.082,67.888,68.114
132,M,False,79.738,79.715,80.463,80.587,79.604,80.572,80.347,79.342,79.208,80.207
133,M,True,32.315,32.335,32.387,32.136,32.175,32.214,32.094,32.391,31.992,32.216
134,M,False,33.617,33.734,34.05,33.972,34.289,33.945,33.842,33.387,33.391,33.202
135,M,False,35.101,35.334,35.402,35.213,35.746,35.49,35.884,35.969,35.88,35.9
136,M,True,44.509,44.296,44.325,44.136,44.362,44.523,44.615,44.505,44.311,44.005
137,M,False,43.485,43.269,43.284,43.19,42.904,42.77,43.082,43.25,43.359,43.38
138,M,False,37.785,38.071,38.26,38.303,38.605,38.296,38.804,38.365,38.814,38.189
139,M,False,44.153,42.239,42.314,45.281,45.183,45.771,45.772,46.21,46.584,46.762
140,M,False,61.113,61.192,61.198,60.915,60.311,60.102,59.721,59.359,58.816,57.973
141,M,False,36.198,36.514,36.841,36.996,37.727,38.545,39.154,38.927,39.434,39.841
142,M,True,35.354,35.216,35.219,35.632,35.174,35.059,35.512,36.179,36.046,36.254
143,M,True,53.57,54.265,54.562,54.035,54.272,54.652,55.67,54.952,54.838,54.895
144,M,False,54.265,54.562,54.035,54.272,54.652,55.67,54.952,54.838,54.895,54.988
145,M,False,54.147,54.334,54.584,54.518,55.23,54.928,55.294,55.865,56.267,56.838
146,M,True,56.966,56.487,57.041,57.031,57.175,57.428,57.489,57.362,57.497,57.259
147,M,False,57.489,57.362,57.497,57.259,57.574,57.644,57.778,57.578,58.13,57.483
148,M,False,57.479,57.297,56.678,57.357,57.424,57.927,57.653,58.729,58.714,59.429
149,M,False,57.63,57.752,57.074,56.879,57.183,57.004,57.456,57.585,58.026,57.987
150,M,False,58.89,58.934,58.535,58.525,58.667,58.906,58.713,59.197,59.136,58.958
151,M,False,59.007,59.386,59.397,59.039,59.762,59.547,59.814,60.255,59.904,60.302
152,M,False,65.233,65.041,65.003,64.745,64.363,64.228,63.698,63.699,63.304,62.98
153,M,False,63.846,63.716,63.036,63.16,62.776,62.011,61.671,61.254,60.501,60.367
154,M,False,42.663,42.0,41.314,40.96,40.875,40.656,40.732,40.611,40.81,40.693
155,M,True,65.327,66.198,65.436,66.422,66.038,65.964,67.226,67.757,67.86,67.371
156,M,False,77.622,78.001,78.6,78.827,78.296,77.459,76.9,77.87,78.069,76.292
157,M,False,71.77,73.219,73.553,73.414,72.738,72.787,73.552,72.119,70.954,70.008
158,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,M,False,55.258,55.11,55.568,55.322,55.567,55.057,54.806,54.448,54.341,53.677
160,M,True,51.413,51.393,51.482,51.241,51.637,52.017,51.673,50.996,51.069,50.805
161,M,True,56.265,56.705,56.607,56.846,56.883,56.792,56.859,57.285,57.122,56.637
162,M,False,57.122,56.637,56.832,56.61,56.467,56.291,56.517,56.785,56.57,56.763
163,M,True,58.991,58.879,59.046,58.664,58.723,59.33,59.641,59.668,59.51,60.031
164,M,False,61.689,62.289,62.921,63.424,63.68,63.983,63.914,64.65,64.778,64.555
165,M,False,64.816,65.02,65.222,65.675,66.169,66.258,66.335,66.66,67.233,67.486
166,M,False,33.902,33.516,33.587,33.513,33.745,33.671,33.893,34.033,34.142,34.391
167,M,False,37.84,38.145,38.518,38.558,38.584,38.954,39.053,39.387,39.389,39.744
168,M,True,0.0,0.0,0.0,0.0,0.0,6.1435,23.444,20.917,24.473,22.262
169,M,False,38.973,38.305,38.38,38.199,37.517,36.339,32.679,33.519,34.384,33.486
170,M,False,38.804,37.662,36.482,38.113,36.342,36.137,36.269,36.533,38.749,37.261
171,M,False,61.355,61.181,61.475,61.576,61.714,61.693,61.955,62.11,62.247,62.279
172,M,True,45.005,44.199,44.382,44.477,44.195,43.099,43.406,43.05,42.568,43.022
173,M,False,49.198,49.201,48.652,48.634,48.684,48.057,48.506,48.829,47.883,48.46
174,M,True,47.054,47.395,47.583,47.424,48.061,48.214,47.722,47.576,47.483,47.679
175,M,False,47.151,47.415,48.204,48.648,48.62,48.753,49.126,49.649,49.446,49.565
176,M,True,55.029,55.917,55.829,56.253,56.188,55.522,55.777,55.777,56.142,55.895
177,M,False,54.752,55.223,55.591,55.759,55.646,56.563,57.026,57.139,56.842,57.367
178,M,True,62.626,62.825,63.386,63.779,64.013,64.326,64.55,64.987,65.284,64.768
179,M,False,69.806,69.71,68.849,68.448,68.172,67.892,67.172,66.694,66.712,66.735
180,M,False,66.032,66.053,65.998,66.365,66.244,66.494,66.716,67.036,66.758,66.575
181,M,True,66.551,66.605,66.635,66.427,66.336,66.377,66.29,66.159,66.646,66.901
182,M,True,70.024,70.248,69.296,69.584,69.212,69.403,68.643,68.47,68.647,68.659
183,M,True,67.793,68.189,67.754,67.833,67.574,68.027,68.072,67.838,68.403,68.017
184,M,True,68.951,69.388,69.584,69.78,70.354,70.146,70.641,71.111,71.291,71.257
185,M,False,64.294,64.356,64.06,63.976,63.734,64.157,63.871,63.327,62.978,62.951
186,M,True,69.057,69.269,69.845,70.036,70.404,70.971,71.183,71.775,71.876,72.245
187,M,False,72.245,72.19,72.143,72.796,72.727,72.412,72.684,72.978,72.741,72.655
188,M,False,72.684,72.978,72.741,72.655,73.006,73.073,72.822,73.122,72.861,72.565
189,M,True,72.861,72.565,72.033,72.403,71.927,71.579,71.561,71.471,70.888,70.958
190,M,True,71.927,71.579,71.561,71.471,70.888,70.958,70.902,70.695,70.854,70.305
191,M,False,69.714,69.388,70.037,70.9,71.724,72.092,72.15,72.484,73.049,72.724
192,M,False,28.517,29.584,29.386,30.397,30.62,31.35,30.587,31.356,29.49,28.458
193,M,True,71.573,71.959,72.028,71.768,71.72,71.984,71.448,71.72,72.319,72.446
194,M,False,71.72,71.984,71.448,71.72,72.319,72.446,72.774,72.707,72.508,72.717
195,M,False,72.707,72.508,72.717,72.882,73.175,73.461,73.157,72.94,72.823,73.497
196,M,True,69.663,70.126,70.1,70.43,70.849,71.773,71.847,72.691,73.015,73.15
197,M,False,72.691,73.015,73.15,72.878,72.988,72.913,73.103,73.612,73.346,73.843
198,M,True,73.482,73.945,74.169,73.938,74.056,74.256,73.873,73.821,74.0,74.018
199,M,False,73.873,73.821,74.0,74.018,73.469,73.426,73.619,73.518,72.87,72.94
200,M,True,69.65,69.781,70.104,70.41,71.158,71.588,71.486,72.012,71.882,71.82
201,M,False,72.142,71.761,71.431,71.134,70.76,71.14,71.344,70.812,70.798,70.83
202,M,True,70.698,70.241,69.893,70.31,70.31,70.098,70.523,69.973,70.586,71.083
203,M,False,66.906,66.381,66.554,66.749,66.858,66.469,66.369,66.52,67.199,67.045
204,M,False,67.15,67.158,66.669,66.086,66.121,66.14,66.029,65.876,66.604,65.743
205,M,False,32.594,32.71,32.735,32.742,32.644,33.079,33.469,33.029,33.312,33.434
206,M,True,61.367,61.419,61.608,61.397,61.257,61.312,60.678,60.308,60.043,60.024
207,M,True,55.925,55.374,54.833,54.458,54.669,54.393,55.114,53.277,53.408,53.566
208,M,False,53.023,53.69,53.796,53.548,53.818,54.28,52.972,52.999,53.263,53.687
209,M,False,52.341,52.1,52.155,52.162,51.655,51.594,51.341,51.991,51.99,51.657
210,M,False,50.12,50.381,49.436,49.426,49.02,48.365,48.25,48.228,48.072,47.487
211,M,True,52.598,52.235,52.755,52.291,52.287,52.367,52.542,52.468,52.616,52.507
212,M,False,54.64,55.185,55.122,55.291,55.57,55.708,55.531,55.564,55.594,55.676
213,M,False,55.708,55.531,55.564,55.594,55.676,55.796,55.557,55.473,55.598,55.593
214,M,False,56.287,55.857,55.649,55.633,55.339,55.228,55.015,54.702,54.586,54.377
215,M,False,39.072,39.06,38.92,38.606,38.485,38.289,38.36,38.095,38.089,37.749
216,M,False,30.886,31.669,31.473,31.676,31.357,31.378,30.92,31.121,30.763,29.943
217,M,True,41.79,42.014,42.356,42.538,42.633,42.422,42.824,42.832,42.887,42.383
218,M,False,44.317,44.41,44.301,44.629,44.38,44.127,44.159,43.914,44.014,43.915
219,M,False,50.778,50.383,50.414,50.652,51.034,51.165,50.904,50.705,50.346,50.173
220,M,False,44.755,44.794,44.484,44.656,44.53,44.651,44.539,44.622,44.656,44.704
221,M,False,18.342,23.808,23.981,27.186,26.853,28.361,30.234,31.853,31.778,31.928
222,M,False,23.981,27.186,26.853,28.361,30.234,31.853,31.778,31.928,32.777,33.481
223,M,False,53.033,53.566,53.358,53.146,53.215,52.022,51.063,50.719,50.061,49.867
224,M,False,58.962,58.677,52.189,57.87,56.917,56.085,55.452,54.825,54.529,53.894
225,M,False,48.69,48.421,47.874,47.503,47.095,46.972,46.499,46.142,45.79,45.355
226,M,False,47.161,46.364,45.389,45.024,44.514,43.66,43.094,42.716,42.458,42.273
227,M,True,40.437,39.006,50.919,54.505,67.081,62.991,67.463,70.213,66.011,69.994
228,M,True,38.62,39.699,39.44,39.252,39.384,39.93,40.361,41.318,41.853,41.679
229,M,True,44.216,43.361,43.84,43.569,43.451,43.806,44.826,44.571,44.08,45.737
230,M,False,46.009,46.611,47.539,47.66,46.508,46.52,45.456,46.175,46.637,47.704
231,M,True,45.384,45.719,45.477,45.225,44.451,43.894,44.005,43.015,43.328,43.985
232,M,False,50.194,50.355,49.677,49.306,48.848,49.155,49.013,49.897,50.081,50.69
233,M,False,50.967,50.792,49.613,50.232,49.542,48.735,47.983,48.379,47.886,46.643
234,M,True,74.457,73.887,73.493,73.533,73.653,74.024,73.084,72.23,72.092,71.187
235,M,False,76.244,76.295,76.153,76.976,75.99,74.807,74.887,74.727,75.077,75.338
236,M,False,76.688,75.859,75.921,75.625,75.638,75.978,76.443,76.511,77.455,78.26
237,M,False,37.603,36.895,36.379,36.233,36.226,36.049,35.484,35.284,35.108,35.056
238,M,False,69.353,69.897,70.239,70.161,70.611,70.841,71.095,71.691,71.229,71.825
239,M,False,61.7,61.749,62.457,62.185,62.407,62.757,62.625,62.85,62.191,61.932
240,M,True,46.984,47.082,47.099,47.437,47.601,47.758,48.297,48.806,49.141,49.084
241,M,False,51.816,51.904,51.83,52.088,52.085,52.53,52.715,52.475,52.298,52.224
242,M,True,65.454,66.225,65.46,65.967,65.554,66.02,65.81,65.607,65.322,65.581
243,M,False,66.469,67.384,67.303,67.296,68.216,67.806,67.733,67.925,67.502,66.906
244,M,False,72.198,74.338,67.188,66.66,65.729,62.814,61.513,63.212,63.549,63.864
245,M,False,63.348,63.663,64.084,63.753,63.054,62.436,62.312,61.445,61.142,60.983
246,M,False,59.91,60.187,60.594,60.31,59.795,60.181,59.529,59.043,58.378,57.643
247,M,False,80.248,80.537,79.624,80.104,79.029,78.902,79.314,79.641,78.864,78.577
248,M,False,74.079,74.023,73.406,73.338,72.82,72.663,72.941,72.896,74.268,75.623
249,M,False,61.511,61.345,60.494,59.673,59.038,59.444,59.147,59.406,59.825,60.048
250,M,False,44.297,45.106,45.727,45.326,45.788,46.397,46.839,46.671,47.031,46.986
251,M,True,48.188,48.173,48.18,48.388,48.152,48.06,47.632,47.67,47.371,47.8
252,M,False,48.731,48.575,49.662,49.888,49.838,50.427,50.264,50.349,50.415,50.709
253,M,False,32.261,31.859,32.101,32.179,31.855,31.818,31.516,31.44,31.689,31.267
254,M,False,40.339,40.315,40.395,40.686,41.115,42.054,41.551,41.766,42.306,41.754
255,M,False,51.521,51.535,51.73,51.943,52.327,52.717,52.795,52.642,52.544,52.295
256,M,False,38.216,39.112,38.495,38.458,38.815,38.8,37.645,37.437,37.076,36.985
257,M,False,29.719,29.773,30.751,30.04,30.973,30.006,31.773,30.733,30.719,30.959
258,M,False,29.074,29.515,29.819,29.646,29.596,30.174,31.061,30.445,29.81,31.136
259,M,False,36.604,36.123,36.302,36.524,36.713,36.44,36.796,36.704,35.791,36.357
260,M,False,64.509,64.614,65.054,66.08,66.298,66.122,66.233,66.375,65.747,65.658
261,M,True,62.477,61.786,61.62,62.019,62.195,62.17,62.017,61.262,61.341,60.72
262,M,False,62.019,62.195,62.17,62.017,61.262,61.341,60.72,60.216,60.693,60.685
263,M,False,29.515,29.82,30.175,29.607,29.723,29.993,30.297,30.057,31.171,31.733
264,M,False,56.183,56.048,56.232,55.906,56.248,55.889,56.465,56.389,56.139,56.568
265,M,True,64.407,64.72,64.969,65.565,65.545,65.715,65.976,66.334,66.791,67.172
266,M,False,68.073,67.256,67.466,66.989,66.767,66.639,66.655,66.027,65.889,65.971
267,M,True,55.404,55.734,56.478,56.532,56.824,56.585,56.691,56.589,57.009,57.245
268,M,False,67.334,67.063,66.806,66.229,65.695,66.069,65.516,65.538,65.498,65.158
269,M,True,65.433,65.014,65.299,65.311,65.528,65.841,65.957,65.429,65.47,65.901
270,M,True,73.004,73.491,73.547,74.315,74.759,75.081,74.867,75.65,75.725,76.222
271,M,False,76.821,77.06,76.984,76.613,76.618,76.867,77.243,77.98,77.492,77.245
272,M,False,76.984,76.613,76.618,76.867,77.243,77.98,77.492,77.245,77.03,77.352
273,M,False,51.308,50.933,50.943,51.227,51.251,51.298,51.52,51.37,51.374,51.68
274,M,False,73.091,73.742,73.801,74.039,73.741,73.579,73.836,73.712,73.988,74.261
275,M,False,74.039,73.741,73.579,73.836,73.712,73.988,74.261,74.364,73.946,74.079
276,M,True,0.0,0.0,0.0,0.0,0.0,15.302,19.67,23.535,24.63,27.947
277,M,True,30.315,29.885,30.151,30.789,30.705,30.398,30.526,30.655,31.202,30.815
278,M,True,46.258,46.433,47.094,47.156,47.399,47.796,47.63,47.741,47.239,48.146
279,M,False,47.909,48.521,49.469,50.429,49.664,49.671,50.733,50.614,50.636,48.939
280,M,False,51.569,50.426,50.39,49.527,49.355,50.873,50.83,51.359,49.938,49.165
281,M,False,49.938,49.165,49.933,49.705,49.754,49.767,50.159,49.323,49.849,50.592
282,M,False,53.401,53.54,53.572,53.906,55.098,54.925,54.977,55.863,56.852,56.782
283,M,True,52.639,52.768,52.84,53.149,53.171,53.21,53.114,53.46,53.404,53.871
284,M,False,47.98,47.397,47.303,46.811,46.846,46.787,46.545,46.26,46.382,47.107
285,M,False,50.879,51.314,51.117,51.686,51.29,51.16,51.005,51.596,51.474,51.344
286,M,False,44.988,45.522,45.714,45.459,45.258,45.614,45.677,45.774,45.239,45.377
287,M,True,66.363,67.289,66.203,66.431,67.305,66.06,65.546,65.063,64.815,64.113
288,M,False,66.203,66.431,67.305,66.06,65.546,65.063,64.815,64.113,64.38,64.423
289,M,False,42.888,42.987,42.374,42.336,42.17,41.847,41.269,40.934,40.593,40.328
290,M,False,30.414,30.183,30.231,30.603,30.444,30.474,31.609,30.421,31.626,32.134
291,M,False,58.968,58.399,57.976,58.118,57.621,57.546,57.714,57.913,57.528,57.536
292,M,True,62.411,62.995,63.471,63.389,63.587,63.813,63.836,64.085,63.933,64.119
293,M,False,64.116,64.384,64.451,64.739,64.558,64.613,64.732,64.377,64.424,64.487
294,M,True,44.672,44.988,44.945,44.676,44.685,44.802,44.303,44.105,44.334,44.15
295,M,True,45.768,45.789,46.46,46.891,47.358,47.666,47.993,48.671,48.851,48.98
296,M,True,54.691,55.186,55.012,55.232,55.452,55.507,55.355,55.511,55.442,54.881
297,M,True,59.992,60.437,60.35,60.658,60.852,60.769,60.428,60.098,59.81,59.52
298,M,True,61.202,60.779,60.41,60.372,60.243,59.751,59.161,58.771,58.858,58.812
