,FLARE_TYPE,COINCIDENCE,USFLUX_1,USFLUX_2,USFLUX_3,USFLUX_4,USFLUX_5,USFLUX_6,USFLUX_7,USFLUX_8,USFLUX_9,USFLUX_10
189,M,True,4.1673e+22,4.1705e+22,4.1811e+22,4.1891e+22,4.1702e+22,4.1781e+22,4.1846e+22,4.1948e+22,4.1932e+22,4.1791e+22
190,M,True,4.1702e+22,4.1781e+22,4.1846e+22,4.1948e+22,4.1932e+22,4.1791e+22,4.1818e+22,4.167e+22,4.1859e+22,4.1885e+22
191,M,False,4.3117e+22,4.3322e+22,4.3117e+22,4.2888e+22,4.2615e+22,4.2138e+22,4.199e+22,4.1648e+22,4.1614e+22,4.1512e+22
192,M,False,2.6571e+21,2.8878e+21,3.1964e+21,3.3565e+21,3.7007e+21,4.0728e+21,4.294e+21,4.6888e+21,4.9366e+21,5.512e+21
193,M,True,4.2034e+22,4.1889e+22,4.213e+22,4.2103e+22,4.2166e+22,4.2522e+22,4.2591e+22,4.2632e+22,4.2707e+22,4.2857e+22
194,M,False,4.2166e+22,4.2522e+22,4.2591e+22,4.2632e+22,4.2707e+22,4.2857e+22,4.307e+22,4.332e+22,4.344e+22,4.3357e+22
195,M,False,4.332e+22,4.344e+22,4.3357e+22,4.3496e+22,4.3278e+22,4.3482e+22,4.355e+22,4.365e+22,4.3741e+22,4.3808e+22
196,M,True,4.8757e+22,4.8711e+22,4.8677e+22,4.8667e+22,4.8554e+22,4.8424e+22,4.8392e+22,4.8591e+22,4.8521e+22,4.8318e+22
197,M,False,4.8591e+22,4.8521e+22,4.8318e+22,4.8484e+22,4.856e+22,4.8554e+22,4.8576e+22,4.8723e+22,4.8625e+22,4.8678e+22
198,M,True,4.9235e+22,4.9334e+22,4.9518e+22,4.9622e+22,4.9631e+22,4.9663e+22,4.9823e+22,4.9802e+22,4.9776e+22,5.004e+22
199,M,False,4.9823e+22,4.9802e+22,4.9776e+22,5.004e+22,5.0195e+22,5.0043e+22,5.0387e+22,5.0614e+22,5.0737e+22,5.0828e+22
200,M,True,5.1925e+22,5.1699e+22,5.161e+22,5.1448e+22,5.0949e+22,5.085e+22,5.0844e+22,5.0883e+22,5.0681e+22,5.0454e+22
201,M,False,5.0613e+22,5.0647e+22,5.0298e+22,5.0554e+22,5.0689e+22,5.0939e+22,5.1019e+22,5.1356e+22,5.151e+22,5.1775e+22
202,M,True,5.2375e+22,5.2552e+22,5.2748e+22,5.2801e+22,5.3041e+22,5.3265e+22,5.35e+22,5.3509e+22,5.3246e+22,5.3292e+22
203,M,False,5.8524e+22,5.902e+22,5.9193e+22,5.9287e+22,5.9518e+22,5.9337e+22,5.9449e+22,5.9483e+22,5.9311e+22,5.9213e+22
204,M,False,6.1143e+22,6.0644e+22,6.1074e+22,6.1564e+22,6.1681e+22,6.1557e+22,6.1048e+22,6.1718e+22,6.1371e+22,6.2263e+22
205,M,False,6.0069e+22,6.1537e+22,6.1598e+22,6.1005e+22,6.2841e+22,6.2582e+22,6.359e+22,6.4336e+22,6.3879e+22,6.435e+22
206,M,True,6.4866e+22,6.5304e+22,6.544e+22,6.5432e+22,6.5405e+22,6.5602e+22,6.5654e+22,6.6249e+22,6.6297e+22,6.6633e+22
207,M,True,7.6229e+22,7.6993e+22,7.7206e+22,7.7563e+22,7.7724e+22,7.7998e+22,7.8376e+22,7.8197e+22,7.8168e+22,7.9002e+22
208,M,False,7.841e+22,7.8119e+22,7.8029e+22,7.7556e+22,7.7011e+22,7.7072e+22,7.6436e+22,7.6159e+22,7.6655e+22,7.6768e+22
209,M,False,7.5574e+22,7.5808e+22,7.5708e+22,7.5883e+22,7.599e+22,7.5643e+22,7.5719e+22,7.5803e+22,7.5765e+22,7.6266e+22
210,M,False,7.8337e+22,7.8399e+22,7.9133e+22,7.9336e+22,8.0031e+22,8.0858e+22,8.0873e+22,8.1192e+22,8.1294e+22,8.1974e+22
