,FLARE_TYPE,COINCIDENCE,TOTUSJH_1,TOTUSJH_2,TOTUSJH_3,TOTUSJH_4,TOTUSJH_5,TOTUSJH_6,TOTUSJH_7,TOTUSJH_8,TOTUSJH_9,TOTUSJH_10
0,X,False,2922.3,2975.1,2982.6,2959.0,2975.3,2962.9,2970.9,2954.4,2949.6,2922.5
1,X,False,3133.6,3067.6,3078.9,3041.2,3073.1,3055.1,3027.3,3024.3,3021.6,3009.1
2,X,False,2283.9,2283.0,2307.4,2299.2,2327.6,2307.4,2318.4,2254.9,2241.8,2208.7
3,X,False,1711.6,1710.0,1716.0,1724.4,1712.4,1712.8,1713.3,1714.3,1728.2,1708.9
4,X,True,1630.3,1687.8,1708.1,1706.9,1697.7,1679.6,1703.2,1691.3,1701.5,1675.4
5,X,False,4998.1,5003.2,5247.5,4992.9,5237.0,5020.8,5070.3,5108.0,5167.0,5230.7
6,X,False,1778.1,1781.6,1764.1,1738.6,1706.9,1674.0,1654.3,1624.3,1679.9,1616.2
7,X,True,2406.0,2403.8,2362.9,2391.4,2314.4,2365.3,2368.0,2339.7,2375.8,2354.6
8,X,False,5145.9,5139.9,5119.3,5097.1,5121.5,5188.1,5227.6,5217.8,5208.6,5221.8
9,X,False,5188.1,5227.6,5217.8,5208.6,5221.8,5230.4,5246.7,5239.2,5264.6,5259.7
10,X,False,6786.8,6764.3,6669.7,6614.4,6581.4,6658.1,6642.2,6611.5,6651.0,6708.4
11,X,False,6779.7,6764.0,6730.8,6754.6,6756.8,6813.0,6720.5,6784.4,6766.8,6784.7
12,X,False,1683.1,1716.6,1690.0,1634.7,1673.0,1710.5,1722.4,1690.7,1722.5,1760.7
13,X,True,242.74,217.88,217.6,215.1,209.23,207.4,199.44,198.17,200.12,199.25
14,X,True,3668.1,3689.6,3671.8,3660.7,3659.5,3635.0,3653.3,3649.7,3647.2,3650.4
15,X,False,4101.1,4048.7,3979.3,4014.3,4017.2,3975.6,3934.5,3873.6,3848.9,3836.9
16,X,False,5331.5,5382.8,5313.5,5325.6,5380.0,5428.1,5379.9,5415.7,5453.6,5448.1
17,X,False,4618.4,4604.8,4583.3,4579.3,4544.8,4511.3,4449.8,4416.7,4381.6,4354.8
18,X,False,3347.9,3358.8,3359.8,3395.7,3359.1,3356.8,3334.5,3308.9,3307.9,3278.6
19,X,False,3243.1,3238.5,3268.1,3180.2,3173.1,3188.9,3186.4,3214.1,3177.6,3181.5
20,X,False,7149.5,7201.9,7269.5,7376.2,7431.7,7690.7,7667.9,7746.4,7724.5,7744.9
21,X,False,110.52,113.6,113.8,114.07,120.12,126.4,131.6,133.35,132.09,135.93
22,X,False,1745.6,1733.6,1743.8,1747.2,1717.4,1715.6,1709.3,1706.0,1713.3,1723.2
23,X,False,1100.0,1141.7,1175.4,1154.1,1173.2,1164.9,1183.9,1235.2,1270.4,1288.2
24,X,False,6151.7,6510.8,6166.4,6610.7,6295.4,6379.5,6349.8,6497.8,6731.9,6860.1
25,X,True,11696.0,11644.0,11688.0,11647.0,11665.0,11719.0,11612.0,11680.0,11456.0,11483.0
26,X,True,11515.0,11427.0,11477.0,11323.0,11369.0,11366.0,11309.0,11389.0,11278.0,11464.0
27,X,True,12716.0,12653.0,12651.0,12659.0,12678.0,12732.0,12712.0,12756.0,12698.0,12794.0
28,X,True,13208.0,13151.0,13202.0,13270.0,13336.0,13360.0,13373.0,13442.0,13416.0,13490.0
29,X,False,4091.2,4060.5,3993.0,4016.1,3983.4,3956.3,3981.7,3983.5,4020.4,4017.6
30,X,False,7543.4,7527.1,7496.5,7444.8,7471.2,7479.4,7474.9,7482.4,7434.7,7422.8
31,X,True,3051.9,3028.8,3009.9,3013.2,3026.3,3007.5,3022.2,2994.1,2997.9,3006.4
32,X,False,131.23,146.62,168.75,182.82,185.3,193.15,189.96,170.45,168.11,165.75
