,FLARE_TYPE,COINCIDENCE,TOTUSJH_1,TOTUSJH_2,TOTUSJH_3,TOTUSJH_4,TOTUSJH_5,TOTUSJH_6,TOTUSJH_7,TOTUSJH_8,TOTUSJH_9,TOTUSJH_10
33,X,True,5905.7,5846.1,5791.9,5798.8,5755.5,5901.0,5916.4,5972.0,5925.8,5727.5
34,X,True,6084.5,6133.6,6040.2,6026.0,6071.5,6063.0,6084.2,6064.7,6058.6,6080.6
35,X,False,7473.3,7552.2,7554.7,7389.0,7460.5,7376.9,7436.3,7444.2,7294.0,7553.2
36,X,False,2785.2,2693.9,2683.8,2632.4,2570.6,2566.1,2524.5,2420.0,2453.7,2401.8
37,M,False,726.91,720.34,731.84,724.7,758.96,778.31,779.74,753.6,751.45,767.05
38,M,False,176.57,169.65,171.6,219.0,174.9,213.22,234.24,212.43,214.84,220.91
39,M,False,960.92,948.06,942.9,939.64,924.68,934.37,934.99,916.89,915.71,925.32
40,M,True,116.55,75.863,126.34,80.258,80.043,75.707,75.747,76.444,73.162,115.91
41,M,False,1105.3,1103.2,1089.4,1100.8,1125.2,1165.2,1140.6,1124.6,1134.7,1136.4
42,M,False,885.47,878.34,870.89,856.96,842.63,835.72,844.29,833.02,835.4,828.37
43,M,False,542.76,536.27,552.39,569.52,556.0,550.4,594.23,576.93,574.84,593.92
44,M,True,488.69,497.17,493.51,507.8,527.64,541.88,556.16,603.64,638.6,665.95
45,M,True,2627.3,2663.8,2800.0,2790.6,2778.0,2771.7,2810.6,2791.8,2828.2,2826.3
46,M,False,883.59,877.36,876.72,899.16,890.49,904.31,937.88,967.12,981.21,999.54
47,M,False,3013.3,3013.7,3025.3,3031.1,3050.1,3020.3,3032.8,3092.8,3102.1,3090.9
48,M,True,3013.4,3028.6,3003.6,3028.5,3093.4,3085.4,3092.9,3115.4,3143.7,3097.1
49,M,True,1263.0,1259.8,1267.8,1261.5,1306.5,1272.4,1285.6,1271.9,1266.5,1274.8
50,M,False,3153.1,3177.6,3158.5,3161.4,3177.3,3177.0,3187.2,3253.8,3272.5,3280.1
51,M,False,1245.9,1213.2,1229.2,1225.5,1237.0,1238.6,1224.5,1208.5,1196.3,1201.8
52,M,False,1236.8,1236.7,1243.3,1244.6,1237.6,1250.9,1287.3,1316.2,1340.3,1368.1
53,M,False,1558.3,1556.6,1529.7,1528.1,1511.7,1530.2,1531.2,1521.4,1517.0,1499.6
54,M,True,4446.9,4479.5,4414.5,4376.9,4337.5,4297.1,4298.1,4290.4,4221.0,4238.3
55,M,True,2109.9,2133.6,2124.4,2150.0,2157.5,2157.6,2158.6,2135.6,2125.6,2127.1
56,M,False,4290.4,4354.5,4321.3,4235.4,4240.3,4261.8,4223.1,4200.8,4151.0,4094.4
57,M,False,4223.1,4200.8,4151.0,4094.4,4144.0,4112.6,4094.7,4130.8,4109.3,4087.9
58,M,False,1571.8,1592.2,1605.4,1623.5,1636.7,1644.4,1625.2,1585.4,1608.0,1615.2
59,M,False,4169.7,4176.7,4229.1,4250.7,4328.8,4255.3,4289.5,4269.0,4239.9,4254.2
60,M,True,3085.5,3088.3,3108.4,3061.0,3053.3,2986.3,3144.4,3094.1,3122.9,3037.3
61,M,False,3341.9,3341.3,3380.8,3339.6,3418.6,3438.0,3402.8,3434.2,3472.1,3449.1
62,M,False,3417.3,3407.5,3440.9,3371.1,3336.7,3306.2,3302.0,3329.3,3324.6,3251.7
63,M,False,3252.8,3262.6,3286.4,3313.0,3257.2,3230.9,3220.1,3180.4,3234.8,3241.0
64,M,False,3234.8,3241.0,3321.6,3263.2,3341.2,3306.8,3308.3,3238.7,3245.6,3363.7
65,M,True,2826.8,2829.6,2879.5,2888.3,2938.7,2957.9,2952.1,2950.8,2949.9,2991.0
66,M,False,2996.6,3016.3,3032.8,3056.3,3067.8,3036.3,3031.8,3019.4,3022.8,3002.1
67,M,False,3516.2,3518.8,3525.0,3520.9,3506.3,3483.3,3454.6,3443.8,3403.6,3404.8
68,M,True,1826.6,1858.6,1869.4,1913.7,1905.2,1932.8,1959.5,1977.3,2000.7,2007.4
69,M,False,1833.5,1860.1,1862.5,1880.8,1828.8,1840.1,1859.6,1933.7,1950.5,1902.0
70,M,False,1128.6,1157.2,1198.4,1199.1,1217.7,1221.8,1270.3,1302.4,1310.5,1334.2
71,M,False,1899.3,1886.9,1913.2,1902.9,1910.4,1892.0,1904.8,1920.9,1948.5,1962.4
72,M,False,3238.7,3242.1,3244.8,3243.6,3320.0,3335.3,3329.7,3356.2,3349.6,3352.8
73,M,False,2651.0,2711.8,2652.3,2691.0,2672.5,2696.1,2697.5,2669.3,2613.6,2578.2
74,M,True,2653.8,2707.1,2674.4,2691.0,2642.6,2686.2,2695.5,2634.3,2705.6,2698.7
75,M,False,2991.6,3027.0,3017.3,3024.6,3015.5,3018.9,2962.5,2929.7,2991.9,3030.4
76,M,True,1045.2,1123.0,1128.6,1194.9,1193.9,1201.9,1175.9,1156.9,1151.8,1194.8
77,M,False,1703.2,1695.0,1753.8,1695.6,1755.3,1868.9,1907.1,1966.1,1899.3,1889.3
78,M,False,1527.2,1526.3,1505.3,1517.9,1534.0,1546.4,1552.0,1573.2,1568.9,1563.3
79,M,False,731.24,756.51,744.41,763.5,757.47,793.19,813.47,812.06,864.17,896.52
80,M,False,1362.7,1365.6,1376.6,1364.9,1369.0,1399.3,1409.7,1435.4,1410.2,1424.9
81,M,False,1751.1,1762.1,1787.3,1763.9,1758.5,1773.4,1773.0,1772.0,1788.7,1795.5
82,M,True,3057.5,3110.1,3150.9,3180.0,3228.1,3236.7,3214.2,3189.2,3162.0,3182.6
83,M,True,2822.9,2826.9,2773.3,2786.0,2783.6,2767.6,2785.6,2782.9,2789.5,2786.9
84,M,False,2520.7,2492.9,2523.9,2542.3,2541.7,2579.2,2638.3,2646.9,2700.3,2696.2
85,M,True,2538.9,2553.3,2570.6,2547.1,2506.7,2528.2,2536.7,2516.2,2524.8,2507.6
86,M,False,2783.5,2823.9,2862.2,2839.4,2838.0,2841.7,2796.5,2786.1,2751.9,2718.4
87,M,True,2647.2,2701.7,2725.0,2703.8,2653.8,2668.6,2663.7,2694.6,2673.3,2615.9
88,M,False,2556.3,2548.9,2552.6,2570.8,2529.2,2529.7,2491.0,2472.8,2481.0,2458.0
89,M,True,1036.3,1030.7,1037.8,1054.9,1060.1,1046.8,1043.4,1028.2,1039.7,1038.4
90,M,False,1002.7,995.54,973.42,951.52,943.2,923.28,911.55,914.58,953.24,939.51
91,M,False,1000.2,993.79,999.15,1004.3,985.63,971.13,934.86,919.05,910.35,912.41
92,M,True,1897.4,1899.9,1877.7,1873.6,1888.5,1856.0,1843.8,1842.3,1828.4,1812.8
93,M,True,1434.5,1406.4,1399.9,1386.0,1381.7,1335.8,1350.3,1369.5,1383.4,1369.3
94,M,False,1553.8,1551.9,1571.5,1581.5,1615.6,1601.4,1569.4,1558.8,1504.9,1494.7
95,M,True,1536.7,1525.3,1515.5,1501.8,1505.5,1540.9,1528.7,1557.0,1562.2,1569.4
96,M,False,2062.7,2034.5,2009.5,2009.0,2036.4,2023.4,1972.1,1953.2,1953.7,1956.7
97,M,False,1882.1,1875.1,1876.8,1899.0,1898.5,1932.9,1946.3,1934.5,1923.9,1970.4
98,M,True,3627.7,3612.4,3618.2,3585.7,3621.5,3621.3,3542.7,3574.7,3605.8,3577.6
99,M,True,3549.5,3519.0,3502.8,3533.5,3526.6,3506.9,3492.1,3438.6,3423.0,3424.3
100,M,True,4617.7,4642.4,4649.5,4745.3,4615.6,4713.0,4605.6,4671.5,4677.8,4728.4
101,M,False,4816.3,4889.1,4898.3,4647.3,4858.5,4769.5,4838.5,4893.6,4845.9,4662.5
102,M,False,3519.0,3552.1,3553.6,3603.3,3642.5,3691.8,3765.6,3688.3,3577.5,3539.6
103,M,True,5038.6,5124.7,5022.9,5102.3,5101.0,5168.6,5076.3,5179.8,5124.3,4755.6
104,M,False,5102.3,5101.0,5168.6,5076.3,5179.8,5124.3,4755.6,4794.7,4828.3,5306.6
105,M,False,4755.6,4794.7,4828.3,5306.6,4844.8,5405.8,5342.2,5378.9,5020.6,4951.2
106,M,False,5342.2,5378.9,5020.6,4951.2,5336.4,5434.2,5439.1,5359.4,5170.2,5113.6
107,M,False,5166.5,5177.5,5129.6,5163.3,5145.5,5065.5,5037.4,5082.3,5105.5,5010.7
108,M,True,4961.9,4941.3,4777.9,5157.5,5152.4,5165.6,4854.5,4951.4,5219.6,5248.6
109,M,False,579.43,531.29,561.04,664.19,685.38,672.86,687.41,705.75,712.83,691.46
110,M,False,5254.6,5152.3,5162.3,5176.4,5190.8,5183.4,5247.7,5137.4,5131.8,5057.5
111,M,False,3509.9,3521.6,3481.7,3485.5,3496.9,3508.4,3539.0,3541.4,3554.6,3587.5
112,M,True,809.57,820.56,830.65,848.98,869.01,890.32,924.47,922.7,917.11,925.35
113,M,True,1009.5,781.8,761.8,1002.8,785.37,761.57,915.75,738.72,733.56,730.53
114,M,False,983.94,998.34,1014.7,995.55,1008.5,1009.0,1006.0,1004.3,1003.9,994.88
115,M,False,2810.6,2772.8,2819.8,2816.6,2878.4,2905.8,2865.4,2861.3,2892.6,2854.7
116,M,False,3163.5,3131.8,3115.9,3144.6,3147.6,3151.3,3098.6,3073.2,3077.0,3078.4
117,M,False,2517.5,2532.3,2583.6,2557.2,2530.1,2530.0,2538.1,2524.2,2534.8,2506.5
118,M,True,1581.7,1669.1,1696.2,1764.8,1802.2,1975.8,1995.8,2089.0,2101.9,2128.5
119,M,True,3832.0,3894.9,3960.8,3940.8,3956.6,4065.3,4100.7,4023.4,4123.2,4215.8
120,M,True,5276.9,5257.2,5287.6,5278.0,5361.5,5298.4,5366.3,5398.1,5409.4,5347.4
121,M,True,5555.4,5560.7,5662.6,5625.3,5615.8,5587.5,5566.2,5534.7,5568.6,5672.0
122,M,True,5673.6,5625.2,5605.1,5647.9,5613.1,5600.9,5650.6,5598.4,5582.9,5634.9
123,M,True,5509.3,5457.4,5452.3,5479.3,5533.7,5506.1,5446.0,5497.0,5478.6,5484.4
124,M,False,5924.9,6000.0,6011.8,6030.8,5995.8,5985.1,5957.5,5951.9,5958.5,5921.0
125,M,False,5900.8,5890.5,5878.9,5938.5,5920.7,5925.1,5930.5,5954.0,5985.3,5989.3
126,M,False,5629.8,5643.7,5657.9,5662.6,5656.4,5686.6,5721.2,5717.9,5701.5,5661.1
127,M,False,2292.2,2291.2,2284.4,2294.7,2322.2,2339.1,2359.3,2384.4,2389.8,2375.8
128,M,True,2022.9,2057.9,2031.7,2014.0,2046.4,2117.0,1996.0,2018.5,2018.4,1989.7
129,M,False,1206.7,1207.4,1210.1,1209.9,1230.6,1215.6,1226.4,1254.6,1258.9,1258.0
130,M,False,1766.4,1884.3,1808.0,1793.1,1762.4,1756.2,1739.2,1768.4,1797.3,1750.6
131,M,True,294.65,303.83,302.55,313.88,305.56,321.44,333.71,332.01,336.18,338.87
132,M,False,1359.1,1356.8,1353.7,1360.3,1335.6,1340.6,1353.4,1338.2,1312.9,1320.8
133,M,True,2231.6,2222.7,2247.3,2199.5,2237.1,2309.9,2361.0,2405.1,2419.8,2402.5
134,M,False,2877.7,2896.5,2903.7,2928.1,2944.7,2979.0,3010.9,2940.3,2937.8,2940.6
135,M,False,3294.9,3365.4,3327.4,3325.9,3343.5,3328.9,3393.3,3400.3,3359.8,3346.2
136,M,True,3714.9,3712.0,3695.1,3704.5,3669.4,3728.4,3730.1,3671.3,3692.7,3682.6
137,M,False,3662.0,3649.5,3670.8,3630.1,3643.2,3588.9,3680.5,3608.4,3578.4,3539.3
138,M,False,4148.4,4104.9,4081.5,4086.7,4191.3,4109.0,4115.7,4034.6,4017.1,4015.4
139,M,False,4863.4,5431.1,5550.3,4977.9,4981.6,4964.7,4957.6,5008.6,5044.1,5114.8
140,M,False,4745.4,4773.4,4774.1,4750.0,4720.9,4672.6,4667.0,4655.8,4638.8,4638.0
141,M,False,1375.0,1379.7,1414.7,1395.4,1412.7,1411.4,1423.1,1470.9,1460.9,1499.7
142,M,True,2086.0,1994.7,2025.3,2002.2,1974.9,1986.5,1994.1,1992.8,2024.8,2053.1
143,M,True,3196.1,3173.1,3182.1,3196.8,3228.5,3292.6,3262.0,3326.3,3291.5,3391.0
144,M,False,3173.1,3182.1,3196.8,3228.5,3292.6,3262.0,3326.3,3291.5,3391.0,3381.1
145,M,False,3509.4,3561.4,3599.8,3584.4,3574.5,3581.7,3644.5,3686.6,3769.1,3770.2
146,M,True,3916.2,3901.1,3938.5,3979.4,4081.9,4064.4,4104.4,4151.8,4179.5,4184.5
147,M,False,4104.4,4151.8,4179.5,4184.5,4185.9,4228.7,4292.0,4179.9,4268.7,4176.0
148,M,False,4457.1,4241.3,4249.1,4285.7,4373.9,4289.6,4256.4,4323.4,4327.1,4322.0
149,M,False,4291.7,4298.7,4266.8,4211.3,4202.0,4219.7,4275.5,4321.1,4307.2,4332.5
150,M,False,4224.6,4216.0,4148.1,4207.5,4221.2,4191.3,4241.3,4298.2,4292.2,4277.4
151,M,False,4982.7,5010.7,5072.3,4995.4,5042.6,5053.8,5145.9,5139.9,5119.3,5097.1
152,M,False,5664.4,5599.5,5651.3,5629.9,5567.3,5564.1,5520.9,5490.4,5447.7,5459.1
153,M,False,4274.2,4345.8,4352.2,4394.2,4476.5,4477.5,4437.8,4507.8,4503.3,4480.5
154,M,False,3264.5,3253.7,3219.2,3207.5,3210.2,3186.0,3153.0,3139.4,3170.3,3128.2
155,M,True,966.13,983.65,1002.8,994.3,997.52,1003.4,984.42,958.46,969.48,946.01
156,M,False,198.73,193.38,197.14,199.91,201.68,202.91,209.79,207.49,214.53,215.38
157,M,False,865.68,869.14,861.06,857.77,848.43,853.56,859.64,850.1,826.03,839.39
158,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,M,False,1315.5,1303.2,1327.5,1327.9,1340.3,1338.5,1326.5,1327.4,1348.0,1349.3
160,M,True,4476.6,4436.9,4456.7,4436.4,4496.8,4552.3,4472.1,4456.9,4496.2,4521.2
161,M,True,4546.0,4528.9,4571.2,4607.5,4566.5,4623.9,4646.6,4688.3,4680.6,4706.0
162,M,False,4680.6,4706.0,4810.1,4710.0,4736.9,4769.0,4736.7,4776.8,4782.7,4787.2
163,M,True,5181.5,5223.5,5148.6,5105.6,5089.2,5146.5,5127.6,5113.9,5121.9,5108.9
164,M,False,5546.1,5671.1,5643.6,5547.9,5482.2,5451.7,5463.7,5407.4,5371.9,5381.6
165,M,False,5736.3,5699.0,5657.2,5530.1,5571.0,5688.5,5707.9,5628.5,5670.4,5702.7
166,M,False,2174.6,2162.4,2197.0,2193.9,2204.1,2191.3,2203.3,2217.2,2196.6,2218.4
167,M,False,3161.7,3135.8,3182.4,3188.6,3156.2,3164.1,3171.6,3172.6,3210.3,3247.6
168,M,True,0.0,0.0,0.0,0.0,0.0,0.14421,0.67115,0.84428,1.4452,2.5827
169,M,False,145.46,193.36,152.78,190.22,182.05,171.67,188.7,164.62,167.49,171.04
170,M,False,558.3,568.48,542.48,571.53,547.79,559.48,561.22,556.98,571.01,565.94
171,M,False,2595.3,2625.2,2608.3,2587.7,2578.8,2632.4,2603.9,2611.4,2649.5,2664.4
172,M,True,890.35,893.06,910.25,927.72,903.22,903.76,894.32,899.8,909.75,900.6
173,M,False,1197.7,1211.0,1209.9,1235.0,1211.2,1233.9,1250.3,1251.9,1248.8,1265.9
174,M,True,1623.6,1619.4,1620.6,1644.0,1655.3,1638.3,1652.0,1667.9,1650.9,1672.7
175,M,False,1704.1,1689.6,1683.7,1691.2,1702.7,1670.0,1675.8,1682.2,1690.1,1694.6
176,M,True,1370.6,1357.5,1350.6,1353.6,1350.0,1370.5,1386.6,1422.8,1457.2,1459.1
177,M,False,1639.9,1645.9,1663.2,1679.8,1688.4,1695.7,1716.9,1765.6,1768.3,1802.7
178,M,True,2465.6,2480.2,2484.5,2502.8,2539.5,2581.8,2581.0,2633.4,2651.1,2678.3
179,M,False,2932.3,2977.1,2976.7,3013.8,3036.4,3034.7,3035.1,3011.3,2979.0,2946.3
180,M,False,2940.6,2948.8,2917.7,2953.4,2962.6,2927.3,2900.0,2891.9,2893.6,2863.4
181,M,True,3495.6,3454.2,3482.6,3502.5,3516.4,3537.7,3564.0,3590.3,3624.5,3675.7
182,M,True,3656.7,3685.6,3622.9,3666.6,3652.8,3661.7,3705.7,3702.0,3666.1,3700.5
183,M,True,3796.3,3798.4,3819.9,3844.3,3857.1,3909.1,3929.9,3984.1,4008.5,3964.9
184,M,True,4083.3,4137.0,4108.1,4129.2,4112.0,4149.6,4187.6,4181.0,4235.1,4214.7
185,M,False,1653.9,1638.7,1677.3,1669.4,1700.0,1732.2,1699.5,1723.3,1704.9,1709.0
186,M,True,4306.7,4339.8,4376.8,4405.9,4427.0,4466.7,4493.3,4511.6,4539.3,4536.3
187,M,False,4536.3,4475.3,4488.4,4525.2,4522.6,4547.7,4558.9,4556.6,4581.6,4552.5
188,M,False,4558.9,4556.6,4581.6,4552.5,4554.1,4610.6,4602.8,4632.7,4606.4,4639.6
189,M,True,4606.4,4639.6,4614.3,4636.8,4579.1,4541.6,4524.4,4487.8,4441.6,4438.2
190,M,True,4579.1,4541.6,4524.4,4487.8,4441.6,4438.2,4447.3,4440.6,4413.6,4433.7
191,M,False,4663.6,4726.7,4692.1,4753.0,4749.4,4661.9,4687.3,4744.4,4749.1,4735.7
192,M,False,70.865,98.903,112.88,150.69,175.77,221.93,228.04,250.33,275.91,313.05
193,M,True,4732.6,4697.7,4721.9,4725.6,4737.1,4772.6,4796.9,4758.2,4796.5,4852.6
194,M,False,4737.1,4772.6,4796.9,4758.2,4796.5,4852.6,4839.0,4902.5,4928.1,4950.3
195,M,False,4902.5,4928.1,4950.3,4957.7,4957.4,4982.2,5020.9,5072.2,5044.3,5089.5
196,M,True,5736.5,5692.5,5747.2,5842.4,5846.1,5940.7,5923.9,5993.9,5940.6,5931.4
197,M,False,5993.9,5940.6,5931.4,5965.8,5919.3,5934.6,5898.7,6020.3,5983.7,5974.3
198,M,True,6005.2,5965.0,5982.3,5952.4,5953.3,5937.5,5938.2,5966.4,5931.2,5927.0
199,M,False,5938.2,5966.4,5931.2,5927.0,5904.3,5911.0,5995.0,6024.0,6016.6,5995.2
200,M,True,5809.3,5799.6,5789.5,5814.8,5752.3,5800.0,5773.9,5853.2,5792.2,5780.8
201,M,False,5724.2,5746.0,5541.1,5676.9,5758.6,5758.3,5854.5,5890.0,5955.5,5903.4
202,M,True,6022.8,6006.4,5995.0,6024.3,5970.4,6048.2,6078.8,6118.9,6050.8,6193.8
203,M,False,6529.3,6554.0,6655.3,6646.1,6686.7,6736.5,6715.6,6730.9,6750.7,6726.6
204,M,False,6877.3,6762.6,6844.0,6941.0,6980.8,6926.9,6791.9,6880.4,6884.8,6865.0
205,M,False,2980.1,3000.6,3003.9,2912.3,2947.3,3001.1,3016.9,3017.0,3017.2,3049.2
206,M,True,6579.3,6659.3,6674.4,6628.9,6534.3,6618.7,6556.5,6664.8,6610.8,6623.9
207,M,True,6866.5,6925.4,6851.0,6854.5,6821.5,6792.3,6944.4,6715.8,6695.0,6752.1
208,M,False,6589.5,6641.3,6627.0,6549.5,6484.6,6497.2,6342.7,6266.1,6348.6,6369.5
209,M,False,6226.2,6150.7,6123.5,6181.3,6137.4,6105.5,6077.8,6127.2,6112.0,6140.1
210,M,False,6163.6,6227.6,6200.9,6217.2,6291.4,6264.0,6274.4,6334.9,6287.0,6301.6
211,M,True,8285.9,8406.8,8403.8,8383.7,8357.8,8467.8,8513.2,8476.5,8561.5,8534.5
212,M,False,8639.7,8635.3,8614.7,8515.3,8477.1,8427.4,8482.4,8478.6,8438.2,8445.2
213,M,False,8427.4,8482.4,8478.6,8438.2,8445.2,8525.2,8478.4,8522.4,8525.7,8566.8
214,M,False,6729.5,6799.3,6785.1,6761.9,6730.9,6806.8,6872.9,6974.8,6903.9,6901.4
215,M,False,6207.6,6233.4,6162.9,6105.1,6090.0,6047.5,6070.5,5995.6,6009.3,5982.9
216,M,False,2818.1,2791.1,2730.3,2731.2,2704.3,2583.6,2543.5,2472.8,2416.9,2363.1
217,M,True,4574.3,4586.6,4639.3,4640.1,4639.6,4679.5,4766.2,4751.8,4801.2,4801.7
218,M,False,4618.2,4585.6,4590.5,4556.4,4535.4,4494.1,4456.1,4460.6,4460.8,4497.3
219,M,False,4456.4,4459.6,4489.3,4552.5,4569.2,4610.6,4601.6,4687.6,4616.6,4608.0
220,M,False,2435.6,2423.8,2392.7,2419.2,2426.4,2415.6,2446.0,2453.5,2438.9,2389.5
221,M,False,8.2813,12.851,17.336,36.7,42.158,48.774,48.585,81.47,76.662,99.221
222,M,False,17.336,36.7,42.158,48.774,48.585,81.47,76.662,99.221,99.885,111.29
223,M,False,1265.0,1265.7,1248.8,1252.7,1257.1,1253.4,1260.1,1281.2,1272.8,1258.4
224,M,False,2497.6,2529.6,3190.4,2532.8,2540.3,2542.9,2598.9,2590.1,2673.3,2666.8
225,M,False,2889.9,2920.6,2937.9,2959.3,2984.9,3040.1,3015.3,3025.2,3025.0,3056.1
226,M,False,2339.6,2330.5,2331.5,2299.6,2269.2,2279.6,2254.8,2293.0,2301.4,2299.1
227,M,True,19.646,36.956,71.219,107.34,228.29,227.64,435.23,513.04,480.34,662.14
228,M,True,2176.3,2208.1,2225.4,2202.9,2203.7,2221.1,2268.1,2261.9,2283.9,2288.5
229,M,True,567.98,571.8,592.06,602.67,594.24,598.52,622.58,626.95,643.72,658.65
230,M,False,691.05,693.14,688.98,705.35,717.16,729.27,724.54,719.77,717.39,748.67
231,M,True,835.82,855.32,847.07,881.76,893.58,909.87,922.25,956.92,942.63,941.85
232,M,False,1607.9,1622.2,1645.8,1638.3,1660.5,1691.4,1684.2,1716.3,1732.5,1730.7
233,M,False,1525.4,1562.4,1562.1,1476.9,1498.8,1500.7,1479.4,1450.0,1443.3,1446.9
234,M,True,1450.6,1458.1,1476.4,1518.1,1529.0,1549.5,1556.3,1567.0,1610.0,1638.6
235,M,False,2006.2,2036.2,2049.3,2054.6,2062.8,2064.0,2079.2,2089.0,2106.0,2093.4
236,M,False,2138.6,2137.0,2106.4,2072.9,2052.9,2045.5,2032.5,2019.7,2011.6,2001.4
237,M,False,1432.1,1412.0,1416.5,1404.8,1387.2,1381.0,1388.1,1375.6,1361.6,1364.4
238,M,False,2079.3,2098.1,2088.7,2169.2,2121.0,2138.2,2140.5,2178.8,2197.1,2220.0
239,M,False,2369.4,2424.4,2382.6,2384.4,2401.3,2435.6,2458.6,2410.8,2401.1,2414.6
240,M,True,3903.9,3925.2,3966.8,4013.6,4000.0,4003.9,4034.2,4046.3,4047.5,4000.7
241,M,False,4071.5,4119.8,4128.1,4186.1,4188.9,4240.5,4290.8,4316.7,4306.6,4359.8
242,M,True,2101.9,2113.4,2075.3,2085.3,2077.0,2098.4,2095.6,2074.9,2036.7,2056.0
243,M,False,1922.7,1886.7,1866.0,1859.6,1862.8,1786.0,1807.9,1803.0,1797.4,1767.3
244,M,False,94.965,110.53,118.24,134.66,140.37,151.35,163.99,178.35,185.4,192.94
245,M,False,1496.1,1506.4,1500.0,1495.4,1490.0,1491.9,1468.6,1445.5,1457.5,1472.6
246,M,False,1921.8,1918.2,1917.4,1929.9,1923.3,1951.4,1966.0,1926.5,1951.2,1943.4
247,M,False,3041.8,3039.6,3058.4,3115.5,3161.0,3175.1,3215.6,3228.8,3264.7,3268.9
248,M,False,2825.3,2828.0,2840.9,2886.6,2956.6,3014.6,3020.8,2990.3,3048.2,3024.4
249,M,False,2187.9,2209.6,2266.2,2206.9,2199.7,2173.8,2133.7,2116.4,2079.8,2086.0
250,M,False,2130.4,2135.8,2163.1,2182.7,2182.0,2183.5,2227.3,2220.8,2227.8,2195.5
