,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10
2269,N,False,45.052,45.259,43.422,44.112,43.564,44.462,45.914,44.023,45.783,45.823
2270,N,False,14.211,13.93,14.344,15.269,15.081,15.589,16.793,16.786,15.901,16.592
2271,N,False,103.4,103.49,102.32,103.65,99.812,98.377,97.037,99.604,99.834,101.3
2272,N,False,147.25,146.64,144.31,145.28,147.0,147.59,152.82,154.3,159.35,160.69
2273,N,False,291.27,296.21,296.45,294.97,292.42,292.05,289.68,289.88,289.19,288.45
2274,N,False,123.21,120.36,120.31,119.59,119.96,121.27,118.71,118.16,118.42,117.68
2275,N,False,227.8,229.2,221.03,220.63,219.49,222.06,227.01,224.07,221.65,220.21
2276,N,False,114.33,115.1,116.5,113.31,113.05,112.86,112.63,112.68,115.27,113.3
2277,N,False,1067.7,1071.6,1070.6,1074.7,1074.0,1074.0,1062.6,1056.8,1057.5,1058.4
2278,N,False,1067.7,1071.6,1070.6,1074.7,1074.0,1074.0,1062.6,1056.8,1057.5,1058.4
2279,N,False,1067.7,1071.6,1070.6,1074.7,1074.0,1074.0,1062.6,1056.8,1057.5,1058.4
2280,N,False,465.18,463.16,455.71,455.27,454.83,456.23,458.14,456.98,455.41,458.32
2281,N,False,210.03,206.7,207.49,205.05,203.69,203.86,203.94,199.57,199.09,201.96
2282,N,False,1112.0,1117.4,1121.7,1119.1,1121.5,1119.9,1115.4,1114.0,1111.2,1102.2
2283,N,False,295.55,301.17,306.89,311.92,314.93,318.93,319.88,323.23,325.23,324.83
2284,N,False,205.36,204.6,201.77,203.24,207.95,204.61,201.38,202.06,196.55,198.74
2285,N,False,169.42,169.39,169.31,169.12,166.96,167.31,168.93,172.04,171.57,168.56
2286,N,False,38.75,36.945,37.281,36.634,36.517,36.049,36.656,37.583,37.927,36.521
2287,N,False,47.272,44.769,47.379,47.709,48.511,49.467,51.81,53.0,54.985,55.234
