,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5,g_s_6,g_s_7,g_s_8,g_s_9,g_s_10
0,X,False,90177.0,95488.0,99707.0,126350.0,112640.0,106220.0,96951.0,97643.0,103450.0,94982.0
1,X,False,53345.0,57244.0,56641.0,63109.0,61677.0,58080.0,56071.0,49778.0,49333.0,51625.0
2,X,False,22712.0,23823.0,23979.0,26990.0,21875.0,23738.0,23418.0,23965.0,23624.0,26158.0
3,X,False,10917.0,13983.0,11363.0,10125.0,10222.0,10653.0,11185.0,11847.0,11977.0,11992.0
4,X,True,12555.0,13425.0,14097.0,12308.0,10512.0,10762.0,13336.0,11171.0,10936.0,10181.0
5,X,False,49339.0,47697.0,47923.0,54234.0,49323.0,45237.0,44540.0,42944.0,43192.0,52557.0
6,X,False,3392.7,3267.5,3868.1,3463.3,3364.2,3186.5,3601.6,5491.7,7096.5,5428.4
7,X,True,23349.0,28456.0,29320.0,33442.0,24647.0,25665.0,29184.0,26569.0,29355.0,37315.0
8,X,False,221090.0,236750.0,226620.0,189810.0,196940.0,214480.0,257940.0,215360.0,233140.0,231980.0
9,X,False,214480.0,257940.0,215360.0,233140.0,231980.0,246280.0,219720.0,233750.0,216070.0,207880.0
10,X,False,153200.0,146430.0,135460.0,139620.0,145400.0,134990.0,132270.0,139030.0,145030.0,154310.0
11,X,False,244100.0,231390.0,232280.0,249480.0,209150.0,233610.0,189030.0,215390.0,237730.0,239080.0
12,X,False,7449.7,9904.1,8980.2,5607.6,21075.0,9382.0,12223.0,14247.0,9075.4,3116.2
13,X,True,95548.0,85436.0,40320.0,38986.0,50456.0,16037.0,37907.0,23325.0,24707.0,17085.0
14,X,True,25912.0,24478.0,25105.0,35705.0,27379.0,24756.0,25006.0,26789.0,25984.0,25693.0
15,X,False,24856.0,25737.0,22603.0,23067.0,22632.0,22883.0,23127.0,21941.0,17445.0,16363.0
16,X,False,83967.0,96688.0,81706.0,82330.0,95764.0,96638.0,89377.0,93289.0,73115.0,84001.0
17,X,False,101400.0,94005.0,89694.0,91240.0,84401.0,90458.0,82658.0,86565.0,80578.0,76976.0
18,X,False,52072.0,45661.0,56666.0,55626.0,54202.0,52519.0,57957.0,55585.0,55079.0,53495.0
19,X,False,22304.0,21432.0,25951.0,23128.0,17262.0,18676.0,20715.0,17964.0,21112.0,25149.0
20,X,False,162470.0,148760.0,174190.0,169030.0,199840.0,197010.0,211780.0,187180.0,199180.0,202400.0
21,X,False,107860.0,93479.0,117600.0,68881.0,61844.0,83856.0,42785.0,55766.0,44179.0,98645.0
22,X,False,53159.0,60625.0,81995.0,123820.0,107890.0,88053.0,102580.0,138050.0,79860.0,87707.0
23,X,False,5970.3,5257.3,4988.3,4809.8,4722.4,4393.1,4160.9,2901.2,2896.3,1477.9
24,X,False,104340.0,97915.0,103660.0,156690.0,138730.0,187460.0,171290.0,204600.0,191090.0,112540.0
25,X,True,477420.0,450030.0,441660.0,495270.0,497580.0,520710.0,528000.0,580590.0,516820.0,509870.0
26,X,True,719410.0,693600.0,755940.0,679400.0,679380.0,702540.0,646580.0,673820.0,646100.0,698800.0
27,X,True,770740.0,749020.0,716840.0,745510.0,774570.0,743510.0,673050.0,705000.0,769260.0,778350.0
28,X,True,750370.0,778250.0,741590.0,815620.0,727960.0,734910.0,793070.0,682130.0,668760.0,754590.0
29,X,False,26973.0,26975.0,25944.0,27661.0,27747.0,27282.0,32251.0,31366.0,26958.0,28324.0
30,X,False,189060.0,194210.0,166940.0,157390.0,169300.0,176510.0,174480.0,172550.0,172050.0,190880.0
31,X,True,26519.0,30901.0,32613.0,32845.0,30427.0,23525.0,22322.0,23669.0,36058.0,33312.0
32,X,False,48210.0,23363.0,51788.0,62205.0,52863.0,48458.0,34970.0,48169.0,44157.0,45479.0
33,X,True,184650.0,177750.0,177630.0,182420.0,186190.0,194180.0,171020.0,207800.0,208140.0,213770.0
34,X,True,166180.0,175930.0,194590.0,187340.0,186860.0,212140.0,204530.0,198650.0,219050.0,220260.0
35,X,False,180320.0,189270.0,204910.0,227260.0,231140.0,182600.0,232470.0,214050.0,236620.0,243030.0
36,X,False,11710.0,10558.0,10510.0,15437.0,25482.0,6905.7,5401.0,18499.0,18865.0,16000.0
37,M,False,3216.8,3629.3,2595.3,2544.5,3079.3,2768.8,2783.1,2467.1,2608.7,3644.9
38,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,M,False,627.61,649.63,654.65,658.16,654.72,660.21,664.94,0.0,689.98,690.75
40,M,True,7794.9,14900.0,4283.3,6566.8,7631.2,6011.0,7979.8,7551.1,11654.0,8571.8
41,M,False,0.0,0.0,0.0,22.934,0.0,0.0,0.0,0.0,0.0,0.0
42,M,False,1741.0,1657.5,1739.4,1679.1,1677.8,1657.0,1711.6,1724.0,1774.2,1607.8
43,M,False,82.084,75.812,78.298,146.01,78.903,121.97,110.86,89.121,120.4,121.52
44,M,True,2498.7,3025.4,3425.8,2045.6,1878.2,2005.0,2205.3,2539.9,3137.3,3636.7
45,M,True,89872.0,89521.0,86272.0,86688.0,78015.0,86761.0,87122.0,85966.0,82638.0,81673.0
46,M,False,1020.7,741.19,1038.8,1396.7,1760.8,1752.9,1546.3,1740.3,2104.8,1978.3
47,M,False,80620.0,81263.0,89124.0,80144.0,81602.0,77174.0,80405.0,81102.0,80056.0,72732.0
48,M,True,35518.0,37416.0,33208.0,32845.0,32751.0,37734.0,40572.0,39901.0,36111.0,40142.0
49,M,True,4573.0,4965.6,4809.3,4793.4,4870.5,4321.9,4418.9,4441.0,3909.9,4693.8
50,M,False,38807.0,36671.0,37371.0,39505.0,39556.0,35490.0,38720.0,40189.0,38768.0,38885.0
51,M,False,5242.3,5252.3,5327.3,4930.2,5525.1,5293.1,4716.9,4766.6,4364.2,4706.1
52,M,False,4058.4,3741.6,4549.1,4422.3,3578.8,3523.2,3866.2,4095.8,3653.3,3254.7
53,M,False,3129.5,3248.0,4454.5,3637.6,3572.3,3709.8,3485.3,3469.1,3756.9,3647.9
54,M,True,71293.0,73141.0,76921.0,70778.0,72984.0,67941.0,81480.0,67628.0,74681.0,61462.0
55,M,True,4049.3,4668.2,5460.9,4963.3,5211.6,5767.2,4081.2,3658.9,4586.2,5784.8
56,M,False,52238.0,52529.0,50059.0,58049.0,60548.0,70744.0,74484.0,61571.0,62637.0,75503.0
57,M,False,74484.0,61571.0,62637.0,75503.0,72989.0,63457.0,70259.0,76766.0,92180.0,67293.0
58,M,False,7292.3,8284.0,8380.1,7459.3,7411.7,6454.8,7037.5,7478.0,8436.0,10665.0
59,M,False,43365.0,41093.0,42963.0,33070.0,29095.0,27490.0,32101.0,24307.0,28680.0,29771.0
60,M,True,5234.2,4764.2,4134.3,4465.1,4414.1,4121.3,3578.6,3814.8,3300.5,3453.5
61,M,False,4607.4,4334.0,4733.7,4876.1,4614.9,4607.1,5520.0,4446.2,4649.1,4551.2
62,M,False,13345.0,10445.0,9615.0,11520.0,11307.0,11514.0,10013.0,9084.2,10624.0,11101.0
