,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,ABSNJZH_2,ABSNJZH_3,ABSNJZH_4,ABSNJZH_5,ABSNJZH_6,ABSNJZH_7,ABSNJZH_8,ABSNJZH_9,ABSNJZH_10
176,M,True,309.38,312.7,322.54,304.73,315.31,284.47,299.17,284.63,252.75,274.79
177,M,False,328.82,294.06,302.07,308.6,314.51,336.51,313.88,329.04,311.45,317.55
178,M,True,301.86,311.21,302.61,313.42,334.18,332.55,301.45,341.95,366.97,353.55
179,M,False,449.81,477.91,484.19,522.39,523.63,500.11,522.47,523.5,522.77,499.13
180,M,False,528.28,546.34,527.18,512.88,543.45,520.98,502.33,504.79,484.64,507.94
181,M,True,236.3,240.7,232.87,250.14,237.36,227.08,275.91,229.6,294.23,281.03
182,M,True,295.88,324.35,301.48,297.64,342.09,382.91,361.33,313.65,335.58,395.68
183,M,True,442.52,452.24,421.84,417.84,415.53,446.21,402.17,423.54,467.39,479.62
184,M,True,483.09,485.3,512.53,523.19,527.09,544.15,559.65,580.02,592.39,604.21
185,M,False,246.3,258.9,275.05,279.4,265.96,273.72,261.0,253.34,273.85,277.06
186,M,True,506.42,520.75,498.38,551.06,548.15,583.3,587.41,634.53,597.22,552.06
187,M,False,552.06,523.79,534.23,540.56,557.97,583.14,590.23,562.51,538.14,540.53
188,M,False,590.23,562.51,538.14,540.53,519.64,523.45,532.0,515.2,515.31,485.91
189,M,True,515.31,485.91,504.7,517.53,512.3,499.32,452.88,469.31,438.26,438.0
190,M,True,512.3,499.32,452.88,469.31,438.26,438.0,473.09,527.66,520.75,563.07
191,M,False,560.63,524.27,461.31,471.19,397.33,396.63,470.69,381.22,498.39,488.31
192,M,False,22.558,37.61,42.846,3.5988,63.258,2.1959,14.162,60.762,21.341,49.616
193,M,True,541.66,545.66,614.73,663.53,659.84,638.11,645.68,569.0,638.5,608.64
194,M,False,659.84,638.11,645.68,569.0,638.5,608.64,665.2,657.0,631.9,665.25
195,M,False,657.0,631.9,665.25,663.19,652.84,687.47,632.91,595.39,567.49,591.34
196,M,True,542.37,503.68,531.2,445.41,397.7,408.29,407.19,296.2,318.04,344.71
197,M,False,296.2,318.04,344.71,382.16,427.74,459.93,480.59,496.87,475.24,429.97
198,M,True,600.55,578.88,604.21,587.84,572.32,509.09,570.38,632.43,652.0,615.47
199,M,False,570.38,632.43,652.0,615.47,629.23,736.56,795.85,801.73,765.46,708.61
200,M,True,801.97,813.24,785.17,833.62,903.45,840.82,1004.1,974.16,937.93,903.77
201,M,False,878.91,894.93,806.56,914.3,927.44,894.69,933.32,947.67,1013.0,988.88
202,M,True,1003.1,1073.2,1128.0,1059.4,1144.2,1044.4,1131.9,1019.2,1042.6,1033.6
203,M,False,976.15,1003.3,1026.7,1067.6,1052.6,1082.8,1109.4,1196.7,1296.5,1322.1
204,M,False,1646.5,1602.8,1618.2,1513.7,1763.4,1682.5,1717.7,1633.8,1369.3,1293.8
205,M,False,235.75,262.97,503.01,544.19,604.33,559.11,534.86,562.93,592.64,621.41
206,M,True,1497.4,1595.7,1561.8,1558.7,1475.0,1600.1,1583.0,1607.6,1628.8,1681.7
207,M,True,1746.2,1687.8,1683.2,1637.1,1630.1,1566.4,1531.7,1569.7,1580.0,1568.9
208,M,False,1476.2,1366.5,1346.5,1400.0,1280.4,1253.1,1523.5,1466.6,1383.6,1260.3
209,M,False,1334.7,1396.3,1320.6,1343.8,1329.3,1339.4,1328.6,1258.3,1232.6,1276.5
210,M,False,1225.5,1189.4,1221.5,1245.2,1287.1,1288.3,1247.0,1291.5,1254.9,1304.0
211,M,True,1841.3,1810.1,1870.3,1834.4,1839.3,1848.1,1869.0,1866.8,1855.7,1875.4
212,M,False,2047.0,1984.5,2018.7,2057.2,2070.8,2082.4,2091.6,2091.6,2006.3,2020.3
213,M,False,2082.4,2091.6,2091.6,2006.3,2020.3,2003.6,1981.2,1954.7,1943.1,1924.9
214,M,False,965.02,938.18,901.61,924.43,906.99,942.96,947.22,942.67,960.2,983.24
215,M,False,836.6,839.07,826.17,791.25,852.96,820.33,921.16,911.29,921.14,795.34
216,M,False,620.8,417.13,562.16,522.05,458.2,495.22,448.38,445.49,483.89,589.67
217,M,True,213.11,206.88,235.47,226.51,222.91,177.49,257.31,242.49,250.51,296.12
218,M,False,255.43,285.05,307.67,283.84,312.99,324.1,358.44,349.16,348.78,419.85
219,M,False,24.255,55.506,68.361,74.958,94.254,69.236,86.333,98.454,114.9,124.1
220,M,False,187.67,196.54,170.23,173.93,196.4,187.35,185.02,181.39,181.5,192.87
221,M,False,3.4166,1.1295,6.6693,3.5009,2.7643,3.6078,0.73763,0.27042,1.4534,4.2301
222,M,False,6.6693,3.5009,2.7643,3.6078,0.73763,0.27042,1.4534,4.2301,7.5816,20.351
223,M,False,373.36,366.97,369.25,363.13,378.49,372.72,372.04,385.64,382.77,389.0
224,M,False,133.89,157.96,112.06,117.29,83.63,50.071,45.922,44.256,96.246,85.798
225,M,False,31.088,8.2009,9.4075,4.5841,20.4,3.0209,9.6563,7.0123,7.1823,1.9042
