,FLARE_TYPE,COINCIDENCE,MEANSHR_1,MEANSHR_2,MEANSHR_3,MEANSHR_4,MEANSHR_5,MEANSHR_6,MEANSHR_7,MEANSHR_8,MEANSHR_9,MEANSHR_10
1685,B,False,36.058,37.284,36.735,34.793,33.541,38.431,36.463,35.937,37.148,36.423
1686,B,False,36.295,36.098,35.592,35.371,35.405,35.39,35.726,35.375,35.149,35.187
1687,B,False,26.939,26.735,26.388,26.159,25.87,26.608,26.967,26.963,26.66,26.71
1688,B,False,48.94,48.989,49.622,48.319,48.266,48.547,48.529,48.266,47.832,48.291
1689,B,False,23.183,23.464,23.535,23.685,23.798,23.992,23.72,24.203,24.613,24.581
1690,B,False,25.131,25.056,25.434,25.045,25.389,24.839,25.657,26.713,26.125,25.475
1691,B,False,24.207,27.693,25.149,23.85,25.38,26.776,24.341,23.971,23.438,23.246
1692,B,False,27.98,28.165,27.764,27.772,27.51,27.022,27.044,26.776,26.662,26.508
1693,B,False,27.318,27.227,27.321,27.235,27.354,27.244,27.188,27.351,27.331,27.49
1694,B,False,21.672,21.624,21.393,20.79,21.472,21.058,20.637,21.003,20.814,21.029
1695,B,False,27.85,28.841,27.787,28.113,29.805,29.025,31.201,30.496,31.336,30.487
1696,B,False,26.653,26.708,26.75,26.872,26.487,26.688,26.835,26.915,27.093,26.835
1697,B,False,30.099,29.787,29.842,29.443,29.066,28.905,29.02,28.911,28.738,28.533
1698,B,False,21.527,21.582,21.335,21.965,21.171,21.065,20.964,21.071,21.394,21.333
1699,B,False,27.655,27.223,27.772,27.316,26.984,27.534,27.858,27.651,27.199,27.435
1700,B,False,20.894,21.32,21.021,21.576,21.463,22.454,22.222,22.763,21.976,22.258
1701,B,False,34.97,34.671,35.208,35.231,35.409,35.431,35.421,35.167,34.946,35.305
1702,B,False,39.89,40.116,40.297,39.538,39.826,39.259,40.05,40.062,39.244,39.998
1703,B,False,32.875,32.956,33.153,32.603,32.18,32.72,32.611,32.453,32.258,32.371
1704,B,False,39.758,39.572,39.255,39.315,39.033,38.933,38.491,38.43,38.109,37.975
1705,B,False,38.083,37.429,37.383,37.328,37.525,37.462,37.562,37.722,37.58,38.102
1706,B,False,30.863,29.617,29.762,30.208,30.463,31.173,31.031,30.294,29.758,29.871
1707,B,True,29.241,29.376,29.227,29.372,29.199,28.887,28.82,28.586,28.595,28.412
1708,B,False,26.124,26.099,26.041,26.178,26.69,26.264,26.117,25.818,24.889,24.609
1709,B,False,25.715,25.638,25.664,26.065,25.41,25.209,25.543,26.498,25.688,26.182
1710,B,False,38.6,39.073,40.789,41.764,39.608,39.685,39.071,37.0,38.828,36.185
1711,B,False,26.78,28.055,26.65,26.959,27.473,28.079,30.344,28.325,28.568,26.305
1712,B,False,36.086,35.829,36.451,36.772,36.542,36.877,36.917,36.622,36.352,37.069
1713,B,False,40.001,40.202,40.05,39.854,39.709,40.248,40.382,40.849,40.364,40.655
1714,B,False,42.492,42.194,42.373,42.861,42.25,42.608,42.707,42.757,42.642,42.473
1715,B,False,27.064,27.395,27.272,27.127,27.591,27.38,27.497,27.345,26.937,27.015
1716,B,False,39.056,37.861,36.19,35.248,33.502,32.876,34.778,34.547,33.924,31.0
1717,B,False,29.72,30.217,30.598,31.195,31.767,31.897,31.95,30.563,31.97,31.485
1718,B,False,23.586,23.3,23.638,23.617,23.512,23.644,23.831,23.624,23.561,23.573
1719,B,False,31.074,31.31,31.254,31.37,31.256,32.005,32.164,31.94,32.298,31.819
1720,B,False,31.85,31.858,30.936,31.011,32.595,32.986,31.964,32.231,31.968,31.318
1721,B,False,36.032,35.959,36.038,36.744,36.679,36.709,37.068,35.696,35.362,35.395
1722,B,False,22.201,22.53,22.164,22.362,22.646,22.383,22.487,21.937,22.525,22.255
1723,B,False,26.472,26.547,26.579,26.666,26.638,26.426,26.533,26.434,26.257,26.079
1724,B,False,26.773,26.502,26.201,26.233,26.126,25.969,26.608,26.96,26.633,26.12
1725,B,False,21.731,21.866,21.414,21.489,21.869,21.226,21.293,20.813,20.082,20.167
1726,B,False,48.011,48.152,43.843,47.955,52.886,45.883,48.158,50.784,48.509,50.456
1727,B,False,30.469,30.544,28.642,28.291,30.248,32.231,30.782,29.866,29.053,30.073
1728,B,False,38.065,37.57,37.384,37.976,38.631,37.637,37.751,37.821,38.182,37.887
1729,B,False,24.978,24.585,24.781,25.665,25.633,25.589,25.731,25.949,26.353,26.25
1730,B,False,29.235,28.97,28.908,28.657,28.447,28.496,28.372,28.235,27.908,27.876
1731,B,False,41.621,41.472,41.093,41.086,41.19,40.984,40.919,40.339,39.604,38.99
1732,B,False,46.16,47.127,46.737,46.368,45.952,45.897,45.744,45.763,45.306,45.14
1733,B,False,24.888,25.231,25.14,25.075,25.309,25.066,25.127,25.132,25.038,24.809
1734,B,False,21.571,22.136,22.765,22.934,21.28,21.73,21.049,19.983,20.411,19.738
1735,B,False,19.764,21.078,19.555,20.403,20.228,19.994,19.075,19.33,20.016,19.594
