T_REC,NOAA_AR,TOTPOT,MEANPOT,EPSZ,TOTBSQ,TOTFZ,TOTABSTWIST
2010.05.04_17:24:00.000_TAI,11069,7.265489e+22,5501.1,-0.3687019193424324,5229536593.483387,-1018.8525657968606,1216.566630362739
2010.08.06_18:24:00.000_TAI,11093,2.24522e+23,6295.1,-0.3066304182256304,14440870563.459549,-2339.814305641651,2342.365915077236
2010.10.15_19:12:00.000_TAI,11112,7.395334e+22,2971.2,-0.454163945411238,7179321730.79921,-1722.9345667881744,2389.672058940356
2011.02.08_01:36:00.000_TAI,11153,6.688043e+22,3373.1,-0.54861213040489,7219961412.515813,-2093.0180313980604,1178.7999591721389
2011.02.12_17:36:00.000_TAI,11158,6.762531e+22,5202.9,-0.28255439118425,5323465639.08771,-794.8207127950978,984.1588183661648
2011.02.13_17:24:00.000_TAI,11158,5.793296e+23,14078.0,-0.0314953514029192,27527128903.24016,-458.12078302699854,3577.874110498901
2011.02.14_01:48:00.000_TAI,11158,7.014759e+23,15349.0,-0.0609103266506883,33741086346.97802,-1085.9820348469316,3826.89829817622
2011.02.15_07:48:00.000_TAI,11161,8.403092e+22,3735.9,-0.5181944068678865,9015392531.740808,-2468.59567199102,1901.3384824767968
2011.02.15_14:24:00.000_TAI,11158,8.292732e+23,14985.0,-0.0397890587348193,37892726256.88918,-796.6953183841432,4428.5126077627065
2011.02.17_10:00:00.000_TAI,11158,6.428692e+23,10860.0,-0.2303579866741237,37724957271.72985,-4592.030039495076,5002.580592258692
2011.02.17_10:24:00.000_TAI,11162,2.850954e+23,8984.4,-0.2101540960431289,17050543017.378609,-1893.427791922378,2518.405166284095
2011.02.17_13:00:00.000_TAI,11158,6.63249e+23,10909.0,-0.2287156458225893,38739559478.547134,-4681.911947032849,5103.712497092652
2011.02.17_14:12:00.000_TAI,11162,2.803724e+23,9608.0,-0.1983586270788618,16463349029.659103,-1725.6070234527267,2486.3022397528616
2011.02.17_21:00:00.000_TAI,11162,2.78909e+23,8282.0,-0.2196250019339963,17128337780.68236,-1987.7861313397093,2562.594170430419
2011.09.29_16:24:00.000_TAI,11305,2.490956e+23,12067.0,-0.4322801897781458,18631190128.917816,-4255.774757854888,3602.455884036854
2011.03.06_05:12:00.000_TAI,11164,1.176023e+24,11872.0,-0.2069168797023859,64408721903.71484,-7042.279768949809,8699.150947065571
2011.03.06_08:00:00.000_TAI,11165,2.955719e+23,5381.1,-0.444187994721952,25202455656.06721,-5915.375595873779,4215.227279892364
2011.03.06_08:12:00.000_TAI,11164,1.188865e+24,10984.0,-0.2099883276140116,65019425622.8269,-7214.57952528752,8824.855135635786
2011.03.06_09:12:00.000_TAI,11164,1.1851e+24,11898.0,-0.1988388645027536,64023561614.35407,-6726.880581015983,8355.941561317488
