T_REC,NOAA_AR,TOTUSJH,MEANPOT,EPSZ,TOTBSQ,TOTFZ,TOTABSTWIST
2010.05.04_17:24:00.000_TAI,11069,720.336,5501.1,-0.3687019193424324,5229536593.483387,-1018.8525657968606,1216.566630362739
2010.08.06_18:24:00.000_TAI,11093,942.902,6295.1,-0.3066304182256304,14440870563.459549,-2339.814305641651,2342.365915077236
2010.10.15_19:12:00.000_TAI,11112,855.488,2971.2,-0.454163945411238,7179321730.79921,-1722.9345667881744,2389.672058940356
2011.02.08_01:36:00.000_TAI,11153,536.2719999999998,3373.1,-0.54861213040489,7219961412.515813,-2093.0180313980604,1178.7999591721389
2011.02.12_17:36:00.000_TAI,11158,497.171,5202.9,-0.28255439118425,5323465639.08771,-794.8207127950978,984.1588183661648
2011.02.13_17:24:00.000_TAI,11158,2627.275,14078.0,-0.0314953514029192,27527128903.24016,-458.12078302699854,3577.874110498901
2011.10.01_14:00:00.000_TAI,11302,2922.304,11640.0,-0.0609103266506883,33741086346.97802,-1085.9820348469316,3826.89829817622
2011.02.15_07:48:00.000_TAI,11161,877.3589999999997,3735.9,-0.5181944068678865,9015392531.740808,-2468.59567199102,1901.3384824767968
2011.02.15_14:24:00.000_TAI,11158,3013.313,14985.0,-0.0397890587348193,37892726256.88918,-796.6953183841432,4428.5126077627065
2015.06.23_15:24:00.000_TAI,12371,3013.4040000000005,17024.0,-0.2303579866741237,37724957271.72985,-4592.030039495076,5002.580592258692
2011.02.17_10:24:00.000_TAI,11162,1263.017,8984.4,-0.2101540960431289,17050543017.378609,-1893.427791922378,2518.405166284095
2014.07.29_22:00:00.000_TAI,12130,3153.0959999999995,7199.0,-0.2287156458225893,38739559478.547134,-4681.911947032849,5103.712497092652
2011.11.14_08:00:00.000_TAI,11346,1213.182,3697.8,-0.1983586270788618,16463349029.659103,-1725.6070234527267,2486.3022397528616
2011.02.17_21:00:00.000_TAI,11162,1236.766,8282.0,-0.2196250019339963,17128337780.68236,-1987.7861313397093,2562.594170430419
2014.10.07_04:48:00.000_TAI,12182,1556.563,2863.2,-0.4322801897781458,18631190128.917816,-4255.774757854888,3602.455884036854
2011.03.06_05:12:00.000_TAI,11164,4479.49,11872.0,-0.2069168797023859,64408721903.71484,-7042.279768949809,8699.150947065571
2015.01.27_14:24:00.000_TAI,12268,2133.552,12736.0,-0.444187994721952,25202455656.06721,-5915.375595873779,4215.227279892364
2011.03.06_08:12:00.000_TAI,11164,4354.476,10984.0,-0.2099883276140116,65019425622.8269,-7214.57952528752,8824.855135635786
2015.09.28_11:36:00.000_TAI,12422,4223.063,16842.0,-0.1988388645027536,64023561614.35407,-6726.880581015983,8355.941561317488
2012.03.05_11:00:00.000_TAI,11429,4176.670999999999,15546.0,-0.2632894439625664,64400741378.27957,-8959.773814594962,8581.354267421399
2014.11.29_13:48:00.000_TAI,12222,3085.5290000000005,14504.0,-0.4123671227548672,39297156339.9206,-8562.842181507018,5684.454202608051
2011.03.07_02:24:00.000_TAI,11165,3341.909,7481.2,-0.3843613573867358,43329191761.959946,-8800.209559217561,5748.148331329677
2011.03.08_23:12:00.000_TAI,11166,3133.608,15412.0,-0.0546348284423162,45491552594.58197,-1313.327493524958,5103.55852017859
2011.03.10_20:12:00.000_TAI,11166,3518.8,14120.0,-0.1067800245543301,52872396115.95589,-2983.264110611061,6019.909779529228
2014.02.10_18:12:00.000_TAI,11974,1826.64,8920.2,-0.2701735137080562,23529897104.33033,-3359.1976296465755,3677.4397613119295
2015.12.22_03:48:00.000_TAI,12473,1833.468,11993.0,-0.3332211620544619,23064776130.37961,-4061.2011966983055,3807.4942546977727
2011.03.24_23:24:00.000_TAI,11176,3242.051,6282.9,-0.3426350883960802,48395467327.99325,-8762.12120113241,7473.084131602039
2011.04.14_17:12:00.000_TAI,11190,2711.755,7896.7,-0.2179877980563308,25667546759.75276,-2956.577178216417,5247.2901399080765
2011.04.21_04:48:00.000_TAI,11195,2707.078,3863.0,-0.5168982946322996,34123508611.27331,-9320.335983712412,6642.837547758863
2011.04.21_15:48:00.000_TAI,11195,2991.605,3320.4,-0.5060616183812865,35569116010.10174,-9511.504228071532,7442.991513577383
2015.11.08_03:24:00.000_TAI,12449,1505.331,6652.2,-0.4558865059368672,16334165387.872189,-3934.834978591404,4021.683731244969
2014.02.19_01:00:00.000_TAI,11976,1365.5770000000002,6673.2,-0.4271314797233473,12329043274.387497,-2782.683797774805,2673.170516129158
2011.07.29_02:12:00.000_TAI,11261,1762.145,7750.7,-0.288350706887546,23821150410.70581,-3629.581528053551,3647.566077559648
2011.08.01_06:24:00.000_TAI,11261,3236.741,12170.0,-0.0477640672611647,30248562887.57112,-763.4469578645561,5008.848419270242
