,FLARE_TYPE,COINCIDENCE,TOTUSJH_1,TOTUSJH_2,TOTUSJH_3,TOTUSJH_4,TOTUSJH_5,TOTUSJH_6,TOTUSJH_7,TOTUSJH_8,TOTUSJH_9,TOTUSJH_10,TOTUSJH_11,TOTUSJH_12,TOTUSJH_13,TOTUSJH_14,TOTUSJH_15,TOTUSJH_16,TOTUSJH_17,TOTUSJH_18,TOTUSJH_19,TOTUSJH_20,TOTUSJH_21,TOTUSJH_22,TOTUSJH_23,TOTUSJH_24,TOTUSJH_25,TOTUSJH_26,TOTUSJH_27,TOTUSJH_28,TOTUSJH_29,TOTUSJH_30,TOTUSJH_31,TOTUSJH_32,TOTUSJH_33,TOTUSJH_34,TOTUSJH_35,TOTUSJH_36,TOTUSJH_37,TOTUSJH_38,TOTUSJH_39,TOTUSJH_40,TOTUSJH_41,TOTUSJH_42,TOTUSJH_43,TOTUSJH_44,TOTUSJH_45,TOTUSJH_46,TOTUSJH_47,TOTUSJH_48,TOTUSJH_49,TOTUSJH_50
10,X,False,4101.1,4048.7,3979.3,4014.3,4017.2,3975.6,3934.5,3873.6,3848.9,3836.9,3789.7,3745.0,3688.8,3698.5,3573.3,3656.6,3605.1,3600.4,3609.1,3582.1,3487.5,3484.6,3479.6,3315.9,3424.2,3343.5,3357.0,3265.3,3167.4,3048.0,2956.4,2931.5,2742.8,2642.6,2631.5,2502.1,2546.1,2547.3,2316.0,2303.9,2191.4,2128.5,2100.4,2074.4,2029.6,1955.7,1859.4,1782.8,1815.5,1646.5
11,X,False,5331.5,5382.8,5313.5,5325.6,5380.0,5428.1,5379.9,5415.7,5453.6,5448.1,5541.3,5476.1,5486.2,5570.3,5461.1,5648.4,5841.5,5608.0,5638.8,5722.3,5762.0,5565.9,5655.7,5644.0,5610.8,5569.4,5584.9,5558.1,5494.3,5497.6,5427.3,5562.3,5532.0,5422.1,5497.6,5406.2,5372.9,5409.4,5342.7,5413.4,5344.0,5362.8,5368.8,5419.5,5351.6,5437.8,5533.6,5545.2,5572.9,5477.0
12,X,False,4618.4,4604.8,4583.3,4579.3,4544.8,4511.3,4449.8,4416.7,4381.6,4354.8,4332.8,4298.0,4240.1,4228.2,4240.6,4224.6,4221.1,4214.2,4278.3,4310.5,4331.2,4366.4,4391.7,4406.6,4414.6,4388.1,4380.6,4406.0,4443.9,4418.9,4423.4,4446.3,4380.8,4365.1,4387.5,4340.8,4369.0,4377.7,4350.5,4353.7,4401.1,4417.2,4447.8,4459.7,4470.1,4506.0,4487.2,4524.0,4502.0,4438.3
13,X,False,3347.9,3358.8,3359.8,3395.7,3359.1,3356.8,3334.5,3308.9,3307.9,3278.6,3249.5,3262.6,3227.9,3194.2,3168.9,3146.0,3136.2,3149.0,3120.0,3146.7,3170.1,3166.5,3163.4,3176.5,3231.8,3223.3,3256.8,3253.8,3258.8,3280.6,3319.4,3316.5,3331.4,3328.2,3334.7,3307.1,3339.4,3322.3,3349.3,3360.9,3340.3,3320.7,3323.8,3288.2,3248.3,3246.1,3233.6,3205.1,3207.2,3199.2
14,X,False,3243.1,3238.5,3268.1,3180.2,3173.1,3188.9,3186.4,3214.1,3177.6,3181.5,3148.4,3112.8,3169.2,3197.1,3250.4,3253.5,3250.3,3287.5,3282.7,3324.3,3320.7,3379.3,3411.7,3360.6,3358.8,3395.1,3400.3,3446.3,3465.7,3480.0,3502.6,3494.9,3524.3,3534.0,3544.4,3536.1,3533.5,3502.9,3482.5,3636.9,3459.3,3441.0,3403.8,3387.9,3390.6,3379.4,3395.1,3381.3,3420.7,3436.1
15,X,False,7149.5,7201.9,7269.5,7376.2,7431.7,7690.7,7667.9,7746.4,7724.5,7744.9,7817.3,7740.7,7747.7,7732.1,7592.7,7614.4,7619.8,7622.5,7493.9,7413.2,7364.1,7255.4,7177.1,7144.4,7076.8,7097.0,7046.9,7135.6,7040.3,6997.7,7105.0,7106.2,7069.7,7077.7,7109.9,7037.2,7028.3,6981.0,7009.1,7002.5,6987.0,7005.9,6898.1,6905.5,6843.8,6920.2,6905.4,6832.6,6765.6,6841.0
16,X,False,110.52,113.6,113.8,114.07,120.12,126.4,131.6,133.35,132.09,135.93,148.04,156.84,165.17,177.1,192.8,215.47,221.66,226.62,249.92,286.78,290.72,310.05,299.82,315.12,320.05,340.24,331.78,333.16,325.64,326.03,339.84,314.01,313.29,321.79,341.75,351.06,360.66,366.02,378.33,392.26,396.99,413.6,437.69,469.06,460.01,475.77,492.75,480.44,491.01,513.27
17,X,False,1745.6,1733.6,1743.8,1747.2,1717.4,1715.6,1709.3,1706.0,1713.3,1723.2,1746.7,1743.6,1742.7,1734.1,1766.3,1757.7,1731.8,1711.6,1676.2,1699.3,1675.2,1584.2,1547.2,1506.1,1405.5,1377.7,1336.1,1269.2,1247.0,1209.5,1198.2,1210.3,1203.7,1228.5,1239.2,1250.2,1254.7,1279.6,1285.7,1289.4,1270.5,1287.4,1273.6,1253.3,1256.9,1250.9,1264.8,1255.7,1230.2,1229.9
18,X,False,1100.0,1141.7,1175.4,1154.1,1173.2,1164.9,1183.9,1235.2,1270.4,1288.2,1285.4,1318.9,1327.5,1299.8,1168.1,1260.6,1392.6,1329.4,1327.9,1408.8,1347.9,1353.9,1393.1,1339.8,1356.2,1369.3,1356.0,1342.7,1346.4,1379.1,1476.4,1393.7,1399.6,1374.0,1395.6,1380.1,1394.9,1377.6,1393.8,1399.7,1418.6,1437.0,1437.4,1418.7,1394.7,1377.7,1412.9,1407.9,1424.1,1435.3
19,X,False,6151.7,6510.8,6166.4,6610.7,6295.4,6379.5,6349.8,6497.8,6731.9,6860.1,6551.1,6742.7,6682.2,6703.3,6729.6,6770.2,6704.1,6687.6,6619.0,6571.5,6485.6,6800.2,6450.7,6377.6,6423.3,6346.5,6444.4,6435.2,6504.8,6545.5,6560.1,6608.5,6588.2,6620.9,6678.8,6804.2,6745.6,6780.6,6779.1,6852.6,6780.8,6728.3,6712.7,6758.0,6784.9,6851.1,6842.5,6861.6,6890.4,6852.9
20,X,True,13208.0,13151.0,13202.0,13270.0,13336.0,13360.0,13373.0,13442.0,13416.0,13490.0,13514.0,13606.0,13664.0,13637.0,13622.0,13690.0,13778.0,13771.0,13779.0,13847.0,13737.0,13737.0,13734.0,13714.0,13790.0,13685.0,13656.0,13640.0,13732.0,13873.0,13984.0,13938.0,13929.0,13952.0,14178.0,14124.0,14249.0,14082.0,14300.0,14314.0,14339.0,14276.0,14253.0,14237.0,14230.0,14223.0,14243.0,14254.0,14328.0,14252.0
21,X,False,4091.2,4060.5,3993.0,4016.1,3983.4,3956.3,3981.7,3983.5,4020.4,4017.6,3992.9,4088.8,4044.0,4088.2,4142.5,4154.2,4153.6,4170.5,4274.2,4243.8,4255.9,4210.4,4201.7,4223.2,4245.2,4214.7,4244.8,4302.0,4288.9,4301.0,4268.4,4300.8,4271.9,4292.8,4252.3,4290.2,4272.0,4261.4,4295.1,4298.5,4235.1,4241.0,4230.5,4251.6,4239.9,4249.8,4288.0,4257.7,4237.1,4308.0
22,X,True,3051.9,3028.8,3009.9,3013.2,3026.3,3007.5,3022.2,2994.1,2997.9,3006.4,3040.0,2997.4,2988.7,2962.2,2989.5,3026.1,3026.1,3017.0,3046.8,3044.1,3018.6,3030.4,3024.1,2974.0,2977.6,3008.2,2984.7,2968.9,3002.6,3009.4,3029.9,3038.7,3073.3,3094.7,3108.9,3108.5,3109.0,3108.3,3095.5,3085.8,3108.1,3138.1,3146.9,3169.8,3169.6,3163.4,3196.0,3171.2,3146.3,3143.9
23,X,False,131.23,146.62,168.75,182.82,185.3,193.15,189.96,170.45,168.11,165.75,185.96,202.0,211.73,219.75,243.12,253.89,278.23,324.31,368.66,396.6,412.64,457.29,453.04,464.95,477.71,493.68,519.26,528.83,509.22,511.89,504.2,504.19,629.36,513.74,512.16,537.93,523.75,536.99,569.68,588.28,613.6,632.38,644.66,636.2,655.3,681.83,707.6,725.81,744.23,761.75
24,X,True,5905.7,5846.1,5791.9,5798.8,5755.5,5901.0,5916.4,5972.0,5925.8,5727.5,6022.5,6017.6,5994.5,5982.9,6084.5,6133.6,6040.2,6026.0,6071.5,6063.0,6084.2,6064.7,6058.6,6080.6,6087.7,6071.2,6144.4,6158.7,6161.8,6101.7,6180.4,6301.1,6161.3,6110.5,6109.2,6259.8,5972.5,6232.5,6313.7,6404.1,6376.8,6308.6,6352.4,6458.3,6490.4,6560.3,6645.0,6607.8,6598.2,6569.6
25,X,True,6084.5,6133.6,6040.2,6026.0,6071.5,6063.0,6084.2,6064.7,6058.6,6080.6,6087.7,6071.2,6144.4,6158.7,6161.8,6101.7,6180.4,6301.1,6161.3,6110.5,6109.2,6259.8,5972.5,6232.5,6313.7,6404.1,6376.8,6308.6,6352.4,6458.3,6490.4,6560.3,6645.0,6607.8,6598.2,6569.6,6486.8,6490.7,6528.7,6467.4,6486.9,6478.5,6438.1,6482.2,6485.0,6538.7,6557.2,6554.8,6666.7,6701.5
26,X,False,2785.2,2693.9,2683.8,2632.4,2570.6,2566.1,2524.5,2420.0,2453.7,2401.8,2198.9,2123.6,2109.3,2147.9,1987.2,1936.3,1796.2,1810.5,1729.6,1720.6,1651.1,1620.5,1560.6,1584.7,1466.6,1413.3,1349.9,1410.8,1328.8,1265.2,1290.9,1310.9,1270.2,1287.5,1265.1,1234.3,1285.7,1240.1,1173.1,1129.7,1140.4,1084.4,1009.0,987.5,903.75,759.23,785.04,651.3,597.56,525.6
27,M,False,726.91,720.34,731.84,724.7,758.96,778.31,779.74,753.6,751.45,767.05,781.63,768.65,762.26,761.98,781.59,755.68,758.57,749.09,749.94,751.71,746.78,725.78,737.03,640.67,771.89,761.52,752.27,748.9,758.36,751.74,769.05,781.84,749.65,733.74,722.85,713.2,724.36,736.41,753.2,753.94,770.36,792.67,808.12,797.8,799.93,784.12,782.65,777.07,775.47,778.12
28,M,False,176.57,169.65,171.6,219.0,174.9,213.22,234.24,212.43,214.84,220.91,230.45,243.22,251.58,240.93,248.58,264.98,306.75,267.39,304.72,283.16,334.07,317.1,350.31,340.69,348.98,355.37,338.42,361.46,354.47,372.27,380.58,422.22,435.85,472.58,472.79,512.95,513.86,507.45,554.2,540.46,560.66,531.6,573.87,522.35,547.32,550.18,562.53,539.75,590.15,598.19
29,M,False,960.92,948.06,942.9,939.64,924.68,934.37,934.99,916.89,915.71,925.32,908.99,896.99,888.27,901.38,908.33,928.03,922.75,926.62,948.36,955.64,967.45,958.59,966.32,947.72,950.63,957.42,963.64,944.51,942.78,925.03,925.13,903.17,891.43,896.15,899.23,900.51,886.55,889.62,897.68,891.17,889.84,894.33,900.18,901.05,899.8,900.88,903.63,905.62,909.05,910.74
30,M,True,116.55,75.863,126.34,80.258,80.043,75.707,75.747,76.444,73.162,115.91,77.025,77.356,78.013,78.478,83.356,84.103,89.273,85.069,83.935,79.844,84.121,83.705,85.097,81.27,85.973,88.783,90.496,90.288,92.927,92.632,91.634,96.698,124.58,94.239,89.976,94.379,93.796,89.01,84.873,91.279,87.056,86.145,91.372,85.125,86.298,84.102,91.477,90.723,86.377,83.195
31,M,False,1105.3,1103.2,1089.4,1100.8,1125.2,1165.2,1140.6,1124.6,1134.7,1136.4,1139.9,1127.9,1127.4,1112.0,1108.4,1110.2,1135.4,1154.7,1177.3,1177.1,1159.1,1182.6,1200.9,1193.9,1237.1,1232.5,1262.3,1250.7,1278.8,1298.4,1304.8,1309.9,1288.0,1275.2,1286.6,1290.7,1314.7,1295.5,1310.2,1310.2,1348.7,1363.3,1332.4,1334.4,1359.9,1356.5,1339.7,1358.5,1353.0,1383.5
32,M,False,885.47,878.34,870.89,856.96,842.63,835.72,844.29,833.02,835.4,828.37,827.87,826.16,840.01,829.96,842.37,894.57,808.41,794.91,815.62,826.3,827.66,823.72,837.77,890.96,831.09,843.47,828.27,831.34,799.55,817.88,782.83,826.62,767.42,761.09,762.09,768.7,755.87,761.59,799.4,771.66,768.23,782.34,800.59,779.8,786.54,784.78,794.24,800.56,802.08,816.01
33,M,False,542.76,536.27,552.39,569.52,556.0,550.4,594.23,576.93,574.84,593.92,589.45,604.59,609.51,624.12,635.84,634.24,640.16,662.43,663.74,714.46,722.75,719.21,741.77,753.51,745.77,754.03,755.76,781.09,787.81,780.73,772.5,803.23,796.63,792.92,819.5,847.29,861.89,875.74,858.0,846.5,975.36,885.34,904.34,886.94,884.54,884.77,877.76,865.03,877.1,905.58
34,M,True,488.69,497.17,493.51,507.8,527.64,541.88,556.16,603.64,638.6,665.95,676.16,707.38,728.45,733.97,756.07,765.32,769.35,771.97,794.08,800.18,792.73,797.16,809.78,810.54,815.8,813.25,828.07,868.04,886.14,934.23,967.33,991.36,1052.2,1113.2,1131.7,1153.4,1184.4,1233.5,1247.2,1375.3,1388.7,1427.7,1516.4,1511.9,1574.1,1647.4,1663.2,1688.1,1690.0,1722.9
35,M,True,2627.3,2663.8,2800.0,2790.6,2778.0,2771.7,2810.6,2791.8,2828.2,2826.3,2862.3,2853.8,2877.7,2825.2,2781.4,2761.5,2794.0,2764.5,2726.1,2703.5,2672.8,2694.8,2720.1,2722.3,2774.5,2791.8,2773.0,2826.9,2866.9,2895.2,2877.9,2914.8,2913.3,2909.1,2941.0,2943.1,2964.7,2946.3,2927.0,2914.9,2893.0,2887.5,2922.3,2975.1,2982.6,2959.0,2975.3,2962.9,2970.9,2954.4
36,M,False,883.59,877.36,876.72,899.16,890.49,904.31,937.88,967.12,981.21,999.54,1018.2,1050.6,1087.7,1106.7,1139.3,1151.9,1151.5,1153.0,1167.7,1155.1,1194.6,1190.2,1194.2,1222.0,1190.4,1188.3,1176.0,1190.3,1202.2,1211.4,1183.5,1194.3,1204.6,1216.1,1243.6,1246.4,1301.5,1280.2,1267.5,1282.9,1291.7,1309.8,1318.8,1341.1,1346.8,1372.5,1412.3,1386.8,1425.5,1385.1
37,M,False,3013.3,3013.7,3025.3,3031.1,3050.1,3020.3,3032.8,3092.8,3102.1,3090.9,3131.7,3143.1,3149.4,3153.1,3152.6,3183.2,3212.2,3221.5,3201.3,3215.8,3219.6,3192.7,3202.8,3180.8,3160.6,3120.3,3128.0,3125.2,3157.3,3155.3,3170.6,3192.3,3211.9,3208.0,3255.9,3278.6,3257.7,3246.1,3273.5,3290.4,3300.4,3287.7,3251.2,3226.7,3228.6,3240.8,3247.0,3222.3,3193.6,3207.3
38,M,True,3013.4,3028.6,3003.6,3028.5,3093.4,3085.4,3092.9,3115.4,3143.7,3097.1,3104.8,3127.9,3115.4,3136.1,3138.5,3153.1,3177.6,3158.5,3161.4,3177.3,3177.0,3187.2,3253.8,3272.5,3280.1,3289.7,3269.1,3316.4,3307.7,3311.9,3242.9,3281.4,3284.3,3270.3,3285.9,3308.4,3302.1,3371.6,3308.5,3245.1,3279.9,3291.2,3300.0,3272.2,3249.3,3254.2,3231.3,3221.0,3214.8,3244.5
39,M,True,1263.0,1259.8,1267.8,1261.5,1306.5,1272.4,1285.6,1271.9,1266.5,1274.8,1264.0,1230.8,1253.7,1248.6,1249.8,1253.5,1240.7,1245.9,1245.9,1213.2,1229.2,1225.5,1237.0,1238.6,1224.5,1208.5,1196.3,1201.8,1182.8,1170.0,1140.7,1142.7,1126.6,1113.7,1112.8,1124.5,1119.8,1117.7,1123.1,1127.7,1118.2,1102.5,1107.5,1119.1,1129.1,1137.2,1150.1,1181.3,1253.6,1238.8
40,M,False,3153.1,3177.6,3158.5,3161.4,3177.3,3177.0,3187.2,3253.8,3272.5,3280.1,3289.7,3269.1,3316.4,3307.7,3311.9,3242.9,3281.4,3284.3,3270.3,3285.9,3308.4,3302.1,3371.6,3308.5,3245.1,3279.9,3291.2,3300.0,3272.2,3249.3,3254.2,3231.3,3221.0,3214.8,3244.5,3243.5,3230.4,3195.6,3218.7,3209.5,3210.2,3212.2,3232.1,3285.4,3245.8,3291.2,3255.5,3251.4,3246.2,3239.4
41,M,False,1245.9,1213.2,1229.2,1225.5,1237.0,1238.6,1224.5,1208.5,1196.3,1201.8,1182.8,1170.0,1140.7,1142.7,1126.6,1113.7,1112.8,1124.5,1119.8,1117.7,1123.1,1127.7,1118.2,1102.5,1107.5,1119.1,1129.1,1137.2,1150.1,1181.3,1253.6,1238.8,1266.8,1264.0,1251.8,1236.8,1236.7,1243.3,1244.6,1237.6,1250.9,1287.3,1316.2,1340.3,1368.1,1375.5,1413.3,1432.6,1466.3,1447.6
42,M,False,1236.8,1236.7,1243.3,1244.6,1237.6,1250.9,1287.3,1316.2,1340.3,1368.1,1375.5,1413.3,1432.6,1466.3,1447.6,1474.3,1496.6,1492.5,1489.9,1513.9,1497.5,1527.8,1514.7,1571.6,1626.2,1625.0,1651.4,1655.8,1636.7,1712.8,1700.8,1671.3,1676.1,1685.4,1738.2,1747.2,1711.1,1715.2,1750.6,1754.2,1795.4,1803.2,1794.4,1822.5,1855.0,1843.2,1870.9,1897.8,1930.6,1950.9
43,M,False,1558.3,1556.6,1529.7,1528.1,1511.7,1530.2,1531.2,1521.4,1517.0,1499.6,1517.0,1502.3,1509.7,1544.7,1549.3,1550.4,1575.6,1588.4,1573.5,1568.4,1572.0,1572.9,1583.4,1547.9,1551.3,1514.3,1486.5,1495.4,1515.4,1500.3,1502.7,1491.0,1511.6,1516.3,1545.3,1542.9,1571.6,1596.9,1625.4,1609.1,1645.3,1664.6,1670.5,1670.9,1646.8,1614.2,1598.4,1580.1,1581.6,1589.5
44,M,True,4446.9,4479.5,4414.5,4376.9,4337.5,4297.1,4298.1,4290.4,4221.0,4238.3,4251.0,4239.8,4224.1,4247.8,4272.7,4290.4,4354.5,4321.3,4235.4,4240.3,4261.8,4223.1,4200.8,4151.0,4094.4,4144.0,4112.6,4094.7,4130.8,4109.3,4087.9,4095.3,4143.0,4159.3,4186.5,4141.0,4116.0,4097.5,4092.0,4064.0,4129.8,4091.5,4114.4,4119.5,4149.8,4199.9,4139.5,4133.2,4143.3,4209.6
45,M,True,2109.9,2133.6,2124.4,2150.0,2157.5,2157.6,2158.6,2135.6,2125.6,2127.1,2128.3,2141.3,2154.9,2113.3,2106.4,2129.5,2122.7,2148.3,2172.2,2159.2,2190.0,2230.4,2243.2,2237.0,2236.8,2181.0,2183.0,2206.5,2246.1,2324.0,2313.0,2307.7,2253.9,2231.3,2291.2,2275.8,2321.5,2329.3,2320.2,2327.5,2336.8,2376.6,2428.9,2460.2,2476.9,2481.9,2553.1,2568.1,2539.0,2583.8
46,M,False,4290.4,4354.5,4321.3,4235.4,4240.3,4261.8,4223.1,4200.8,4151.0,4094.4,4144.0,4112.6,4094.7,4130.8,4109.3,4087.9,4095.3,4143.0,4159.3,4186.5,4141.0,4116.0,4097.5,4092.0,4064.0,4129.8,4091.5,4114.4,4119.5,4149.8,4199.9,4139.5,4133.2,4143.3,4209.6,4171.0,4205.3,4174.4,4200.3,4227.9,4291.2,4279.9,4319.7,4291.0,4327.2,4387.6,4381.3,4354.9,4471.8,4411.3
47,M,False,4223.1,4200.8,4151.0,4094.4,4144.0,4112.6,4094.7,4130.8,4109.3,4087.9,4095.3,4143.0,4159.3,4186.5,4141.0,4116.0,4097.5,4092.0,4064.0,4129.8,4091.5,4114.4,4119.5,4149.8,4199.9,4139.5,4133.2,4143.3,4209.6,4171.0,4205.3,4174.4,4200.3,4227.9,4291.2,4279.9,4319.7,4291.0,4327.2,4387.6,4381.3,4354.9,4471.8,4411.3,4455.2,4415.1,4291.4,4242.1,4199.7,4142.5
48,M,False,1571.8,1592.2,1605.4,1623.5,1636.7,1644.4,1625.2,1585.4,1608.0,1615.2,1613.4,1635.5,1622.7,1638.4,1654.4,1632.4,1619.2,1611.2,1590.8,1596.5,1597.4,1596.9,1570.5,1592.9,1582.3,1611.0,1621.5,1637.5,1622.7,1649.3,1666.3,1721.4,1722.9,1706.2,1708.3,1703.6,1691.8,1668.9,1646.6,1647.3,1641.8,1624.6,1627.6,1676.7,1649.6,1678.3,1692.6,1685.9,1728.5,1718.9
49,M,False,4169.7,4176.7,4229.1,4250.7,4328.8,4255.3,4289.5,4269.0,4239.9,4254.2,4229.9,4121.1,4053.8,4093.7,4072.1,4039.8,4043.4,4048.6,3985.7,3956.7,3996.4,3991.5,4018.6,3937.8,3986.8,3978.3,4014.4,3998.9,4040.1,4046.8,4008.9,3982.4,4013.9,4017.8,4062.3,4064.7,4068.1,4065.3,4105.9,4207.3,4209.7,4186.4,4209.7,4147.5,4184.8,4253.1,4273.5,4331.2,4359.8,4331.8
50,M,True,3085.5,3088.3,3108.4,3061.0,3053.3,2986.3,3144.4,3094.1,3122.9,3037.3,3180.5,3222.9,3200.8,3180.3,3143.0,3225.8,3238.0,3180.7,3118.8,3202.0,3256.1,3329.1,3389.2,3341.9,3341.3,3380.8,3339.6,3418.6,3438.0,3402.8,3434.2,3472.1,3449.1,3440.3,3519.8,3531.2,3581.8,3578.2,3583.9,3640.0,3636.1,3525.4,3557.7,3502.2,3418.7,3364.6,3460.2,3538.5,3500.1,3509.6
51,M,False,3341.9,3341.3,3380.8,3339.6,3418.6,3438.0,3402.8,3434.2,3472.1,3449.1,3440.3,3519.8,3531.2,3581.8,3578.2,3583.9,3640.0,3636.1,3525.4,3557.7,3502.2,3418.7,3364.6,3460.2,3538.5,3500.1,3509.6,3562.8,3601.1,3633.6,3582.3,3623.4,3573.1,3482.6,3515.2,3445.9,3425.2,3536.7,3471.5,3545.0,3482.8,3417.3,3407.5,3440.9,3371.1,3336.7,3306.2,3302.0,3329.3,3324.6
