,FLARE_TYPE,COINCIDENCE,TOTUSJH_1,TOTUSJH_2,TOTUSJH_3,TOTUSJH_4,TOTUSJH_5,TOTUSJH_6,TOTUSJH_7,TOTUSJH_8,TOTUSJH_9,TOTUSJH_10,TOTUSJH_11,TOTUSJH_12,TOTUSJH_13,TOTUSJH_14,TOTUSJH_15,TOTUSJH_16,TOTUSJH_17,TOTUSJH_18,TOTUSJH_19,TOTUSJH_20,TOTUSJH_21,TOTUSJH_22,TOTUSJH_23,TOTUSJH_24,TOTUSJH_25,TOTUSJH_26,TOTUSJH_27,TOTUSJH_28,TOTUSJH_29,TOTUSJH_30,TOTUSJH_31,TOTUSJH_32,TOTUSJH_33,TOTUSJH_34,TOTUSJH_35,TOTUSJH_36,TOTUSJH_37,TOTUSJH_38,TOTUSJH_39,TOTUSJH_40,TOTUSJH_41,TOTUSJH_42,TOTUSJH_43,TOTUSJH_44,TOTUSJH_45,TOTUSJH_46,TOTUSJH_47,TOTUSJH_48,TOTUSJH_49,TOTUSJH_50
0,X,False,2922.3,2975.1,2982.6,2959.0,2975.3,2962.9,2970.9,2954.4,2949.6,2922.5,2926.6,2902.5,2891.1,2869.3,2871.9,2894.2,2880.9,2878.2,2858.9,2869.3,2896.2,2870.1,2887.6,2875.9,2898.0,2935.1,2953.9,2976.7,3007.1,3016.0,2997.0,2995.3,3004.6,3027.1,2994.7,3012.6,2998.1,2951.0,2951.9,2948.1,2933.1,2881.8,2868.3,2887.0,2883.9,2884.4,2862.4,2878.7,2890.6,2879.2
1,X,False,3133.6,3067.6,3078.9,3041.2,3073.1,3055.1,3027.3,3024.3,3021.6,3009.1,2994.3,2984.0,2995.8,2983.6,2978.1,2964.8,2999.9,3001.1,2994.9,3002.2,2990.4,3009.3,2996.7,3006.9,2981.9,2967.1,2971.7,2962.4,2956.2,2929.4,2950.9,2918.8,2881.1,2892.8,2853.5,2857.9,2885.4,2917.1,2937.0,2995.6,3023.9,3031.5,3066.1,3040.0,3072.0,3060.1,3055.8,3032.8,3001.5,2966.7
2,X,False,2283.9,2283.0,2307.4,2299.2,2327.6,2307.4,2318.4,2254.9,2241.8,2208.7,2202.1,2195.4,2187.3,2160.8,2183.9,2174.2,2155.9,2154.9,2175.3,2178.7,2165.9,2150.1,2125.6,2121.9,2083.2,2120.3,2142.8,2105.2,2116.1,2160.8,2166.0,2167.4,2134.5,2152.9,2166.2,2191.5,2165.6,2178.4,2202.7,2213.8,2204.9,2210.1,2205.8,2197.8,2205.1,2229.9,2258.5,2295.4,2313.4,2346.0
3,X,False,1711.6,1710.0,1716.0,1724.4,1712.4,1712.8,1713.3,1714.3,1728.2,1708.9,1723.9,1715.5,1699.4,1679.8,1704.6,1695.0,1684.5,1703.6,1703.6,1718.8,1703.7,1696.2,1689.1,1700.5,1694.5,1673.5,1727.6,1681.2,1672.0,1664.6,1660.6,1645.1,1632.4,1638.0,1680.0,1706.9,1762.1,1806.2,1844.5,1865.2,1835.8,1810.1,1742.2,1709.3,1662.6,1660.7,1657.5,1626.4,1608.4,1594.2
4,X,True,1630.3,1687.8,1708.1,1706.9,1697.7,1679.6,1703.2,1691.3,1701.5,1675.4,1674.6,1687.7,1683.2,1700.2,1687.8,1658.1,1667.0,1645.0,1643.9,1650.8,1618.7,1638.7,1647.9,1645.3,1621.2,1610.8,1587.8,1603.9,1584.4,1601.2,1593.0,1584.8,1566.1,1557.5,1569.7,1564.3,1612.3,1668.4,1684.7,1739.9,1691.1,1665.5,1629.8,1594.0,1551.6,1585.0,1545.8,1524.5,1519.1,1500.3
5,X,False,4998.1,5003.2,5247.5,4992.9,5237.0,5020.8,5070.3,5108.0,5167.0,5230.7,5297.4,5286.1,5275.0,5258.7,5217.8,5218.2,5276.9,5257.2,5287.6,5278.0,5361.5,5298.4,5366.3,5398.1,5409.4,5347.4,5331.4,5371.2,5336.2,5329.0,5397.6,5291.4,5359.6,5295.4,5345.3,5285.0,5350.9,5306.4,5405.1,5334.4,5336.0,5255.7,5308.0,5294.0,5288.9,5246.5,5247.8,5303.3,5331.9,5295.8
6,X,True,2406.0,2403.8,2362.9,2391.4,2314.4,2365.3,2368.0,2339.7,2375.8,2354.6,2344.1,2323.8,2349.1,2343.4,2304.0,2304.4,2309.5,2270.6,2277.4,2270.3,2270.0,2237.4,2257.8,2305.7,2301.5,2310.5,2310.4,2273.7,2355.5,2398.4,2435.0,2415.7,2412.7,2366.9,2346.0,2335.2,2333.5,2317.4,2350.8,2336.0,2419.3,2430.6,2479.6,2533.0,2553.7,2479.3,2538.3,2498.8,2520.3,2597.8
7,X,False,6779.7,6764.0,6730.8,6754.6,6756.8,6813.0,6720.5,6784.4,6766.8,6784.7,6756.6,6827.3,6820.3,6873.9,6963.6,6983.7,6979.1,7038.3,7077.3,7132.8,7126.3,7204.4,7290.3,7256.2,8451.2,7355.1,7310.4,7289.8,7281.4,7280.4,7179.4,7146.8,7155.3,7048.6,7050.3,7001.5,7024.6,6984.7,7029.9,7045.0,7123.2,7093.6,7072.6,7137.3,7112.0,7124.7,7054.1,7112.2,7090.0,7072.1
8,X,False,1683.1,1716.6,1690.0,1634.7,1673.0,1710.5,1722.4,1690.7,1722.5,1760.7,1663.7,1731.4,1665.9,1665.4,1717.7,1689.2,1678.4,1667.6,1666.3,1672.2,1642.9,1665.4,1644.7,1643.9,1633.8,1653.0,1689.1,1726.4,1743.0,1737.1,1714.6,1745.2,1749.1,1787.9,1790.6,1748.4,1746.0,1794.2,1811.5,1764.6,1727.2,1765.8,1743.3,1756.6,1740.2,1757.3,1699.1,1719.4,1717.6,1712.8
9,X,True,3668.1,3689.6,3671.8,3660.7,3659.5,3635.0,3653.3,3649.7,3647.2,3650.4,3620.0,3671.7,3710.5,3690.0,3678.0,3646.0,3624.7,3580.2,3626.6,3635.1,3618.4,3624.3,3622.0,3640.3,3644.0,3658.3,3701.5,3687.9,3662.9,3621.4,3651.4,3614.5,3563.2,3593.2,3526.1,3511.8,3512.2,3475.3,3489.1,3482.3,3494.7,3501.4,3490.8,3484.4,3450.6,3458.0,3454.0,3456.3,3410.8,3437.1
